head	relation	tail	time
Foreign Affairs (France)	Make statement	France	2015-07-28
Foreign Affairs (France)	Make statement	Air Force (Syria)	2012-10-17
Foreign Affairs (France)	Make statement	France	2007-08-26
Foreign Affairs (France)	Make statement	Vietnam	2005-10-17
Foreign Affairs (France)	Make statement	France	2009-07-07
Foreign Affairs (France)	Make statement	France	2005-05-11
Foreign Affairs (France)	Make statement	France	2015-06-26
Foreign Affairs (France)	Make statement	Segolene Royal	2014-06-04
Foreign Affairs (France)	Make statement	Sudan	2013-12-15
Foreign Affairs (France)	Make statement	Government (France)	2014-03-14
Foreign Affairs (France)	Make statement	France	2006-08-02
Foreign Affairs (France)	Make statement	France	2005-05-14
Foreign Affairs (France)	Make statement	France	2011-12-11
Foreign Affairs (France)	Make statement	Military (Russia)	2008-08-21
Foreign Affairs (France)	Make statement	Other Authorities / Officials (Greece)	2010-11-04
Foreign Affairs (France)	Make statement	Criminal (Somalia)	2011-06-08
Foreign Affairs (France)	Make statement	Yemen	2013-05-20
Foreign Affairs (France)	Make statement	Yemen	2014-10-21
Foreign Affairs (France)	Make statement	France	2014-04-16
Foreign Affairs (France)	Make statement	Iran	2006-05-11
Foreign Affairs (France)	Make statement	UN Security Council	2008-06-09
Foreign Affairs (France)	Make statement	France	2012-09-20
Foreign Affairs (France)	Make statement	Iran	2015-05-20
Foreign Affairs (France)	Make statement	France	2012-09-25
Foreign Affairs (France)	Make statement	Iran	2006-09-15
Foreign Affairs (France)	Make statement	France	2008-10-10
Foreign Affairs (France)	Make statement	Bolivia	2013-07-04
Foreign Affairs (France)	Make statement	Priest (France)	2013-11-18
Foreign Affairs (France)	Make statement	France	2013-05-28
Foreign Affairs (France)	Make statement	Surakiart Sathirathai	2006-02-19
Foreign Affairs (France)	Make statement	Iran	2006-02-16
Foreign Affairs (France)	Make statement	France	2013-01-21
Foreign Affairs (France)	Make statement	France	2008-05-12
Foreign Affairs (France)	Make statement	Government (France)	2005-12-14
Mahmoud Abbas	Consult	Envoy (United States)	2011-09-08
Mahmoud Abbas	Consult	Catherine Ashton	2011-12-14
Mahmoud Abbas	Consult	Head of Government (Egypt)	2011-01-24
Mahmoud Abbas	Consult	Barack Obama	2014-03-10
Mahmoud Abbas	Consult	Abu Bakr Abdullah al-Qirbi	2006-02-26
Mahmoud Abbas	Consult	Envoy (United States)	2010-01-22
Mahmoud Abbas	Consult	James Wolfensohn	2005-10-07
Mahmoud Abbas	Consult	Georgios Papandreou	2010-12-08
Mahmoud Abbas	Consult	Omar Suleiman	2009-05-28
Mahmoud Abbas	Consult	Royal Administration (Saudi Arabia)	2007-12-03
Mahmoud Abbas	Consult	Alexis Tsipras	2015-11-27
Mahmoud Abbas	Consult	Juan Carlos I	2011-07-19
Mahmoud Abbas	Consult	Government (Palestinian Territory, Occupied)	2006-12-16
Mahmoud Abbas	Consult	Heinz Fischer	2013-05-02
Mahmoud Abbas	Consult	Catherine Ashton	2011-02-15
Mahmoud Abbas	Consult	Ali Abdullah Saleh	2010-09-02
Mahmoud Abbas	Consult	Barack Obama	2010-07-09
Mahmoud Abbas	Consult	Terje Roed Larsen	2007-09-28
Mahmoud Abbas	Consult	Royal Administration (Jordan)	2007-06-29
Mahmoud Abbas	Consult	Catherine Ashton	2011-08-30
Mahmoud Abbas	Consult	Barack Obama	2013-03-23
Mahmoud Abbas	Consult	Barack Obama	2010-06-02
Mahmoud Abbas	Consult	Angela Merkel	2011-05-06
Mahmoud Abbas	Consult	Abdullah Gül	2007-05-16
Mahmoud Abbas	Consult	Juan Carlos I	2011-07-20
Mahmoud Abbas	Consult	Javier Solana	2007-01-19
Mahmoud Abbas	Consult	Royal Administration (Saudi Arabia)	2007-03-01
Mahmoud Abbas	Consult	Farouk al-Sharaa	2007-06-17
Mahmoud Abbas	Consult	Foreign Affairs (France)	2011-06-18
Mahmoud Abbas	Consult	Omar Suleiman	2005-12-22
Mahmoud Abbas	Consult	Head of Government (Egypt)	2008-04-28
Mahmoud Abbas	Consult	Nasser Judeh	2012-03-07
Mahmoud Abbas	Consult	William E. Ward	2005-04-07
Mahmoud Abbas	Consult	Zine El Abidine Ben Ali	2006-06-01
Mahmoud Abbas	Consult	Yossi Beilin	2007-05-02
Mahmoud Abbas	Consult	Envoy (United States)	2005-05-05
Mahmoud Abbas	Consult	Tzipi Livni	2007-12-16
Mahmoud Abbas	Consult	Benjamin Netanyahu	2011-03-23
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2009-11-01
Mahmoud Abbas	Consult	Envoy (United States)	2005-04-21
Mahmoud Abbas	Consult	Foreign Affairs (India)	2012-09-17
Mahmoud Abbas	Consult	Barack Obama	2010-09-01
Mahmoud Abbas	Consult	Tzipi Livni	2006-05-22
Mahmoud Abbas	Consult	Head of Government (Qatar)	2013-08-29
Mahmoud Abbas	Consult	Tzipi Livni	2007-01-26
Mahmoud Abbas	Consult	Barack Obama	2010-06-12
Mahmoud Abbas	Consult	Barack Obama	2014-03-17
Mahmoud Abbas	Consult	Catherine Ashton	2013-10-25
Mahmoud Abbas	Consult	Catherine Ashton	2011-10-05
Mahmoud Abbas	Consult	Head of Government (Egypt)	2008-05-18
Mahmoud Abbas	Consult	Tony Blair	2010-10-22
Mahmoud Abbas	Consult	Head of Government (Qatar)	2014-05-06
Mahmoud Abbas	Consult	Benjamin Netanyahu	2009-04-15
Mahmoud Abbas	Consult	Head of Government (Qatar)	2011-05-02
Mahmoud Abbas	Consult	William E. Ward	2005-04-14
Mahmoud Abbas	Consult	Envoy (United States)	2014-03-24
Mahmoud Abbas	Consult	Head of Government (Egypt)	2005-03-16
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-09-13
Mahmoud Abbas	Consult	Benjamin Netanyahu	2009-05-30
Mahmoud Abbas	Consult	Benedict XVI	2005-12-03
Mahmoud Abbas	Consult	Envoy (United States)	2011-11-14
Mahmoud Abbas	Consult	Shimon Peres	2014-05-09
Mahmoud Abbas	Consult	Head of Government (Egypt)	2014-10-13
Mahmoud Abbas	Consult	Catherine Ashton	2010-10-02
Mahmoud Abbas	Consult	Sheikh Hamad bin Isa al Khalifah	2006-01-03
Mahmoud Abbas	Consult	France	2005-10-09
Mahmoud Abbas	Consult	Benjamin Netanyahu	2010-09-05
Mahmoud Abbas	Consult	Abdullah Gül	2009-02-07
Mahmoud Abbas	Consult	Abdullah Gül	2009-01-23
Mahmoud Abbas	Consult	Abdel Fattah Al-Sisi	2015-01-15
Mahmoud Abbas	Consult	France	2008-06-25
Mahmoud Abbas	Consult	Royal Administration (Jordan)	2007-10-25
Mahmoud Abbas	Consult	Zine El Abidine Ben Ali	2011-01-03
Mahmoud Abbas	Consult	Abdullah Gül	2012-03-01
Mahmoud Abbas	Consult	Tzipi Livni	2006-09-18
Mahmoud Abbas	Consult	Royal Administration (Jordan)	2005-11-15
Mahmoud Abbas	Consult	Iraq	2009-04-06
Mahmoud Abbas	Consult	Abdullah Gül	2009-07-18
Mahmoud Abbas	Consult	Iraq	2009-04-13
Mahmoud Abbas	Consult	Nuri al-Maliki	2009-04-06
Mahmoud Abbas	Consult	Tzipi Livni	2014-05-18
Mahmoud Abbas	Consult	Head of Government (Egypt)	2009-01-11
Mahmoud Abbas	Consult	Envoy (United States)	2010-03-07
Mahmoud Abbas	Consult	Omar Suleiman	2010-01-04
Mahmoud Abbas	Consult	Tony Blair	2006-12-19
Mahmoud Abbas	Consult	Omar Suleiman	2006-07-06
Mahmoud Abbas	Consult	Parliament of Norway	2006-04-27
Mahmoud Abbas	Consult	Abdullah Gül	2009-01-20
Mahmoud Abbas	Consult	Tony Blair	2007-05-16
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-08-20
Mahmoud Abbas	Consult	Royal Administration (Jordan)	2005-10-05
Mahmoud Abbas	Consult	Catherine Ashton	2011-06-19
Mahmoud Abbas	Consult	Government (Palestinian Territory, Occupied)	2013-07-30
Mahmoud Abbas	Consult	Barack Obama	2009-05-28
Mahmoud Abbas	Consult	Barack Obama	2009-09-25
Mahmoud Abbas	Consult	Government (Palestinian Territory, Occupied)	2006-08-31
Mahmoud Abbas	Consult	Barack Obama	2010-06-08
Mahmoud Abbas	Consult	Envoy (United States)	2013-12-09
Mahmoud Abbas	Consult	Javier Solana	2006-10-26
Mahmoud Abbas	Consult	Ali Abdullah Saleh	2007-02-10
Mahmoud Abbas	Consult	Head of Government (Colombia)	2011-10-01
Mahmoud Abbas	Consult	al-Aqsa Martyrs' Brigades	2005-01-23
Mahmoud Abbas	Consult	Abdullah Gül	2006-08-20
Mahmoud Abbas	Consult	Head of Government (Egypt)	2007-10-30
Mahmoud Abbas	Consult	Barack Obama	2009-06-04
Mahmoud Abbas	Consult	Haaretz	2015-01-02
Mahmoud Abbas	Consult	Ali Abdullah Saleh	2007-06-23
Mahmoud Abbas	Consult	Royal Administration (Saudi Arabia)	2007-11-18
Mahmoud Abbas	Consult	Barack Obama	2012-03-20
Mahmoud Abbas	Consult	Abdullah Gül	2011-06-24
Mahmoud Abbas	Consult	Head of Government (Egypt)	2013-07-13
Mahmoud Abbas	Consult	Envoy (United States)	2013-09-17
Head of Government (Egypt)	Consult	Attorney General (Egypt)	2015-09-19
Head of Government (Egypt)	Consult	Royal Administration (Spain)	2015-04-30
Head of Government (Egypt)	Consult	Mahmoud Abbas	2014-10-12
Head of Government (Egypt)	Consult	Abdel Fattah Al-Sisi	2015-01-18
Head of Government (Egypt)	Consult	Haider Al-Abadi	2015-12-07
Head of Government (Egypt)	Consult	Nicos Anastasiades	2015-12-10
Head of Government (Egypt)	Consult	Kuwait	2015-01-06
Head of Government (Egypt)	Consult	Angela Merkel	2009-05-07
Head of Government (Egypt)	Consult	Nonaligned Movement	2009-07-16
Head of Government (Egypt)	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-09-23
Head of Government (Egypt)	Consult	Nabih Berri	2008-04-24
Head of Government (Egypt)	Consult	Benjamin Netanyahu	2014-06-07
Head of Government (Egypt)	Consult	Ministry (Iran)	2005-11-19
Head of Government (Egypt)	Consult	Benjamin Netanyahu	2012-11-19
Head of Government (Egypt)	Consult	Abdel Fattah Al-Sisi	2013-06-23
Head of Government (Egypt)	Consult	Company - Owner or Operator (Egypt)	2015-12-03
Head of Government (Egypt)	Consult	Health Ministry (Egypt)	2015-06-21
Head of Government (Egypt)	Consult	African Union	2008-07-01
Head of Government (Egypt)	Consult	Protester (Egypt)	2011-02-04
Head of Government (Egypt)	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-03-03
Head of Government (Egypt)	Consult	Lawyer/Attorney (Egypt)	2008-11-12
Head of Government (Egypt)	Consult	Abdel Fattah Al-Sisi	2015-06-28
Head of Government (Egypt)	Consult	Mahmoud Abbas	2014-08-23
Head of Government (Egypt)	Consult	Barack Obama	2015-04-01
Head of Government (Egypt)	Consult	Kuwait	2015-01-07
Ireland	Host a visit	Head of Government (India)	2015-09-22
Ireland	Host a visit	Barack Obama	2011-05-24
Ireland	Host a visit	Elizabeth II	2011-05-21
Ireland	Host a visit	Elizabeth II	2011-05-14
Ireland	Host a visit	France	2011-10-03
Ireland	Host a visit	Elizabeth II	2012-06-01
Ireland	Host a visit	Elizabeth II	2014-04-08
Ireland	Host a visit	Emperor Akihito	2005-05-14
Ireland	Host a visit	Activist (United States)	2006-04-20
Ireland	Host a visit	European Central Bank	2013-11-27
Ireland	Host a visit	Media Personnel (Japan)	2005-05-07
Ireland	Host a visit	Xi Jinping	2012-02-14
Ireland	Host a visit	United Arab Emirates	2007-04-26
Ireland	Host a visit	Elizabeth II	2010-06-23
Segolene Royal	Make a visit	Middle East	2006-12-01
Head of Government (Germany)	Engage in negotiation	Head of Government (India)	2015-10-05
Head of Government (Germany)	Engage in negotiation	Mahmoud Abbas	2007-04-01
Head of Government (Germany)	Engage in negotiation	Angela Merkel	2015-11-05
Citizen (Tanzania)	Physically assault	Party Member (Tanzania)	2012-02-27
Arjun Singh	Express intent to meet or negotiate	Meira Kumar	2006-10-13
Vietnam	Express intent to meet or negotiate	Benedict XVI	2007-01-19
Vietnam	Express intent to meet or negotiate	Thailand	2015-04-04
Vietnam	Express intent to meet or negotiate	Bertie Ahern	2008-03-12
Vietnam	Express intent to meet or negotiate	Japan	2007-10-26
Vietnam	Express intent to meet or negotiate	Laos	2010-03-29
Vietnam	Express intent to meet or negotiate	Thailand	2011-09-11
Vietnam	Express intent to meet or negotiate	Governor (Laos)	2007-08-28
Vietnam	Express intent to meet or negotiate	France	2008-11-05
Vietnam	Express intent to meet or negotiate	Japan	2011-10-27
Vietnam	Express intent to meet or negotiate	Laos	2007-04-25
Vietnam	Express intent to meet or negotiate	Cambodia	2008-03-28
Vietnam	Express intent to meet or negotiate	Laos	2005-11-01
Vietnam	Express intent to meet or negotiate	Thailand	2008-03-28
Vietnam	Express intent to meet or negotiate	Laos	2005-08-10
Vietnam	Express intent to meet or negotiate	Cambodia	2006-12-03
Vietnam	Express intent to meet or negotiate	Association of Southeast Asian Nations	2007-11-13
Fernando Gabeira	Make statement	Sérgio de Oliveira Cabral Santos Filho	2010-09-08
Okada Katsuya	Make a visit	South Korea	2010-02-08
Okada Katsuya	Make a visit	Sudan	2005-05-05
Okada Katsuya	Make a visit	South Korea	2010-02-10
Okada Katsuya	Make a visit	China	2010-12-06
Media (Africa)	Express intent to engage in diplomatic cooperation (such as policy support)	Muhammadu Buhari	2015-05-25
Head of Government (Nigeria)	Make pessimistic comment	Citizen (Nigeria)	2015-02-18
Head of Government (Nigeria)	Make pessimistic comment	Citizen (Nigeria)	2011-09-05
Head of Government (Nigeria)	Make pessimistic comment	Citizen (Nigeria)	2010-08-24
Head of Government (Nigeria)	Make pessimistic comment	Government (Nigeria)	2014-12-09
Thailand	Sign formal agreement	Laos	2007-12-28
Thailand	Sign formal agreement	Laos	2006-06-21
Thailand	Sign formal agreement	Cambodia	2010-10-30
Thailand	Sign formal agreement	China	2006-08-12
Thailand	Sign formal agreement	Cambodia	2009-11-10
Thailand	Sign formal agreement	Japan	2005-03-11
Thailand	Sign formal agreement	Cambodia	2008-07-03
Thailand	Sign formal agreement	South Korea	2005-12-08
Thailand	Sign formal agreement	Malaysia	2006-04-14
Thailand	Sign formal agreement	Laos	2007-03-26
Thailand	Sign formal agreement	Vietnam	2005-11-07
Thailand	Sign formal agreement	Malaysia	2005-10-26
Thailand	Sign formal agreement	Cambodia	2008-05-07
Thailand	Sign formal agreement	Cabinet / Council of Ministers / Advisors (Japan)	2007-04-05
Thailand	Sign formal agreement	China	2005-08-05
Thailand	Sign formal agreement	Laos	2007-08-29
Thailand	Sign formal agreement	Laos	2007-12-31
Thailand	Sign formal agreement	Military Personnel (Thailand)	2006-04-11
Thailand	Sign formal agreement	China	2015-07-25
Thailand	Sign formal agreement	Malaysia	2013-01-10
Thailand	Sign formal agreement	China	2009-06-25
Thailand	Sign formal agreement	China	2005-09-22
Thailand	Sign formal agreement	Vietnam	2009-06-12
Thailand	Sign formal agreement	Vietnam	2006-04-14
Thailand	Sign formal agreement	Cambodia	2010-11-18
Thailand	Sign formal agreement	China	2005-12-13
Thailand	Sign formal agreement	Japan	2005-09-06
Thailand	Sign formal agreement	Cambodia	2008-10-16
Thailand	Sign formal agreement	South Korea	2006-09-04
Thailand	Sign formal agreement	Cambodia	2015-12-19
Thailand	Sign formal agreement	China	2006-01-02
Thailand	Sign formal agreement	China	2014-12-25
Thailand	Sign formal agreement	Japan	2006-06-01
Thailand	Sign formal agreement	Qatar	2010-05-13
Member of Legislative (Govt) (South Korea)	Praise or endorse	Iran	2014-01-29
Member of Legislative (Govt) (South Korea)	Praise or endorse	Iran	2014-01-27
Joschka Fischer	Express intent to meet or negotiate	Jack Straw	2005-07-01
Joschka Fischer	Express intent to meet or negotiate	Middle East	2005-07-11
Joschka Fischer	Express intent to meet or negotiate	Head of Government (Sri Lanka)	2005-01-07
Joschka Fischer	Express intent to meet or negotiate	Portugal	2005-06-02
Joschka Fischer	Express intent to meet or negotiate	Middle East	2005-03-11
Joschka Fischer	Express intent to meet or negotiate	Opposition Supporter (Israel)	2005-03-11
Joschka Fischer	Express intent to meet or negotiate	Thailand	2005-01-08
China	Make statement	South Korea	2006-10-11
China	Make statement	Criminal (China)	2010-12-12
China	Make statement	Japan	2005-09-15
China	Make statement	Ministry (South Korea)	2008-07-23
China	Make statement	Japan	2013-12-21
China	Make statement	Iran	2011-01-04
China	Make statement	Iran	2006-03-20
China	Make statement	Ma Ying Jeou	2008-03-23
China	Make statement	Criminal (China)	2010-01-05
China	Make statement	Japan	2014-11-07
China	Make statement	Angola	2006-06-21
China	Make statement	William Ruto	2013-11-04
China	Make statement	South Korea	2006-01-05
China	Make statement	South Korea	2013-12-06
China	Make statement	Japan	2005-12-08
China	Make statement	Japan	2013-12-09
China	Make statement	Believer (China)	2008-12-05
China	Make statement	Lawmaker (Japan)	2005-04-17
China	Make statement	Association of Southeast Asian Nations	2008-10-24
China	Make statement	Portugal	2011-01-14
China	Make statement	Iran	2014-12-20
China	Make statement	Ai Weiwei	2011-06-23
China	Make statement	Bank (China)	2007-01-20
China	Make statement	Japan	2013-07-30
China	Make statement	Japan	2010-03-30
China	Make statement	Iran	2014-06-17
China	Make statement	Wang Yi	2013-12-20
China	Make statement	Separatist Militant (China)	2014-06-16
China	Make statement	Japan	2005-04-15
China	Make statement	Xi Jinping	2012-12-07
China	Make statement	Japan	2005-12-04
China	Make statement	Iran	2010-02-24
China	Make statement	Vietnam	2014-06-24
China	Make statement	South Korea	2011-07-15
China	Make statement	Japan	2015-03-21
China	Make statement	Vietnam	2009-09-30
China	Make statement	Japan	2010-10-21
China	Make statement	Vietnam	2010-09-05
China	Make statement	Japan	2014-06-12
China	Make statement	East Turkistan Islamic Movement	2011-08-24
China	Make statement	Media Personnel (China)	2012-02-11
China	Make statement	Barack Obama	2008-11-06
China	Make statement	Japan	2005-07-26
China	Make statement	Japan	2005-06-03
China	Make statement	South Korea	2007-09-22
China	Make statement	South Korea	2014-06-19
China	Make statement	Thailand	2013-05-10
China	Make statement	Japan	2015-10-25
China	Make statement	Iran	2007-09-28
China	Make statement	Iran	2009-04-17
China	Make statement	Xi Jinping	2013-09-06
China	Make statement	Japan	2013-04-26
China	Make statement	East Turkistan Islamic Movement	2007-01-09
China	Make statement	Vietnam	2007-02-09
China	Make statement	Japan	2007-12-03
China	Make statement	Iran	2011-09-15
China	Make statement	Fighter Bomber (China)	2010-08-20
China	Make statement	Japan	2015-07-21
China	Make statement	Japan	2012-09-20
China	Make statement	Japan	2007-03-08
China	Make statement	Japan	2010-01-08
China	Make statement	South Korea	2015-08-15
China	Make statement	Media Personnel (International)	2008-04-09
China	Make statement	Niger	2010-04-06
China	Make statement	Lee Myung Bak	2010-11-29
China	Make statement	Criminal (China)	2015-02-09
China	Make statement	Japan	2005-06-07
China	Make statement	Japan	2009-05-14
China	Make statement	Media Personnel (International)	2007-09-27
China	Make statement	Vietnam	2014-05-08
China	Make statement	Japan	2013-06-25
China	Make statement	Japan	2005-08-01
China	Make statement	South Korea	2005-05-25
China	Make statement	Media Personnel (International)	2009-02-09
China	Make statement	Japan	2013-08-29
China	Make statement	Criminal (China)	2015-07-20
Shaukat Aziz	Consult	Mikhail Yefimovich Fradkov	2005-10-26
Shaukat Aziz	Consult	UN Security Council	2007-01-18
Shaukat Aziz	Consult	Shivshankar Menon	2007-03-13
Shaukat Aziz	Consult	Pervez Musharraf	2006-11-14
Shaukat Aziz	Consult	Japan	2005-01-10
Shaukat Aziz	Consult	Lal Krishna Advani	2005-06-05
Shaukat Aziz	Consult	Shivshankar Menon	2007-03-14
Shaukat Aziz	Consult	Legislature (Pakistan)	2007-09-26
Shaukat Aziz	Consult	Iran	2005-02-24
Shaukat Aziz	Consult	Head of Government (India)	2005-06-06
Shaukat Aziz	Consult	Lal Krishna Advani	2005-05-31
South Korea	Express intent to meet or negotiate	Japan	2007-03-24
South Korea	Express intent to meet or negotiate	China	2008-11-24
South Korea	Express intent to meet or negotiate	China	2014-10-16
South Korea	Express intent to meet or negotiate	Japan	2015-11-10
South Korea	Express intent to meet or negotiate	China	2007-11-28
South Korea	Express intent to meet or negotiate	Japan	2011-06-28
South Korea	Express intent to meet or negotiate	China	2009-03-10
South Korea	Express intent to meet or negotiate	Japan	2007-02-11
South Korea	Express intent to meet or negotiate	China	2006-03-08
South Korea	Express intent to meet or negotiate	China	2006-12-07
South Korea	Express intent to meet or negotiate	Japan	2015-08-06
South Korea	Express intent to meet or negotiate	China	2014-06-28
South Korea	Express intent to meet or negotiate	Japan	2005-07-27
South Korea	Express intent to meet or negotiate	Japan	2008-03-11
South Korea	Express intent to meet or negotiate	China	2005-09-19
South Korea	Express intent to meet or negotiate	Japan	2013-01-30
South Korea	Express intent to meet or negotiate	Iran	2014-01-10
South Korea	Express intent to meet or negotiate	Business (South Korea)	2010-09-15
South Korea	Express intent to meet or negotiate	Japan	2015-12-11
South Korea	Express intent to meet or negotiate	Japan	2007-02-07
South Korea	Express intent to meet or negotiate	Japan	2005-07-06
South Korea	Express intent to meet or negotiate	China	2015-10-05
South Korea	Express intent to meet or negotiate	Japan	2013-01-16
South Korea	Express intent to meet or negotiate	China	2008-07-08
South Korea	Express intent to meet or negotiate	China	2005-10-26
South Korea	Express intent to meet or negotiate	Roh Moo Hyun	2005-04-08
South Korea	Express intent to meet or negotiate	China	2012-05-10
South Korea	Express intent to meet or negotiate	Japan	2012-10-11
South Korea	Express intent to meet or negotiate	Vietnam	2010-08-24
South Korea	Express intent to meet or negotiate	China	2008-11-02
South Korea	Express intent to meet or negotiate	China	2005-05-03
South Korea	Express intent to meet or negotiate	Lee Myung Bak	2009-05-18
South Korea	Express intent to meet or negotiate	Cabinet / Council of Ministers / Advisors (South Korea)	2005-02-27
South Korea	Express intent to meet or negotiate	Japan	2014-09-04
South Korea	Express intent to meet or negotiate	Japan	2014-05-12
South Korea	Express intent to meet or negotiate	Japan	2005-03-04
South Korea	Express intent to meet or negotiate	Japan	2012-11-18
South Korea	Express intent to meet or negotiate	Japan	2009-03-03
South Korea	Express intent to meet or negotiate	Japan	2005-08-25
South Korea	Express intent to meet or negotiate	Governor (Japan)	2015-01-15
South Korea	Express intent to meet or negotiate	China	2005-04-10
South Korea	Express intent to meet or negotiate	China	2006-12-06
South Korea	Express intent to meet or negotiate	Japan	2010-02-16
South Korea	Express intent to meet or negotiate	China	2012-05-02
South Korea	Express intent to meet or negotiate	Japan	2008-10-21
South Korea	Express intent to meet or negotiate	Japan	2013-11-05
South Korea	Express intent to meet or negotiate	Japan	2009-02-22
South Korea	Express intent to meet or negotiate	China	2013-02-20
South Korea	Express intent to meet or negotiate	Japan	2009-04-14
South Korea	Express intent to meet or negotiate	China	2008-10-06
South Korea	Express intent to meet or negotiate	China	2005-09-01
South Korea	Express intent to meet or negotiate	China	2011-05-19
South Korea	Express intent to meet or negotiate	Japan	2014-04-16
South Korea	Express intent to meet or negotiate	Iran	2014-03-02
South Korea	Express intent to meet or negotiate	Japan	2005-01-08
South Korea	Express intent to meet or negotiate	China	2010-02-16
South Korea	Express intent to meet or negotiate	Vietnam	2006-11-15
South Korea	Express intent to meet or negotiate	China	2006-09-23
South Korea	Express intent to meet or negotiate	Japan	2013-03-05
South Korea	Express intent to meet or negotiate	Japan	2007-10-09
South Korea	Express intent to meet or negotiate	Japan	2005-01-07
South Korea	Express intent to meet or negotiate	Japan	2014-10-16
South Korea	Express intent to meet or negotiate	Japan	2015-03-19
South Korea	Express intent to meet or negotiate	Iran	2014-05-02
South Korea	Express intent to meet or negotiate	China	2011-02-14
South Korea	Express intent to meet or negotiate	France	2007-03-15
South Korea	Express intent to meet or negotiate	Japan	2006-10-04
South Korea	Express intent to meet or negotiate	Japan	2010-05-01
South Korea	Express intent to meet or negotiate	Iran	2006-07-04
South Korea	Express intent to meet or negotiate	Citizen (North Korea)	2011-04-06
South Korea	Express intent to meet or negotiate	Japan	2005-12-01
South Korea	Express intent to meet or negotiate	Japan	2011-05-18
South Korea	Express intent to meet or negotiate	China	2012-12-13
South Korea	Express intent to meet or negotiate	Qatar	2012-02-01
South Korea	Express intent to meet or negotiate	China	2010-05-15
South Korea	Express intent to meet or negotiate	China	2010-10-18
South Korea	Express intent to meet or negotiate	China	2015-10-08
South Korea	Express intent to meet or negotiate	Roh Moo Hyun	2006-10-01
South Korea	Express intent to meet or negotiate	Japan	2007-09-05
South Korea	Express intent to meet or negotiate	China	2006-03-10
South Korea	Express intent to meet or negotiate	China	2006-06-12
South Korea	Express intent to meet or negotiate	Japan	2010-03-16
South Korea	Express intent to meet or negotiate	Kazakhstan	2007-10-05
South Korea	Express intent to meet or negotiate	China	2005-11-30
South Korea	Express intent to meet or negotiate	Thailand	2008-10-29
South Korea	Express intent to meet or negotiate	China	2015-10-09
South Korea	Express intent to meet or negotiate	China	2008-10-09
South Korea	Express intent to meet or negotiate	Yemen	2005-06-10
South Korea	Express intent to meet or negotiate	Japan	2009-03-12
South Korea	Express intent to meet or negotiate	China	2006-11-23
South Korea	Express intent to meet or negotiate	China	2011-06-08
South Korea	Express intent to meet or negotiate	Media Personnel (International)	2012-04-13
South Korea	Express intent to meet or negotiate	Japan	2008-11-19
South Korea	Express intent to meet or negotiate	China	2009-06-15
South Korea	Express intent to meet or negotiate	Japan	2007-07-17
South Korea	Express intent to meet or negotiate	China	2011-06-28
South Korea	Express intent to meet or negotiate	Japan	2007-04-26
South Korea	Express intent to meet or negotiate	Japan	2015-05-22
South Korea	Express intent to meet or negotiate	Association of Southeast Asian Nations	2006-12-08
South Korea	Express intent to meet or negotiate	China	2006-03-24
