relation i,Make statement,Consult,Make an appeal or request,Express intent to meet or negotiate,Host a visit,Make a visit,"Arrest, detain, or charge with legal action",Praise or endorse,Criticize or denounce,Accuse,Use unconventional violence,Use conventional military force,Engage in negotiation,Express intent to cooperate,Demand,Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,Sign formal agreement,Investigate,Discuss by telephone,Reject,fight with small arms and light weapons,Make optimistic comment,Threaten,Demonstrate or rally,"Abduct, hijack, or take hostage",Make pessimistic comment,Meet at a 'third' location,Engage in symbolic act,Appeal for diplomatic cooperation (such as policy support),"Return, release person(s)","Protest violently, riot",Provide humanitarian aid,Make empathetic comment,Use tactics of violent repression,Occupy territory,Physically assault,Reduce relations,Mobilize or increase armed forces,Deny responsibility,Provide aid,Ease administrative sanctions,Bring lawsuit against,Expel or deport individuals,Confiscate property,Impose administrative sanctions,Reduce or break diplomatic relations,Cooperate economically,Sexually assault,Complain officially,"Impose embargo, boycott, or sanctions",Cooperate militarily,Rally support on behalf of,Coerce,Yield,Express intent to cooperate economically,Express intent to provide military aid,"Reject proposal to meet, discuss, or negotiate",Threaten with military force,Consider policy option,Provide military aid,Employ aerial weapons,Engage in material cooperation,Kill by physical assault,Express accord,Express intent to provide material aid,Carry out suicide bombing,Appeal for intelligence,Provide economic aid,Express intent to provide economic aid,"Conduct suicide, car, or other non-military bombing",Rally opposition against,Demand diplomatic cooperation (such as policy support),Demand change in leadership,"Accuse of crime, corruption",Acknowledge or claim responsibility,Express intent to release persons or property,"Obstruct passage, block","Defy norms, law",Retreat or surrender militarily,"Reject plan, agreement to settle dispute",Impose restrictions on political freedoms,Express intent to settle dispute,Grant diplomatic recognition,Give ultimatum,Appeal for change in leadership,Express intent to provide humanitarian aid,Assassinate,Accuse of human rights abuses,Share intelligence or information,Refuse to yield,Appeal for de-escalation of military engagement,Apologize,Appeal to engage in or accept mediation,Conduct strike or boycott,fight with artillery and tanks,Express intent to de-escalate military engagement,Appeal for release of persons or property,Demonstrate military or police power,Torture,Appeal to others to meet or negotiate,Receive deployment of peacekeepers,"Investigate crime, corruption",Halt negotiations,Increase military alert status,Demonstrate for leadership change,Appeal for military aid,Defend verbally,Increase police alert status,Appeal for judicial cooperation,"Declare truce, ceasefire",Appeal for economic aid,Provide military protection or peacekeeping,Appeal for aid,Decline comment,"Ease economic sanctions, boycott, embargo","Appeal for change in institutions, regime","Impose blockade, restrict movement","Express intent to ease economic sanctions, boycott, or embargo",Appeal for economic cooperation,"Demand meeting, negotiation",Demand intelligence cooperation,Express intent to cooperate militarily,Express intent to mediate,Impose state of emergency or martial law,Demand de-escalation of military engagement,Appeal to others to settle dispute,Attempt to assassinate,"Return, release property",Appeal for material cooperation,Express intent to engage in material cooperation,Engage in judicial cooperation,Threaten non-force,Appeal for rights,Reduce or stop military assistance,"Demand change in institutions, regime",Express intent to accept mediation,Express intent to cooperate on intelligence,Appeal for humanitarian aid,Accuse of war crimes,Express intent to ease administrative sanctions,Accuse of aggression,Accede to demands for rights,"Threaten with sanctions, boycott, embargo",Express intent to provide military protection or peacekeeping,Veto,Demand settling of dispute,Threaten with repression,"Threaten with political dissent, protest",Demand release of persons or property,Violate ceasefire,Expel or withdraw peacekeepers,Refuse to de-escalate military engagement,"Refuse to ease economic sanctions, boycott, or embargo",Demand judicial cooperation,"Accede to demands for change in institutions, regime",Investigate human rights abuses,Conduct hunger strike,Demand mediation,Reject material cooperation,Receive inspectors,Demand material aid,Reject judicial cooperation,Threaten to halt negotiations,"Appeal for easing of economic sanctions, boycott, or embargo",Engage in mass expulsion
Use unconventional violence,0.007776049766718507,0.0010368066355624676,0.007776049766718507,0.003110419906687403,0.0,0.0,0.01866251944012442,0.0010368066355624676,0.002592016588906169,0.009849663037843442,0.0,0.12649040953862103,0.0,0.002592016588906169,0.002592016588906169,0.0,0.0,0.0010368066355624676,0.005702436495593572,0.0,0.0010368066355624676,0.012441679626749611,0.0005184033177812338,0.0005184033177812338,0.0,0.002592016588906169,0.0010368066355624676,0.0,0.0,0.0,0.0015552099533437014,0.0005184033177812338,0.0005184033177812338,0.0005184033177812338,0.0010368066355624676,0.0010368066355624676,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184033177812338,0.0010368066355624676,0.0010368066355624676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184033177812338,0.0010368066355624676,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010368066355624676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Use conventional military force,0.0072992700729927005,0.0006082725060827251,0.004866180048661801,0.0018248175182481751,0.0006082725060827251,0.0,0.0,0.0,0.006690997566909975,0.012165450121654502,0.14841849148418493,0.0,0.0006082725060827251,0.0006082725060827251,0.0018248175182481751,0.0,0.0006082725060827251,0.0006082725060827251,0.0,0.0,0.0,0.010340632603406326,0.0012165450121654502,0.0024330900243309003,0.0170316301703163,0.0024330900243309003,0.0006082725060827251,0.0,0.0006082725060827251,0.0,0.0006082725060827251,0.031630170316301706,0.0,0.0,0.0,0.0018248175182481751,0.0018248175182481751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012165450121654502,0.0,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0006082725060827251,0.0006082725060827251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012165450121654502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0006082725060827251,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006082725060827251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engage in negotiation,0.0414572864321608,0.18027638190954773,0.016959798994974875,0.062185929648241205,0.02135678391959799,0.019472361809045227,0.0,0.01256281407035176,0.00628140703517588,0.001256281407035176,0.0,0.000628140703517588,0.0,0.05778894472361809,0.008793969849246231,0.015703517587939697,0.00628140703517588,0.01821608040201005,0.001256281407035176,0.019472361809045227,0.00314070351758794,0.00314070351758794,0.0043969849246231155,0.001256281407035176,0.0018844221105527637,0.0,0.001256281407035176,0.02386934673366834,0.0018844221105527637,0.0018844221105527637,0.0,0.0018844221105527637,0.0,0.0,0.001256281407035176,0.0,0.000628140703517588,0.0,0.0,0.000628140703517588,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.001256281407035176,0.001256281407035176,0.0,0.0018844221105527637,0.000628140703517588,0.0,0.0,0.0,0.0,0.00314070351758794,0.0,0.0018844221105527637,0.000628140703517588,0.000628140703517588,0.0,0.0,0.0,0.0,0.0018844221105527637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001256281407035176,0.0,0.0043969849246231155,0.002512562814070352,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018844221105527637,0.0,0.0,0.000628140703517588,0.0,0.0,0.000628140703517588,0.001256281407035176,0.0,0.0,0.000628140703517588,0.0,0.0018844221105527637,0.0,0.0,0.002512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.001256281407035176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0
Express intent to cooperate,0.028458498023715414,0.1367588932806324,0.02292490118577075,0.04110671936758893,0.022134387351778657,0.014229249011857707,0.0015810276679841897,0.011857707509881422,0.013438735177865613,0.007905138339920948,0.003952569169960474,0.0007905138339920949,0.07272727272727272,0.0,0.005533596837944664,0.04901185770750988,0.028458498023715414,0.04426877470355731,0.0007905138339920949,0.045059288537549404,0.0031620553359683794,0.0023715415019762848,0.006324110671936759,0.0023715415019762848,0.0015810276679841897,0.0,0.0031620553359683794,0.019762845849802372,0.0015810276679841897,0.0015810276679841897,0.0,0.0007905138339920949,0.0007905138339920949,0.0007905138339920949,0.0015810276679841897,0.0,0.0007905138339920949,0.0,0.0007905138339920949,0.0,0.0007905138339920949,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0,0.0007905138339920949,0.0,0.0015810276679841897,0.0007905138339920949,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0015810276679841897,0.0007905138339920949,0.0023715415019762848,0.0,0.0007905138339920949,0.0,0.0,0.0007905138339920949,0.0007905138339920949,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023715415019762848,0.0,0.010276679841897233,0.0,0.0,0.0,0.0,0.0,0.0,0.0023715415019762848,0.0,0.0,0.0007905138339920949,0.0007905138339920949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023715415019762848,0.0,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0007905138339920949,0.0,0.0,0.0,0.0031620553359683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand,0.0078125,0.018229166666666668,0.014756944444444444,0.008680555555555556,0.0078125,0.0026041666666666665,0.008680555555555556,0.006076388888888889,0.013020833333333334,0.011284722222222222,0.004340277777777778,0.0026041666666666665,0.012152777777777778,0.006076388888888889,0.0,0.005208333333333333,0.0,0.0008680555555555555,0.0026041666666666665,0.003472222222222222,0.003472222222222222,0.001736111111111111,0.001736111111111111,0.0026041666666666665,0.0008680555555555555,0.0008680555555555555,0.001736111111111111,0.005208333333333333,0.0008680555555555555,0.0008680555555555555,0.001736111111111111,0.0008680555555555555,0.001736111111111111,0.0,0.0,0.0,0.001736111111111111,0.001736111111111111,0.0008680555555555555,0.0008680555555555555,0.0008680555555555555,0.0,0.0,0.0008680555555555555,0.0,0.0008680555555555555,0.0,0.0,0.0,0.0008680555555555555,0.0,0.0,0.0,0.0,0.001736111111111111,0.0,0.0008680555555555555,0.0008680555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008680555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008680555555555555,0.0,0.0008680555555555555,0.0008680555555555555,0.0,0.0,0.0008680555555555555,0.0,0.0,0.0,0.0,0.0008680555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008680555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),0.008960573476702509,0.05197132616487455,0.014336917562724014,0.01971326164874552,0.01971326164874552,0.017921146953405017,0.0008960573476702509,0.01971326164874552,0.007168458781362007,0.0035842293906810036,0.0,0.0,0.022401433691756272,0.05555555555555555,0.005376344086021506,0.0,0.02867383512544803,0.03494623655913978,0.0008960573476702509,0.012544802867383513,0.0035842293906810036,0.0,0.007168458781362007,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0017921146953405018,0.0008960573476702509,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0008960573476702509,0.0008960573476702509,0.0008960573476702509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008960573476702509,0.0,0.0,0.0,0.0008960573476702509,0.0,0.0017921146953405018,0.0,0.0008960573476702509,0.0,0.0008960573476702509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0035842293906810036,0.0,0.0008960573476702509,0.0008960573476702509,0.0,0.0,0.0008960573476702509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0008960573476702509,0.0008960573476702509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008960573476702509,0.0,0.0008960573476702509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engage in diplomatic cooperation,0.013686131386861315,0.024635036496350366,0.01551094890510949,0.029197080291970802,0.01916058394160584,0.016423357664233577,0.0,0.023722627737226276,0.009124087591240875,0.002737226277372263,0.0,0.0009124087591240876,0.009124087591240875,0.032846715328467155,0.0,0.029197080291970802,0.0,0.02645985401459854,0.0,0.0,0.006386861313868613,0.0,0.008211678832116789,0.0,0.0,0.0,0.0018248175182481751,0.0036496350364963502,0.0,0.002737226277372263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0009124087591240876,0.0,0.0009124087591240876,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0,0.0,0.0018248175182481751,0.0,0.0018248175182481751,0.0,0.0,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0,0.0009124087591240876,0.002737226277372263,0.0018248175182481751,0.0,0.0,0.0,0.0009124087591240876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009124087591240876,0.0,0.0,0.0,0.0,0.0,0.0018248175182481751,0.0,0.002737226277372263,0.0018248175182481751,0.0,0.0,0.0009124087591240876,0.0,0.0,0.0,0.0009124087591240876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018248175182481751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sign formal agreement,0.028089887640449437,0.06179775280898876,0.0046816479400749065,0.027153558052434457,0.015917602996254682,0.015917602996254682,0.0,0.014044943820224719,0.0046816479400749065,0.0056179775280898875,0.0018726591760299626,0.0009363295880149813,0.027153558052434457,0.052434456928838954,0.0009363295880149813,0.03651685393258427,0.027153558052434457,0.0,0.0,0.003745318352059925,0.0009363295880149813,0.0,0.0046816479400749065,0.0,0.0,0.0,0.0046816479400749065,0.00749063670411985,0.0,0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0009363295880149813,0.0,0.0009363295880149813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0056179775280898875,0.0,0.0009363295880149813,0.0009363295880149813,0.0,0.0,0.0,0.0009363295880149813,0.0028089887640449437,0.0,0.0,0.0,0.0018726591760299626,0.0009363295880149813,0.0009363295880149813,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0009363295880149813,0.0009363295880149813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018726591760299626,0.0,0.00749063670411985,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0009363295880149813,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investigate,0.006067961165048544,0.0024271844660194173,0.007281553398058253,0.0024271844660194173,0.007281553398058253,0.0012135922330097086,0.0,0.0036407766990291263,0.006067961165048544,0.00849514563106796,0.013349514563106795,0.0,0.0024271844660194173,0.0012135922330097086,0.0036407766990291263,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0012135922330097086,0.0,0.0048543689320388345,0.0048543689320388345,0.0,0.0012135922330097086,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024271844660194173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0
Discuss by telephone,0.031928480204342274,0.17496807151979565,0.02681992337164751,0.035759897828863345,0.0038314176245210726,0.001277139208173691,0.0,0.021711366538952746,0.001277139208173691,0.0,0.0,0.0,0.03959131545338442,0.07279693486590039,0.005108556832694764,0.017879948914431672,0.0,0.005108556832694764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006385696040868455,0.034482758620689655,0.001277139208173691,0.0038314176245210726,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006385696040868455,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002554278416347382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reject,0.01832460732984293,0.010471204188481676,0.03795811518324607,0.009162303664921465,0.002617801047120419,0.003926701570680628,0.0013089005235602095,0.0013089005235602095,0.01832460732984293,0.017015706806282723,0.002617801047120419,0.0,0.006544502617801047,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.009162303664921465,0.0013089005235602095,0.0013089005235602095,0.0,0.0,0.003926701570680628,0.002617801047120419,0.0,0.0013089005235602095,0.0013089005235602095,0.0013089005235602095,0.0,0.0,0.003926701570680628,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.003926701570680628,0.0,0.0013089005235602095,0.0013089005235602095,0.0,0.0,0.0,0.002617801047120419,0.0,0.0,0.003926701570680628,0.0013089005235602095,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.002617801047120419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0,0.0,0.0,0.0013089005235602095,0.0,0.0,0.0
fight with small arms and light weapons,0.014367816091954023,0.0028735632183908046,0.004310344827586207,0.0014367816091954023,0.005747126436781609,0.0014367816091954023,0.014367816091954023,0.0,0.008620689655172414,0.011494252873563218,0.034482758620689655,0.02442528735632184,0.007183908045977011,0.004310344827586207,0.0028735632183908046,0.0,0.0,0.0,0.0014367816091954023,0.0,0.004310344827586207,0.0,0.0,0.0028735632183908046,0.014367816091954023,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0028735632183908046,0.0,0.0,0.011494252873563218,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028735632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0028735632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Make optimistic comment,0.01892744479495268,0.022082018927444796,0.011041009463722398,0.012618296529968454,0.0473186119873817,0.012618296529968454,0.00473186119873817,0.00946372239747634,0.00473186119873817,0.0031545741324921135,0.0015772870662460567,0.0031545741324921135,0.011041009463722398,0.012618296529968454,0.0031545741324921135,0.012618296529968454,0.014195583596214511,0.007886435331230283,0.0,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0015772870662460567,0.0031545741324921135,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00473186119873817,0.0,0.0,0.0015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015772870662460567,0.0,0.0,0.0,0.0015772870662460567,0.0015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
