relation i,relation j,#temporal inverse,#rel_i,P one direction,P two direction
Host a visit,Cooperate economically,2,3424,0.0005841121495327102,0.0011296243998870376
Cooperate economically,Host a visit,2,117,0.017094017094017096,0.0011296243998870376
Host a visit,Provide humanitarian aid,1,3424,0.0002920560747663551,0.000544069640914037
Provide humanitarian aid,Host a visit,1,252,0.003968253968253968,0.000544069640914037
Host a visit,Appeal for release of persons or property,1,3424,0.0002920560747663551,0.0005790387955993051
Appeal for release of persons or property,Host a visit,1,30,0.03333333333333333,0.0005790387955993051
Host a visit,Provide aid,2,3424,0.0005841121495327102,0.0011166945840312675
Provide aid,Host a visit,2,158,0.012658227848101266,0.0011166945840312675
Host a visit,Appeal for change in leadership,0,3424,0.0,0.0
Appeal for change in leadership,Host a visit,0,49,0.0,0.0
Host a visit,Appeal for economic aid,1,3424,0.0002920560747663551,0.0005802146794313896
Appeal for economic aid,Host a visit,1,23,0.043478260869565216,0.0005802146794313896
Host a visit,Retreat or surrender militarily,0,3424,0.0,0.0
Retreat or surrender militarily,Host a visit,0,55,0.0,0.0
Host a visit,Rally support on behalf of,0,3424,0.0,0.0
Rally support on behalf of,Host a visit,0,96,0.0,0.0
Host a visit,Express intent to cooperate economically,3,3424,0.0008761682242990654,0.0017059994313335229
Express intent to cooperate economically,Host a visit,3,93,0.03225806451612903,0.0017059994313335229
Host a visit,Express intent to provide material aid,1,3424,0.0002920560747663551,0.0005712653527563553
Express intent to provide material aid,Host a visit,1,77,0.012987012987012988,0.0005712653527563553
Host a visit,Demand diplomatic cooperation (such as policy support),3,3424,0.0008761682242990654,0.0017191977077363897
Demand diplomatic cooperation (such as policy support),Host a visit,3,66,0.045454545454545456,0.0017191977077363897
Host a visit,Express intent to de-escalate military engagement,1,3424,0.0002920560747663551,0.0005788712011577424
Express intent to de-escalate military engagement,Host a visit,1,31,0.03225806451612903,0.0005788712011577424
Host a visit,Cooperate militarily,0,3424,0.0,0.0
Cooperate militarily,Host a visit,0,96,0.0,0.0
Host a visit,Express intent to settle dispute,5,3424,0.0014602803738317756,0.002875215641173088
Express intent to settle dispute,Host a visit,5,54,0.09259259259259259,0.002875215641173088
Host a visit,Express intent to engage in material cooperation,0,3424,0.0,0.0
Express intent to engage in material cooperation,Host a visit,0,10,0.0,0.0
Host a visit,Appeal for material cooperation,1,3424,0.0002920560747663551,0.0005824111822947001
Appeal for material cooperation,Host a visit,1,10,0.1,0.0005824111822947001
Host a visit,Engage in judicial cooperation,0,3424,0.0,0.0
Engage in judicial cooperation,Host a visit,0,10,0.0,0.0
Host a visit,Assassinate,0,3424,0.0,0.0
Assassinate,Host a visit,0,44,0.0,0.0
Host a visit,Accuse of war crimes,0,3424,0.0,0.0
Accuse of war crimes,Host a visit,0,7,0.0,0.0
Host a visit,Appeal to engage in or accept mediation,0,3424,0.0,0.0
Appeal to engage in or accept mediation,Host a visit,0,33,0.0,0.0
Host a visit,Appeal for intelligence,1,3424,0.0002920560747663551,0.0005715918833952558
Appeal for intelligence,Host a visit,1,75,0.013333333333333334,0.0005715918833952558
Host a visit,Impose administrative sanctions,1,3424,0.0002920560747663551,0.000562271577171774
Impose administrative sanctions,Host a visit,1,133,0.007518796992481203,0.000562271577171774
Host a visit,"Demand meeting, negotiation",0,3424,0.0,0.0
"Demand meeting, negotiation",Host a visit,0,15,0.0,0.0
Host a visit,Grant diplomatic recognition,0,3424,0.0,0.0
Grant diplomatic recognition,Host a visit,0,53,0.0,0.0
Host a visit,Appeal for aid,2,3424,0.0005841121495327102,0.0011607661056297156
Appeal for aid,Host a visit,2,22,0.09090909090909091,0.0011607661056297156
Host a visit,Express intent to provide humanitarian aid,0,3424,0.0,0.0
Express intent to provide humanitarian aid,Host a visit,0,48,0.0,0.0
Host a visit,Carry out suicide bombing,0,3424,0.0,0.0
Carry out suicide bombing,Host a visit,0,76,0.0,0.0
Host a visit,Mobilize or increase armed forces,5,3424,0.0014602803738317756,0.0027831895352073478
Mobilize or increase armed forces,Host a visit,5,169,0.029585798816568046,0.0027831895352073478
Host a visit,Apologize,1,3424,0.0002920560747663551,0.0005785363031530228
Apologize,Host a visit,1,33,0.030303030303030304,0.0005785363031530228
Host a visit,Attempt to assassinate,0,3424,0.0,0.0
Attempt to assassinate,Host a visit,0,11,0.0,0.0
Host a visit,Yield,1,3424,0.0002920560747663551,0.0005686664771111743
Yield,Host a visit,1,93,0.010752688172043012,0.0005686664771111743
Host a visit,Appeal for economic cooperation,0,3424,0.0,0.0
Appeal for economic cooperation,Host a visit,0,15,0.0,0.0
Host a visit,Employ aerial weapons,0,3424,0.0,0.0
Employ aerial weapons,Host a visit,0,86,0.0,0.0
Host a visit,Accede to demands for rights,0,3424,0.0,0.0
Accede to demands for rights,Host a visit,0,6,0.0,0.0
Host a visit,Appeal for rights,0,3424,0.0,0.0
Appeal for rights,Host a visit,0,9,0.0,0.0
Host a visit,Appeal for military aid,0,3424,0.0,0.0
Appeal for military aid,Host a visit,0,26,0.0,0.0
Host a visit,Accuse of human rights abuses,0,3424,0.0,0.0
Accuse of human rights abuses,Host a visit,0,39,0.0,0.0
Host a visit,Demand material aid,0,3424,0.0,0.0
Demand material aid,Host a visit,0,1,0.0,0.0
Host a visit,Appeal to others to settle dispute,1,3424,0.0002920560747663551,0.0005820721769499418
Appeal to others to settle dispute,Host a visit,1,12,0.08333333333333333,0.0005820721769499418
Host a visit,Express intent to cooperate militarily,2,3424,0.0005841121495327102,0.0011634671320535194
Express intent to cooperate militarily,Host a visit,2,14,0.14285714285714285,0.0011634671320535194
Host a visit,"Threaten with sanctions, boycott, embargo",0,3424,0.0,0.0
"Threaten with sanctions, boycott, embargo",Host a visit,0,6,0.0,0.0
Host a visit,Share intelligence or information,0,3424,0.0,0.0
Share intelligence or information,Host a visit,0,38,0.0,0.0
Host a visit,Ease administrative sanctions,0,3424,0.0,0.0
Ease administrative sanctions,Host a visit,0,146,0.0,0.0
Host a visit,Veto,0,3424,0.0,0.0
Veto,Host a visit,0,6,0.0,0.0
Host a visit,Acknowledge or claim responsibility,0,3424,0.0,0.0
Acknowledge or claim responsibility,Host a visit,0,62,0.0,0.0
Host a visit,Appeal to others to meet or negotiate,0,3424,0.0,0.0
Appeal to others to meet or negotiate,Host a visit,0,28,0.0,0.0
Host a visit,Demand release of persons or property,0,3424,0.0,0.0
Demand release of persons or property,Host a visit,0,5,0.0,0.0
Host a visit,Express intent to provide military protection or peacekeeping,0,3424,0.0,0.0
Express intent to provide military protection or peacekeeping,Host a visit,0,6,0.0,0.0
Host a visit,"Express intent to ease economic sanctions, boycott, or embargo",2,3424,0.0005841121495327102,0.0011621150493898896
"Express intent to ease economic sanctions, boycott, or embargo",Host a visit,2,18,0.1111111111111111,0.0011621150493898896
Host a visit,Appeal for judicial cooperation,0,3424,0.0,0.0
Appeal for judicial cooperation,Host a visit,0,23,0.0,0.0
Host a visit,Refuse to de-escalate military engagement,0,3424,0.0,0.0
Refuse to de-escalate military engagement,Host a visit,0,4,0.0,0.0
Host a visit,"Impose blockade, restrict movement",0,3424,0.0,0.0
"Impose blockade, restrict movement",Host a visit,0,18,0.0,0.0
Host a visit,Threaten with repression,0,3424,0.0,0.0
Threaten with repression,Host a visit,0,5,0.0,0.0
Host a visit,Impose state of emergency or martial law,0,3424,0.0,0.0
Impose state of emergency or martial law,Host a visit,0,12,0.0,0.0
Host a visit,Increase military alert status,0,3424,0.0,0.0
Increase military alert status,Host a visit,0,27,0.0,0.0
Host a visit,Provide military aid,4,3424,0.0011682242990654205,0.002277904328018223
Provide military aid,Host a visit,4,88,0.045454545454545456,0.002277904328018223
Host a visit,Demonstrate military or police power,0,3424,0.0,0.0
Demonstrate military or police power,Host a visit,0,30,0.0,0.0
Host a visit,Demand judicial cooperation,0,3424,0.0,0.0
Demand judicial cooperation,Host a visit,0,4,0.0,0.0
Host a visit,Express intent to provide military aid,1,3424,0.0002920560747663551,0.0005688282138794084
Express intent to provide military aid,Host a visit,1,92,0.010869565217391304,0.0005688282138794084
Host a visit,Threaten non-force,0,3424,0.0,0.0
Threaten non-force,Host a visit,0,10,0.0,0.0
Host a visit,Conduct strike or boycott,0,3424,0.0,0.0
Conduct strike or boycott,Host a visit,0,32,0.0,0.0
Host a visit,Expel or withdraw peacekeepers,0,3424,0.0,0.0
Expel or withdraw peacekeepers,Host a visit,0,4,0.0,0.0
Host a visit,"Demand change in institutions, regime",1,3424,0.0002920560747663551,0.0005827505827505828
"Demand change in institutions, regime",Host a visit,1,8,0.125,0.0005827505827505828
Host a visit,"Accede to demands for change in institutions, regime",1,3424,0.0002920560747663551,0.0005836008170411438
"Accede to demands for change in institutions, regime",Host a visit,1,3,0.3333333333333333,0.0005836008170411438
Host a visit,"Appeal for easing of economic sanctions, boycott, or embargo",0,3424,0.0,0.0
"Appeal for easing of economic sanctions, boycott, or embargo",Host a visit,0,1,0.0,0.0
Host a visit,Express intent to mediate,0,3424,0.0,0.0
Express intent to mediate,Host a visit,0,14,0.0,0.0
Host a visit,Decline comment,0,3424,0.0,0.0
Decline comment,Host a visit,0,22,0.0,0.0
Host a visit,"Refuse to ease economic sanctions, boycott, or embargo",0,3424,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo",Host a visit,0,4,0.0,0.0
Host a visit,Reject judicial cooperation,0,3424,0.0,0.0
Reject judicial cooperation,Host a visit,0,1,0.0,0.0
Host a visit,"Return, release property",0,3424,0.0,0.0
"Return, release property",Host a visit,0,10,0.0,0.0
Host a visit,Express intent to accept mediation,1,3424,0.0002920560747663551,0.0005827505827505828
Express intent to accept mediation,Host a visit,1,8,0.125,0.0005827505827505828
Host a visit,Accuse of aggression,0,3424,0.0,0.0
Accuse of aggression,Host a visit,0,7,0.0,0.0
Host a visit,Investigate human rights abuses,0,3424,0.0,0.0
Investigate human rights abuses,Host a visit,0,3,0.0,0.0
Host a visit,"Accuse of crime, corruption",0,3424,0.0,0.0
"Accuse of crime, corruption",Host a visit,0,64,0.0,0.0
Host a visit,Demonstrate for leadership change,0,3424,0.0,0.0
Demonstrate for leadership change,Host a visit,0,27,0.0,0.0
Host a visit,Demand change in leadership,0,3424,0.0,0.0
Demand change in leadership,Host a visit,0,64,0.0,0.0
Host a visit,Reject material cooperation,0,3424,0.0,0.0
Reject material cooperation,Host a visit,0,3,0.0,0.0
Host a visit,"Investigate crime, corruption",0,3424,0.0,0.0
"Investigate crime, corruption",Host a visit,0,28,0.0,0.0
Host a visit,"Appeal for change in institutions, regime",0,3424,0.0,0.0
"Appeal for change in institutions, regime",Host a visit,0,20,0.0,0.0
Host a visit,Express intent to ease administrative sanctions,0,3424,0.0,0.0
Express intent to ease administrative sanctions,Host a visit,0,7,0.0,0.0
Host a visit,Receive inspectors,0,3424,0.0,0.0
Receive inspectors,Host a visit,0,2,0.0,0.0
Host a visit,Increase police alert status,0,3424,0.0,0.0
Increase police alert status,Host a visit,0,25,0.0,0.0
Host a visit,Defend verbally,0,3424,0.0,0.0
Defend verbally,Host a visit,0,25,0.0,0.0
Host a visit,Threaten to halt negotiations,0,3424,0.0,0.0
Threaten to halt negotiations,Host a visit,0,1,0.0,0.0
Host a visit,Reduce or stop military assistance,0,3424,0.0,0.0
Reduce or stop military assistance,Host a visit,0,8,0.0,0.0
Host a visit,Demand settling of dispute,0,3424,0.0,0.0
Demand settling of dispute,Host a visit,0,5,0.0,0.0
Host a visit,Conduct hunger strike,0,3424,0.0,0.0
Conduct hunger strike,Host a visit,0,3,0.0,0.0
Host a visit,Demand intelligence cooperation,0,3424,0.0,0.0
Demand intelligence cooperation,Host a visit,0,15,0.0,0.0
Host a visit,Demand mediation,0,3424,0.0,0.0
Demand mediation,Host a visit,0,3,0.0,0.0
Host a visit,Express intent to cooperate on intelligence,0,3424,0.0,0.0
Express intent to cooperate on intelligence,Host a visit,0,8,0.0,0.0
Deny responsibility,Criticize or denounce,7,168,0.041666666666666664,0.005439005439005439
Criticize or denounce,Deny responsibility,7,2406,0.0029093931837073984,0.005439005439005439
Deny responsibility,Receive deployment of peacekeepers,0,168,0.0,0.0
Receive deployment of peacekeepers,Deny responsibility,0,28,0.0,0.0
Deny responsibility,Make a visit,1,168,0.005952380952380952,0.0005614823133071309
Make a visit,Deny responsibility,1,3394,0.0002946375957572186,0.0005614823133071309
Deny responsibility,Engage in diplomatic cooperation,0,168,0.0,0.0
Engage in diplomatic cooperation,Deny responsibility,0,1096,0.0,0.0
Deny responsibility,Provide military protection or peacekeeping,0,168,0.0,0.0
Provide military protection or peacekeeping,Deny responsibility,0,23,0.0,0.0
Deny responsibility,Express intent to engage in diplomatic cooperation (such as policy support),1,168,0.005952380952380952,0.001557632398753894
Express intent to engage in diplomatic cooperation (such as policy support),Deny responsibility,1,1116,0.0008960573476702509,0.001557632398753894
Deny responsibility,Express intent to meet or negotiate,0,168,0.0,0.0
Express intent to meet or negotiate,Deny responsibility,0,4077,0.0,0.0
Deny responsibility,Make statement,4,168,0.023809523809523808,0.0006254886630179827
Make statement,Deny responsibility,4,12622,0.00031690698779908097,0.0006254886630179827
Deny responsibility,Consult,3,168,0.017857142857142856,0.00072992700729927
Consult,Deny responsibility,3,8052,0.00037257824143070045,0.00072992700729927
Deny responsibility,Engage in negotiation,1,168,0.005952380952380952,0.0011363636363636363
Engage in negotiation,Deny responsibility,1,1592,0.000628140703517588,0.0011363636363636363
Deny responsibility,Make pessimistic comment,0,168,0.0,0.0
Make pessimistic comment,Deny responsibility,0,448,0.0,0.0
Deny responsibility,Make an appeal or request,1,168,0.005952380952380952,0.000385579332947754
Make an appeal or request,Deny responsibility,1,5019,0.00019924287706714485,0.000385579332947754
Deny responsibility,Use tactics of violent repression,0,168,0.0,0.0
Use tactics of violent repression,Deny responsibility,0,217,0.0,0.0
Deny responsibility,"Protest violently, riot",0,168,0.0,0.0
"Protest violently, riot",Deny responsibility,0,276,0.0,0.0
Deny responsibility,Use conventional military force,0,168,0.0,0.0
Use conventional military force,Deny responsibility,0,1644,0.0,0.0
Deny responsibility,Reject,3,168,0.017857142857142856,0.006437768240343348
Reject,Deny responsibility,3,764,0.003926701570680628,0.006437768240343348
Deny responsibility,Demonstrate or rally,0,168,0.0,0.0
Demonstrate or rally,Deny responsibility,0,503,0.0,0.0
Deny responsibility,Use unconventional violence,0,168,0.0,0.0
Use unconventional violence,Deny responsibility,0,1929,0.0,0.0
Deny responsibility,Occupy territory,0,168,0.0,0.0
Occupy territory,Deny responsibility,0,208,0.0,0.0
Deny responsibility,Praise or endorse,0,168,0.0,0.0
Praise or endorse,Deny responsibility,0,2912,0.0,0.0
Deny responsibility,"Threaten with political dissent, protest",0,168,0.0,0.0
"Threaten with political dissent, protest",Deny responsibility,0,5,0.0,0.0
Deny responsibility,Demand,1,168,0.005952380952380952,0.0015151515151515152
Demand,Deny responsibility,1,1152,0.0008680555555555555,0.0015151515151515152
Deny responsibility,Accuse,6,168,0.03571428571428571,0.005274725274725275
Accuse,Deny responsibility,6,2107,0.0028476506881822496,0.005274725274725275
Deny responsibility,Discuss by telephone,0,168,0.0,0.0
Discuss by telephone,Deny responsibility,0,783,0.0,0.0
Deny responsibility,Reduce or break diplomatic relations,0,168,0.0,0.0
Reduce or break diplomatic relations,Deny responsibility,0,132,0.0,0.0
Deny responsibility,"Arrest, detain, or charge with legal action",1,168,0.005952380952380952,0.0005932957579353308
"Arrest, detain, or charge with legal action",Deny responsibility,1,3203,0.00031220730565095225,0.0005932957579353308
Deny responsibility,Make empathetic comment,0,168,0.0,0.0
Make empathetic comment,Deny responsibility,0,232,0.0,0.0
Deny responsibility,Sexually assault,0,168,0.0,0.0
Sexually assault,Deny responsibility,0,112,0.0,0.0
Deny responsibility,Express intent to cooperate,0,168,0.0,0.0
Express intent to cooperate,Deny responsibility,0,1265,0.0,0.0
Deny responsibility,Appeal for diplomatic cooperation (such as policy support),0,168,0.0,0.0
Appeal for diplomatic cooperation (such as policy support),Deny responsibility,0,380,0.0,0.0
Deny responsibility,"Defy norms, law",0,168,0.0,0.0
"Defy norms, law",Deny responsibility,0,57,0.0,0.0
Deny responsibility,Threaten,0,168,0.0,0.0
Threaten,Deny responsibility,0,545,0.0,0.0
Deny responsibility,Threaten with military force,0,168,0.0,0.0
Threaten with military force,Deny responsibility,0,91,0.0,0.0
Deny responsibility,"Ease economic sanctions, boycott, embargo",0,168,0.0,0.0
"Ease economic sanctions, boycott, embargo",Deny responsibility,0,21,0.0,0.0
Deny responsibility,Kill by physical assault,0,168,0.0,0.0
Kill by physical assault,Deny responsibility,0,80,0.0,0.0
Deny responsibility,"Impose embargo, boycott, or sanctions",0,168,0.0,0.0
"Impose embargo, boycott, or sanctions",Deny responsibility,0,98,0.0,0.0
Deny responsibility,Make optimistic comment,0,168,0.0,0.0
Make optimistic comment,Deny responsibility,0,634,0.0,0.0
Deny responsibility,"Reject proposal to meet, discuss, or negotiate",0,168,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Deny responsibility,0,92,0.0,0.0
Deny responsibility,Appeal for de-escalation of military engagement,0,168,0.0,0.0
Appeal for de-escalation of military engagement,Deny responsibility,0,34,0.0,0.0
Deny responsibility,Sign formal agreement,0,168,0.0,0.0
Sign formal agreement,Deny responsibility,0,1068,0.0,0.0
Deny responsibility,Meet at a 'third' location,0,168,0.0,0.0
Meet at a 'third' location,Deny responsibility,0,434,0.0,0.0
Deny responsibility,Express intent to provide economic aid,0,168,0.0,0.0
