relation i,Make statement,Consult,Make an appeal or request,Express intent to meet or negotiate,Host a visit,Make a visit,"Arrest, detain, or charge with legal action",Praise or endorse,Criticize or denounce,Accuse,Use unconventional violence,Use conventional military force,Engage in negotiation,Express intent to cooperate,Demand,Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,Sign formal agreement,Investigate,Discuss by telephone,Reject,fight with small arms and light weapons,Make optimistic comment,Threaten,Demonstrate or rally,"Abduct, hijack, or take hostage",Make pessimistic comment,Meet at a 'third' location,Engage in symbolic act,Appeal for diplomatic cooperation (such as policy support),"Return, release person(s)","Protest violently, riot",Provide humanitarian aid,Make empathetic comment,Use tactics of violent repression,Occupy territory,Physically assault,Reduce relations,Mobilize or increase armed forces,Deny responsibility,Provide aid,Ease administrative sanctions,Bring lawsuit against,Expel or deport individuals,Confiscate property,Impose administrative sanctions,Reduce or break diplomatic relations,Cooperate economically,Sexually assault,Complain officially,"Impose embargo, boycott, or sanctions",Cooperate militarily,Rally support on behalf of,Coerce,Express intent to cooperate economically,Yield,"Reject proposal to meet, discuss, or negotiate",Express intent to provide military aid,Threaten with military force,Consider policy option,Provide military aid,Employ aerial weapons,Engage in material cooperation,Kill by physical assault,Express accord,Express intent to provide material aid,Carry out suicide bombing,Appeal for intelligence,Provide economic aid,Express intent to provide economic aid,"Conduct suicide, car, or other non-military bombing",Rally opposition against,Demand diplomatic cooperation (such as policy support),Demand change in leadership,"Accuse of crime, corruption",Acknowledge or claim responsibility,Express intent to release persons or property,"Obstruct passage, block","Defy norms, law",Retreat or surrender militarily,"Reject plan, agreement to settle dispute",Express intent to settle dispute,Impose restrictions on political freedoms,Grant diplomatic recognition,Give ultimatum,Appeal for change in leadership,Express intent to provide humanitarian aid,Assassinate,Accuse of human rights abuses,Share intelligence or information,Refuse to yield,Appeal for de-escalation of military engagement,Appeal to engage in or accept mediation,Apologize,Conduct strike or boycott,fight with artillery and tanks,Express intent to de-escalate military engagement,Appeal for release of persons or property,Torture,Demonstrate military or police power,"Investigate crime, corruption",Receive deployment of peacekeepers,Appeal to others to meet or negotiate,Increase military alert status,Halt negotiations,Demonstrate for leadership change,Appeal for military aid,Mobilize or increase police power,Defend verbally,Increase police alert status,Provide military protection or peacekeeping,Appeal for economic aid,"Declare truce, ceasefire",Appeal for judicial cooperation,Appeal for aid,Decline comment,"Ease economic sanctions, boycott, embargo","Appeal for change in institutions, regime",Refuse to release persons or property,"Express intent to ease economic sanctions, boycott, or embargo","Impose blockade, restrict movement",Appeal for economic cooperation,Mediate,"Demand meeting, negotiation",Express intent to cooperate militarily,"Accuse of espionage, treason",Express intent to mediate,Appeal for easing of administrative sanctions,Impose state of emergency or martial law,Appeal to others to settle dispute,Demand de-escalation of military engagement,Engage in mass killings,Attempt to assassinate,Appeal for material cooperation,Demand economic aid,"Return, release property",Demand material cooperation,Appeal for rights,Seize or damage property,Express intent to accept mediation,Reduce or stop military assistance,Express intent to cooperate on intelligence,"Demand change in institutions, regime",Refuse to ease administrative sanctions,Demand that target yields,Accuse of war crimes,Accuse of aggression,Express intent to ease administrative sanctions,Appeal for humanitarian aid,"Threaten with sanctions, boycott, embargo",Accede to demands for rights,Express intent to provide military protection or peacekeeping,"Threaten with political dissent, protest",Demand settling of dispute,Demand release of persons or property,Demand judicial cooperation,Violate ceasefire,Expel or withdraw peacekeepers,Refuse to de-escalate military engagement,"Refuse to ease economic sanctions, boycott, or embargo",Reduce or stop humanitarian assistance,Destroy property,Reject military cooperation,Ease military blockade,Investigate human rights abuses,"Accede to demands for change in institutions, regime",Demand policy change,Reject economic cooperation,Express intent to change policy,Accede to demands for change in policy,Threaten to halt negotiations,Appeal for military protection or peacekeeping,Expel or withdraw,"Appeal for easing of economic sanctions, boycott, or embargo",Carry out car bombing,Express intent to institute political reform,Demand material aid,Threaten to halt mediation,Reject judicial cooperation,Use as human shield,Engage in violent protest for rights
Demonstrate or rally,0.02186878727634195,0.0019880715705765406,0.015904572564612324,0.003976143141153081,0.0,0.0,0.0,0.005964214711729622,0.007952286282306162,0.015904572564612324,0.0019880715705765406,0.0019880715705765406,0.0019880715705765406,0.0019880715705765406,0.007952286282306162,0.0,0.0,0.0,0.0,0.0,0.005964214711729622,0.0,0.0,0.003976143141153081,0.0,0.0,0.0,0.0,0.003976143141153081,0.0,0.0019880715705765406,0.1272365805168986,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.015904572564612324,0.007952286282306162,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003976143141153081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abduct, hijack, or take hostage",0.006211180124223602,0.0,0.002070393374741201,0.002070393374741201,0.0,0.0,0.014492753623188406,0.0,0.002070393374741201,0.006211180124223602,0.043478260869565216,0.07867494824016563,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.004140786749482402,0.0,0.0,0.024844720496894408,0.0,0.010351966873706004,0.0,0.0,0.004140786749482402,0.0,0.002070393374741201,0.0,0.012422360248447204,0.0,0.004140786749482402,0.0,0.002070393374741201,0.004140786749482402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004140786749482402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.006211180124223602,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Make pessimistic comment,0.04017857142857143,0.015625,0.04241071428571429,0.008928571428571428,0.008928571428571428,0.015625,0.006696428571428571,0.006696428571428571,0.05803571428571429,0.011160714285714286,0.002232142857142857,0.006696428571428571,0.004464285714285714,0.013392857142857142,0.011160714285714286,0.0,0.006696428571428571,0.008928571428571428,0.002232142857142857,0.013392857142857142,0.006696428571428571,0.002232142857142857,0.004464285714285714,0.004464285714285714,0.0,0.004464285714285714,0.0,0.002232142857142857,0.0,0.004464285714285714,0.0,0.0,0.002232142857142857,0.002232142857142857,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.002232142857142857,0.004464285714285714,0.002232142857142857,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.002232142857142857,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meet at a 'third' location,0.04838709677419355,0.27419354838709675,0.01152073732718894,0.11059907834101383,0.0069124423963133645,0.013824884792626729,0.0,0.013824884792626729,0.004608294930875576,0.0,0.0,0.0,0.08294930875576037,0.055299539170506916,0.009216589861751152,0.002304147465437788,0.013824884792626729,0.018433179723502304,0.002304147465437788,0.06451612903225806,0.0,0.0,0.004608294930875576,0.002304147465437788,0.0,0.0,0.002304147465437788,0.0,0.002304147465437788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002304147465437788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engage in symbolic act,0.009389671361502348,0.03755868544600939,0.01643192488262911,0.014084507042253521,0.0,0.018779342723004695,0.002347417840375587,0.02112676056338028,0.0,0.002347417840375587,0.002347417840375587,0.0,0.004694835680751174,0.009389671361502348,0.004694835680751174,0.002347417840375587,0.0,0.0,0.002347417840375587,0.002347417840375587,0.0,0.002347417840375587,0.0,0.002347417840375587,0.004694835680751174,0.002347417840375587,0.0,0.002347417840375587,0.0,0.009389671361502348,0.0,0.0,0.0,0.002347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002347417840375587,0.002347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appeal for diplomatic cooperation (such as policy support),0.042105263157894736,0.021052631578947368,0.09473684210526316,0.015789473684210527,0.005263157894736842,0.013157894736842105,0.013157894736842105,0.007894736842105263,0.02631578947368421,0.015789473684210527,0.005263157894736842,0.0,0.007894736842105263,0.018421052631578946,0.02631578947368421,0.013157894736842105,0.005263157894736842,0.0,0.0,0.007894736842105263,0.002631578947368421,0.0,0.013157894736842105,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0,0.010526315789473684,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0
"Return, release person(s)",0.008403361344537815,0.0028011204481792717,0.03081232492997199,0.0028011204481792717,0.0028011204481792717,0.0,0.06722689075630252,0.0,0.0196078431372549,0.028011204481792718,0.011204481792717087,0.014005602240896359,0.0056022408963585435,0.0,0.011204481792717087,0.0028011204481792717,0.0196078431372549,0.0,0.022408963585434174,0.0,0.01680672268907563,0.008403361344537815,0.0,0.0028011204481792717,0.0028011204481792717,0.01680672268907563,0.0,0.0,0.0,0.0056022408963585435,0.0,0.0028011204481792717,0.0028011204481792717,0.0,0.0056022408963585435,0.0,0.0,0.0,0.0,0.0,0.0,0.011204481792717087,0.0,0.0056022408963585435,0.0,0.0,0.0028011204481792717,0.0,0.0056022408963585435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056022408963585435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011204481792717087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Protest violently, riot",0.018115942028985508,0.0036231884057971015,0.007246376811594203,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.03260869565217391,0.0036231884057971015,0.007246376811594203,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0036231884057971015,0.0,0.007246376811594203,0.2318840579710145,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.018115942028985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Provide humanitarian aid,0.007936507936507936,0.003968253968253968,0.011904761904761904,0.0,0.0,0.003968253968253968,0.03571428571428571,0.0,0.011904761904761904,0.011904761904761904,0.003968253968253968,0.007936507936507936,0.0,0.011904761904761904,0.0,0.003968253968253968,0.0,0.0,0.003968253968253968,0.0,0.007936507936507936,0.0,0.003968253968253968,0.003968253968253968,0.0,0.007936507936507936,0.003968253968253968,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Make empathetic comment,0.04310344827586207,0.004310344827586207,0.03017241379310345,0.008620689655172414,0.0,0.008620689655172414,0.008620689655172414,0.02586206896551724,0.01293103448275862,0.004310344827586207,0.0,0.004310344827586207,0.0,0.004310344827586207,0.004310344827586207,0.0,0.004310344827586207,0.0,0.0,0.004310344827586207,0.004310344827586207,0.008620689655172414,0.0,0.004310344827586207,0.0,0.0,0.004310344827586207,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Use tactics of violent repression,0.059907834101382486,0.013824884792626729,0.02304147465437788,0.0,0.0,0.0,0.041474654377880185,0.004608294930875576,0.009216589861751152,0.013824884792626729,0.0,0.14746543778801843,0.009216589861751152,0.004608294930875576,0.013824884792626729,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.041474654377880185,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.009216589861751152,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.009216589861751152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Occupy territory,0.004807692307692308,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0625,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.004807692307692308,0.0,0.009615384615384616,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014423076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Physically assault,0.005235602094240838,0.005235602094240838,0.02617801047120419,0.015706806282722512,0.0,0.0,0.02617801047120419,0.0,0.015706806282722512,0.010471204188481676,0.06282722513089005,0.03664921465968586,0.005235602094240838,0.0,0.005235602094240838,0.0,0.0,0.005235602094240838,0.010471204188481676,0.0,0.0,0.02617801047120419,0.0,0.005235602094240838,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03664921465968586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010471204188481676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
