head,relation,tail,time
Aam Aadmi Party,Make statement,Election Commission (India),2014-04-12
Aam Aadmi Party,Make statement,Governor (India),2014-08-30
Aam Aadmi Party,Make statement,Governor (India),2014-08-29
Aam Aadmi Party,Make an appeal or request,Governor (India),2014-02-26
Aam Aadmi Party,Consult,Governor (India),2014-05-16
Aam Aadmi Party,Appeal to engage in or accept mediation,Governor (India),2014-12-17
Aam Aadmi Party,Praise or endorse,Religion (India),2014-12-10
Aam Aadmi Party,Consult,Religion (India),2014-12-10
Abdel Fattah Al-Sisi,Consult,Adel Labib,2014-08-19
Abdel Fattah Al-Sisi,Consult,Adel Labib,2014-09-02
Abdel Fattah Al-Sisi,Make statement,Adli Mansour,2014-01-26
Abdel Fattah Al-Sisi,Make statement,Adli Mansour,2014-01-27
Abdel Fattah Al-Sisi,Consult,Adli Mansour,2014-06-09
Abdel Fattah Al-Sisi,Make statement,African Union,2014-06-27
Abdel Fattah Al-Sisi,Express intent to engage in diplomatic cooperation (such as policy support),African Union,2014-06-27
Abdel Fattah Al-Sisi,Discuss by telephone,Angela Merkel,2014-09-09
Abdel Fattah Al-Sisi,Discuss by telephone,Angela Merkel,2014-09-08
Abdel Fattah Al-Sisi,Consult,Antonis Samaras,2014-11-07
Abdel Fattah Al-Sisi,Consult,Antonis Samaras,2014-11-08
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Antonis Samaras,2014-11-07
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-01-11
Abdel Fattah Al-Sisi,Sign formal agreement,Army Personnel (Egypt),2014-06-08
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-06-09
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-05-13
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-05-12
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-06-08
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-03-04
Abdel Fattah Al-Sisi,Praise or endorse,Army Personnel (Egypt),2014-06-09
Abdel Fattah Al-Sisi,Praise or endorse,Barack Obama,2014-06-10
Abdel Fattah Al-Sisi,Engage in negotiation,Barack Obama,2014-09-29
Abdel Fattah Al-Sisi,Discuss by telephone,Barack Obama,2014-06-11
Abdel Fattah Al-Sisi,Consult,Barack Obama,2014-06-23
Abdel Fattah Al-Sisi,Consult,Barack Obama,2014-06-10
Abdel Fattah Al-Sisi,Discuss by telephone,Barack Obama,2014-06-10
Abdel Fattah Al-Sisi,Make an appeal or request,Barack Obama,2014-09-23
Abdel Fattah Al-Sisi,Consult,Barack Obama,2014-12-18
Abdel Fattah Al-Sisi,Consult,Barack Obama,2014-06-22
Abdel Fattah Al-Sisi,Consult,Barack Obama,2014-09-25
Abdel Fattah Al-Sisi,Consult,Barack Obama,2014-09-26
Abdel Fattah Al-Sisi,Consult,Benjamin Netanyahu,2014-06-06
Abdel Fattah Al-Sisi,Praise or endorse,Benjamin Netanyahu,2014-06-06
Abdel Fattah Al-Sisi,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-10-13
Abdel Fattah Al-Sisi,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-09-15
Abdel Fattah Al-Sisi,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-07-22
Abdel Fattah Al-Sisi,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-07
Abdel Fattah Al-Sisi,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-06
Abdel Fattah Al-Sisi,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-06-22
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,China,2014-12-23
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,China,2014-12-09
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-17
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-26
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,China,2014-12-15
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-29
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-31
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,China,2014-12-18
Abdel Fattah Al-Sisi,Sign formal agreement,China,2014-12-24
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-08
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,China,2014-12-22
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-20
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-18
Abdel Fattah Al-Sisi,Make statement,China,2014-12-29
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-23
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-25
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-07
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-24
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-22
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,China,2014-12-08
Abdel Fattah Al-Sisi,Host a visit,Congress (United States),2014-01-20
Abdel Fattah Al-Sisi,Consult,Congress (United States),2014-08-17
Abdel Fattah Al-Sisi,Consult,Congress (United States),2014-08-18
Abdel Fattah Al-Sisi,Accede to demands for change in leadership,Defense / Security Ministry (Egypt),2014-03-27
Abdel Fattah Al-Sisi,Consult,Defense / Security Ministry (Egypt),2014-11-07
Abdel Fattah Al-Sisi,Make statement,Defense / Security Ministry (Egypt),2014-03-30
Abdel Fattah Al-Sisi,Host a visit,Dimitrios Avramopoulos,2014-05-02
Abdel Fattah Al-Sisi,Host a visit,Dimitrios Avramopoulos,2014-04-29
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Education (Egypt),2014-09-08
Abdel Fattah Al-Sisi,Consult,Education (Egypt),2014-03-09
Abdel Fattah Al-Sisi,Make statement,Egyptian Army,2014-03-12
Abdel Fattah Al-Sisi,Make statement,Egyptian Army,2014-10-29
Abdel Fattah Al-Sisi,Make statement,Egyptian Army,2014-05-13
Abdel Fattah Al-Sisi,Make statement,Egyptian Army,2014-10-28
Abdel Fattah Al-Sisi,Consult,Envoy (Qatar),2014-12-20
Abdel Fattah Al-Sisi,Host a visit,Envoy (Qatar),2014-12-22
Abdel Fattah Al-Sisi,Consult,Envoy (Qatar),2014-12-22
Abdel Fattah Al-Sisi,Consult,Envoy (Qatar),2014-12-21
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Ethiopia,2014-06-24
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Ethiopia,2014-06-30
Abdel Fattah Al-Sisi,Make a visit,Ethiopia,2014-09-08
Abdel Fattah Al-Sisi,Express intent to settle dispute,Ethiopia,2014-06-24
Abdel Fattah Al-Sisi,Praise or endorse,Ethiopia,2014-09-24
Abdel Fattah Al-Sisi,Consult,Federica Mogherini,2014-07-21
Abdel Fattah Al-Sisi,Meet at a 'third' location,Federica Mogherini,2014-07-20
Abdel Fattah Al-Sisi,Consult,Foreign Affairs (United States),2014-07-22
Abdel Fattah Al-Sisi,Engage in negotiation,Foreign Affairs (United States),2014-09-14
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-22
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-25
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-21
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-24
Abdel Fattah Al-Sisi,Consult,France,2014-11-21
Abdel Fattah Al-Sisi,Meet at a 'third' location,France,2014-11-27
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,France,2014-11-21
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-23
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-28
Abdel Fattah Al-Sisi,Consult,France,2014-09-16
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-27
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-26
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,François Hollande,2014-11-24
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,François Hollande,2014-11-25
Abdel Fattah Al-Sisi,Consult,François Hollande,2014-11-27
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,François Hollande,2014-11-26
Abdel Fattah Al-Sisi,Express intent to cooperate,François Hollande,2014-11-27
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,François Hollande,2014-11-27
Abdel Fattah Al-Sisi,Consult,Giorgio Napolitano,2014-11-25
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Giorgio Napolitano,2014-11-25
Abdel Fattah Al-Sisi,Engage in negotiation,Giorgio Napolitano,2014-11-24
Abdel Fattah Al-Sisi,Make statement,Government (United States),2014-08-18
Abdel Fattah Al-Sisi,Make statement,Government (United States),2014-08-17
Abdel Fattah Al-Sisi,Praise or endorse,Hamdeen Sabahi,2014-06-04
Abdel Fattah Al-Sisi,Make statement,Hamdeen Sabahi,2014-04-01
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Head of Government (China),2014-12-24
Abdel Fattah Al-Sisi,Consult,Head of Government (China),2014-12-24
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Head of Government (China),2014-12-21
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Head of Government (China),2014-12-26
Abdel Fattah Al-Sisi,Express intent to engage in diplomatic cooperation (such as policy support),Head of Government (Egypt),2014-06-17
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-10-29
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-10-20
Abdel Fattah Al-Sisi,Praise or endorse,Head of Government (Egypt),2014-03-14
Abdel Fattah Al-Sisi,Engage in negotiation,Head of Government (Egypt),2014-06-20
Abdel Fattah Al-Sisi,Praise or endorse,Head of Government (Egypt),2014-01-20
Abdel Fattah Al-Sisi,Consult,Head of Government (Egypt),2014-09-02
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-07-08
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-06-25
Abdel Fattah Al-Sisi,Criticize or denounce,Head of Government (Egypt),2014-05-15
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-01-27
Abdel Fattah Al-Sisi,Praise or endorse,Head of Government (Egypt),2014-08-11
Abdel Fattah Al-Sisi,Make optimistic comment,Head of Government (Egypt),2014-06-25
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-11-24
Abdel Fattah Al-Sisi,Make statement,Head of Government (Egypt),2014-01-16
Abdel Fattah Al-Sisi,Consult,Head of Government (Ethiopia),2014-06-30
Abdel Fattah Al-Sisi,Consult,Head of Government (Ethiopia),2014-08-25
Abdel Fattah Al-Sisi,Praise or endorse,Head of Government (Ethiopia),2014-09-24
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-07-22
Abdel Fattah Al-Sisi,Meet at a 'third' location,John Kerry,2014-09-13
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-07-23
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-06-25
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-06-23
Abdel Fattah Al-Sisi,Engage in negotiation,John Kerry,2014-06-22
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-09-13
Abdel Fattah Al-Sisi,Host a visit,John Kerry,2014-06-23
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-06-22
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-09-14
Abdel Fattah Al-Sisi,Make a visit,John Kerry,2014-09-13
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Legislature (Libya),2014-08-25
Abdel Fattah Al-Sisi,Make an appeal or request,Legislature (Libya),2014-08-25
Abdel Fattah Al-Sisi,Consult,Ministry (Egypt),2014-07-21
Abdel Fattah Al-Sisi,Express intent to engage in diplomatic cooperation (such as policy support),Ministry (Egypt),2014-06-17
Abdel Fattah Al-Sisi,Consult,Ministry (Egypt),2014-09-02
Abdel Fattah Al-Sisi,Consult,Ministry (Egypt),2014-10-26
Abdel Fattah Al-Sisi,Make an appeal or request,Ministry (Egypt),2014-07-08
Abdel Fattah Al-Sisi,Engage in negotiation,Ministry (Egypt),2014-09-16
Abdel Fattah Al-Sisi,Make an appeal or request,Ministry (Egypt),2014-09-08
Abdel Fattah Al-Sisi,Make statement,Ministry (Egypt),2014-10-26
Abdel Fattah Al-Sisi,Host a visit,National Assembly of Kuwait,2014-06-16
Abdel Fattah Al-Sisi,Make an appeal or request,National Assembly of Kuwait,2014-06-16
Abdel Fattah Al-Sisi,Yield,News Editor (Egypt),2014-07-06
Abdel Fattah Al-Sisi,Consult,News Editor (Egypt),2014-05-08
Abdel Fattah Al-Sisi,Threaten,News Editor (Egypt),2014-05-08
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Nicos Anastasiades,2014-11-07
Abdel Fattah Al-Sisi,Consult,Nicos Anastasiades,2014-11-07
Abdel Fattah Al-Sisi,Meet at a 'third' location,Nicos Anastasiades,2014-11-09
Abdel Fattah Al-Sisi,Engage in diplomatic cooperation,Other Authorities / Officials (Egypt),2014-08-25
Abdel Fattah Al-Sisi,Make optimistic comment,Other Authorities / Officials (Egypt),2014-06-25
Abdel Fattah Al-Sisi,Make statement,Other Authorities / Officials (Egypt),2014-06-24
Abdel Fattah Al-Sisi,Criticize or denounce,Other Authorities / Officials (Egypt),2014-05-28
Abdel Fattah Al-Sisi,Make optimistic comment,Other Authorities / Officials (Egypt),2014-06-24
Abdel Fattah Al-Sisi,Consult,Peter Greste,2014-09-29
Abdel Fattah Al-Sisi,Consider policy option,Peter Greste,2014-11-21
Abdel Fattah Al-Sisi,Demand,Police (Egypt),2014-06-10
Abdel Fattah Al-Sisi,Make statement,Police (Egypt),2014-01-11
Abdel Fattah Al-Sisi,Praise or endorse,Police (Egypt),2014-06-10
Abdel Fattah Al-Sisi,Make a visit,Pope Francis,2014-11-24
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Pope Francis,2014-11-21
Abdel Fattah Al-Sisi,Consult,Pope Francis,2014-11-24
Abdel Fattah Al-Sisi,Make a visit,Sudan,2014-06-28
Abdel Fattah Al-Sisi,Consult,Sudan,2014-11-21
Abdel Fattah Al-Sisi,Make a visit,Sudan,2014-06-27
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Sudan,2014-06-30
Abdel Fattah Al-Sisi,Make a visit,Sudan,2014-06-30
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Sudan,2014-06-27
Abdel Fattah Al-Sisi,Make a visit,Sudan,2014-07-08
Abdel Fattah Al-Sisi,Make statement,Sudan,2014-10-23
Abdel Fattah Al-Sisi,Engage in negotiation,Tony Blair,2014-07-16
Abdel Fattah Al-Sisi,Engage in negotiation,Tony Blair,2014-07-12
Abdel Fattah Al-Sisi,Engage in negotiation,Tony Blair,2014-07-17
Abdel Fattah Al-Sisi,Host a visit,Tony Blair,2014-09-08
Abdel Fattah Al-Sisi,Praise or endorse,Umar al Bashir,2014-10-20
Abdel Fattah Al-Sisi,Host a visit,Umar al Bashir,2014-10-20
Abdel Fattah Al-Sisi,Halt negotiations,Umar al Bashir,2014-06-27
Abdel Fattah Al-Sisi,Consult,Umar al Bashir,2014-10-19
Abdel Fattah Al-Sisi,Praise or endorse,United Arab Emirates,2014-03-12
Abdel Fattah Al-Sisi,Consult,United Arab Emirates,2014-11-14
Abdel Fattah Al-Sisi,Consult,United Arab Emirates,2014-03-12
Abdel Fattah Al-Sisi,Make an appeal or request,Xi Jinping,2014-12-24
Abdel Fattah Al-Sisi,Engage in negotiation,Xi Jinping,2014-12-29
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Xi Jinping,2014-12-22
Abdelilah Benkirane,Host a visit,Head of Government (Chad),2014-10-23
Abdelilah Benkirane,Praise or endorse,Head of Government (Chad),2014-10-23
Abdelilah Benkirane,Make statement,Morocco,2014-12-02
Abdelilah Benkirane,Make statement,Morocco,2014-05-15
Abdelilah Benkirane,Make statement,Morocco,2014-09-25
Abdelilah Benkirane,Make statement,Morocco,2014-08-15
Abdelilah Benkirane,Make statement,Morocco,2014-11-25
Abdelilah Benkirane,Host a visit,Royal Administration (Spain),2014-07-16
Abdelilah Benkirane,Praise or endorse,Royal Administration (Spain),2014-07-16
Abdelilah Benkirane,Consult,Yu Zhengsheng,2014-11-04
Abdelilah Benkirane,Consult,Yu Zhengsheng,2014-11-06
Abdelkader Messahel,Consult,Defense / Security Ministry (United States),2014-12-10
Abdelkader Messahel,Consult,Defense / Security Ministry (United States),2014-12-09
Abdelkader Messahel,Consult,Foreign Affairs (Libya),2014-11-01
Abdelkader Messahel,Consult,Foreign Affairs (Libya),2014-12-05
Abdirahman Ducaale Bayle,Engage in negotiation,Khaled Bahah,2014-11-25
Abdirahman Ducaale Bayle,Consult,Khaled Bahah,2014-11-27
Abdiweli Shaykh Ahmad,Praise or endorse,Ethiopia,2014-02-15
Abdiweli Shaykh Ahmad,Make a visit,Ethiopia,2014-02-14
Abdiweli Shaykh Ahmad,Appeal for economic cooperation,Indigenous People (Somalia),2014-02-20
Abdiweli Shaykh Ahmad,Appeal for diplomatic cooperation (such as policy support),Indigenous People (Somalia),2014-11-26
Abdiweli Shaykh Ahmad,Consult,Indigenous People (Somalia),2014-02-20
Abdiweli Sheikh Ahmed,Make statement,Cabinet / Council of Ministers / Advisors (Somalia),2014-01-27
Abdiweli Sheikh Ahmed,Make statement,Cabinet / Council of Ministers / Advisors (Somalia),2014-04-22
Abdiweli Sheikh Ahmed,Make a visit,Djibouti,2014-02-18
Abdiweli Sheikh Ahmed,Make a visit,Djibouti,2014-02-17
Abdiweli Sheikh Ahmed,Make a visit,Ethiopia,2014-03-13
Abdiweli Sheikh Ahmed,Make a visit,Ethiopia,2014-02-17
Abdiweli Sheikh Ahmed,Make a visit,Ethiopia,2014-08-26
Abdiweli Sheikh Ahmed,Make a visit,Ethiopia,2014-08-25
Abdiweli Sheikh Ahmed,Praise or endorse,Ethiopia,2014-06-13
Abdiweli Sheikh Ahmed,Make an appeal or request,Government (Kenya),2014-04-29
Abdiweli Sheikh Ahmed,Praise or endorse,Government (Kenya),2014-06-19
Abdiweli Sheikh Ahmed,Consult,Pierre Nkurunziza,2014-10-21
Abdiweli Sheikh Ahmed,Consult,Pierre Nkurunziza,2014-10-16
Abdolreza Rahmani-Fazli,Demand,Government (Pakistan),2014-04-07
Abdolreza Rahmani-Fazli,Demand,Government (Pakistan),2014-04-08
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,High Commission for Refugees,2014-06-16
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,High Commission for Refugees,2014-06-19
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,High Commission for Refugees,2014-06-15
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,High Commission for Refugees,2014-06-14
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,High Commission for Refugees,2014-06-18
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-24
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-08-21
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-02-20
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-09-08
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-04-07
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-04-03
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-02-18
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-09-15
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-04-02
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-06
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-01
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-25
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-09
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-08-26
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-04-01
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-08
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-02-17
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-23
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-15
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-12-28
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-30
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-08-19
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-04-21
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-11-17
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-29
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-09-10
Abdolreza Rahmani-Fazli,Make a visit,Iran,2014-08-30
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-04-04
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-28
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-12-30
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-26
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-18
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-05-05
Abdolreza Rahmani-Fazli,Criticize or denounce,Iran,2014-09-09
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-08
Abdolreza Rahmani-Fazli,Make statement,Iraq,2014-12-28
Abdolreza Rahmani-Fazli,Make statement,Iraq,2014-12-30
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,Mamnoon Hussain,2014-05-03
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,Mamnoon Hussain,2014-05-05
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,Mamnoon Hussain,2014-05-06
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,Tajikistan,2014-09-09
Abdolreza Rahmani-Fazli,Express intent to meet or negotiate,Tajikistan,2014-09-07
Abdoulaye Wade,Appeal for change in leadership,Macky Sall,2014-06-26
Abdoulaye Wade,"Accuse of crime, corruption",Macky Sall,2014-11-04
Abdoulaye Wade,Reject,Macky Sall,2014-11-21
Abdoulaye Wade,Accuse,Macky Sall,2014-04-25
Abdul Aziz,Make statement,Abdel Fattah Al-Sisi,2014-01-12
Abdul Aziz,Make an appeal or request,Abdel Fattah Al-Sisi,2014-12-01
Abdul Aziz,Host a visit,China,2014-03-13
Abdul Aziz,Make a visit,China,2014-03-13
Abdul Aziz,Acknowledge or claim responsibility,Malaysia,2014-03-15
Abdul Aziz,Make a visit,Malaysia,2014-02-12
Abdul Hamid,Make statement,Bangladesh Nationalist Party,2014-01-02
Abdul Hamid,Make an appeal or request,Bangladesh Nationalist Party,2014-01-30
Abdul Kalam,Make an appeal or request,Citizen (India),2014-10-07
Abdul Kalam,Make optimistic comment,Citizen (India),2014-10-07
Abdul'aziz Abubakar Yari,Make statement,Government (Nigeria),2014-02-07
Abdul'aziz Abubakar Yari,Praise or endorse,Government (Nigeria),2014-05-15
Abdulla Yameen,Make statement,Maldives,2014-01-12
Abdulla Yameen,Make statement,Maldives,2014-12-01
Abdulla Yameen,Consult,Xi Jinping,2014-09-16
Abdulla Yameen,Praise or endorse,Xi Jinping,2014-09-14
Abdulla Yameen,Host a visit,Xi Jinping,2014-09-14
Abdullah Abdullah,Make statement,Afghanistan,2014-11-21
Abdullah Abdullah,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-11-20
Abdullah Abdullah,Make an appeal or request,Afghanistan,2014-06-14
Abdullah Abdullah,Threaten,Afghanistan,2014-09-22
Abdullah Abdullah,Make pessimistic comment,Afghanistan,2014-06-24
Abdullah Abdullah,Consult,Afghanistan,2014-11-06
Abdullah Abdullah,Make statement,Afghanistan,2014-08-21
Abdullah Abdullah,Make statement,Afghanistan,2014-05-21
Abdullah Abdullah,Make statement,Afghanistan,2014-09-25
Abdullah Abdullah,Make a visit,Afghanistan,2014-02-20
Abdullah Abdullah,Make a visit,Afghanistan,2014-08-04
Abdullah Abdullah,Express intent to cooperate,Afghanistan,2014-07-13
Abdullah Abdullah,Make statement,Afghanistan,2014-08-09
Abdullah Abdullah,Make statement,Afghanistan,2014-10-02
Abdullah Abdullah,Make statement,Afghanistan,2014-07-06
Abdullah Abdullah,Make a visit,Afghanistan,2014-03-31
Abdullah Abdullah,Make statement,Afghanistan,2014-09-08
Abdullah Abdullah,Make a visit,Afghanistan,2014-07-17
Abdullah Abdullah,Criticize or denounce,Afghanistan,2014-02-02
Abdullah Abdullah,Make a visit,Afghanistan,2014-05-24
Abdullah Abdullah,Make statement,Afghanistan,2014-09-29
Abdullah Abdullah,Make statement,Afghanistan,2014-06-18
Abdullah Abdullah,Make optimistic comment,Afghanistan,2014-05-29
Abdullah Abdullah,Consult,Afghanistan,2014-12-21
Abdullah Abdullah,Make statement,Afghanistan,2014-05-25
Abdullah Abdullah,Make statement,Afghanistan,2014-07-09
Abdullah Abdullah,Make statement,Afghanistan,2014-07-15
Abdullah Abdullah,Make a visit,Afghanistan,2014-03-28
Abdullah Abdullah,Make an appeal or request,Afghanistan,2014-07-08
Abdullah Abdullah,Make statement,Afghanistan,2014-09-30
Abdullah Abdullah,Make statement,Afghanistan,2014-06-21
Abdullah Abdullah,Make statement,Afghanistan,2014-03-03
Abdullah Abdullah,Criticize or denounce,Afghanistan,2014-07-20
Abdullah Abdullah,Make a visit,Afghanistan,2014-11-27
Abdullah Abdullah,Make an appeal or request,Afghanistan,2014-05-22
Abdullah Abdullah,Make a visit,Afghanistan,2014-07-06
Abdullah Abdullah,Accuse,Afghanistan,2014-09-10
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-12-01
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai,2014-07-16
