relation i,relation j,#evolve,#rel_i,P one direction,P two direction
Appeal to engage in or accept mediation,Reject,2,33,0.06060606060606061,0.010037641154328732
Reject,Praise or endorse,63,764,0.0824607329842932,0.03346028291621327
Praise or endorse,Reject,60,2912,0.020604395604395604,0.03346028291621327
Reject,Express intent to engage in diplomatic cooperation (such as policy support),77,764,0.10078534031413612,0.07287234042553191
Express intent to engage in diplomatic cooperation (such as policy support),Reject,60,1116,0.053763440860215055,0.07287234042553191
Reject,Discuss by telephone,5,764,0.006544502617801047,0.009696186166774402
Discuss by telephone,Reject,10,783,0.01277139208173691,0.009696186166774402
Reject,Meet at a 'third' location,24,764,0.031413612565445025,0.0333889816360601
Meet at a 'third' location,Reject,16,434,0.03686635944700461,0.0333889816360601
Reject,Host a visit,58,764,0.07591623036649214,0.02889207258834766
Host a visit,Reject,63,3424,0.018399532710280372,0.02889207258834766
Reject,Make a visit,64,764,0.08376963350785341,0.03150553150553151
Make a visit,Reject,67,3394,0.019740718915733646,0.03150553150553151
Reject,Accede to demands for change in leadership,0,764,0.0,0.0037831021437578815
Accede to demands for change in leadership,Reject,3,29,0.10344827586206896,0.0037831021437578815
Reject,Express intent to settle dispute,26,764,0.034031413612565446,0.03667481662591687
Express intent to settle dispute,Reject,4,54,0.07407407407407407,0.03667481662591687
Reject,Express intent to cooperate,104,764,0.13612565445026178,0.10004928536224741
Express intent to cooperate,Reject,99,1265,0.0782608695652174,0.10004928536224741
Reject,Make optimistic comment,79,764,0.10340314136125654,0.08941344778254649
Make optimistic comment,Reject,46,634,0.07255520504731862,0.08941344778254649
Reject,Yield,6,764,0.007853403141361256,0.014002333722287048
Yield,Reject,6,93,0.06451612903225806,0.014002333722287048
Reject,Consider policy option,27,764,0.03534031413612566,0.03981264637002342
Consider policy option,Reject,7,90,0.07777777777777778,0.03981264637002342
Reject,Halt negotiations,9,764,0.011780104712041885,0.01390644753476612
Halt negotiations,Reject,2,27,0.07407407407407407,0.01390644753476612
Reject,Appeal for economic cooperation,2,764,0.002617801047120419,0.005134788189987163
Appeal for economic cooperation,Reject,2,15,0.13333333333333333,0.005134788189987163
Reject,Appeal for diplomatic cooperation (such as policy support),57,764,0.07460732984293193,0.09090909090909091
Appeal for diplomatic cooperation (such as policy support),Reject,47,380,0.12368421052631579,0.09090909090909091
Reject,Appeal for change in leadership,1,764,0.0013089005235602095,0.007380073800738007
Appeal for change in leadership,Reject,5,49,0.10204081632653061,0.007380073800738007
Reject,Acknowledge or claim responsibility,2,764,0.002617801047120419,0.002421307506053269
Acknowledge or claim responsibility,Reject,0,62,0.0,0.002421307506053269
Reject,Make pessimistic comment,81,764,0.10602094240837696,0.11138613861386139
Make pessimistic comment,Reject,54,448,0.12053571428571429,0.11138613861386139
Reject,Conduct strike or boycott,0,764,0.0,0.0037688442211055275
Conduct strike or boycott,Reject,3,32,0.09375,0.0037688442211055275
Reject,"Declare truce, ceasefire",3,764,0.003926701570680628,0.005082592121982211
"Declare truce, ceasefire",Reject,1,23,0.043478260869565216,0.005082592121982211
Reject,Reduce or break diplomatic relations,4,764,0.005235602094240838,0.008928571428571428
Reduce or break diplomatic relations,Reject,4,132,0.030303030303030304,0.008928571428571428
Reject,Demonstrate or rally,23,764,0.030104712041884817,0.0473559589581689
Demonstrate or rally,Reject,37,503,0.073558648111332,0.0473559589581689
Reject,Appeal for intelligence,15,764,0.01963350785340314,0.033373063170441
Appeal for intelligence,Reject,13,75,0.17333333333333334,0.033373063170441
Reject,Expel or withdraw peacekeepers,0,764,0.0,0.0
Expel or withdraw peacekeepers,Reject,0,4,0.0,0.0
Reject,"Impose embargo, boycott, or sanctions",1,764,0.0013089005235602095,0.00580046403712297
"Impose embargo, boycott, or sanctions",Reject,4,98,0.04081632653061224,0.00580046403712297
Reject,"Reject plan, agreement to settle dispute",38,764,0.049738219895287955,0.06471306471306472
"Reject plan, agreement to settle dispute",Reject,15,55,0.2727272727272727,0.06471306471306472
Reject,Appeal to others to meet or negotiate,4,764,0.005235602094240838,0.007575757575757576
Appeal to others to meet or negotiate,Reject,2,28,0.07142857142857142,0.007575757575757576
Reject,Make empathetic comment,25,764,0.032722513089005235,0.0391566265060241
Make empathetic comment,Reject,14,232,0.0603448275862069,0.0391566265060241
Reject,Demand change in leadership,2,764,0.002617801047120419,0.00966183574879227
Demand change in leadership,Reject,6,64,0.09375,0.00966183574879227
Reject,Bring lawsuit against,16,764,0.020942408376963352,0.037527593818984545
Bring lawsuit against,Reject,18,142,0.1267605633802817,0.037527593818984545
Reject,Occupy territory,20,764,0.02617801047120419,0.0257201646090535
Occupy territory,Reject,5,208,0.02403846153846154,0.0257201646090535
Reject,Use unconventional violence,26,764,0.034031413612565446,0.025621982918678055
Use unconventional violence,Reject,43,1929,0.022291342664593053,0.025621982918678055
Reject,"Return, release person(s)",73,764,0.09554973821989529,0.11953612845673506
"Return, release person(s)",Reject,61,357,0.17086834733893558,0.11953612845673506
Reject,fight with small arms and light weapons,37,764,0.04842931937172775,0.05
fight with small arms and light weapons,Reject,36,696,0.05172413793103448,0.05
Reject,Threaten with military force,17,764,0.02225130890052356,0.026900584795321637
Threaten with military force,Reject,6,91,0.06593406593406594,0.026900584795321637
Reject,"Abduct, hijack, or take hostage",8,764,0.010471204188481676,0.008821170809943865
"Abduct, hijack, or take hostage",Reject,3,483,0.006211180124223602,0.008821170809943865
Reject,Demand de-escalation of military engagement,0,764,0.0,0.0
Demand de-escalation of military engagement,Reject,0,12,0.0,0.0
Reject,"Arrest, detain, or charge with legal action",82,764,0.10732984293193717,0.08394252583816486
"Arrest, detain, or charge with legal action",Reject,251,3203,0.07836403371838901,0.08394252583816486
Reject,"Obstruct passage, block",7,764,0.009162303664921465,0.02068126520681265
"Obstruct passage, block",Reject,10,58,0.1724137931034483,0.02068126520681265
Reject,Refuse to de-escalate military engagement,0,764,0.0,0.0013020833333333333
Refuse to de-escalate military engagement,Reject,1,4,0.25,0.0013020833333333333
Reject,Rally support on behalf of,3,764,0.003926701570680628,0.005813953488372093
Rally support on behalf of,Reject,2,96,0.020833333333333332,0.005813953488372093
Reject,Provide aid,15,764,0.01963350785340314,0.03036876355748373
Provide aid,Reject,13,158,0.08227848101265822,0.03036876355748373
Reject,Investigate,57,764,0.07460732984293193,0.09760705289672544
Investigate,Reject,98,824,0.11893203883495146,0.09760705289672544
Reject,Express intent to provide material aid,28,764,0.03664921465968586,0.041617122473246136
Express intent to provide material aid,Reject,7,77,0.09090909090909091,0.041617122473246136
Reject,Employ aerial weapons,1,764,0.0013089005235602095,0.001176470588235294
Employ aerial weapons,Reject,0,86,0.0,0.001176470588235294
Reject,Cooperate militarily,3,764,0.003926701570680628,0.005813953488372093
Cooperate militarily,Reject,2,96,0.020833333333333332,0.005813953488372093
Reject,Express intent to release persons or property,27,764,0.03534031413612566,0.04606060606060606
Express intent to release persons or property,Reject,11,61,0.18032786885245902,0.04606060606060606
Reject,Use tactics of violent repression,4,764,0.005235602094240838,0.02854230377166157
Use tactics of violent repression,Reject,24,217,0.11059907834101383,0.02854230377166157
Reject,Ease administrative sanctions,58,764,0.07591623036649214,0.10989010989010989
Ease administrative sanctions,Reject,42,146,0.2876712328767123,0.10989010989010989
Reject,Receive deployment of peacekeepers,0,764,0.0,0.003787878787878788
Receive deployment of peacekeepers,Reject,3,28,0.10714285714285714,0.003787878787878788
Reject,Mediate,1,764,0.0013089005235602095,0.0025673940949935813
Mediate,Reject,1,15,0.06666666666666667,0.0025673940949935813
Reject,Provide military protection or peacekeeping,1,764,0.0013089005235602095,0.0038119440914866584
Provide military protection or peacekeeping,Reject,2,23,0.08695652173913043,0.0038119440914866584
Reject,Give ultimatum,10,764,0.013089005235602094,0.015931372549019607
Give ultimatum,Reject,3,52,0.057692307692307696,0.015931372549019607
Reject,Deny responsibility,86,764,0.112565445026178,0.15236051502145923
Deny responsibility,Reject,56,168,0.3333333333333333,0.15236051502145923
Reject,fight with artillery and tanks,25,764,0.032722513089005235,0.0414572864321608
fight with artillery and tanks,Reject,8,32,0.25,0.0414572864321608
Reject,Demand diplomatic cooperation (such as policy support),33,764,0.04319371727748691,0.04578313253012048
Demand diplomatic cooperation (such as policy support),Reject,5,66,0.07575757575757576,0.04578313253012048
Reject,Engage in mass killings,0,764,0.0,0.0
Engage in mass killings,Reject,0,12,0.0,0.0
Reject,Torture,3,764,0.003926701570680628,0.008816120906801008
Torture,Reject,4,30,0.13333333333333333,0.008816120906801008
Reject,Appeal to others to settle dispute,4,764,0.005235602094240838,0.006443298969072165
Appeal to others to settle dispute,Reject,1,12,0.08333333333333333,0.006443298969072165
Reject,Cooperate economically,6,764,0.007853403141361256,0.00681044267877412
Cooperate economically,Reject,0,117,0.0,0.00681044267877412
Reject,Impose restrictions on political freedoms,7,764,0.009162303664921465,0.01589242053789731
Impose restrictions on political freedoms,Reject,6,54,0.1111111111111111,0.01589242053789731
Reject,"Investigate crime, corruption",6,764,0.007853403141361256,0.010101010101010102
"Investigate crime, corruption",Reject,2,28,0.07142857142857142,0.010101010101010102
Reject,"Appeal for change in institutions, regime",0,764,0.0,0.002551020408163265
"Appeal for change in institutions, regime",Reject,2,20,0.1,0.002551020408163265
Reject,Appeal for release of persons or property,28,764,0.03664921465968586,0.041561712846347604
Appeal for release of persons or property,Reject,5,30,0.16666666666666666,0.041561712846347604
Reject,Accuse of war crimes,2,764,0.002617801047120419,0.0038910505836575876
Accuse of war crimes,Reject,1,7,0.14285714285714285,0.0038910505836575876
Reject,Appeal for easing of administrative sanctions,4,764,0.005235602094240838,0.005148005148005148
Appeal for easing of administrative sanctions,Reject,0,13,0.0,0.005148005148005148
Reject,Demand easing of administrative sanctions,0,764,0.0,0.0013020833333333333
Demand easing of administrative sanctions,Reject,1,4,0.25,0.0013020833333333333
Reject,Accuse of human rights abuses,2,764,0.002617801047120419,0.0024906600249066002
Accuse of human rights abuses,Reject,0,39,0.0,0.0024906600249066002
Reject,Appeal for political reform,0,764,0.0,0.0
Appeal for political reform,Reject,0,3,0.0,0.0
Reject,Provide military aid,6,764,0.007853403141361256,0.009389671361502348
Provide military aid,Reject,2,88,0.022727272727272728,0.009389671361502348
Reject,Refuse to ease administrative sanctions,17,764,0.02225130890052356,0.02461139896373057
Refuse to ease administrative sanctions,Reject,2,8,0.25,0.02461139896373057
Reject,Provide humanitarian aid,50,764,0.06544502617801047,0.08464566929133858
Provide humanitarian aid,Reject,36,252,0.14285714285714285,0.08464566929133858
Reject,Physically assault,11,764,0.014397905759162303,0.02198952879581152
Physically assault,Reject,10,191,0.05235602094240838,0.02198952879581152
Reject,Mobilize or increase armed forces,13,764,0.017015706806282723,0.01822079314040729
Mobilize or increase armed forces,Reject,4,169,0.023668639053254437,0.01822079314040729
Reject,Carry out suicide bombing,1,764,0.0013089005235602095,0.0011904761904761906
Carry out suicide bombing,Reject,0,76,0.0,0.0011904761904761906
Reject,"Conduct suicide, car, or other non-military bombing",3,764,0.003926701570680628,0.006002400960384154
"Conduct suicide, car, or other non-military bombing",Reject,2,69,0.028985507246376812,0.006002400960384154
Reject,"Protest violently, riot",5,764,0.006544502617801047,0.010576923076923078
"Protest violently, riot",Reject,6,276,0.021739130434782608,0.010576923076923078
Reject,Assassinate,0,764,0.0,0.0
Assassinate,Reject,0,44,0.0,0.0
Reject,Kill by physical assault,0,764,0.0,0.0
Kill by physical assault,Reject,0,80,0.0,0.0
Reject,Impose administrative sanctions,46,764,0.060209424083769635,0.06577480490523968
Impose administrative sanctions,Reject,13,133,0.09774436090225563,0.06577480490523968
Reject,Confiscate property,10,764,0.013089005235602094,0.02106430155210643
Confiscate property,Reject,9,138,0.06521739130434782,0.02106430155210643
Reject,Express accord,38,764,0.049738219895287955,0.06524317912218268
Express accord,Reject,17,79,0.21518987341772153,0.06524317912218268
Reject,Retreat or surrender militarily,1,764,0.0013089005235602095,0.001221001221001221
Retreat or surrender militarily,Reject,0,55,0.0,0.001221001221001221
Reject,Express intent to cooperate economically,13,764,0.017015706806282723,0.01866977829638273
Express intent to cooperate economically,Reject,3,93,0.03225806451612903,0.01866977829638273
Reject,Express intent to change policy,0,764,0.0,0.0
Express intent to change policy,Reject,0,2,0.0,0.0
Reject,Appeal for economic aid,35,764,0.04581151832460733,0.04701397712833545
Appeal for economic aid,Reject,2,23,0.08695652173913043,0.04701397712833545
Reject,Appeal for aid,7,764,0.009162303664921465,0.013994910941475827
Appeal for aid,Reject,4,22,0.18181818181818182,0.013994910941475827
Reject,Appeal for de-escalation of military engagement,5,764,0.006544502617801047,0.008771929824561403
Appeal for de-escalation of military engagement,Reject,2,34,0.058823529411764705,0.008771929824561403
Reject,Defend verbally,1,764,0.0013089005235602095,0.0012674271229404308
Defend verbally,Reject,0,25,0.0,0.0012674271229404308
Reject,Coerce,46,764,0.060209424083769635,0.06635622817229336
Coerce,Reject,11,95,0.11578947368421053,0.06635622817229336
Reject,Accede to demands for change in policy,0,764,0.0,0.0
Accede to demands for change in policy,Reject,0,2,0.0,0.0
Reject,Engage in material cooperation,19,764,0.024869109947643978,0.03305785123966942
Engage in material cooperation,Reject,9,83,0.10843373493975904,0.03305785123966942
Reject,Sexually assault,9,764,0.011780104712041885,0.0228310502283105
Sexually assault,Reject,11,112,0.09821428571428571,0.0228310502283105
Reject,Express intent to provide economic aid,4,764,0.005235602094240838,0.007194244604316547
Express intent to provide economic aid,Reject,2,70,0.02857142857142857,0.007194244604316547
Reject,Decline comment,16,764,0.020942408376963352,0.022900763358778626
Decline comment,Reject,2,22,0.09090909090909091,0.022900763358778626
Reject,Provide economic aid,3,764,0.003926701570680628,0.004790419161676647
Provide economic aid,Reject,1,71,0.014084507042253521,0.004790419161676647
Reject,Express intent to accept mediation,1,764,0.0013089005235602095,0.0012953367875647669
Express intent to accept mediation,Reject,0,8,0.0,0.0012953367875647669
Reject,Appeal for judicial cooperation,0,764,0.0,0.0
Appeal for judicial cooperation,Reject,0,23,0.0,0.0
Reject,Express intent to de-escalate military engagement,0,764,0.0,0.0025157232704402514
Express intent to de-escalate military engagement,Reject,2,31,0.06451612903225806,0.0025157232704402514
Reject,Grant diplomatic recognition,3,764,0.003926701570680628,0.004895960832313341
Grant diplomatic recognition,Reject,1,53,0.018867924528301886,0.004895960832313341
Reject,Apologize,11,764,0.014397905759162303,0.01631116687578419
Apologize,Reject,2,33,0.06060606060606061,0.01631116687578419
Reject,Express intent to provide military aid,2,764,0.002617801047120419,0.002336448598130841
Express intent to provide military aid,Reject,0,92,0.0,0.002336448598130841
Reject,"Refuse to ease economic sanctions, boycott, or embargo",0,764,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo",Reject,0,4,0.0,0.0
Reject,Appeal for material cooperation,3,764,0.003926701570680628,0.006459948320413436
Appeal for material cooperation,Reject,2,10,0.2,0.006459948320413436
Reject,Express intent to mediate,3,764,0.003926701570680628,0.0038560411311053984
Express intent to mediate,Reject,0,14,0.0,0.0038560411311053984
Reject,Accuse of aggression,1,764,0.0013089005235602095,0.0012970168612191958
Accuse of aggression,Reject,0,7,0.0,0.0012970168612191958
Reject,Demand settling of dispute,2,764,0.002617801047120419,0.002600780234070221
Demand settling of dispute,Reject,0,5,0.0,0.002600780234070221
Reject,"Express intent to ease economic sanctions, boycott, or embargo",0,764,0.0,0.0
"Express intent to ease economic sanctions, boycott, or embargo",Reject,0,18,0.0,0.0
Reject,Mobilize or increase police power,1,764,0.0013089005235602095,0.0038022813688212928
Mobilize or increase police power,Reject,2,25,0.08,0.0038022813688212928
Reject,Demonstrate military or police power,25,764,0.032722513089005235,0.04030226700251889
Demonstrate military or police power,Reject,7,30,0.23333333333333334,0.04030226700251889
Reject,"Demand change in institutions, regime",0,764,0.0,0.0
"Demand change in institutions, regime",Reject,0,8,0.0,0.0
Reject,Express intent to cooperate militarily,7,764,0.009162303664921465,0.012853470437017995
Express intent to cooperate militarily,Reject,3,14,0.21428571428571427,0.012853470437017995
Reject,Reduce or stop military assistance,2,764,0.002617801047120419,0.0025906735751295338
Reduce or stop military assistance,Reject,0,8,0.0,0.0025906735751295338
Reject,"Defy norms, law",25,764,0.032722513089005235,0.04628501827040195
"Defy norms, law",Reject,13,57,0.22807017543859648,0.04628501827040195
Reject,Demand that target yields,4,764,0.005235602094240838,0.0051813471502590676
Demand that target yields,Reject,0,8,0.0,0.0051813471502590676
Reject,Threaten non-force,2,764,0.002617801047120419,0.003875968992248062
Threaten non-force,Reject,1,10,0.1,0.003875968992248062
Reject,"Ease economic sanctions, boycott, embargo",0,764,0.0,0.0
"Ease economic sanctions, boycott, embargo",Reject,0,21,0.0,0.0
Reject,Impose state of emergency or martial law,0,764,0.0,0.0
Impose state of emergency or martial law,Reject,0,12,0.0,0.0
Reject,Ease state of emergency or martial law,0,764,0.0,0.0
Ease state of emergency or martial law,Reject,0,1,0.0,0.0
Reject,"Accede to demands for change in institutions, regime",0,764,0.0,0.0
"Accede to demands for change in institutions, regime",Reject,0,3,0.0,0.0
Reject,Express intent to yield,0,764,0.0,0.0
Express intent to yield,Reject,0,8,0.0,0.0
Reject,Share intelligence or information,11,764,0.014397905759162303,0.014962593516209476
Share intelligence or information,Reject,1,38,0.02631578947368421,0.014962593516209476
Reject,"Accuse of espionage, treason",0,764,0.0,0.0
"Accuse of espionage, treason",Reject,0,14,0.0,0.0
Reject,Receive inspectors,0,764,0.0,0.0
Receive inspectors,Reject,0,2,0.0,0.0
Reject,Increase military alert status,1,764,0.0013089005235602095,0.0025284450063211127
Increase military alert status,Reject,1,27,0.037037037037037035,0.0025284450063211127
Reject,Attempt to assassinate,0,764,0.0,0.0
Attempt to assassinate,Reject,0,11,0.0,0.0
Reject,Refuse to yield,13,764,0.017015706806282723,0.02372034956304619
Refuse to yield,Reject,6,37,0.16216216216216217,0.02372034956304619
Reject,Veto,3,764,0.003926701570680628,0.00909090909090909
Veto,Reject,4,6,0.6666666666666666,0.00909090909090909
Reject,Complain officially,18,764,0.02356020942408377,0.043528064146620846
Complain officially,Reject,20,109,0.1834862385321101,0.043528064146620846
Reject,Reduce or stop economic assistance,0,764,0.0,0.0012953367875647669
Reduce or stop economic assistance,Reject,1,8,0.125,0.0012953367875647669
Reject,"Impose blockade, restrict movement",6,764,0.007853403141361256,0.011508951406649617
"Impose blockade, restrict movement",Reject,3,18,0.16666666666666666,0.011508951406649617
Reject,Express intent to provide military protection or peacekeeping,1,764,0.0013089005235602095,0.0012987012987012987
Express intent to provide military protection or peacekeeping,Reject,0,6,0.0,0.0012987012987012987
Reject,Halt mediation,7,764,0.009162303664921465,0.01045751633986928
Halt mediation,Reject,1,1,1.0,0.01045751633986928
Reject,Demand intelligence cooperation,0,764,0.0,0.0
Demand intelligence cooperation,Reject,0,15,0.0,0.0
Reject,Demonstrate for leadership change,1,764,0.0013089005235602095,0.0025284450063211127
Demonstrate for leadership change,Reject,1,27,0.037037037037037035,0.0025284450063211127
Reject,Conduct hunger strike,0,764,0.0,0.0
Conduct hunger strike,Reject,0,3,0.0,0.0
Reject,Demand mediation,2,764,0.002617801047120419,0.002607561929595828
Demand mediation,Reject,0,3,0.0,0.002607561929595828
Reject,Demand economic aid,32,764,0.041884816753926704,0.04263565891472868
Demand economic aid,Reject,1,10,0.1,0.04263565891472868
Reject,"Demand meeting, negotiation",4,764,0.005235602094240838,0.006418485237483954
"Demand meeting, negotiation",Reject,1,15,0.06666666666666667,0.006418485237483954
Reject,Appeal for military aid,4,764,0.005235602094240838,0.013924050632911392
Appeal for military aid,Reject,7,26,0.2692307692307692,0.013924050632911392
Reject,Demand material cooperation,1,764,0.0013089005235602095,0.0038809831824062097
Demand material cooperation,Reject,2,9,0.2222222222222222,0.0038809831824062097
Reject,"Return, release property",6,764,0.007853403141361256,0.007751937984496124
"Return, release property",Reject,0,10,0.0,0.007751937984496124
Reject,Express intent to engage in material cooperation,0,764,0.0,0.0012919896640826874
Express intent to engage in material cooperation,Reject,1,10,0.1,0.0012919896640826874
Reject,Demand policy change,3,764,0.003926701570680628,0.0039164490861618795
Demand policy change,Reject,0,2,0.0,0.0039164490861618795
Reject,Reject economic cooperation,3,764,0.003926701570680628,0.0039164490861618795
Reject economic cooperation,Reject,0,2,0.0,0.0039164490861618795
Reject,Appeal for humanitarian aid,4,764,0.005235602094240838,0.00648508430609598
Appeal for humanitarian aid,Reject,1,7,0.14285714285714285,0.00648508430609598
Reject,Demand judicial cooperation,0,764,0.0,0.0
Demand judicial cooperation,Reject,0,4,0.0,0.0
Reject,Express intent to ease administrative sanctions,0,764,0.0,0.0012970168612191958
Express intent to ease administrative sanctions,Reject,1,7,0.14285714285714285,0.0012970168612191958
Reject,Accede to requests or demands for political reform,0,764,0.0,0.0
Accede to requests or demands for political reform,Reject,0,2,0.0,0.0
Reject,Demand rights,0,764,0.0,0.0
Demand rights,Reject,0,2,0.0,0.0
Reject,Appeal to yield,18,764,0.02356020942408377,0.023346303501945526
Appeal to yield,Reject,0,7,0.0,0.023346303501945526
Reject,Demand humanitarian aid,2,764,0.002617801047120419,0.00261437908496732
Demand humanitarian aid,Reject,0,1,0.0,0.00261437908496732
Reject,Demand political reform,0,764,0.0,0.0
Demand political reform,Reject,0,2,0.0,0.0
Reject,Ease curfew,0,764,0.0,0.0013003901170351106
Ease curfew,Reject,1,5,0.2,0.0013003901170351106
Reject,Appeal for policy change,0,764,0.0,0.0
Appeal for policy change,Reject,0,12,0.0,0.0
Reject,Express intent to cooperate on intelligence,6,764,0.007853403141361256,0.007772020725388601
Express intent to cooperate on intelligence,Reject,0,8,0.0,0.007772020725388601
Reject,Demobilize armed forces,0,764,0.0,0.0
Demobilize armed forces,Reject,0,3,0.0,0.0
Reject,Reduce or stop material aid,0,764,0.0,0.0
Reduce or stop material aid,Reject,0,3,0.0,0.0
Reject,"Threaten with sanctions, boycott, embargo",0,764,0.0,0.0
"Threaten with sanctions, boycott, embargo",Reject,0,6,0.0,0.0
Reject,Reduce or stop humanitarian assistance,9,764,0.011780104712041885,0.014322916666666666
Reduce or stop humanitarian assistance,Reject,2,4,0.5,0.014322916666666666
Reject,Refuse to release persons or property,37,764,0.04842931937172775,0.0561941251596424
Refuse to release persons or property,Reject,7,19,0.3684210526315789,0.0561941251596424
Reject,Destroy property,0,764,0.0,0.001303780964797914
Destroy property,Reject,1,3,0.3333333333333333,0.001303780964797914
Reject,Appeal for military protection or peacekeeping,0,764,0.0,0.0
Appeal for military protection or peacekeeping,Reject,0,1,0.0,0.0
Reject,Ban political parties or politicians,3,764,0.003926701570680628,0.005188067444876783
Ban political parties or politicians,Reject,1,7,0.14285714285714285,0.005188067444876783
Reject,Grant asylum,0,764,0.0,0.0
Grant asylum,Reject,0,7,0.0,0.0
Reject,Investigate war crimes,0,764,0.0,0.0
Investigate war crimes,Reject,0,1,0.0,0.0
Reject,Accede to demands for rights,4,764,0.005235602094240838,0.007792207792207792
Accede to demands for rights,Reject,2,6,0.3333333333333333,0.007792207792207792
Reject,Increase police alert status,8,764,0.010471204188481676,0.017743979721166033
Increase police alert status,Reject,6,25,0.24,0.017743979721166033
Reject,Threaten to reduce or break relations,0,764,0.0,0.0
Threaten to reduce or break relations,Reject,0,4,0.0,0.0
Reject,Threaten with repression,0,764,0.0,0.0
Threaten with repression,Reject,0,5,0.0,0.0
Reject,Violate ceasefire,0,764,0.0,0.0
Violate ceasefire,Reject,0,4,0.0,0.0
Reject,Reject request for military aid,0,764,0.0,0.0
Reject request for military aid,Reject,0,1,0.0,0.0
Reject,"Use chemical, biological, or radiological weapons",0,764,0.0,0.0
"Use chemical, biological, or radiological weapons",Reject,0,1,0.0,0.0
Reject,Demand material aid,0,764,0.0,0.0
Demand material aid,Reject,0,1,0.0,0.0
Reject,Express intent to change leadership,0,764,0.0,0.0
Express intent to change leadership,Reject,0,6,0.0,0.0
Reject,Reject material cooperation,0,764,0.0,0.0
Reject material cooperation,Reject,0,3,0.0,0.0
Reject,Appeal for target to allow international involvement (non-mediation),0,764,0.0,0.0
Appeal for target to allow international involvement (non-mediation),Reject,0,1,0.0,0.0
Reject,"Express intent to change institutions, regime",0,764,0.0,0.0
"Express intent to change institutions, regime",Reject,0,1,0.0,0.0
Reject,Demand military aid,0,764,0.0,0.0
Demand military aid,Reject,0,2,0.0,0.0
Reject,Seize or damage property,0,764,0.0,0.0
Seize or damage property,Reject,0,8,0.0,0.0
Reject,Appeal for rights,3,764,0.003926701570680628,0.00646830530401035
Appeal for rights,Reject,2,9,0.2222222222222222,0.00646830530401035
Reject,Reject request for military protection or peacekeeping,0,764,0.0,0.0
Reject request for military protection or peacekeeping,Reject,0,1,0.0,0.0
Reject,Reject military cooperation,5,764,0.006544502617801047,0.010430247718383311
Reject military cooperation,Reject,3,3,1.0,0.010430247718383311
Reject,Threaten to reduce or stop aid,0,764,0.0,0.0026041666666666665
Threaten to reduce or stop aid,Reject,2,4,0.5,0.0026041666666666665
Reject,Demand release of persons or property,4,764,0.005235602094240838,0.005201560468140442
