relation i,relation j,#implication,#rel_i,P one direction,P two direction
"Protest violently, riot",Criticize or denounce,17,276,0.06159420289855073,0.024235645041014168
Criticize or denounce,Reduce or break diplomatic relations,53,2406,0.02202826267664173,0.04609929078014184
Reduce or break diplomatic relations,Criticize or denounce,64,132,0.48484848484848486,0.04609929078014184
Criticize or denounce,Engage in diplomatic cooperation,315,2406,0.13092269326683292,0.15762421473443747
Engage in diplomatic cooperation,Criticize or denounce,237,1096,0.21624087591240876,0.15762421473443747
Criticize or denounce,Make optimistic comment,423,2406,0.17581047381546136,0.20032894736842105
Make optimistic comment,Criticize or denounce,186,634,0.29337539432176657,0.20032894736842105
Criticize or denounce,Torture,8,2406,0.0033250207813798837,0.005747126436781609
Torture,Criticize or denounce,6,30,0.2,0.005747126436781609
Criticize or denounce,Refuse to yield,36,2406,0.014962593516209476,0.018419975440032748
Refuse to yield,Criticize or denounce,9,37,0.24324324324324326,0.018419975440032748
Criticize or denounce,Cooperate militarily,17,2406,0.007065669160432253,0.007993605115907274
Cooperate militarily,Criticize or denounce,3,96,0.03125,0.007993605115907274
Criticize or denounce,Mobilize or increase armed forces,39,2406,0.016209476309226933,0.028737864077669904
Mobilize or increase armed forces,Criticize or denounce,35,169,0.20710059171597633,0.028737864077669904
Criticize or denounce,fight with small arms and light weapons,188,2406,0.07813798836242726,0.11444229529335913
fight with small arms and light weapons,Criticize or denounce,167,696,0.23994252873563218,0.11444229529335913
Criticize or denounce,Ease administrative sanctions,90,2406,0.03740648379052369,0.05603448275862069
Ease administrative sanctions,Criticize or denounce,53,146,0.363013698630137,0.05603448275862069
Criticize or denounce,Appeal for political reform,0,2406,0.0,0.0
Appeal for political reform,Criticize or denounce,0,3,0.0,0.0
Criticize or denounce,"Return, release person(s)",128,2406,0.05320033250207814,0.08975750995294969
"Return, release person(s)",Criticize or denounce,120,357,0.33613445378151263,0.08975750995294969
Criticize or denounce,Discuss by telephone,27,2406,0.011221945137157107,0.02947632486672938
Discuss by telephone,Criticize or denounce,67,783,0.08556832694763729,0.02947632486672938
Criticize or denounce,Demonstrate for leadership change,10,2406,0.004156275976724855,0.006576243321002877
Demonstrate for leadership change,Criticize or denounce,6,27,0.2222222222222222,0.006576243321002877
Criticize or denounce,Impose restrictions on political freedoms,28,2406,0.011637572734829594,0.018292682926829267
Impose restrictions on political freedoms,Criticize or denounce,17,54,0.3148148148148148,0.018292682926829267
Criticize or denounce,"Investigate crime, corruption",10,2406,0.004156275976724855,0.006984387838948234
"Investigate crime, corruption",Criticize or denounce,7,28,0.25,0.006984387838948234
Criticize or denounce,Engage in material cooperation,71,2406,0.029509559434746466,0.03615910004017678
Engage in material cooperation,Criticize or denounce,19,83,0.2289156626506024,0.03615910004017678
Criticize or denounce,Appeal to others to meet or negotiate,57,2406,0.02369077306733167,0.027115858668857847
Appeal to others to meet or negotiate,Criticize or denounce,9,28,0.32142857142857145,0.027115858668857847
Criticize or denounce,Provide humanitarian aid,96,2406,0.0399002493765586,0.062076749435665914
Provide humanitarian aid,Criticize or denounce,69,252,0.27380952380952384,0.062076749435665914
Criticize or denounce,Appeal for change in leadership,25,2406,0.010390689941812137,0.014663951120162933
Appeal for change in leadership,Criticize or denounce,11,49,0.22448979591836735,0.014663951120162933
Criticize or denounce,Use tactics of violent repression,14,2406,0.005818786367414797,0.03774304231795654
Use tactics of violent repression,Criticize or denounce,85,217,0.391705069124424,0.03774304231795654
Criticize or denounce,Occupy territory,84,2406,0.034912718204488775,0.036725325172149964
Occupy territory,Criticize or denounce,12,208,0.057692307692307696,0.036725325172149964
Criticize or denounce,Demand humanitarian aid,3,2406,0.0012468827930174563,0.0016618196925633569
Demand humanitarian aid,Criticize or denounce,1,1,1.0,0.0016618196925633569
Criticize or denounce,Reject,533,2406,0.22152950955943473,0.25741324921135644
Reject,Criticize or denounce,283,764,0.3704188481675393,0.25741324921135644
Criticize or denounce,Threaten non-force,10,2406,0.004156275976724855,0.005380794701986755
Threaten non-force,Criticize or denounce,3,10,0.3,0.005380794701986755
Criticize or denounce,Express intent to cooperate economically,54,2406,0.022443890274314215,0.030012004801920768
Express intent to cooperate economically,Criticize or denounce,21,93,0.22580645161290322,0.030012004801920768
Criticize or denounce,"Conduct suicide, car, or other non-military bombing",11,2406,0.00457190357439734,0.008484848484848486
"Conduct suicide, car, or other non-military bombing",Criticize or denounce,10,69,0.14492753623188406,0.008484848484848486
Criticize or denounce,"Demand meeting, negotiation",20,2406,0.00831255195344971,0.011565468814539447
"Demand meeting, negotiation",Criticize or denounce,8,15,0.5333333333333333,0.011565468814539447
Criticize or denounce,Deny responsibility,189,2406,0.07855361596009976,0.09324009324009325
Deny responsibility,Criticize or denounce,51,168,0.30357142857142855,0.09324009324009325
Criticize or denounce,"Express intent to change institutions, regime",1,2406,0.00041562759767248546,0.0008309098462816784
"Express intent to change institutions, regime",Criticize or denounce,1,1,1.0,0.0008309098462816784
Criticize or denounce,Appeal for judicial cooperation,16,2406,0.006650041562759767,0.008233841086867023
Appeal for judicial cooperation,Criticize or denounce,4,23,0.17391304347826086,0.008233841086867023
Criticize or denounce,Share intelligence or information,31,2406,0.012884455527847049,0.016366612111292964
Share intelligence or information,Criticize or denounce,9,38,0.23684210526315788,0.016366612111292964
Criticize or denounce,Expel or deport individuals,34,2406,0.014131338320864505,0.02279874213836478
Expel or deport individuals,Criticize or denounce,24,138,0.17391304347826086,0.02279874213836478
Criticize or denounce,Confiscate property,20,2406,0.00831255195344971,0.018474842767295597
Confiscate property,Criticize or denounce,27,138,0.1956521739130435,0.018474842767295597
Criticize or denounce,Accuse of aggression,7,2406,0.0029093931837073984,0.004144218814753419
Accuse of aggression,Criticize or denounce,3,7,0.42857142857142855,0.004144218814753419
Criticize or denounce,Reduce relations,241,2406,0.100166251039069,0.11873554356206631
Reduce relations,Criticize or denounce,67,188,0.35638297872340424,0.11873554356206631
Criticize or denounce,Physically assault,75,2406,0.03117206982543641,0.05352329611089719
Physically assault,Criticize or denounce,64,191,0.33507853403141363,0.05352329611089719
Criticize or denounce,Retreat or surrender militarily,6,2406,0.0024937655860349127,0.006095083299471759
Retreat or surrender militarily,Criticize or denounce,9,55,0.16363636363636364,0.006095083299471759
Criticize or denounce,Demand diplomatic cooperation (such as policy support),71,2406,0.029509559434746466,0.0372168284789644
Demand diplomatic cooperation (such as policy support),Criticize or denounce,21,66,0.3181818181818182,0.0372168284789644
Criticize or denounce,Veto,1,2406,0.00041562759767248546,0.0024875621890547263
Veto,Criticize or denounce,5,6,0.8333333333333334,0.0024875621890547263
Criticize or denounce,Kill by physical assault,7,2406,0.0029093931837073984,0.006838294448913918
Kill by physical assault,Criticize or denounce,10,80,0.125,0.006838294448913918
Criticize or denounce,"Appeal for change in institutions, regime",6,2406,0.0024937655860349127,0.00494641384995878
"Appeal for change in institutions, regime",Criticize or denounce,6,20,0.3,0.00494641384995878
Criticize or denounce,Forgive,0,2406,0.0,0.0
Forgive,Criticize or denounce,0,3,0.0,0.0
Criticize or denounce,"Reject proposal to meet, discuss, or negotiate",117,2406,0.048628428927680795,0.059647718174539635
"Reject proposal to meet, discuss, or negotiate",Criticize or denounce,32,92,0.34782608695652173,0.059647718174539635
Criticize or denounce,Express intent to provide humanitarian aid,51,2406,0.02119700748129676,0.029339853300733496
Express intent to provide humanitarian aid,Criticize or denounce,21,48,0.4375,0.029339853300733496
Criticize or denounce,"Ease economic sanctions, boycott, embargo",15,2406,0.006234413965087282,0.011948908117016894
"Ease economic sanctions, boycott, embargo",Criticize or denounce,14,21,0.6666666666666666,0.011948908117016894
Criticize or denounce,Express intent to cooperate militarily,54,2406,0.022443890274314215,0.023140495867768594
Express intent to cooperate militarily,Criticize or denounce,2,14,0.14285714285714285,0.023140495867768594
Criticize or denounce,Cooperate economically,27,2406,0.011221945137157107,0.0178359096313912
Cooperate economically,Criticize or denounce,18,117,0.15384615384615385,0.0178359096313912
Criticize or denounce,Express intent to provide economic aid,27,2406,0.011221945137157107,0.016962843295638127
Express intent to provide economic aid,Criticize or denounce,15,70,0.21428571428571427,0.016962843295638127
Criticize or denounce,Mobilize or increase police power,2,2406,0.0008312551953449709,0.0024681201151789387
Mobilize or increase police power,Criticize or denounce,4,25,0.16,0.0024681201151789387
Criticize or denounce,Conduct strike or boycott,21,2406,0.008728179551122194,0.013125512715340444
Conduct strike or boycott,Criticize or denounce,11,32,0.34375,0.013125512715340444
Criticize or denounce,Employ aerial weapons,2,2406,0.0008312551953449709,0.0056179775280898875
Employ aerial weapons,Criticize or denounce,12,86,0.13953488372093023,0.0056179775280898875
Criticize or denounce,Demonstrate military or police power,91,2406,0.037822111388196175,0.04433497536945813
Demonstrate military or police power,Criticize or denounce,17,30,0.5666666666666667,0.04433497536945813
Criticize or denounce,Provide military aid,44,2406,0.01828761429758936,0.026463512429831595
Provide military aid,Criticize or denounce,22,88,0.25,0.026463512429831595
Criticize or denounce,"Reject plan, agreement to settle dispute",140,2406,0.058187863674147966,0.06704591629418935
"Reject plan, agreement to settle dispute",Criticize or denounce,25,55,0.45454545454545453,0.06704591629418935
Criticize or denounce,Yield,53,2406,0.02202826267664173,0.03081232492997199
Yield,Criticize or denounce,24,93,0.25806451612903225,0.03081232492997199
Criticize or denounce,"Obstruct passage, block",7,2406,0.0029093931837073984,0.005681818181818182
"Obstruct passage, block",Criticize or denounce,7,58,0.1206896551724138,0.005681818181818182
Criticize or denounce,Mediate,4,2406,0.0016625103906899418,0.0028913672036348617
Mediate,Criticize or denounce,3,15,0.2,0.0028913672036348617
Criticize or denounce,Apologize,37,2406,0.015378221113881962,0.017630176301763018
Apologize,Criticize or denounce,6,33,0.18181818181818182,0.017630176301763018
Criticize or denounce,Express intent to release persons or property,36,2406,0.014962593516209476,0.02513173895419538
Express intent to release persons or property,Criticize or denounce,26,61,0.4262295081967213,0.02513173895419538
Criticize or denounce,Express intent to de-escalate military engagement,10,2406,0.004156275976724855,0.010668855149774312
Express intent to de-escalate military engagement,Criticize or denounce,16,31,0.5161290322580645,0.010668855149774312
Criticize or denounce,Accede to demands for rights,8,2406,0.0033250207813798837,0.004975124378109453
Accede to demands for rights,Criticize or denounce,4,6,0.6666666666666666,0.004975124378109453
Criticize or denounce,Demand economic aid,11,2406,0.00457190357439734,0.006208609271523178
Demand economic aid,Criticize or denounce,4,10,0.4,0.006208609271523178
Criticize or denounce,Impose state of emergency or martial law,0,2406,0.0,0.0
Impose state of emergency or martial law,Criticize or denounce,0,12,0.0,0.0
Criticize or denounce,Receive deployment of peacekeepers,21,2406,0.008728179551122194,0.009038619556285949
Receive deployment of peacekeepers,Criticize or denounce,1,28,0.03571428571428571,0.009038619556285949
Criticize or denounce,Demand de-escalation of military engagement,2,2406,0.0008312551953449709,0.0020678246484698098
Demand de-escalation of military engagement,Criticize or denounce,3,12,0.25,0.0020678246484698098
Criticize or denounce,"Declare truce, ceasefire",18,2406,0.007481296758104738,0.01029230135858378
"Declare truce, ceasefire",Criticize or denounce,7,23,0.30434782608695654,0.01029230135858378
Criticize or denounce,Reduce or stop humanitarian assistance,5,2406,0.0020781379883624274,0.0024896265560165973
Reduce or stop humanitarian assistance,Criticize or denounce,1,4,0.25,0.0024896265560165973
Criticize or denounce,Appeal to others to settle dispute,21,2406,0.008728179551122194,0.011579818031430935
Appeal to others to settle dispute,Criticize or denounce,7,12,0.5833333333333334,0.011579818031430935
Criticize or denounce,Reject request for military aid,0,2406,0.0,0.0
Reject request for military aid,Criticize or denounce,0,1,0.0,0.0
Criticize or denounce,"Threaten with political dissent, protest",1,2406,0.00041562759767248546,0.0008295313148071339
"Threaten with political dissent, protest",Criticize or denounce,1,5,0.2,0.0008295313148071339
Criticize or denounce,Acknowledge or claim responsibility,8,2406,0.0033250207813798837,0.005672609400324149
Acknowledge or claim responsibility,Criticize or denounce,6,62,0.0967741935483871,0.005672609400324149
Criticize or denounce,"Express intent to ease economic sanctions, boycott, or embargo",14,2406,0.005818786367414797,0.012376237623762377
"Express intent to ease economic sanctions, boycott, or embargo",Criticize or denounce,16,18,0.8888888888888888,0.012376237623762377
Criticize or denounce,Coerce,42,2406,0.017456359102244388,0.025189924030387844
Coerce,Criticize or denounce,21,95,0.22105263157894736,0.025189924030387844
Criticize or denounce,fight with artillery and tanks,61,2406,0.02535328345802161,0.03240360951599672
fight with artillery and tanks,Criticize or denounce,18,32,0.5625,0.03240360951599672
Criticize or denounce,Express intent to cooperate on intelligence,16,2406,0.006650041562759767,0.009113504556752278
Express intent to cooperate on intelligence,Criticize or denounce,6,8,0.75,0.009113504556752278
Criticize or denounce,Express intent to settle dispute,94,2406,0.03906899418121363,0.045121951219512194
Express intent to settle dispute,Criticize or denounce,17,54,0.3148148148148148,0.045121951219512194
Criticize or denounce,Express accord,42,2406,0.017456359102244388,0.026961770623742453
Express accord,Criticize or denounce,25,79,0.31645569620253167,0.026961770623742453
Criticize or denounce,Decline comment,59,2406,0.024522028262676642,0.02841845140032949
Decline comment,Criticize or denounce,10,22,0.45454545454545453,0.02841845140032949
Criticize or denounce,Rally opposition against,89,2406,0.0369908561928512,0.04729183508488278
Rally opposition against,Criticize or denounce,28,68,0.4117647058823529,0.04729183508488278
Criticize or denounce,Rally support on behalf of,60,2406,0.02493765586034913,0.0319744204636291
Rally support on behalf of,Criticize or denounce,20,96,0.20833333333333334,0.0319744204636291
Criticize or denounce,Halt negotiations,53,2406,0.02202826267664173,0.02466091245376079
Halt negotiations,Criticize or denounce,7,27,0.25925925925925924,0.02466091245376079
Criticize or denounce,Appeal for military aid,53,2406,0.02202826267664173,0.02631578947368421
Appeal for military aid,Criticize or denounce,11,26,0.4230769230769231,0.02631578947368421
Criticize or denounce,Threaten with military force,89,2406,0.0369908561928512,0.04164997997597117
Threaten with military force,Criticize or denounce,15,91,0.16483516483516483,0.04164997997597117
Criticize or denounce,Express intent to provide military protection or peacekeeping,1,2406,0.00041562759767248546,0.0012437810945273632
Express intent to provide military protection or peacekeeping,Criticize or denounce,2,6,0.3333333333333333,0.0012437810945273632
Criticize or denounce,Assassinate,2,2406,0.0008312551953449709,0.0016326530612244899
Assassinate,Criticize or denounce,2,44,0.045454545454545456,0.0016326530612244899
Criticize or denounce,"Threaten with sanctions, boycott, embargo",1,2406,0.00041562759767248546,0.0012437810945273632
"Threaten with sanctions, boycott, embargo",Criticize or denounce,2,6,0.3333333333333333,0.0012437810945273632
Criticize or denounce,Demand change in leadership,18,2406,0.007481296758104738,0.011336032388663968
Demand change in leadership,Criticize or denounce,10,64,0.15625,0.011336032388663968
Criticize or denounce,Appeal for economic aid,60,2406,0.02493765586034913,0.029641827912721283
Appeal for economic aid,Criticize or denounce,12,23,0.5217391304347826,0.029641827912721283
Criticize or denounce,Refuse to de-escalate military engagement,3,2406,0.0012468827930174563,0.0024896265560165973
Refuse to de-escalate military engagement,Criticize or denounce,3,4,0.75,0.0024896265560165973
Criticize or denounce,Express intent to provide military aid,12,2406,0.004987531172069825,0.01721377101681345
Express intent to provide military aid,Criticize or denounce,31,92,0.33695652173913043,0.01721377101681345
Criticize or denounce,Refuse to release persons or property,5,2406,0.0020781379883624274,0.00288659793814433
Refuse to release persons or property,Criticize or denounce,2,19,0.10526315789473684,0.00288659793814433
Criticize or denounce,Increase police alert status,36,2406,0.014962593516209476,0.01727684080625257
Increase police alert status,Criticize or denounce,6,25,0.24,0.01727684080625257
Criticize or denounce,"Return, release property",22,2406,0.00914380714879468,0.010347682119205299
"Return, release property",Criticize or denounce,3,10,0.3,0.010347682119205299
Criticize or denounce,Ease military blockade,0,2406,0.0,0.0
Ease military blockade,Criticize or denounce,0,3,0.0,0.0
Criticize or denounce,Appeal for material cooperation,54,2406,0.022443890274314215,0.024420529801324503
Appeal for material cooperation,Criticize or denounce,5,10,0.5,0.024420529801324503
Criticize or denounce,Appeal for economic cooperation,52,2406,0.021612635078969242,0.023543990086741014
Appeal for economic cooperation,Criticize or denounce,5,15,0.3333333333333333,0.023543990086741014
Criticize or denounce,Give ultimatum,34,2406,0.014131338320864505,0.019934906427990236
Give ultimatum,Criticize or denounce,15,52,0.28846153846153844,0.019934906427990236
Criticize or denounce,Demand settling of dispute,12,2406,0.004987531172069825,0.006221484861053505
Demand settling of dispute,Criticize or denounce,3,5,0.6,0.006221484861053505
Criticize or denounce,"Accuse of crime, corruption",79,2406,0.03283458021612635,0.04048582995951417
"Accuse of crime, corruption",Criticize or denounce,21,64,0.328125,0.04048582995951417
Criticize or denounce,Defend verbally,4,2406,0.0016625103906899418,0.004524886877828055
Defend verbally,Criticize or denounce,7,25,0.28,0.004524886877828055
Criticize or denounce,Accuse of human rights abuses,12,2406,0.004987531172069825,0.007361963190184049
Accuse of human rights abuses,Criticize or denounce,6,39,0.15384615384615385,0.007361963190184049
Criticize or denounce,Provide military protection or peacekeeping,14,2406,0.005818786367414797,0.009057225195553726
Provide military protection or peacekeeping,Criticize or denounce,8,23,0.34782608695652173,0.009057225195553726
Criticize or denounce,"Accuse of espionage, treason",2,2406,0.0008312551953449709,0.0012396694214876034
"Accuse of espionage, treason",Criticize or denounce,1,14,0.07142857142857142,0.0012396694214876034
Criticize or denounce,Seize or damage property,0,2406,0.0,0.0
Seize or damage property,Criticize or denounce,0,8,0.0,0.0
Criticize or denounce,Accede to requests or demands for political reform,0,2406,0.0,0.0
Accede to requests or demands for political reform,Criticize or denounce,0,2,0.0,0.0
Criticize or denounce,"Appeal for easing of economic sanctions, boycott, or embargo",33,2406,0.01371571072319202,0.014125467386788533
"Appeal for easing of economic sanctions, boycott, or embargo",Criticize or denounce,1,1,1.0,0.014125467386788533
Criticize or denounce,Appeal to yield,63,2406,0.026184538653366583,0.02818068794032325
Appeal to yield,Criticize or denounce,5,7,0.7142857142857143,0.02818068794032325
Criticize or denounce,Demand military aid,0,2406,0.0,0.0
Demand military aid,Criticize or denounce,0,2,0.0,0.0
Criticize or denounce,Threaten to reduce or stop aid,0,2406,0.0,0.0
Threaten to reduce or stop aid,Criticize or denounce,0,4,0.0,0.0
Criticize or denounce,Refuse to ease administrative sanctions,5,2406,0.0020781379883624274,0.0024855012427506215
Refuse to ease administrative sanctions,Criticize or denounce,1,8,0.125,0.0024855012427506215
Criticize or denounce,Demand release of persons or property,11,2406,0.00457190357439734,0.005806719203649938
Demand release of persons or property,Criticize or denounce,3,5,0.6,0.005806719203649938
Criticize or denounce,Accede to demands for change in leadership,43,2406,0.017871986699916874,0.020123203285420943
Accede to demands for change in leadership,Criticize or denounce,6,29,0.20689655172413793,0.020123203285420943
Criticize or denounce,"Demand change in institutions, regime",3,2406,0.0012468827930174563,0.0016570008285004142
"Demand change in institutions, regime",Criticize or denounce,1,8,0.125,0.0016570008285004142
Criticize or denounce,Appeal for easing of administrative sanctions,9,2406,0.003740648379052369,0.004960727573377429
Appeal for easing of administrative sanctions,Criticize or denounce,3,13,0.23076923076923078,0.004960727573377429
Criticize or denounce,Appeal for release of persons or property,47,2406,0.019534497090606815,0.024630541871921183
Appeal for release of persons or property,Criticize or denounce,13,30,0.43333333333333335,0.024630541871921183
Criticize or denounce,Demonstrate for policy change,0,2406,0.0,0.0
Demonstrate for policy change,Criticize or denounce,0,4,0.0,0.0
Criticize or denounce,Appeal for aid,56,2406,0.023275145469659187,0.027182866556836903
Appeal for aid,Criticize or denounce,10,22,0.45454545454545453,0.027182866556836903
Criticize or denounce,Appeal for rights,38,2406,0.015793848711554447,0.01780538302277433
Appeal for rights,Criticize or denounce,5,9,0.5555555555555556,0.01780538302277433
Criticize or denounce,Appeal to engage in or accept mediation,62,2406,0.025768911055694097,0.03034030340303403
Appeal to engage in or accept mediation,Criticize or denounce,12,33,0.36363636363636365,0.03034030340303403
Criticize or denounce,Engage in judicial cooperation,18,2406,0.007481296758104738,0.007864238410596027
Engage in judicial cooperation,Criticize or denounce,1,10,0.1,0.007864238410596027
Criticize or denounce,Engage in violent protest for rights,0,2406,0.0,0.0
Engage in violent protest for rights,Criticize or denounce,0,1,0.0,0.0
Criticize or denounce,Express intent to mediate,11,2406,0.00457190357439734,0.006198347107438017
Express intent to mediate,Criticize or denounce,4,14,0.2857142857142857,0.006198347107438017
Criticize or denounce,Expel or withdraw peacekeepers,3,2406,0.0012468827930174563,0.0016597510373443983
Expel or withdraw peacekeepers,Criticize or denounce,1,4,0.25,0.0016597510373443983
Criticize or denounce,Appeal for military protection or peacekeeping,1,2406,0.00041562759767248546,0.0008309098462816784
Appeal for military protection or peacekeeping,Criticize or denounce,1,1,1.0,0.0008309098462816784
Criticize or denounce,Accuse of war crimes,12,2406,0.004987531172069825,0.00663075010360547
Accuse of war crimes,Criticize or denounce,4,7,0.5714285714285714,0.00663075010360547
Criticize or denounce,Reject military cooperation,35,2406,0.014546965918536992,0.0157741801577418
