,head,relation,tail,time
145,Wen Jiabao,Consult,Tony Blair,2005-09-05
146,China,Host a visit,Shivraj Patil,2005-09-06
147,Shivraj Patil,Express intent to meet or negotiate,China,2005-09-06
148,Japan,Express intent to cooperate,South Korea,2005-09-14
149,South Korea,Investigate,Japan,2005-09-14
150,Tony Blair,Make a visit,China,2005-09-20
151,Benjamin William Mkapa,Make a visit,South Africa,2005-09-20
152,China,Host a visit,Tony Blair,2005-09-20
153,South Africa,Host a visit,Benjamin William Mkapa,2005-09-20
154,China,Consult,Japan,2005-09-21
155,Japan,Complain officially,China,2005-09-21
156,Japan,Express intent to cooperate,China,2005-09-21
157,Angela Merkel,Express intent to cooperate,Gerhard Schröder,2005-09-22
158,Gerhard Schröder,Engage in negotiation,Angela Merkel,2005-09-22
159,UN Security Council,Provide military protection or peacekeeping,Sudan,2005-09-24
160,Sudan,Receive deployment of peacekeepers,UN Security Council,2005-09-24
161,China,Make a visit,Japan,2005-09-30
162,Japan,Host a visit,China,2005-09-30
163,Government (Sudan),Criticize or denounce,African Union,2005-10-02
164,African Union,Accuse,Government (Sudan),2005-10-02
165,China,Make optimistic comment,Iran,2005-10-13
166,Iran,Express intent to meet or negotiate,China,2005-10-13
167,South Korea,Host a visit,Thailand,2005-10-17
168,China,Consult,Japan,2005-10-17
169,Japan,Express intent to meet or negotiate,China,2005-10-17
170,Thailand,Make a visit,South Korea,2005-10-17
171,Japan,Reduce relations,China,2005-10-17
172,Japan,Express intent to cooperate,China,2005-10-17
173,South Korea,Host a visit,Robert Hill,2005-10-19
174,Japan,Host a visit,Foreign Affairs (South Korea),2005-10-19
175,Robert Hill,Make a visit,South Korea,2005-10-19
176,Foreign Affairs (South Korea),Express intent to meet or negotiate,Japan,2005-10-19
177,Donald Rumsfeld,Make statement,China,2005-10-21
178,China,Reject,Donald Rumsfeld,2005-10-21
179,Teodoro Obiang Nguema Mbasogo,Make a visit,China,2005-10-21
180,China,Host a visit,Teodoro Obiang Nguema Mbasogo,2005-10-21
181,China,Host a visit,Donald Rumsfeld,2005-10-21
182,Donald Rumsfeld,Make pessimistic comment,China,2005-10-21
183,China,Host a visit,Teodoro Obiang Nguema Mbasogo,2005-10-22
184,Teodoro Obiang Nguema Mbasogo,Express intent to meet or negotiate,China,2005-10-22
185,Undersecretary (United States),Make a visit,Aceh,2005-10-23
186,Carlos Saul Menem,Make a visit,Justicialist Party,2005-10-23
187,Justicialist Party,Host a visit,Carlos Saul Menem,2005-10-23
188,Aceh,Host a visit,Undersecretary (United States),2005-10-23
189,Thailand,Sign formal agreement,Malaysia,2005-10-26
190,Malaysia,Express intent to cooperate,Thailand,2005-10-26
191,Thailand,Demand,Malaysia,2005-10-26
192,Japan,Host a visit,Ali Abdullah Saleh,2005-10-27
193,Ali Abdullah Saleh,Express intent to meet or negotiate,Japan,2005-10-27
194,South Korea,Host a visit,Alberto Fujimori,2005-10-31
195,Alberto Fujimori,Make a visit,South Korea,2005-10-31
196,China,Express intent to cooperate economically,Vietnam,2005-11-01
197,Militia (Tanzania),Use unconventional violence,Military Personnel - Special (Tanzania),2005-11-01
198,Vietnam,Sign formal agreement,China,2005-11-01
199,Vietnam,Express intent to cooperate,China,2005-11-01
200,Military Personnel - Special (Tanzania),Use conventional military force,Militia (Tanzania),2005-11-01
201,James Wolfensohn,Make a visit,Mahmoud Abbas,2005-11-08
202,Mahmoud Abbas,Praise or endorse,James Wolfensohn,2005-11-08
203,South Korea,Threaten to reduce or break relations,Japan,2005-11-11
204,Japan,Engage in negotiation,South Korea,2005-11-11
205,Abu Salem,Make a visit,Portugal,2005-11-14
206,Portugal,Expel or deport individuals,Abu Salem,2005-11-14
207,China,Consult,South Korea,2005-11-17
208,China,Express intent to cooperate,South Korea,2005-11-17
209,South Korea,Sign formal agreement,China,2005-11-17
210,Mikulas Dzurinda,Engage in negotiation,Yuriy Yekhanurov,2005-11-24
211,Yuriy Yekhanurov,Consult,Mikulas Dzurinda,2005-11-24
212,Rafael Antonio Bielsa,Make a visit,China,2005-11-25
213,Angela Merkel,Make a visit,France,2005-11-25
214,China,Host a visit,Rafael Antonio Bielsa,2005-11-25
215,France,Host a visit,Angela Merkel,2005-11-25
216,Iran,Host a visit,Iraq,2005-12-01
217,Iraq,Use conventional military force,Iran,2005-12-01
218,China,Reduce or break diplomatic relations,Japan,2005-12-08
219,China,Make statement,Japan,2005-12-08
220,Roh Moo Hyun,Express intent to meet or negotiate,Malaysia,2005-12-08
221,Malaysia,Host a visit,Roh Moo Hyun,2005-12-08
222,Japan,Express intent to meet or negotiate,China,2005-12-08
223,Valdas Adamkus,Make a visit,Romania,2005-12-09
224,Romania,Host a visit,Valdas Adamkus,2005-12-09
225,China,Consult,Japan,2005-12-10
226,Japan,Make statement,China,2005-12-10
227,Iraq,Host a visit,Adil Abdul-Mahdi,2005-12-14
228,Adil Abdul-Mahdi,Make a visit,Iraq,2005-12-14
229,Bolivia,Praise or endorse,Evo Morales,2005-12-23
230,Evo Morales,Make statement,Bolivia,2005-12-23
231,Bolivia,Sign formal agreement,Evo Morales,2005-12-23
232,Bolivia,Host a visit,Evo Morales,2005-12-23
233,Citizen (Australia),Decline comment,Police (Australia),2005-12-29
234,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2005-12-29
235,China,Make statement,South Korea,2006-01-05
236,South Korea,Consult,China,2006-01-05
237,Evo Morales,Express intent to meet or negotiate,China,2006-01-09
238,China,Host a visit,Evo Morales,2006-01-09
239,Javier Solana,Meet at a 'third' location,France,2006-01-12
240,France,Express accord,Javier Solana,2006-01-12
241,Mexico,Host a visit,Valdas Adamkus,2006-01-17
242,Valdas Adamkus,Make a visit,Mexico,2006-01-17
243,Evo Morales,Make a visit,Bolivia,2006-01-22
244,Bolivia,Praise or endorse,Evo Morales,2006-01-22
245,Bolivia,Consult,Evo Morales,2006-01-22
246,Bolivia,Host a visit,Evo Morales,2006-01-29
247,Evo Morales,Make a visit,Bolivia,2006-01-29
248,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2006-01-30
249,Police (South Africa),Investigate,Men (South Africa),2006-01-30
250,Iran,Consult,France,2006-01-31
251,France,Reduce or break diplomatic relations,Iran,2006-01-31
252,China,Express intent to meet or negotiate,Japan,2006-02-07
253,Japan,Express intent to cooperate,China,2006-02-07
254,South Africa,Host a visit,Head of Government (Brazil),2006-02-08
255,Head of Government (Brazil),Make a visit,South Africa,2006-02-08
256,China,Accuse,Japan,2006-02-10
257,China,Consult,Japan,2006-02-10
258,Japan,Make an appeal or request,China,2006-02-10
259,Tony Blair,Consult,Angela Merkel,2006-02-17
260,Angela Merkel,Engage in negotiation,Tony Blair,2006-02-17
261,Pervez Musharraf,Make statement,China,2006-02-20
262,China,Host a visit,Pervez Musharraf,2006-02-20
263,Vietnam,Host a visit,Mikhail Yefimovich Fradkov,2006-02-22
264,Mikhail Yefimovich Fradkov,Make a visit,Vietnam,2006-02-22
265,Iran,Host a visit,Mahmoud Ahmadinejad,2006-02-27
266,Cambodia,Engage in diplomatic cooperation,Vietnam,2006-02-27
267,Mahmoud Ahmadinejad,Make a visit,Iran,2006-02-27
268,Vietnam,Sign formal agreement,Cambodia,2006-02-27
269,Angela Merkel,Engage in negotiation,Wen Jiabao,2006-03-02
270,Rashid Gumarovich Nurgaliyev,Make a visit,China,2006-03-02
271,Wen Jiabao,Discuss by telephone,Angela Merkel,2006-03-02
272,Mahmoud Ahmadinejad,Praise or endorse,Malaysia,2006-03-02
273,Malaysia,Consult,Mahmoud Ahmadinejad,2006-03-02
274,China,Host a visit,Rashid Gumarovich Nurgaliyev,2006-03-02
275,South Korea,Express intent to meet or negotiate,China,2006-03-10
276,China,Investigate,South Korea,2006-03-10
277,Roh Moo Hyun,Express intent to meet or negotiate,Japan,2006-03-17
278,Japan,Consult,Roh Moo Hyun,2006-03-17
279,Israeli Defense Forces,Make statement,"Armed Gang (Palestinian Territory, Occupied)",2006-03-17
280,"Armed Gang (Palestinian Territory, Occupied)",fight with small arms and light weapons,Israeli Defense Forces,2006-03-17
281,China,Engage in diplomatic cooperation,Vietnam,2006-03-21
282,Vietnam,Express intent to cooperate,China,2006-03-21
283,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2006-03-21
284,Japan,Express intent to meet or negotiate,China,2006-03-22
285,China,Consult,Japan,2006-03-22
286,China,Express intent to cooperate,Vietnam,2006-03-23
287,Vietnam,Engage in diplomatic cooperation,China,2006-03-23
288,China,Engage in negotiation,Japan,2006-03-24
289,Japan,Express intent to meet or negotiate,China,2006-03-24
290,Roh Moo Hyun,Express intent to meet or negotiate,Islam Karimov,2006-03-29
291,Islam Karimov,Engage in negotiation,Roh Moo Hyun,2006-03-29
292,Jack Straw,Consult,Iraq,2006-04-04
293,Iraq,Host a visit,Jack Straw,2006-04-04
294,China,Host a visit,Ali Abdullah Saleh,2006-04-07
295,Ali Abdullah Saleh,Praise or endorse,China,2006-04-07
296,Robert Wexler,Make statement,Abdullah Gül,2006-04-11
297,Abdullah Gül,Consult,Robert Wexler,2006-04-11
298,Royal Administration (Saudi Arabia),Express intent to meet or negotiate,Shaukat Aziz,2006-04-15
299,Shaukat Aziz,Praise or endorse,Royal Administration (Saudi Arabia),2006-04-15
300,Japan,Make statement,South Korea,2006-04-21
301,South Korea,Host a visit,Japan,2006-04-21
302,Japan,Engage in negotiation,South Korea,2006-04-21
303,South Korea,Sign formal agreement,Japan,2006-04-22
304,Japan,"Reject plan, agreement to settle dispute",South Korea,2006-04-22
305,Vietnam,Host a visit,Somsavat Lengsava,2006-05-04
306,Somsavat Lengsava,Make a visit,Vietnam,2006-05-04
307,Somsavat Lengsava,Express intent to meet or negotiate,Vietnam,2006-05-04
308,Japan,Make an appeal or request,China,2006-05-18
309,Japan,Express intent to cooperate,China,2006-05-18
310,China,Consult,Japan,2006-05-18
311,Japan,Make pessimistic comment,China,2006-05-18
312,Tony Blair,Praise or endorse,Nuri al-Maliki,2006-05-23
313,Nuri al-Maliki,Make statement,Tony Blair,2006-05-23
314,Thailand,Reject,Citizen (Thailand),2006-05-25
315,Citizen (Thailand),Demand,Thailand,2006-05-25
316,Iraq,Host a visit,Nuri al-Maliki,2006-06-03
317,Nuri al-Maliki,Make a visit,Iraq,2006-06-03
318,Javier Solana,Make a visit,Middle East,2006-06-05
319,Middle East,Host a visit,Javier Solana,2006-06-05
320,African Union,Host a visit,UN Security Council,2006-06-07
321,UN Security Council,Consult,African Union,2006-06-07
322,China,Make optimistic comment,Japan,2006-06-08
323,Governor (Thailand),Demand,Thailand,2006-06-08
324,China,Sign formal agreement,Japan,2006-06-08
325,Japan,Reduce relations,China,2006-06-08
326,Thailand,Provide economic aid,Governor (Thailand),2006-06-08
327,Militant (Taliban),Use unconventional violence,Employee (Afghanistan),2006-06-10
328,Employee (Afghanistan),Use conventional military force,Militant (Taliban),2006-06-10
329,Iran,Host a visit,Javier Solana,2006-06-15
330,Javier Solana,Make a visit,Iran,2006-06-15
331,Thailand,Make an appeal or request,Citizen (Thailand),2006-06-15
332,Citizen (Thailand),Express intent to meet or negotiate,Thailand,2006-06-15
333,Kazakhstan,Host a visit,Surakiart Sathirathai,2006-06-20
334,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),Surakiart Sathirathai,2006-06-20
335,Surakiart Sathirathai,Make a visit,Kazakhstan,2006-06-20
336,Wen Jiabao,Make a visit,Angola,2006-06-21
337,Angola,Host a visit,Wen Jiabao,2006-06-21
338,Iran,Engage in negotiation,Javier Solana,2006-06-28
339,Javier Solana,Make a visit,Iran,2006-06-28
340,Labor Activist (United States),Make a visit,South Korea,2006-07-07
341,South Korea,Host a visit,Labor Activist (United States),2006-07-07
342,Nuri al-Maliki,Consult,Donald Rumsfeld,2006-07-13
343,Donald Rumsfeld,Express intent to meet or negotiate,Nuri al-Maliki,2006-07-13
344,Laos,Consult,Vietnam,2006-07-20
345,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Laos,2006-07-20
346,China,Express intent to cooperate,Japan,2006-07-21
347,Japan,Engage in negotiation,China,2006-07-21
348,Foreign Affairs (France),Make a visit,Middle East,2006-07-23
349,Middle East,Host a visit,Foreign Affairs (France),2006-07-23
350,Japan,Consult,China,2006-07-26
351,Association of Southeast Asian Nations,Sign formal agreement,France,2006-07-26
352,France,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2006-07-26
353,China,Express intent to meet or negotiate,Japan,2006-07-26
354,China,Express intent to meet or negotiate,Japan,2006-07-27
355,Japan,Engage in negotiation,China,2006-07-27
356,Japan,Consult,China,2006-07-27
357,Pascal Affi N'Guessan,Make a visit,Legislature (Cote d'Ivoire),2006-07-31
358,Legislature (Cote d'Ivoire),Host a visit,Pascal Affi N'Guessan,2006-07-31
359,China,Host a visit,Japan Self-Defense Forces,2006-08-02
360,Japan Self-Defense Forces,Make a visit,China,2006-08-02
361,Malaysia,Express intent to de-escalate military engagement,Timor-Leste,2006-08-08
362,Timor-Leste,Receive deployment of peacekeepers,Malaysia,2006-08-08
363,Malaysia,Provide military aid,Timor-Leste,2006-08-08
364,Vietnam,Make a visit,China,2006-08-26
365,China,Engage in diplomatic cooperation,Vietnam,2006-08-26
366,High Ranking Military Personnel (Taiwan),Make a visit,Japan,2006-08-28
367,Japan,Host a visit,High Ranking Military Personnel (Taiwan),2006-08-28
368,China,Host a visit,Dmitry Anatolyevich Medvedev,2006-08-29
369,South Korea,Express intent to cooperate,China,2006-08-29
370,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,China,2006-08-29
371,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2006-08-29
372,Laos,Engage in diplomatic cooperation,Vietnam,2006-08-31
373,Vietnam,Provide aid,Laos,2006-08-31
374,Sudan,Give ultimatum,African Union,2006-09-04
375,African Union,Provide military protection or peacekeeping,Sudan,2006-09-04
376,Lawyer/Attorney (United Kingdom),Consider policy option,Citizen (United Kingdom),2006-09-04
377,Citizen (United Kingdom),Express intent to cooperate,Lawyer/Attorney (United Kingdom),2006-09-04
378,African Union,Provide military protection or peacekeeping,Sudan,2006-09-05
379,Sudan,Give ultimatum,African Union,2006-09-05
380,Kuomintang,Make a visit,China,2006-09-08
381,China,Host a visit,Kuomintang,2006-09-08
382,Tony Blair,Consult,Mahmoud Abbas,2006-09-11
383,Mahmoud Abbas,Express intent to cooperate,Tony Blair,2006-09-11
384,Police (Australia),Use conventional military force,Citizen (Australia),2006-09-13
385,Citizen (Australia),fight with small arms and light weapons,Police (Australia),2006-09-13
386,China,Express intent to settle dispute,Japan,2006-10-04
387,Japan,Engage in negotiation,China,2006-10-04
388,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2006-10-05
389,Japan,Express intent to cooperate,China,2006-10-05
390,Japan,Express intent to meet or negotiate,China,2006-10-08
391,China,Express intent to settle dispute,Japan,2006-10-08
392,China,"Declare truce, ceasefire",Japan,2006-10-08
393,Japan,Consult,China,2006-10-09
394,Japan,Express intent to meet or negotiate,China,2006-10-09
395,Muslim Cleric (Iran),Criticize or denounce,Iran,2006-10-09
396,China,"Declare truce, ceasefire",Japan,2006-10-09
397,Iran,"Arrest, detain, or charge with legal action",Muslim Cleric (Iran),2006-10-09
398,China,Make statement,South Korea,2006-10-11
399,South Korea,Consult,China,2006-10-11
400,Javier Solana,Engage in symbolic act,Foreign Affairs (Lebanon),2006-10-29
401,Tzipi Livni,"Reject proposal to meet, discuss, or negotiate",Qatar,2006-10-29
402,Qatar,Host a visit,Tzipi Livni,2006-10-29
403,Foreign Affairs (Lebanon),Consult,Javier Solana,2006-10-29
404,Islam Karimov,Make a visit,Kazakhstan,2006-11-04
405,Kazakhstan,Host a visit,Islam Karimov,2006-11-04
406,Oluṣẹgun Ọbasanjọ,Engage in negotiation,Roh Moo Hyun,2006-11-06
407,Roh Moo Hyun,Sign formal agreement,Oluṣẹgun Ọbasanjọ,2006-11-06
408,Oluṣẹgun Ọbasanjọ,Consult,Roh Moo Hyun,2006-11-06
409,Roh Moo Hyun,Engage in negotiation,Oluṣẹgun Ọbasanjọ,2006-11-06
410,Segolene Royal,Make a visit,Middle East,2006-12-01
411,China,Express intent to meet or negotiate,Japan,2006-12-01
412,Middle East,Host a visit,Segolene Royal,2006-12-01
413,Japan,Demand rights,China,2006-12-01
414,China,Engage in negotiation,Japan,2006-12-06
415,Sudan,Express intent to cooperate,African Union,2006-12-06
416,Japan,Consult,China,2006-12-06
417,African Union,Provide military protection or peacekeeping,Sudan,2006-12-06
418,Vietnam,Sign formal agreement,Laos,2006-12-07
419,Laos,Consult,Vietnam,2006-12-07
420,Head of Government (Chile),Make a visit,Bolivia,2006-12-08
421,Vietnam,Consult,Laos,2006-12-08
422,Laos,Sign formal agreement,Vietnam,2006-12-08
423,Bolivia,Host a visit,Head of Government (Chile),2006-12-08
424,Japan,Engage in diplomatic cooperation,China,2006-12-09
425,China,Make a visit,Japan,2006-12-09
426,Japan,Express intent to meet or negotiate,China,2006-12-18
427,China,Engage in negotiation,Japan,2006-12-18
428,Tony Blair,Make a visit,Middle East,2006-12-19
429,Middle East,Host a visit,Tony Blair,2006-12-19
430,Iran,Criticize or denounce,Mahmoud Ahmadinejad,2006-12-20
431,Mahmoud Ahmadinejad,Make statement,Iran,2006-12-20
432,China,Express intent to meet or negotiate,Japan,2007-01-05
433,Japan,Consult,China,2007-01-05
434,Men (South Africa),Use unconventional violence,Police (South Africa),2007-01-08
435,Police (South Africa),fight with small arms and light weapons,Men (South Africa),2007-01-08
436,China,Praise or endorse,Association of Southeast Asian Nations,2007-01-11
437,Association of Southeast Asian Nations,Make statement,China,2007-01-11
438,South Korea,Consult,China,2007-01-14
439,China,"Declare truce, ceasefire",South Korea,2007-01-14
440,Iraq,Host a visit,Mohammad Ali Jafari,2007-01-19
441,Mohammad Ali Jafari,Make a visit,Iraq,2007-01-19
442,Ethiopia,Host a visit,African Union,2007-01-21
443,African Union,Make a visit,Ethiopia,2007-01-21
444,South Africa,Host a visit,China,2007-01-22
445,China,Make a visit,South Africa,2007-01-22
446,African Union,Make a visit,Ethiopia,2007-01-23
447,Ethiopia,Host a visit,African Union,2007-01-23
448,China,Make an appeal or request,Japan,2007-01-25
449,Japan,Express intent to cooperate,China,2007-01-25
450,Citizen (Nigeria),Make an appeal or request,Oluṣẹgun Ọbasanjọ,2007-01-29
451,Oluṣẹgun Ọbasanjọ,Criticize or denounce,Citizen (Nigeria),2007-01-29
452,Sudan,Engage in diplomatic cooperation,China,2007-02-01
453,China,Express intent to meet or negotiate,Sudan,2007-02-01
454,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2007-02-13
455,Japan,Consult,China,2007-02-13
456,China,Make optimistic comment,Japan,2007-02-13
457,President of the Senate (Australia),Make a visit,Cambodia,2007-02-14
458,Cambodia,Host a visit,President of the Senate (Australia),2007-02-14
459,Head of Government (Turkmenistan),Engage in negotiation,Mikhail Yefimovich Fradkov,2007-02-15
460,China,Express intent to meet or negotiate,Japan,2007-02-15
461,Japan,Reject,China,2007-02-15
462,Mikhail Yefimovich Fradkov,Consult,Head of Government (Turkmenistan),2007-02-15
