,head,relation,tail,time
169,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-10-31
170,Japan,Express intent to meet or negotiate,China,2006-07-27
171,Tony Blair,Engage in negotiation,Nasser Judeh,2012-04-24
172,China,Engage in diplomatic cooperation,Vietnam,2006-03-21
173,Angela Merkel,Express intent to engage in diplomatic cooperation (such as policy support),Alexis Tsipras,2015-03-23
174,Malaysia,Make a visit,Vietnam,2010-05-13
175,France,Express intent to engage in diplomatic cooperation (such as policy support),Romania,2010-09-10
176,Le Hong Anh,Make a visit,China,2014-08-26
177,China,Express intent to meet or negotiate,Cambodia,2005-07-05
178,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2005-10-03
179,Japan,Provide economic aid,Bolivia,2010-12-08
180,Head of Government (Burundi),Make a visit,Iran,2013-04-09
181,Citizen (Nigeria),Express intent to cooperate,Government (Nigeria),2015-02-26
182,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2012-10-25
183,Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria),2011-04-22
184,Association of Southeast Asian Nations,Engage in negotiation,Japan,2006-06-28
185,Barack Obama,Praise or endorse,Abdel Fattah Al-Sisi,2014-06-10
186,Police (Croatia),"Arrest, detain, or charge with legal action",Citizen (Croatia),2009-02-06
187,Japan,Consult,Association of Southeast Asian Nations,2013-12-12
188,China,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2010-06-10
189,Citizen (Nigeria),Appeal for military aid,Government (Nigeria),2011-07-28
190,Yoshihiko Noda,Make statement,Japan,2011-11-04
191,Vietnam,Coerce,Citizen (Australia),2008-03-22
192,Emperor Akihito,Consult,Xi Jinping,2009-12-15
193,Japan,Engage in negotiation,South Korea,2010-11-18
194,Kazakhstan,Host a visit,Surakiart Sathirathai,2006-06-20
195,Mahmoud Ahmadinejad,Make statement,Iran,2010-03-11
196,Rafael Correa,Make statement,Evo Morales,2009-05-24
197,Likud,Sign formal agreement,Benjamin Netanyahu,2009-03-18
198,Vietnam,Provide economic aid,Laos,2009-02-05
199,Police (Australia),"Abduct, hijack, or take hostage",Women (Australia),2011-10-21
200,Police (Australia),Investigate,Citizen (Australia),2007-09-07
201,Xi Jinping,Praise or endorse,Qatar,2011-01-12
202,Japan,Engage in diplomatic cooperation,Association of Southeast Asian Nations,2007-11-21
203,Citizen (Thailand),Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2009-01-07
204,Benazir Bhutto,Demand,Pervez Musharraf,2007-08-16
205,Sudan,Praise or endorse,Barack Obama,2009-01-20
206,Head of Government (Brazil),Praise or endorse,Cristina Fernández de Kirchner,2007-10-30
207,Segolene Royal,Make statement,China,2007-01-08
208,South Korea,Demand,Japan,2015-10-16
209,China,Engage in diplomatic cooperation,Japan,2013-01-31
210,Wen Jiabao,Consult,Helmut Schmidt,2012-04-22
211,Angel Luis D'Elia,Make statement,Iran,2007-03-02
212,Abdul Kalam,Praise or endorse,Carlo Azeglio Ciampi,2005-02-14
213,Xi Jinping,Make an appeal or request,China,2015-05-28
214,Xi Jinping,Engage in diplomatic cooperation,Barack Obama,2013-05-28
215,Police (Australia),Make an appeal or request,Citizen (Australia),2007-05-31
216,China,Consult,Japan,2008-07-22
217,Emperor Akihito,Make statement,Xi Jinping,2009-12-15
218,Ministry (Brazil),"Arrest, detain, or charge with legal action",Citizen (Brazil),2012-08-18
219,China,Sign formal agreement,Kazakhstan,2007-11-08
220,Japan,Host a visit,South Korea,2008-06-19
221,Colombia,Praise or endorse,Thailand,2015-11-18
222,Japan,Consult,China,2015-10-15
223,Iran,Express intent to cooperate,Iraq,2008-02-25
224,Lee Myung Bak,Praise or endorse,Barack Obama,2009-10-10
225,Israeli Defense Forces,Use conventional military force,"Armed Gang (Palestinian Territory, Occupied)",2006-07-06
226,Barack Obama,Make statement,Iraq,2011-10-22
227,Cambodia,Reduce or break diplomatic relations,Thailand,2009-11-06
228,China,Consult,Japan,2007-05-29
229,Ministry (Nigeria),Make statement,Government (Nigeria),2013-02-26
230,Iraq,Engage in diplomatic cooperation,Iran,2008-02-21
231,South Korea,Engage in diplomatic cooperation,Japan,2005-08-26
232,Head of Government (Egypt),Praise or endorse,Head of Government (Cyprus),2015-04-29
233,South Korea,Express intent to cooperate,China,2006-07-26
234,China,Consult,France,2006-01-25
235,Barack Obama,Express intent to meet or negotiate,Iran,2009-09-25
236,Japan,Criticize or denounce,China,2006-03-07
237,Japan,Engage in diplomatic cooperation,China,2005-12-11
238,Pech,fight with small arms and light weapons,Citizen (United Kingdom),2005-09-15
239,Police (Australia),Investigate,Citizen (Australia),2012-04-09
240,China,Consult,South Korea,2014-04-17
241,China,Threaten,Japan,2005-06-02
242,China,Make an appeal or request,Iran,2007-03-26
243,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-09-16
244,Yoshihiko Noda,Consult,Lien Chan,2012-09-10
245,Iraq,Consult,Donald Rumsfeld,2005-04-12
246,Police (Australia),Make an appeal or request,Citizen (Australia),2008-05-24
247,South Korea,Express intent to meet or negotiate,China,2005-09-19
248,UN Security Council,Appeal for diplomatic cooperation (such as policy support),Iraq,2010-02-27
249,Thailand,Express intent to cooperate,Malaysia,2005-11-24
250,Mahmoud Ahmadinejad,Make a visit,Iran,2010-04-29
251,China,Consult,Japan,2011-05-13
252,Japan,Express intent to engage in diplomatic cooperation (such as policy support),Bolivia,2010-12-08
253,China,Host a visit,Shivshankar Menon,2010-07-07
254,Barack Obama,Express intent to meet or negotiate,China,2009-04-02
255,Thailand,Engage in negotiation,Cambodia,2011-02-11
256,France,Make a visit,Iran,2015-09-21
257,Head of Government (Burundi),Engage in negotiation,Iran,2013-04-09
258,Benjamin Netanyahu,Host a visit,Angela Merkel,2011-04-07
259,Barack Obama,Praise or endorse,China,2009-04-02
260,Tsai Ing-wen,Criticize or denounce,Ma Ying Jeou,2011-10-21
261,China,Consult,Japan,2008-10-06
262,South Korea,Make an appeal or request,China,2010-12-07
263,South Korea,Consult,China,2011-03-19
264,China,Express intent to cooperate,Japan,2005-04-18
265,Ministry (Nigeria),Praise or endorse,Government (Nigeria),2012-07-17
266,Police (South Africa),fight with small arms and light weapons,Men (South Africa),2008-02-13
267,Raúl Castro,Consult,Barack Obama,2015-04-15
268,Valdas Adamkus,Make statement,Foreign Affairs (India),2009-05-18
269,Islam Karimov,Consult,Gurbanguly Berdymukhammedov,2007-10-18
270,Japan,Engage in diplomatic cooperation,South Korea,2008-10-21
271,Government (Guinea-Bissau),Host a visit,Muhammad VI,2015-05-28
272,Chuck Hagel,Consult,Ismaïl Omar Guelleh,2014-05-09
273,Dmitry Anatolyevich Medvedev,Consult,Barack Obama,2010-12-23
274,African Union,Express intent to provide military protection or peacekeeping,Sudan,2006-09-19
275,Police (Australia),Make pessimistic comment,Citizen (Australia),2010-04-01
276,Thailand,Sign formal agreement,Cambodia,2009-11-10
277,Mahmoud Abbas,Meet at a 'third' location,Tzipi Livni,2014-05-18
278,Head of Government (Brazil),Discuss by telephone,Cristina Fernández de Kirchner,2007-10-30
279,Nuri al-Maliki,Increase police alert status,Iraq,2014-06-10
280,China,Deny responsibility,Japan,2006-04-03
281,Iran,Host a visit,Iraq,2008-05-06
282,Dmitry Anatolyevich Medvedev,Praise or endorse,Barack Obama,2009-04-02
283,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-08-22
284,Japan,Express intent to meet or negotiate,China,2006-12-18
285,Japan,Engage in diplomatic cooperation,China,2006-10-27
286,Evo Morales,Sign formal agreement,Xi Jinping,2013-12-20
287,Israeli Defense Forces,fight with small arms and light weapons,"Women (Palestinian Territory, Occupied)",2015-11-06
288,Benjamin Netanyahu,Express intent to meet or negotiate,Angela Merkel,2011-04-07
289,Government (Nigeria),Express intent to meet or negotiate,Citizen (Nigeria),2009-10-05
290,Mahmoud Ahmadinejad,Make a visit,Iran,2010-03-11
291,Mahmoud Abbas,Consult,Barack Obama,2010-06-02
292,South Korea,Express intent to meet or negotiate,Japan,2015-12-11
293,Lee Myung Bak,Engage in negotiation,Dmitry Anatolyevich Medvedev,2008-10-01
294,Criminal (Zambia),Use unconventional violence,Citizen (Zambia),2008-10-21
295,China,Reject,Donald Rumsfeld,2005-10-21
296,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2015-08-03
297,Segolene Royal,Criticize or denounce,Angela Merkel,2007-03-06
298,Barack Obama,Make statement,Iran,2009-03-04
299,UN Security Council,Consider policy option,Iran,2007-03-21
300,China,Express intent to meet or negotiate,Japan,2012-09-25
301,Dmitry Anatolyevich Medvedev,Consult,Angela Merkel,2010-07-15
302,Wen Jiabao,Sign formal agreement,Association of Southeast Asian Nations,2007-01-14
303,Japan,Express intent to provide material aid,United Arab Emirates,2007-12-17
304,Raul Hernandez,Make statement,China,2012-06-27
305,Lawyer/Attorney (United Kingdom),Threaten,Citizen (United Kingdom),2006-11-07
306,Abhisit Vejjajiva,Yield,Protester (Thailand),2010-04-04
307,Lee Myung Bak,Engage in negotiation,Dmitry Anatolyevich Medvedev,2010-11-10
308,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2005-06-06
309,Bertie Ahern,Praise or endorse,Ian Paisley,2007-04-26
310,Japan,Criticize or denounce,Lee Myung Bak,2012-08-26
311,Alexis Tsipras,Express accord,Xi Jinping,2015-09-29
312,Barack Obama,Make an appeal or request,Benjamin Netanyahu,2009-05-18
313,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2006-10-13
314,Japan,Express intent to meet or negotiate,South Korea,2008-06-19
315,Police (Australia),Make an appeal or request,Citizen (Australia),2006-08-28
316,Police (Bulgaria),"Arrest, detain, or charge with legal action",Citizen (Bulgaria),2008-07-31
317,Police (Australia),Make an appeal or request,Citizen (Australia),2010-03-08
318,Wang Yi,Make a visit,Iraq,2014-02-23
319,Citizen (Greece),Praise or endorse,Alexis Tsipras,2015-07-15
320,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2008-02-13
321,Japan,Express intent to engage in diplomatic cooperation (such as policy support),United Arab Emirates,2007-12-17
322,Foreign Affairs (South Korea),Make a visit,Iran,2005-10-20
323,Mahmoud Ahmadinejad,Make a visit,Iran,2007-08-27
324,Japan,Engage in negotiation,China,2006-09-18
325,Thailand,Consider policy option,Cambodia,2009-11-06
326,Tony Blair,Engage in symbolic act,Mahmoud Abbas,2006-12-18
327,Japan,Express intent to meet or negotiate,China,2008-05-06
328,Barack Obama,Consult,Lee Myung Bak,2011-10-14
329,Citizen (Australia),Threaten,Police (Australia),2008-11-28
330,Mahmoud Ahmadinejad,Make a visit,Iran,2008-01-30
331,South Korea,Make pessimistic comment,China,2014-07-03
332,Tony Blair,Make statement,Iran,2006-07-16
333,Japan,Host a visit,China,2008-05-06
334,Barack Obama,Provide military protection or peacekeeping,Iraq,2014-06-17
335,Militia (South Korea),Threaten with military force,South Korea,2007-09-03
336,China,Express intent to cooperate,Iran,2015-09-15
337,Tony Blair,Host a visit,Mahmoud Abbas,2006-12-18
338,Dmitry Anatolyevich Medvedev,Praise or endorse,Shimon Peres,2009-08-18
339,Tony Blair,Consult,Wen Jiabao,2005-09-05
340,Japan,"Declare truce, ceasefire",South Korea,2015-03-16
341,Cambodia,Sign formal agreement,Vietnam,2006-12-06
342,Sudan,Expel or deport individuals,Doctors Without Borders,2008-06-26
343,France,Make optimistic comment,Iran,2006-06-22
344,Military Personnel - Special (Afghanistan),fight with small arms and light weapons,Attacker (Afghanistan),2011-11-03
345,Police (Australia),Accuse,Citizen (Australia),2007-01-08
346,Militia (South Korea),Accuse,South Korea,2007-09-03
347,Children (Netherlands),Consider policy option,Business (Netherlands),2012-09-24
348,Police (Australia),Investigate,Citizen (Australia),2005-03-28
349,Grand National Party,Consult,Lee Myung Bak,2007-08-28
350,China,Consider policy option,Iran,2010-05-18
351,China,Sign formal agreement,Cambodia,2005-07-05
352,Ma Ying Jeou,Demand,Xi Jinping,2015-11-07
353,Cambodia,Yield,Thailand,2009-11-17
354,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2012-10-04
355,South Korea,Make an appeal or request,Japan,2009-01-07
356,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2006-01-27
357,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2007-02-13
358,South Korea,Engage in negotiation,China,2009-10-10
359,Japan,Retreat or surrender militarily,Iraq,2006-06-26
360,China,Make an appeal or request,Iran,2006-01-17
361,Lawyer/Attorney (Australia),Make statement,Medical Personnel (India),2007-07-28
362,China,Express intent to meet or negotiate,Japan,2005-12-08
363,France,Express intent to cooperate,Romania,2010-08-27
364,Mahmoud Ahmadinejad,Make optimistic comment,Iran,2007-08-27
365,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2007-06-22
366,Sudan,Accuse,South Sudan,2012-03-27
367,Thailand,Sign formal agreement,Cambodia,2008-07-03
368,Police (Australia),Make an appeal or request,Citizen (Australia),2009-05-16
369,China,Meet at a 'third' location,Japan,2009-02-22
370,South Korea,Make statement,China,2010-12-07
371,Laos,Make a visit,Vietnam,2008-11-06
372,Jaroslav Palas,Make statement,Mexico,2005-02-08
373,Police (Australia),Use conventional military force,Citizen (Australia),2008-02-19
374,Barack Obama,Make a visit,China,2014-10-02
375,Citizen (Australia),Make an appeal or request,Police (Australia),2010-02-16
376,Rafael Correa,Make statement,Colombia,2008-03-04
377,Iran,Use conventional military force,Yemen,2015-04-30
378,Mexico,Express intent to meet or negotiate,China,2009-07-09
379,Sudan,Sign formal agreement,South Sudan,2012-09-27
380,Japan,Consult,South Korea,2005-09-13
381,Oluṣẹgun Ọbasanjọ,Halt negotiations,Togo,2005-02-11
382,Angela Merkel,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2010-07-14
383,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2009-01-27
384,Citizen (Australia),"Defy norms, law",Julia Gillard,2013-03-21
385,Barack Obama,Cooperate economically,South Korea,2009-06-16
386,Oluṣẹgun Ọbasanjọ,"Reject proposal to meet, discuss, or negotiate",Togo,2005-02-11
387,Portugal,Consult,Royal Administration (Spain),2014-07-07
388,Javier Solana,Engage in negotiation,Iran,2006-07-05
389,China,Make statement,South Korea,2006-01-05
390,Chuck Hagel,Make statement,Sergey Kuzhugetovich Shoygu,2013-12-17
391,China,Make optimistic comment,Japan,2005-04-17
392,Israeli Defense Forces,fight with small arms and light weapons,al-Aqsa Martyrs' Brigades,2006-08-31
393,UN Security Council,Demand de-escalation of military engagement,Sudan,2013-11-18
394,Japan,Express intent to cooperate,South Korea,2005-05-25
395,Police (Australia),Accuse,Citizen (Australia),2008-04-03
396,Thailand,Ease administrative sanctions,Citizen (Thailand),2006-11-10
397,Japan,Express intent to meet or negotiate,China,2006-10-09
398,Barack Obama,Consult,Benjamin Netanyahu,2009-05-14
399,China,Engage in diplomatic cooperation,Association of Southeast Asian Nations,2006-11-03
400,Japan,Express intent to cooperate,China,2006-05-18
401,China,Make statement,Japan,2005-12-08
402,Police (Australia),Investigate,Citizen (Australia),2009-07-21
403,South Korea,Reject,Japan,2008-07-17
404,Mahmoud Ahmadinejad,Make statement,Iran,2013-01-22
405,Police (Australia),Make an appeal or request,Citizen (Australia),2014-08-20
406,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Cambodia,2015-11-22
407,China,Reject,Japan,2007-04-12
408,Police (Australia),Demand,Citizen (Australia),2009-02-03
409,Benjamin Netanyahu,Make a visit,Barack Obama,2010-03-24
410,Liberal Party (Hong Kong),Make statement,Lawmaker (Hong Kong),2008-10-07
411,Police (Australia),Investigate,Citizen (Australia),2007-08-01
412,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2008-06-12
413,Congress (United States),Make an appeal or request,Jusuf Kalla,2009-02-09
414,Ramtane Lamamra,Make a visit,Mauritania,2014-05-16
415,Citizen (United Kingdom),Threaten,Margaret Hodge,2006-05-05
416,Lee Myung Bak,Make statement,Barack Obama,2009-11-19
417,Bolivia,Sign formal agreement,Evo Morales,2005-12-23
418,Donald Rumsfeld,Accuse,China,2005-06-04
419,Insurgent (Thailand),Use unconventional violence,Thailand,2005-10-21
420,Japan,Express intent to cooperate,China,2006-07-21
421,Mahmoud Abbas,Praise or endorse,Barack Obama,2009-01-21
422,Treasury/Finance Ministry (Egypt),Express intent to meet or negotiate,International Monetary Fund,2013-10-31
423,UN Security Council,Criticize or denounce,Sudan,2006-11-23
424,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2011-07-28
425,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Angela Merkel,2008-07-07
426,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),Surakiart Sathirathai,2006-06-20
427,Head of Government (South Korea),Consult,Barack Obama,2011-12-19
428,South Korea,Criticize or denounce,Japan,2005-11-08
429,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2007-01-08
430,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-06-05
431,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2010-08-22
