head	relation	tail	time
Japan	Express intent to cooperate	South Korea	2005-10-27
Political Parties (Nepal)	Consult	Head of Government (India)	2006-04-20
Vietnam	Engage in diplomatic cooperation	France	2012-03-27
Dmitry Anatolyevich Medvedev	Express intent to cooperate	Barack Obama	2010-04-08
China	Express intent to cooperate	South Korea	2006-10-19
Dmitry Anatolyevich Medvedev	Consult	Daniel Ortega	2008-11-28
Mexico	Express intent to cooperate	Guatemala	2011-07-28
Catherine Ashton	Consult	Mahmoud Abbas	2011-06-19
Royal Administration (Saudi Arabia)	Engage in negotiation	Muhammad VI	2007-03-12
Nuri al-Maliki	Engage in negotiation	Massoud Barzani	2007-02-25
Head of Government (Ukraine)	Consult	Angela Merkel	2014-07-15
Member of Parliament (India)	Consult	Meira Kumar	2013-04-25
Japan	Express intent to cooperate	China	2015-11-03
Party Member (Canada)	Consult	Aguinaldo Jaime	2006-10-29
Qatar	Engage in diplomatic cooperation	China	2015-12-14
Civil Guard	Consult	Associated Press	2008-10-03
Business (Canada)	Engage in negotiation	Finance / Economy / Commerce / Trade Ministry (Canada)	2012-07-25
Head of Government (Egypt)	Consult	Barack Obama	2014-09-26
China	Sign formal agreement	Japan	2014-03-16
Mwai Kibaki	Consult	Benjamin William Mkapa	2008-12-11
Togo	Sign formal agreement	China	2015-05-01
Barack Obama	Consult	Royal Administration (Saudi Arabia)	2014-11-19
Japan	Engage in negotiation	Association of Southeast Asian Nations	2005-01-08
Iran	Engage in negotiation	Barack Obama	2015-07-15
Evo Morales	Consult	Government (France)	2014-08-01
Ministry (South Korea)	Consult	International Maritime Organization	2005-03-19
Preacher (Iran)	Consult	Iran	2015-04-06
Ministry of Public Security (China)	Consult	Ministry (Brazil)	2006-09-22
France	Sign formal agreement	Ethiopia	2011-06-23
South Korea	Sign formal agreement	Japan	2009-02-11
Wen Jiabao	Engage in negotiation	Viktor Orban	2011-06-25
Japan	Consult	South Korea	2009-10-25
Foreign Affairs (Israel)	Consult	Other Authorities / Officials (Egypt)	2007-03-06
Lee Myung Bak	Engage in negotiation	Barack Obama	2011-10-17
Laos	Engage in diplomatic cooperation	Vietnam	2008-03-20
Ministry (Iran)	Consult	Sankei	2013-12-07
Julia Gillard	Consult	Australia Greens	2011-03-04
Iran	Engage in negotiation	France	2015-10-28
Rebel Commander (Cote d'Ivoire)	Engage in negotiation	Government (Cote d'Ivoire)	2006-07-03
Japan	Express intent to cooperate	South Korea	2006-12-23
Abdullah Gül	Engage in negotiation	South Korea	2010-08-17
Chuck Hagel	Consult	Radoslaw Sikorski	2008-11-23
Barack Obama	Consult	Emperor Akihito	2014-04-13
Catherine Ashton	Consult	Mahmoud Abbas	2011-12-14
Thailand	Express intent to cooperate	Citizen (Thailand)	2006-06-14
Benjamin Netanyahu	Sign formal agreement	Tzipi Livni	2013-02-21
China	Consult	South Korea	2005-12-03
Iran	Meet at a 'third' location	International Monetary Fund	2014-04-08
Sudan	Consult	Ethiopia	2013-09-03
Secretary of State for the Home Department	Consult	Sindh High Court	2010-12-31
Party Member (Iraq)	Consult	Jack Straw	2006-04-03
China	Sign formal agreement	France	2015-10-21
Dmitry Anatolyevich Medvedev	Express intent to cooperate	Shimon Peres	2011-01-05
Muhammad VI	Sign formal agreement	Barack Obama	2014-04-03
Yoshihiko Noda	Engage in negotiation	Lee Myung Bak	2011-12-17
Ali Abdullah Saleh	Consult	Armed Rebel (Yemen)	2009-08-22
Association of Southeast Asian Nations	Engage in diplomatic cooperation	China	2005-08-25
Salvador Sánchez Cerén	Consult	Raúl Castro	2014-04-13
Cambodia	Engage in negotiation	Thailand	2011-02-11
Madagascar	Engage in diplomatic cooperation	China	2012-11-09
Cabinet / Council of Ministers / Advisors (United States)	Consult	George Yeo	2009-11-14
United Arab Emirates	Engage in negotiation	China	2014-02-10
Abdel Fattah Al-Sisi	Engage in negotiation	Head of Government (Ethiopia)	2014-06-11
Raúl Castro	Consult	Dmitry Olegovich Rogozin	2014-12-20
Thailand	Express intent to cooperate	Malaysia	2007-07-04
China	Engage in negotiation	Vietnam	2009-07-17
China	Consult	South Africa	2005-09-21
Laos	Sign formal agreement	Vietnam	2006-12-07
Lee Myung Bak	Express intent to cooperate	Barack Obama	2009-06-25
Head of Government (Greece)	Consult	Wen Jiabao	2008-06-24
France	Consult	Government (France)	2011-10-13
Peace and Security Council	Consult	Ethiopia	2011-03-10
South Korea	Express intent to cooperate	China	2011-07-25
Central Intelligence Agency	Sign formal agreement	Russian Foreign Intelligence Service	2010-07-09
France	Consult	Salim Idris	2013-07-23
Abhisit Vejjajiva	Consult	Cabinet / Council of Ministers / Advisors (Thailand)	2010-08-17
Argentine Navy	Engage in diplomatic cooperation	Business (Argentina)	2007-10-16
Media Personnel (Liberia)	Consult	Military Personnel (Liberia)	2006-08-18
Dmitry Anatolyevich Medvedev	Engage in negotiation	Benjamin Netanyahu	2009-09-20
Vietnam	Express intent to cooperate	China	2008-10-25
Justice Department/Ministery (South Korea)	Consult	Grand National Party	2009-02-12
Ma Ying Jeou	Sign formal agreement	People First Party Korea	2006-12-05
Thailand	Consult	Laos	2015-03-08
China	Consult	Cabinet / Council of Ministers / Advisors (United States)	2012-09-06
Head of Government (Egypt)	Express intent to cooperate	Yasuo Fukuda	2008-06-05
Okada Katsuya	Consult	Japan	2009-11-16
Peter Szijjarto	Engage in negotiation	Yerlan Idrisov	2015-04-01
Iran	Consult	Foreign Affairs (France)	2013-11-20
Abhisit Vejjajiva	Consult	Sondhi Limthongkul	2010-09-23
China	Consult	South Korea	2008-03-27
France	Engage in diplomatic cooperation	Yemen	2010-05-18
Abdel Fattah Al-Sisi	Consult	France	2014-11-21
South Korea	Consult	China	2015-09-05
Raheel Sharif	Meet at a 'third' location	Inter-Services Intelligence	2015-05-12
Alexis Tsipras	Consult	Cabinet / Council of Ministers / Advisors (Greece)	2015-01-28
Arseniy Yatsenyuk	Consult	Head of Government (Ukraine)	2015-03-21
Sudan	Engage in negotiation	South Sudan	2013-01-07
Laos	Consult	Vietnam	2005-12-29
Japan	Engage in diplomatic cooperation	Vietnam	2006-08-25
Barack Obama	Engage in negotiation	Raúl Castro	2015-04-15
Thailand	Sign formal agreement	Cambodia	2011-09-12
Javier Solana	Consult	Vlado Buckovski	2006-03-23
Ian Paisley	Consult	Tony Blair	2005-08-04
Police (Kenya)	Consult	Francis Muthaura	2006-03-07
Thailand	Engage in diplomatic cooperation	Colombia	2013-07-16
South Korea	Sign formal agreement	Association of Southeast Asian Nations	2006-08-24
Eritrea	Engage in diplomatic cooperation	Sudan	2011-02-17
Envoy (United States)	Consult	South Korea	2009-12-07
Mahmoud Abbas	Engage in negotiation	Barack Obama	2009-09-23
France	Consult	UN Security Council	2011-12-08
Sali Berisha	Consult	Hilmi Özkök	2006-06-21
Health Ministry (Egypt)	Consult	Head of Government (Egypt)	2015-06-21
Mexico	Consult	Cristina Fernández de Kirchner	2008-03-07
Abdullah Gül	Consult	Mladen Ivanic	2005-09-19
Haaretz	Consult	Mahmoud Abbas	2015-01-02
Foreign Affairs (Syria)	Consult	Ali Muhammad Mujawar	2008-03-24
Dmitry Anatolyevich Medvedev	Consult	Herman Van Rompuy	2010-12-07
Paulo Antonio Skaf	Consult	Head of Government (Brazil)	2014-07-25
Japan	Sign formal agreement	Timor-Leste	2005-01-25
Associated Press	Discuss by telephone	Lawyer/Attorney (Non-Governmental Organizations)	2011-10-24
Wang Yi	Consult	Foreign Affairs (Zimbabwe)	2014-08-25
Rashid Gumarovich Nurgaliyev	Engage in negotiation	Gennady Andreyevich Zyuganov	2005-04-28
Vietnam	Engage in diplomatic cooperation	Japan	2007-12-04
Antonis Samaras	Consult	Angela Merkel	2012-10-09
Raúl Castro	Discuss by telephone	Barack Obama	2015-01-01
Barack Obama	Consult	Dmitry Anatolyevich Medvedev	2012-05-16
Islamic Preacher (Iran)	Consult	Iran	2015-06-13
Edgars Rinkevics	Consult	Gilbert Saboya Sunyé	2015-09-16
China	Consult	Japan	2007-06-09
Hannah Tetteh	Engage in negotiation	Wang Yi	2015-07-20
Ali Abdullah Saleh	Sign formal agreement	Gerhard Schröder	2005-03-03
Portugal	Consult	Head of Government (Portugal)	2008-07-17
China	Consult	United Arab Emirates	2008-05-05
China	Consult	South Korea	2015-10-26
Gerhard Schröder	Sign formal agreement	Angela Merkel	2005-11-13
Agustín Carstens	Consult	China	2011-06-17
Ethiopia	Engage in diplomatic cooperation	Sudan	2015-01-06
Barack Obama	Consult	Mahmoud Abbas	2014-03-10
Cambodia	Sign formal agreement	Vietnam	2006-02-27
Court Judge (United Kingdom)	Consult	John Githongo	2006-03-28
Vietnam	Consult	Laos	2009-03-05
Subrahmanyam Jaishankar	Consult	Cabinet / Council of Ministers / Advisors (United States)	2015-02-20
Iraq	Consult	Kuwait	2012-07-02
Algirdas Butkevičius	Consult	Representatives (Japan)	2013-07-16
Other Authorities / Officials (New Zealand)	Consult	Mike Rann	2008-09-29
Foreign Affairs (Belgium)	Engage in negotiation	Shivraj Patil	2013-05-07
Member of Parliament (Australia)	Consult	City Mayor (Australia)	2009-06-12
Daniel Scioli	Consult	Carlos Saul Menem	2014-12-03
Michael Sata	Consult	Guy Scott	2014-07-11
Roh Moo Hyun	Engage in negotiation	Islam Karimov	2006-03-29
Mexico	Consult	Barack Obama	2012-06-20
Colombia	Engage in negotiation	United Self-Defense Forces of Colombia	2008-10-16
Xi Jinping	Consult	Barack Obama	2013-06-13
United Progressive Alliance	Engage in negotiation	Mahmoud Abbas	2005-05-21
Bertie Ahern	Consult	Mark Durkan	2006-03-03
Kazakhstan	Sign formal agreement	Iran	2007-10-16
Al Sharq al Awsat	Discuss by telephone	Muslim (United Kingdom)	2005-06-15
Cristina Fernández de Kirchner	Consult	Wen Jiabao	2012-06-25
Envoy (United States)	Consult	Mahmoud Abbas	2010-01-22
Mahmoud Abbas	Consult	Benjamin Netanyahu	2014-08-29
China	Engage in negotiation	Tony Blair	2005-09-05
Kim Kye Gwan	Engage in negotiation	Envoy (United States)	2009-12-10
Raúl Castro	Engage in negotiation	Xi Jinping	2011-06-07
China	Engage in negotiation	South Korea	2011-07-29
Labor and Employment Ministry (Bahrain)	Consult	Head of Government (Bahrain)	2014-01-09
Cambodia	Consult	Lesotho	2007-12-15
South Korea	Engage in negotiation	China	2005-10-06
Barack Obama	Discuss by telephone	Dmitry Anatolyevich Medvedev	2009-11-30
Pervez Musharraf	Engage in negotiation	Isaias Afewerki	2005-02-28
China	Consult	Japan	2015-07-17
Barack Obama	Consult	Foreign Affairs (India)	2009-11-26
Shinsuke Sugiyama	Consult	Liu Zhenmin	2014-09-11
Shimon Peres	Consult	Barack Obama	2011-04-06
Mahmoud Ahmadinejad	Consult	Dmitry Anatolyevich Medvedev	2010-11-18
Wilson Uwujaren	Discuss by telephone	Daily Trust	2015-07-08
South Korea	Engage in negotiation	China	2015-10-29
Head of Government (Cuba)	Consult	Alexis Tsipras	2015-11-30
Cabinet / Council of Ministers / Advisors (Denmark)	Consult	Foreign Affairs (Israel)	2005-01-21
Iran	Engage in negotiation	Business (Iran)	2014-05-07
Raúl Castro	Engage in negotiation	Head of Government (Brazil)	2008-01-14
Dmitry Anatolyevich Medvedev	Sign formal agreement	Barack Obama	2010-12-17
Mahmoud Abbas	Discuss by telephone	Benjamin Netanyahu	2012-11-29
Abu Salem	Consult	Sanjay Dutt	2005-11-22
Vietnam	Express intent to cooperate	China	2006-11-17
Iraq	Engage in diplomatic cooperation	Kuwait	2015-10-01
Lawyer/Attorney (Australia)	Consult	Police (Australia)	2013-10-18
Member of Legislative (Govt) (Syria)	Consult	Mahmoud Ahmadinejad	2011-10-04
Catherine Ashton	Consult	Political Parties (Egypt)	2013-07-31
South Korea	Express intent to cooperate	Mexico	2008-07-08
China	Consult	France	2013-03-16
M.R. Sharma	Express intent to cooperate	Jakaya Mrisho Kikwete	2009-02-20
China	Consult	Vietnam	2014-07-12
Governor (Austria)	Express intent to cooperate	Karl Erjavec	2015-11-25
Government (Sudan)	Consult	UN Security Council	2007-06-17
Head of Government (Kenya)	Engage in negotiation	Francis Muthaura	2009-01-07
Citizen (Belarus)	Express intent to cooperate	Government (Belarus)	2012-04-11
Barack Obama	Consult	Angela Merkel	2015-06-29
China	Consult	South Korea	2005-12-02
Muhammad Salem al-Ghabban	Engage in negotiation	Head of Government (Qatar)	2015-12-19
Muhammadu Buhari	Consult	Head of Government (Ghana)	2015-03-24
Police (Bosnia and Herzegovina)	Consult	Adnan Terzic	2005-09-09
Barack Obama	Consult	Head of Government (South Korea)	2011-12-19
Cristina Fernández de Kirchner	Meet at a 'third' location	Mahmoud Abbas	2009-03-31
Dominican Republic	Consult	Colombia	2006-06-02
Arseniy Yatsenyuk	Consult	Edward Fenech Adami	2008-07-10
Vietnam	Express intent to cooperate	Head of Government (India)	2007-07-06
Ramtane Lamamra	Engage in negotiation	South Sudan	2013-06-14
Abhisit Vejjajiva	Consult	Thailand	2006-08-02
China	Consult	Yemen	2009-04-14
Barack Obama	Engage in negotiation	China	2009-07-27
Dmitry Anatolyevich Medvedev	Consult	Ali Abdullah Saleh	2010-04-17
Patrick Manning	Sign formal agreement	Oluṣẹgun Ọbasanjọ	2005-08-02
Dmitry Anatolyevich Medvedev	Consult	Other Authorities / Officials (Russia)	2011-04-18
Business (South Korea)	Sign formal agreement	Iran	2011-10-08
Abdullah Gül	Sign formal agreement	Yasuo Fukuda	2008-06-06
Government (Sudan)	Engage in negotiation	Transitional Darfur Regional Authority	2007-08-02
Lee Myung Bak	Consult	Dmitry Anatolyevich Medvedev	2011-10-24
Jens Stoltenberg	Consult	Angela Merkel	2015-01-14
Roberto Kobeh González	Sign formal agreement	Information / Communication / Transparency Ministry (Indonesia)	2007-07-04
Head of Government (Kenya)	Consult	Daniel Arap Moi	2005-11-29
Party Member (Thailand)	Consult	Suwat Liptapanlop	2009-02-10
Thailand	Express intent to cooperate	Cambodia	2005-07-05
NTT Docomo	Consult	SoftBank	2012-02-22
Iran	Engage in diplomatic cooperation	China	2014-05-21
Japan	Engage in diplomatic cooperation	Iraq	2015-02-09
Cambodia	Meet at a 'third' location	Laos	2012-11-01
Sergey Bagapsh	Sign formal agreement	Dmitry Anatolyevich Medvedev	2009-07-10
Government (Pakistan)	Engage in negotiation	Pakistan People's Party	2007-10-11
Bureaucrat (Japan)	Consult	Ryutaro Hashimoto	2011-12-27
Xi Jinping	Engage in negotiation	Barack Obama	2013-07-01
France	Engage in diplomatic cooperation	Yemen	2006-02-12
Iraq	Engage in diplomatic cooperation	Iran	2015-10-17
Dmitry Anatolyevich Medvedev	Consult	Shimon Peres	2010-05-10
Barack Obama	Engage in negotiation	Abdullah Gül	2009-02-17
Abdullah Gül	Consult	Mahmoud Abbas	2009-01-23
Mahmoud Abbas	Engage in negotiation	Javier Solana	2006-06-06
Japan	Express intent to cooperate	South Korea	2005-07-12
Laos	Consult	Cambodia	2006-12-06
Alexis Tsipras	Engage in negotiation	Angela Merkel	2015-02-19
Angola	Engage in diplomatic cooperation	China	2012-06-09
South Africa	Consult	Media (Africa)	2006-07-03
Wen Jiabao	Meet at a 'third' location	Barack Obama	2012-11-20
Dmitry Anatolyevich Medvedev	Consult	Islam Karimov	2006-05-06
Xi Jinping	Consult	Islam Karimov	2014-09-12
South Sudan	Meet at a 'third' location	Sudan	2012-07-26
Cambodia	Engage in diplomatic cooperation	China	2011-02-21
Laos	Consult	Thailand	2007-10-15
Government (Pakistan)	Engage in negotiation	Militant (Taliban)	2015-08-17
Iraq	Engage in negotiation	Donald Rumsfeld	2006-07-12
China	Consult	South Korea	2015-02-27
China	Express intent to cooperate	Japan	2013-12-04
Barack Obama	Engage in negotiation	Angela Merkel	2010-11-12
Foreign Affairs (France)	Consult	Tzipi Livni	2006-08-24
Sheikh Hamad bin Khalifa al-Thani	Consult	Ali Abdullah Saleh	2005-09-12
Mahmoud Abbas	Consult	Royal Administration (Spain)	2011-04-12
Head of Government (Taiwan)	Consult	Businessperson (Taiwan)	2007-09-04
Foreign Affairs (Lebanon)	Consult	Iran	2010-08-10
Association of Southeast Asian Nations	Engage in negotiation	China	2005-04-27
Japan	Sign formal agreement	South Korea	2005-05-27
Cambodia	Express intent to cooperate	Vietnam	2007-12-08
Associated Press	Engage in negotiation	Iran	2008-07-22
South Korea	Sign formal agreement	Japan	2007-12-01
Malawi	Consult	Madagascar	2006-10-23
Representatives (Libya)	Consult	African Union	2011-04-26
Mikulas Dzurinda	Consult	Richard Sulík	2011-05-19
China	Express intent to cooperate	Japan	2010-05-03
Head of Government (Cameroon)	Consult	Attorney General (Cameroon)	2006-10-19
Mahmoud Abbas	Consult	Wang Yi	2013-12-19
Laos	Consult	Vietnam	2007-05-17
China	Express intent to cooperate	France	2015-11-02
Wen Jiabao	Engage in negotiation	Laos	2005-07-08
Barack Obama	Consult	Lawmaker (Holy See (Vatican City State))	2013-03-13
Mahmoud Abbas	Consult	Shimon Peres	2014-05-27
Kazakhstan	Express intent to cooperate	Japan	2007-04-26
Armed Rebel (Mali)	Engage in negotiation	Foreign Affairs (France)	2012-11-22
South Korea	Engage in diplomatic cooperation	Japan	2005-07-27
Minister Patnaik	Consult	Labor Union (India)	2009-09-28
Iran	Sign formal agreement	Oman	2011-04-25
Amit Shah	Consult	Member of Parliament (India)	2015-12-01
Yemen	Engage in negotiation	Pervez Musharraf	2005-12-06
Iraq	Express intent to cooperate	Iran	2008-09-08
South Korea	Express intent to cooperate	China	2006-05-09
Vietnam	Sign formal agreement	China	2015-11-06
Pope Tawadros II	Consult	Catherine Ashton	2013-10-04
Austria Press Agency	Consult	Police (Cote d'Ivoire)	2014-11-19
Angela Merkel	Consult	Zhang Dejiang	2008-09-09
Yoshihiko Noda	Sign formal agreement	South Korea	2012-11-20
Zine El Abidine Ben Ali	Consult	Mahmoud Abbas	2011-01-03
Mahmoud Ahmadinejad	Consult	Abdullah Gül	2011-05-10
Japan	Engage in negotiation	South Korea	2008-07-09
Iran	Consult	Gerhard Schröder	2009-04-28
Roh Moo Hyun	Consult	Benedict XVI	2007-02-15
Kostyantyn Gryshchenko	Consult	Kuwait Chamber of Commerce and Industry	2011-01-24
Citizen (Thailand)	Consult	Thailand	2007-06-11
Benjamin Netanyahu	Express intent to cooperate	Mahmoud Abbas	2010-09-06
Police (Australia)	Engage in negotiation	Criminal (Australia)	2006-04-10
United Arab Emirates	Engage in negotiation	Iran	2013-12-05
Japan	Express intent to cooperate	Association of Southeast Asian Nations	2008-10-27
Business (Croatia)	Consult	Government (Croatia)	2014-03-25
Barack Obama	Consult	Mahmoud Abbas	2009-09-25
Election Commission (India)	Consult	Media (India)	2014-11-25
Associated Press	Discuss by telephone	Medical Personnel (Australia)	2008-11-10
Ruling Party (South Korea)	Consult	Roh Moo Hyun	2006-01-11
Roh Moo Hyun	Express intent to cooperate	Head of Government (Peru)	2005-11-16
Head of Government (Turkmenistan)	Consult	Elmar Mammadyarov	2010-12-11
Media (Africa)	Consult	Head of Government (Nigeria)	2015-01-08
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Wang Yi	2013-04-18
Xi Jinping	Consult	Islam Karimov	2014-08-20
Democratic Left	Consult	Antonis Samaras	2012-08-23
Iran	Sign formal agreement	France	2015-07-17
Inquirer	Discuss by telephone	Police (Philippines)	2012-11-14
Military Personnel (Philippines)	Consult	Military (Philippines)	2015-07-17
China	Express intent to cooperate	Vietnam	2011-09-09
Iran	Consult	Head of Government (Pakistan)	2009-05-24
Japan	Engage in diplomatic cooperation	South Korea	2008-06-30
Joanne Liu	Consult	Barack Obama	2015-10-07
Ethiopia	Express intent to cooperate	Eritrea	2006-02-08
Alexander Vasilyevich Bortnikov	Consult	Dmitry Anatolyevich Medvedev	2011-02-10
South Korea	Engage in diplomatic cooperation	Japan	2010-04-30
Sudan	Consult	Eritrea	2013-03-01
Japan	Consult	South Korea	2008-09-01
Malaysia	Express intent to cooperate	Thailand	2015-05-21
Edwin Clark	Consult	Emmanuel Eweta Uduaghan	2014-04-07
Japan	Express intent to cooperate	China	2009-02-22
China	Sign formal agreement	Ma Ying Jeou	2013-09-24
Xi Jinping	Engage in negotiation	Head of Government (Bangladesh)	2010-06-14
Iraq	Sign formal agreement	Kuwait	2009-02-08
Lal Krishna Advani	Consult	Shaukat Aziz	2005-05-31
Japan	Consult	South Korea	2009-06-01
High Ranking Military Personnel (India)	Consult	Director General (India)	2015-06-29
Japan	Engage in negotiation	China	2005-10-18
Mahmoud Abbas	Consult	Royal Administration (Jordan)	2006-11-14
Barack Obama	Discuss by telephone	Angela Merkel	2010-06-22
Japan	Engage in diplomatic cooperation	China	2012-10-02
Kamalesh Sharma	Consult	Ministry (Sri Lanka)	2013-02-12
Tomas Borge	Discuss by telephone	Associated Press	2005-03-22
Envoy (United States)	Consult	Sudan	2006-10-20
Georgios Papandreou	Engage in negotiation	Herman Van Rompuy	2010-02-11
Raúl Castro	Declare truce, ceasefire	Barack Obama	2015-01-22
Businessperson (Somalia)	Discuss by telephone	Agence France-Presse	2006-08-15
Head of Government (Greece)	Consult	Panhellenic Socialist Movement	2008-01-18
Foreign Affairs (Lebanon)	Consult	Airline (Middle East)	2005-10-19
Party Alliance (Nepal)	Engage in negotiation	Prachanda	2006-12-13
Cambodia	Consult	Vietnam	2006-12-05
China	Express intent to cooperate	South Korea	2015-01-06
Kazakhstan	Engage in diplomatic cooperation	China	2005-07-02
Domestic Affairs (Colombia)	Discuss by telephone	Associated Press	2012-12-30
Kazakhstan	Consult	James Wolfensohn	2005-03-09
Lawyer/Attorney (Australia)	Consult	City Mayor (Australia)	2007-03-14
Barack Obama	Consult	Royal Administration (Saudi Arabia)	2014-03-29
Trinidad and Tobago	Sign formal agreement	China	2015-10-07
Head of Government (Greece)	Consult	Angela Merkel	2012-10-09
Iran	Engage in diplomatic cooperation	South Africa	2015-11-09
Vietnam	Express intent to cooperate	Laos	2005-06-03
Japan	Consult	China	2005-12-06
Vanuatu	Engage in diplomatic cooperation	France	2009-04-07
Tzipi Livni	Consult	Javier Solana	2007-01-16
Japan	Consult	South Korea	2014-10-10
Catherine Ashton	Meet at a 'third' location	Iran	2014-06-03
Raúl Sendic	Consult	Industrial / Textiles / Mining Ministry (Uruguay)	2009-10-02
Media Personnel (International)	Consult	South Korea	2012-12-07
Chuck Hagel	Consult	Pervez Musharraf	2006-04-14
Tanzania	Express intent to cooperate	Burundi	2013-01-26
Foreign Affairs (Austria)	Consult	Heinz Fischer	2015-09-17
Iran	Consult	Javier Solana	2006-07-02
Wen Jiabao	Consult	Finance / Economy / Commerce / Trade Ministry (Japan)	2006-02-22
Angola	Consult	Portugal	2015-07-24
Senate (Romania)	Consult	Legislature (Romania)	2012-06-14
China	Consult	South Korea	2006-11-28
Police (Egypt)	Consult	Sedki Sobhi	2014-04-01
Boris Vyacheslavovich Gryzlov	Consult	Vladislav Yuryevich Surkov	2010-06-04
Francis Korkpor	Consult	Lawyer/Attorney (Liberia)	2015-06-15
Cambodia	Engage in diplomatic cooperation	Japan	2008-08-04
UN Security Council	Consult	Gurbanguly Berdymukhammedov	2007-08-24
Javier Solana	Engage in negotiation	Tony Blair	2006-07-13
Xi Jinping	Engage in negotiation	Ma Ying Jeou	2015-11-09
Government (Sudan)	Sign formal agreement	Sudan People's Liberation Army	2008-07-20
Shivraj Singh Chouhan	Consult	Amit Shah	2015-07-20
Benjamin Netanyahu	Consult	Angela Merkel	2011-05-13
Tanzania	Engage in diplomatic cooperation	China	2009-07-17
Israeli Defense Forces	Consult	Benjamin Netanyahu	2011-10-18
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Benjamin Netanyahu	2010-11-11
China	Consult	Ashraf Ghani Ahmadzai	2014-11-01
France	Engage in diplomatic cooperation	Romania	2013-09-20
China	Consult	South Korea	2012-05-23
Defense / Security Ministry (Slovakia)	Consult	UN Security Council	2014-12-03
Barack Obama	Discuss by telephone	Mahmoud Abbas	2009-11-04
Barack Obama	Express intent to cooperate	Benjamin Netanyahu	2013-12-17
Kazakhstan	Engage in diplomatic cooperation	South Korea	2007-09-11
Patrick Manning	Consult	Raúl Castro	2007-09-10
Security Council (South Korea)	Consult	Islam Karimov	2013-07-02
South Korea	Engage in negotiation	Japan	2005-04-07
Head of Government (Pakistan)	Consult	Iran	2013-03-01
Mahmoud Abbas	Consult	Barack Obama	2014-03-20
China	Express intent to cooperate	South Korea	2006-07-26
Grand National Party	Express intent to cooperate	Democratic Party	2011-07-21
China	Engage in diplomatic cooperation	Mexico	2012-02-14
Head of Government (India)	Consult	Shaukat Aziz	2005-06-06
National Liberation Army	Engage in negotiation	Colombia	2014-06-16
