,head,relation,tail,time
30,Vietnam,Consult,Mekong River Commission,2014-04-05
31,Israeli Defense Forces,Consult,Israeli Defense Forces,2005-11-16
32,China,Express intent to meet or negotiate,Japan,2006-07-27
33,Media Personnel (International),Consult,Media Personnel (Iran),2007-06-17
34,China,Express intent to cooperate,South Korea,2007-03-08
35,Benjamin Netanyahu,Consult,Barack Obama,2008-12-04
36,Oluṣẹgun Ọbasanjọ,Engage in negotiation,Roh Moo Hyun,2006-11-06
37,Association of Southeast Asian Nations,Consult,Japan,2013-12-12
38,Thailand,fight with small arms and light weapons,Military (Cambodia),2010-04-19
39,China,Express intent to cooperate,South Korea,2009-04-12
40,Governor (Thailand),Consult,Student (Thailand),2005-03-07
41,China,Sign formal agreement,Ma Ying Jeou,2010-04-28
42,José Miguel Insulza,Meet at a 'third' location,Garry Conille,2012-02-10
43,Laos,Express intent to cooperate,Cambodia,2008-06-12
44,Al Sharq al Awsat,Consult,Lawyer/Attorney (Jordan),2006-03-18
45,Xi Jinping,Consult,Uhuru Muigai Kenyatta,2013-08-20
46,Garry Conille,Meet at a 'third' location,José Miguel Insulza,2012-02-10
47,South Sudan,Express intent to cooperate,Sudan,2012-10-04
48,Vietnam,Express intent to cooperate,Japan,2006-06-02
49,Benjamin Netanyahu,Engage in negotiation,Catherine Ashton,2010-10-01
50,Abdul Aziz,Consult,City Mayor (Indonesia),2008-09-29
51,Government (Nigeria),Consult,Oluṣẹgun Ọbasanjọ,2014-05-13
52,Abdullah Gül,Engage in negotiation,Barack Obama,2009-04-06
53,Angela Merkel,Discuss by telephone,Barack Obama,2014-03-08
54,China,Consult,Straits Exchange Foundation,2008-06-13
55,Barack Obama,Express intent to cooperate,Angela Merkel,2015-01-27
56,United Nations Interim Administration in Kosovo,Consult,Sanda Raskovic Ivic,2005-09-21
57,Military Personnel (Thailand),Consult,Prem Tinsulanonda,2010-02-19
58,UN Security Council,Discuss by telephone,Valentin Sobolev,2008-02-18
59,Head of Government (Brazil),Consult,Ministry (Brazil),2013-07-20
60,South Korea,Sign formal agreement,Colombia,2015-04-18
61,South Korea,Engage in negotiation,Japan,2010-11-18
62,Ministry of Tourism (Tunisia),Consult,Information / Communication / Transparency Ministry (Libya),2011-08-12
63,South Korea,Express intent to meet or negotiate,Japan,2011-06-28
64,Mahmoud Abbas,Consult,Omar Suleiman,2009-05-28
65,South Korea,Consult,Xi Jinping,2009-05-05
66,Khandu Wangchuk,Express intent to cooperate,Foreign Affairs (Nepal),2005-09-08
67,Angela Merkel,Consult,Head of Government (Ukraine),2015-09-19
68,Vietnam,Express intent to cooperate,China,2006-03-23
69,Dmitry Anatolyevich Medvedev,Discuss by telephone,Mahmoud Ahmadinejad,2012-02-22
70,Court Judge (India),Consult,Ministry of Women (India),2009-09-16
71,Association of Southeast Asian Nations,Express intent to engage in diplomatic cooperation (such as policy support),China,2005-08-07
72,Xi Jinping,Sign formal agreement,Evo Morales,2013-12-20
73,Mahmoud Abbas,Consult,"Government (Palestinian Territory, Occupied)",2006-12-16
74,Iran,Consult,China,2010-12-08
75,Mahmoud Ahmadinejad,Meet at a 'third' location,Organization of Petroleum Exporting Countries,2007-11-19
76,Benjamin Netanyahu,Consult,Tony Blair,2012-11-07
77,South Sudan,Consult,Ethiopia,2012-04-26
78,Iran,Sign formal agreement,Oman,2008-12-22
79,Iran,Sign formal agreement,Iraq,2007-12-28
80,Dmitry Anatolyevich Medvedev,Consult,Arseniy Yatsenyuk,2014-03-01
81,Japan,Engage in diplomatic cooperation,Vietnam,2006-11-10
82,Oman,Consult,Tzipi Livni,2007-09-26
83,Japan,Consult,China,2007-07-05
84,Abdullah Gül,Consult,UN Security Council,2009-06-30
85,China,Express intent to cooperate,Vietnam,2005-11-03
86,Benazir Bhutto,Meet at a 'third' location,Pervez Musharraf,2007-08-11
87,Industry (Turkey),Consult,Mehmet Agar,2006-10-11
88,Tzipi Livni,Meet at a 'third' location,Mahmoud Abbas,2014-05-18
89,China,Express intent to cooperate,Vietnam,2006-03-23
90,Government (Nigeria),Sign formal agreement,Labor Union (Nigeria),2015-01-19
91,Lawyer/Attorney (United States),Engage in negotiation,Achmad Sukarno,2006-01-24
92,Attorney General (Argentina),Consult,Daniel Scioli,2013-03-13
93,Malaysia,Sign formal agreement,China,2008-05-03
94,China,Express intent to cooperate,Japan,2009-01-07
95,Citizen (Africa),Express intent to meet or negotiate,Portugal,2010-04-21
96,Media (Africa),Consult,Pokot,2015-03-27
97,Vietnam,Engage in diplomatic cooperation,China,2009-04-20
98,A.K. Antony,Consult,Shivshankar Menon,2009-04-23
99,Straits Exchange Foundation,Engage in negotiation,China,2009-12-03
100,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-07-16
101,Royal Thai Police,Consult,Internal Security Operations Command,2013-02-23
102,South Korea,Express intent to cooperate,China,2012-05-13
103,Oodua Peoples Congress,Use unconventional violence,Citizen (Benin),2014-12-23
104,Abdel Fattah Al-Sisi,Consult,Head of Government (India),2015-10-03
105,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2011-05-24
106,Daniel Scioli,Consult,Senate (Argentina),2015-04-14
107,Chuck Hagel,Consult,Fan Changlong,2014-04-08
108,Mohammad Zia-ul-Haq,Consult,Central Intelligence Agency,2012-04-28
109,Qatar,Consult,France,2008-09-04
110,Japan,Express intent to meet or negotiate,China,2006-07-27
111,Alberto Fujimori,Consult,Japan,2005-11-17
112,Cambodia,Consult,Laos,2008-10-23
113,Student (Thailand),Consult,Governor (Thailand),2005-03-07
114,China,Express intent to cooperate,Angola,2009-09-01
115,Pervez Musharraf,Consult,Envoy (United States),2007-09-13
116,Citizen (Nigeria),Express intent to cooperate,Government (Nigeria),2015-02-26
117,Thailand,Use conventional military force,Military (Cambodia),2008-10-15
118,Japan,Engage in diplomatic cooperation,China,2007-11-20
119,Japan,Consult,Association of Southeast Asian Nations,2013-12-12
120,Japan,Express intent to meet or negotiate,China,2005-05-27
121,Nabih Berri,Consult,Sheikh Ahmed Abdullah,2006-12-17
122,Envoy (United States),Consult,Grigol Vashadze,2009-09-23
123,China,Consult,Japan,2007-07-05
124,Japan,Engage in negotiation,South Korea,2010-11-18
125,Iraq,Consult,Iran,2007-09-03
126,South Sudan,Use conventional military force,Sudan,2012-04-19
127,Media (Africa),Consult,Jerry Ekandjo,2008-05-13
128,USAID,Sign formal agreement,Justice Department/Ministery (Ukraine),2006-06-06
129,Kuwait,Engage in diplomatic cooperation,China,2009-05-05
130,Yu Zhengsheng,Consult,Lawmaker (Japan),2015-03-23
131,Japan,Engage in diplomatic cooperation,China,2005-06-02
132,Citizen (Australia),Make an appeal or request,Police (Australia),2008-01-21
133,Association of Southeast Asian Nations,Engage in negotiation,South Korea,2010-12-30
134,Romania,Engage in negotiation,China,2013-11-25
135,China,Engage in diplomatic cooperation,Vietnam,2009-04-20
136,France,Express intent to engage in diplomatic cooperation (such as policy support),China,2008-06-14
137,Barack Obama,Consult,Benjamin Netanyahu,2009-05-05
138,China,Engage in negotiation,Japan,2006-12-06
139,China,Express intent to cooperate,Japan,2005-09-05
140,Central Intelligence Agency,Consult,Mohammad Zia-ul-Haq,2012-04-28
141,Association of Southeast Asian Nations,Express intent to meet or negotiate,Japan,2005-09-29
142,China,Consult,Kazakhstan,2007-07-03
143,Benjamin Netanyahu,Consult,Barack Obama,2009-05-05
144,South Korea,Consult,China,2008-10-31
145,Head of Government (Egypt),Consult,Haider Al-Abadi,2015-12-07
146,Abdullah Gül,Engage in negotiation,Barack Obama,2009-10-18
147,Cambodia,Express intent to cooperate,Japan,2013-12-16
148,Mahmoud Abbas,Engage in negotiation,Benjamin Netanyahu,2015-10-23
149,Cambodia,Consult,Malaysia,2006-09-13
150,China,Sign formal agreement,Japan,2008-12-06
151,Japan,Express intent to cooperate,Malaysia,2015-05-25
152,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2008-11-11
153,China,Consult,Kazakhstan,2006-11-22
154,Business (Iran),Consult,Gholamali Haddad Adel,2006-10-27
155,Ministry (Social Democratic Party),Consult,Education Ministry (Czech Republic),2015-09-23
156,International Government Organizations,Consult,Labor Union (Kyrgyzstan),2005-12-24
157,Head of Government (Pakistan),Consult,Pervez Musharraf,2006-11-11
158,Thailand,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (Thailand),2015-05-26
159,China,Engage in diplomatic cooperation,Sudan,2013-03-04
160,Tony Blair,Consult,Benjamin Netanyahu,2012-11-07
161,Zhang Dejiang,Consult,Lawmaker (Japan),2014-05-06
162,Head of Government (Turkmenistan),Consult,South Korea,2014-06-16
163,Japan,Sign formal agreement,China,2009-05-22
164,Gurbanguly Berdymukhammedov,Consult,Mikhail Yefimovich Fradkov,2007-02-15
165,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Wen Jiabao,2005-08-01
166,UN Security Council,Consult,Abdullah Gül,2009-06-30
167,Lawmaker (Japan),Consult,Yu Zhengsheng,2015-03-23
168,Malaysia,Engage in negotiation,Cambodia,2008-06-19
169,Ministry (Nigeria),Consult,Emmanuel Eweta Uduaghan,2013-03-18
170,Iran,Engage in diplomatic cooperation,Vietnam,2013-04-15
171,Head of Government (Turkmenistan),Sign formal agreement,Iran Khodro Company,2007-06-16
172,Japan,Consult,China,2007-11-21
173,China,Express intent to cooperate,Japan,2005-04-18
174,Cambodia,Engage in diplomatic cooperation,Vietnam,2006-03-17
175,Raúl Castro,Consult,Barack Obama,2015-04-15
176,South Korea,Express intent to cooperate,China,2007-03-08
177,China,Engage in negotiation,Kuomintang,2005-04-30
178,France,Engage in negotiation,Iran,2006-09-20
179,Head of Government (Qatar),Consult,Ali Abdullah Saleh,2010-09-08
180,China,Engage in diplomatic cooperation,Kuwait,2009-05-05
181,The Daily News (South Africa),Consult,Police (South Africa),2008-02-25
182,Labor Union (Kyrgyzstan),Consult,International Government Organizations,2005-12-24
183,Mahmoud Abbas,Meet at a 'third' location,Tzipi Livni,2014-05-18
184,Media (Africa),Consult,Citizen (Sudan),2014-04-08
185,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Iraq,2008-02-25
186,China,Consult,Japan,2007-11-21
187,Evo Morales,Sign formal agreement,Xi Jinping,2013-12-20
188,China,Sign formal agreement,South Korea,2009-12-16
189,Freundel Jerome Stuart,Engage in symbolic act,Freundel Jerome Stuart,2011-11-10
190,Thanong Bidaya,Consult,Japan,2005-04-26
191,Information / Communication / Transparency Ministry (Libya),Consult,Ministry of Tourism (Tunisia),2011-08-12
192,Mahmoud Abbas,Consult,Barack Obama,2010-06-02
193,Vietnam,Engage in diplomatic cooperation,France,2010-01-26
194,Japan,Engage in diplomatic cooperation,China,2008-06-30
195,Cabinet / Council of Ministers / Advisors (United States),Host a visit,China,2014-02-14
196,Cambodia,Express intent to cooperate,Laos,2007-01-22
197,Dmitry Anatolyevich Medvedev,Consult,Angela Merkel,2010-07-15
198,Head of Government (Pakistan),Consult,Umar Farooq,2006-01-03
199,Student (Iran),Consult,Education (Iran),2009-10-04
200,Tom Marsters,Engage in negotiation,Jim Marurai,2005-03-21
201,Emperor Akihito,Consult,Paramount Ruler Sirajuddin,2005-03-07
202,UN Security Council,Sign formal agreement,Iran,2015-07-31
203,Conservative Party (Germany),Consult,Angela Merkel,2005-12-05
204,Japan,Express intent to cooperate,China,2007-08-27
205,Bolivia,Express intent to meet or negotiate,Daniel Ortega,2007-04-27
206,Muhammad VI,Make statement,Macky Sall,2013-03-19
207,Japan,Express intent to cooperate,Vietnam,2006-06-02
208,Grigol Vashadze,Consult,Envoy (United States),2009-09-23
209,Barack Obama,Consult,Other Authorities / Officials (Turkey),2014-10-20
210,Cambodia,Consult,Thailand,2005-07-04
211,China,Consult,Japan,2008-10-03
212,Admiral (Iran),Consult,Mehr News Agency,2010-10-05
213,Saud bin Faisal bin Abdul-Aziz,Consult,Nabil Shaath,2006-07-03
214,Member of Parliament (Bangladesh),Consult,Cabinet / Council of Ministers / Advisors (Bangladesh),2012-01-26
215,China,Consult,South Africa,2008-07-09
216,Tony Blair,Consult,Wen Jiabao,2005-09-05
217,Mikhail Yefimovich Fradkov,Consult,Gurbanguly Berdymukhammedov,2007-02-15
218,Head of Government (Chad),Consult,African Union,2005-12-27
219,Japan,Express intent to cooperate,South Korea,2006-07-03
220,Police (Tanzania),Consult,Ministry (Tanzania),2010-12-15
221,Head of Government (Chile),Consult,Wen Jiabao,2008-04-13
222,Head of Government (Belarus),Express intent to meet or negotiate,Eurasian Economic Community,2006-10-20
223,Thailand,Consult,Cambodia,2008-08-02
224,Dmitry Anatolyevich Medvedev,Consult,Serik Akhmetov,2013-11-20
225,South Korea,Express intent to meet or negotiate,China,2012-05-10
226,Thailand,fight with small arms and light weapons,Military (Myanmar),2007-03-23
227,Japan,Sign formal agreement,Mexico,2006-03-20
228,Angela Merkel,Express intent to cooperate,Barack Obama,2015-09-23
229,Mahmoud Abbas,Express intent to meet or negotiate,Tony Blair,2007-07-23
230,China,Express intent to meet or negotiate,South Korea,2006-03-24
231,Sudan,Consult,Iran,2005-01-27
232,China,Express intent to meet or negotiate,Japan,2005-12-08
233,Al Jazeera,Consult,Police (Syria),2011-09-06
234,Thailand,Consult,China,2006-01-13
235,Representatives (Yemen),Consult,Yemen,2008-03-21
236,Citizen (Brazil),Express intent to meet or negotiate,Member of Parliament (Brazil),2012-03-01
237,Mahmoud Abbas,Consult,Abdullah Gül,2007-05-16
238,Mehr News Agency,Consult,Admiral (Iran),2010-10-05
239,Umaru Musa Yar'Adua,Consult,Senate (Saudi Arabia),2010-02-05
240,Angela Merkel,Engage in negotiation,Barack Obama,2014-06-04
241,Frank Bainimarama,Consult,Prime Minister Chaudhry,2008-07-24
242,Rafael Correa,Make statement,Colombia,2008-03-04
243,UN Security Council,Engage in negotiation,Iran,2014-05-30
244,Citizen (Sudan),Express intent to cooperate,Government (Sudan),2011-06-29
245,Mauritania,Sign formal agreement,Kuwait,2006-08-02
246,China,Engage in diplomatic cooperation,Japan,2015-03-27
247,Iran,Engage in diplomatic cooperation,Iraq,2008-06-09
248,Head of Government (India),Consult,Labor Union (India),2015-01-12
249,Norwegian Church Aid,Sign formal agreement,Ministry of International Cooperation (Sudan),2006-08-29
250,Japan,Cooperate economically,Colombia,2012-09-25
251,Japan,Consult,South Korea,2011-05-14
252,Kuwait,Sign formal agreement,Mauritania,2006-08-02
253,Education Ministry (Algeria),Consult,Representatives (Algeria),2014-11-17
254,Association of Southeast Asian Nations,Sign formal agreement,China,2009-07-09
255,South Korea,Consult,Japan,2011-05-14
256,Vietnam,Express intent to settle dispute,China,2015-03-11
257,South Korea,Consult,China,2013-12-18
258,China,Express intent to cooperate,Japan,2007-08-27
259,Chaudhry Nisar Ali Khan,Consult,Ishaq Dar,2012-02-24
260,Edgars Rinkevics,Consult,Giorgi Kvirikashvili,2015-09-29
261,The Hague,Deny responsibility,The Hague,2005-03-03
262,Japan,Consult,Somsavat Lengsava,2005-08-01
263,China,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2012-05-07
264,South Korea,Make statement,France,2005-12-06
265,Undersecretary (United States),Consult,Shivshankar Menon,2008-02-29
266,The Sunday Times,Consult,Tony Blair,2007-02-16
267,China,Consult,Mexico,2008-07-02
268,Media (India),Consult,Election Commission (India),2010-11-02
269,Japan,Express intent to cooperate,China,2006-07-21
270,Oman,Consult,Iran,2014-03-12
271,Envoy (United States),Engage in negotiation,Iraq,2005-10-11
272,Head of Government (Egypt),Consult,Nicos Anastasiades,2015-12-10
273,African Union,Sign formal agreement,Government (Sudan),2007-04-10
274,Police (New Zealand),Consult,Police (Australia),2014-12-11
275,Media (India),Consult,Planning Commission (India),2009-05-19
276,Ethiopia,Consult,Sudan,2005-12-29
277,Foreign Affairs (Slovakia),Consult,Foreign Affairs (Israel),2009-03-03
278,Government (Sudan),Express intent to cooperate,Citizen (Sudan),2011-06-29
279,Thailand,Sign formal agreement,Malaysia,2006-04-14
280,Barack Obama,Engage in negotiation,Angela Merkel,2014-06-04
281,Kazakhstan,Consult,China,2007-07-03
282,China,Express intent to cooperate,South Korea,2015-12-22
283,Nicos Anastasiades,Consult,Head of Government (Egypt),2015-12-10
284,Foreign Affairs (Romania),Consult,Foreign Affairs (Singapore),2010-04-04
285,UN Security Council,Make an appeal or request,Eritrea,2008-05-01
286,South Korea,Engage in negotiation,Japan,2005-11-11
287,China,Sign formal agreement,South Korea,2008-01-31
288,France,Consult,Qatar,2008-09-04
289,Thailand,Express intent to cooperate,Agence France-Presse,2005-09-04
290,Ishaq Dar,Consult,Chaudhry Nisar Ali Khan,2012-02-24
291,Barack Obama,Consult,Benjamin Netanyahu,2008-12-04
292,Colombia,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2011-05-31
293,Foreign Affairs (Israel),Consult,Foreign Affairs (Slovakia),2009-03-03
294,South Korea,"Declare truce, ceasefire",China,2007-01-14
295,Vietnam,Express intent to cooperate,China,2007-12-03
296,Foreign Affairs (Romania),Express intent to meet or negotiate,Legislature (Romania),2006-08-29
297,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,China,2012-05-07
298,Mahmoud Abbas,Consult,Omar Suleiman,2005-12-22
299,National Lawyers Guild,Consult,Vietnam,2009-06-17
300,China,Engage in negotiation,Japan,2006-12-18
301,Vietnam,Express intent to cooperate,China,2005-11-03
302,Dimeji Bankole,Consult,Member of Legislative (Govt) (Nigeria),2008-01-17
303,Grand National Party,Consult,Democratic Party,2009-12-23
304,South Korea,Consult,China,2006-01-05
305,Abdel Fattah Al-Sisi,Consult,Ministry (Egypt),2015-04-22
306,Angela Merkel,Consult,Dmitry Anatolyevich Medvedev,2010-07-15
307,Legislature (Romania),Consult,Senate (Romania),2012-08-27
308,China,Halt negotiations,Association of Southeast Asian Nations,2009-04-16
309,Barack Obama,Consult,Mahmoud Abbas,2012-03-20
310,Benjamin Netanyahu,Consult,Barack Obama,2015-09-02
311,Tony Blair,Consult,Mahmoud Abbas,2010-10-22
312,Israeli Defense Forces,Consult,Shimon Peres,2011-08-17
313,City Mayor (Iraq),Make statement,Iraq,2014-02-22
314,China,Engage in negotiation,Envoy (United States),2010-02-25
315,Foreign Affairs (Israel),Consult,Foreign Affairs (South Africa),2012-12-07
316,Malaysia,Sign formal agreement,Japan,2006-08-02
317,Elmar Mammadyarov,Consult,Elmar Mammadyarov,2005-01-28
318,Human Rights Watch,Consult,Manuel Villar,2010-04-26
319,South Korea,Engage in diplomatic cooperation,Japan,2014-09-04
320,Jim Marurai,Engage in negotiation,Tom Marsters,2005-03-21
321,Iraq,Sign formal agreement,Iran,2007-12-28
322,China,Consult,Japan,2013-11-14
323,China,Consult,Japan,2007-01-12
324,UN Security Council,Consult,Vuk Jeremić,2008-02-19
325,Iran,Express intent to meet or negotiate,France,2013-02-23
326,Japan,Consult,Media Personnel (Japan),2006-07-04
327,Ashraf Ghani Ahmadzai,Consult,Associated Press,2014-04-03
328,Rodrigo Rivera Salazar,Consult,China,2010-09-06
329,Labor Union (India),Consult,Head of Government (India),2015-01-12
330,Daniel Ortega,Express intent to meet or negotiate,Bolivia,2007-04-27
331,National Liberation Army,Make statement,Guerrilla (Colombia),2011-08-04
332,China,Express intent to cooperate,Japan,2006-07-21
333,Military (Myanmar),Use conventional military force,Thailand,2007-03-27
334,Thailand,Sign formal agreement,Cambodia,2008-05-07
335,Association of Southeast Asian Nations,Express intent to meet or negotiate,Chuck Hagel,2014-03-14
336,Ministry (Brazil),Consult,Head of Government (Brazil),2013-07-20
337,China,Sign formal agreement,France,2015-07-27
338,Japan,Express intent to cooperate,South Korea,2006-09-12
339,Police (Australia),Make statement,Lawyer/Attorney (Australia),2005-07-01
340,Grand National Party,Consult,Supreme Council (South Korea),2011-09-23
341,Iraq,Engage in negotiation,Foreign Affairs (France),2015-06-29
342,Ali Abdullah Saleh,Engage in negotiation,Benjamin Netanyahu,2009-10-04
343,African Union,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2005-06-03
344,France,Sign formal agreement,Togo,2007-04-04
345,Head of Government (Pakistan),Consult,Ministry (Iran),2013-02-20
346,Royal Administration (Saudi Arabia),Express intent to cooperate,Barack Obama,2010-07-01
347,Foreign Affairs (Israel),Consult,Aigars Kalvitis,2006-07-13
348,Association of Southeast Asian Nations,Sign formal agreement,China,2006-03-11
349,Abdullah Gül,Consult,Mahmoud Abbas,2012-03-01
350,Head of Government (Egypt),Consult,Cabinet / Council of Ministers / Advisors (United States),2014-09-23
351,Japan,Consult,China,2013-11-14
352,Cristina Fernández de Kirchner,Discuss by telephone,Xi Jinping,2014-10-29
353,Associated Press,Consult,Human Rights Watch,2010-07-23
354,Cambodia,Express intent to meet or negotiate,China,2008-03-30
355,South Korea,Consult,China,2007-07-16
356,China,Engage in negotiation,South Korea,2014-10-21
357,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-12-11
358,David Crisafulli,Consult,City Mayor (Australia),2014-02-20
359,Angela Merkel,Consult,Conservative Party (Germany),2005-12-05
360,Mahmoud Abbas,Consult,Envoy (United States),2005-04-21
361,Japan,Sign formal agreement,Malaysia,2006-08-02
362,Muhammadu Buhari,Sign formal agreement,Niger,2015-07-31
363,Agence France-Presse,Express intent to cooperate,Thailand,2005-09-04
364,Democratic Party,Consult,Member of Legislative (Govt) (South Korea),2010-11-08
365,City Mayor (Australia),Consult,David Crisafulli,2014-02-20
366,Iraq,Discuss by telephone,Mahmoud Ahmadinejad,2007-04-29
367,Daniel Scioli,Consult,Attorney General (Argentina),2013-03-13
368,Barack Obama,Consult,African Union,2013-06-30
369,South Korea,Express intent to cooperate,Japan,2006-09-12
370,Japan,Express intent to cooperate,China,2008-07-22
371,Sheikh Hamad bin Khalifa al-Thani,Consult,Ali Abdullah Saleh,2011-01-28
372,Sudan,Use conventional military force,South Sudan,2012-04-19
373,China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-02-14
374,Laos,Sign formal agreement,Malaysia,2008-04-03
375,Ministry of Women (India),Consult,Court Judge (India),2009-09-16
376,China,Express intent to meet or negotiate,Cambodia,2008-03-30
377,Japan,Consult,China,2006-02-14
378,Nuri al-Maliki,Consult,Party Member (Iraq),2008-10-13
379,Hannes Swoboda,Consult,City Mayor (Croatia),2014-05-20
380,Daily Trust,Consult,Other Authorities / Officials (Nigeria),2005-08-08
381,Head of Government (India),Share intelligence or information,Thailand,2013-05-31
382,Police (South Africa),Consult,The Daily News (South Africa),2008-02-25
383,Grigol Vashadze,Consult,Grigol Vashadze,2008-08-30
384,High Ranking Military Personnel (Pakistan),Consult,Chaudhry Nisar Ali Khan,2014-03-21
385,South Korea,Consult,Mexico,2015-08-11
386,China,Discuss by telephone,Associated Press,2005-10-11
387,Catherine Ashton,Consult,Mahmoud Abbas,2011-10-05
388,Ed Royce,Consult,Ma Ying Jeou,2015-03-13
389,Alexander Vershbow,Consult,Nasser Judeh,2012-06-22
390,Media (Africa),Consult,Head of Government (Kenya),2011-02-23
391,Somsavat Lengsava,Consult,Japan,2005-08-01
392,Iran,Consult,Barack Obama,2013-09-17
393,Djibouti,Sign formal agreement,Yemen,2006-05-09
394,Iran,Consult,Sudan,2005-01-27
395,Iraq,Sign formal agreement,Iran,2005-10-05
396,Vietnam,Engage in diplomatic cooperation,Cambodia,2008-03-24
397,Togo,Sign formal agreement,France,2007-04-04
398,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2012-10-25
399,Oluṣẹgun Ọbasanjọ,Make an appeal or request,Head of Government (Nigeria),2006-05-03
400,Sudan,Express intent to cooperate,South Sudan,2013-09-11
401,Finance / Economy / Commerce / Trade Ministry (Namibia),Consult,Media (Africa),2005-09-14
402,United Russia,Consult,Dmitry Anatolyevich Medvedev,2010-06-23
403,Iraq,Consult,Royal Administration (Saudi Arabia),2006-10-14
404,Justice Department/Ministery (Ukraine),Sign formal agreement,USAID,2006-06-06
405,Iran,Sign formal agreement,UN Security Council,2015-07-31
406,Benjamin Netanyahu,"Reject proposal to meet, discuss, or negotiate",Barack Obama,2015-01-26
407,Japan,Express intent to meet or negotiate,South Korea,2008-03-30
408,Japan,Sign formal agreement,China,2008-05-10
409,Mexico,Consult,China,2008-07-02
410,Tzipi Livni,Engage in symbolic act,Abdullah Gül,2006-05-29
411,China,Consult,South Korea,2010-05-07
412,China,Consult,Japan,2010-05-07
413,Barack Obama,Express intent to cooperate,Angela Merkel,2015-09-23
414,Iran,Consult,Thailand,2005-11-26
415,Shimon Peres,Express intent to meet or negotiate,Barack Obama,2011-04-03
416,Agriculture / Fishing / Forestry Ministry (Laos),Consult,Agriculture / Fishing / Forestry Ministry (Vietnam),2007-08-28
417,Isaias Afewerki,Consult,Yemen,2010-10-22
418,Sergey Vladilenovich Kiriyenko,Engage in negotiation,Iran,2006-09-25
419,Rebel Group (Tanzania),Express intent to meet or negotiate,Government (Sudan),2007-07-19
420,Member of Legislative (Govt) (Nigeria),Consult,Dimeji Bankole,2008-01-17
421,China,Sign formal agreement,Japan,2008-05-10
422,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2007-02-23
423,China,Consult,Rodrigo Rivera Salazar,2010-09-06
424,Foreign Affairs (Mauritania),Sign formal agreement,Abderrahim Ould Hadrami,2007-09-28
425,Portugal,Express intent to meet or negotiate,Citizen (Africa),2010-04-21
426,Likud,Consult,Benjamin Netanyahu,2015-11-03
427,Benjamin Netanyahu,Engage in negotiation,Wang Yi,2013-12-17
428,Government (Nigeria),Sign formal agreement,Labor Union (Nigeria),2013-08-12
