head	relation	tail	time
Military (Thailand)	Make statement	Protester (Thailand)	2014-05-23
Military (Thailand)	Make statement	Media (Thailand)	2014-05-28
Military (Thailand)	Make statement	Thailand	2014-05-24
Angela Merkel	Make statement	France	2014-02-19
Angela Merkel	Make statement	France	2014-05-11
Angela Merkel	Make statement	Barack Obama	2014-07-19
Police (Saudi Arabia)	Use conventional military force	Women (Afghanistan)	2014-04-18
Police (Saudi Arabia)	Use conventional military force	Attacker (Saudi Arabia)	2014-10-14
Kuomintang	Make an appeal or request	Tsai Ing-wen	2014-11-15
Other Authorities / Officials (Mexico)	Make statement	Mexico	2014-10-10
Other Authorities / Officials (Mexico)	Make statement	Military (Mexico)	2014-10-20
Other Authorities / Officials (Mexico)	Make statement	Criminal (Mexico)	2014-03-28
Other Authorities / Officials (Mexico)	Make statement	Military (Mexico)	2014-10-06
Other Authorities / Officials (Mexico)	Make statement	Armed Gang (Mexico)	2014-04-30
Other Authorities / Officials (Mexico)	Make statement	Military Personnel - Special (Mexico)	2014-08-01
Ministry (Malaysia)	Express intent to meet or negotiate	Citizen (Malaysia)	2014-09-15
China	Engage in diplomatic cooperation	Fiji	2014-08-19
China	Engage in diplomatic cooperation	Sierra Leone	2014-05-01
China	Engage in diplomatic cooperation	Japan	2014-09-10
China	Engage in diplomatic cooperation	Tajikistan	2014-04-18
China	Engage in diplomatic cooperation	Japan	2014-10-08
China	Engage in diplomatic cooperation	Malaysia	2014-10-08
China	Engage in diplomatic cooperation	Ethiopia	2014-05-09
China	Engage in diplomatic cooperation	Fiji	2014-11-13
China	Engage in diplomatic cooperation	Association of Southeast Asian Nations	2014-04-21
China	Engage in diplomatic cooperation	Cameroon	2014-12-30
China	Engage in diplomatic cooperation	South Africa	2014-12-07
China	Engage in diplomatic cooperation	Cameroon	2014-03-24
China	Engage in diplomatic cooperation	Romania	2014-09-29
China	Engage in diplomatic cooperation	Togo	2014-05-08
Sergey Viktorovich Lavrov	Consult	Abdoulaye Diop	2014-09-09
Sergey Viktorovich Lavrov	Consult	Future Movement	2014-01-13
Sergey Viktorovich Lavrov	Consult	Nuri al-Maliki	2014-02-20
Sergey Viktorovich Lavrov	Consult	Pham Binh Minh	2014-05-16
Sergey Viktorovich Lavrov	Consult	Foreign Affairs (Ukraine)	2014-03-26
Sergey Viktorovich Lavrov	Consult	Mohammad Javad Zarif	2014-04-23
Sergey Viktorovich Lavrov	Consult	John Kerry	2014-12-14
Sergey Viktorovich Lavrov	Consult	Catherine Ashton	2014-02-21
Sergey Viktorovich Lavrov	Consult	Catherine Ashton	2014-04-08
Sergey Viktorovich Lavrov	Consult	John Kerry	2014-10-25
Sergey Viktorovich Lavrov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-03-30
Sergey Viktorovich Lavrov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-11-20
Sergey Viktorovich Lavrov	Consult	Mohammad Javad Zarif	2014-09-12
Sergey Viktorovich Lavrov	Consult	John Kerry	2014-02-22
Sergey Viktorovich Lavrov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-10-14
Sergey Viktorovich Lavrov	Consult	John Kerry	2014-03-16
Sergey Viktorovich Lavrov	Consult	Saud bin Faisal bin Abdul-Aziz	2014-06-20
Sergey Viktorovich Lavrov	Consult	Federica Mogherini	2014-07-03
Arseniy Yatsenyuk	Consult	Joseph Robinette Biden	2014-07-29
Arseniy Yatsenyuk	Consult	Joseph Robinette Biden	2014-03-13
Arseniy Yatsenyuk	Consult	Jacob J. Lew	2014-02-24
Arseniy Yatsenyuk	Consult	John Kerry	2014-02-01
Arseniy Yatsenyuk	Consult	Joseph Robinette Biden	2014-03-01
Arseniy Yatsenyuk	Consult	Radoslaw Sikorski	2014-07-16
Arseniy Yatsenyuk	Consult	Jens Stoltenberg	2014-12-15
Arseniy Yatsenyuk	Consult	Head of Government (Ukraine)	2014-10-29
Police (Philippines)	Investigate	Musa Cerantonio	2014-07-22
Police (Philippines)	Investigate	Philippines	2014-12-07
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-12-23
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-03-27
Military Personnel (Kenya)	Make statement	Al-Shabaab	2014-04-08
Military Personnel (Kenya)	Make statement	Police (Kenya)	2014-12-05
Military Personnel (Kenya)	Make statement	Criminal (Somalia)	2014-03-18
Military Personnel (Kenya)	Make statement	Student (Kenya)	2014-05-29
Head of Government (China)	Make a visit	South Korea	2014-07-04
Head of Government (China)	Make a visit	South Korea	2014-06-29
Head of Government (China)	Make a visit	North Korea	2014-07-03
Head of Government (China)	Make a visit	Ethiopia	2014-05-04
Head of Government (China)	Make a visit	North Korea	2014-07-02
Head of Government (China)	Make a visit	Thailand	2014-07-11
Hamas	Use conventional military force	Settler (Israel)	2014-07-29
High Ranking Military Personnel (United Arab Emirates)	Make statement	Criminal (United Arab Emirates)	2014-04-07
The Standard	Consult	Joseph Ole Lenku	2014-06-15
Nuri al-Maliki	Make statement	Iraq	2014-06-29
Nuri al-Maliki	Make statement	Fighter Bomber (Syria)	2014-06-26
Nuri al-Maliki	Make statement	Iraq	2014-08-13
Nuri al-Maliki	Make statement	Massoud Barzani	2014-06-25
Nuri al-Maliki	Make statement	Iraq	2014-08-11
Nuri al-Maliki	Make statement	China	2014-07-08
Nuri al-Maliki	Make statement	Iraq	2014-03-11
Nuri al-Maliki	Make statement	Iraq	2014-07-26
Nuri al-Maliki	Make statement	Iraq	2014-07-08
Nuri al-Maliki	Make statement	Iraq	2014-01-12
Nuri al-Maliki	Make statement	National Alliance (Iraq)	2014-08-14
Nuri al-Maliki	Make statement	Iraq	2014-01-09
UN Security Council	Criticize or denounce	North Korea	2014-08-10
UN Security Council	Criticize or denounce	Al-Shabaab	2014-11-26
UN Security Council	Criticize or denounce	Iraq	2014-06-12
UN Security Council	Criticize or denounce	North Korea	2014-03-31
UN Security Council	Criticize or denounce	Murtala Nyako	2014-04-25
UN Security Council	Criticize or denounce	Armed Band (South Sudan)	2014-04-21
UN Security Council	Criticize or denounce	North Korea	2014-07-20
Boko Haram	Use conventional military force	Government (Nigeria)	2014-04-16
Boko Haram	Use conventional military force	Government (Nigeria)	2014-10-15
Boko Haram	Use conventional military force	Education (Nigeria)	2014-04-17
Boko Haram	Use conventional military force	Indigenous People (Nigeria)	2014-08-15
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-11-21
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-11-26
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-05-01
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-06-02
Boko Haram	Use conventional military force	Education (Nigeria)	2014-05-01
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-09-30
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-12-15
Boko Haram	Use conventional military force	Education (Nigeria)	2014-09-17
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-10-19
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-06-18
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-05-15
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-10-14
Boko Haram	Use conventional military force	Education (Nigeria)	2014-02-26
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-08-25
Boko Haram	Use conventional military force	Government (Nigeria)	2014-08-18
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-02-04
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-10-30
Boko Haram	Use conventional military force	Education (Nigeria)	2014-10-14
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-12-11
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-01-01
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-11-16
Boko Haram	Use conventional military force	Citizen (Nigeria)	2014-11-13
Military Personnel (Yemen)	Make statement	Militant (Yemen)	2014-06-02
Iraq	Host a visit	Nuri al-Maliki	2014-04-17
Iraq	Host a visit	Nuri al-Maliki	2014-06-13
Iraq	Host a visit	UN Security Council	2014-06-13
Iraq	Host a visit	Chuck Hagel	2014-12-09
Iraq	Host a visit	Iran	2014-01-15
Iraq	Host a visit	China	2014-03-04
Iraq	Host a visit	Foreign Affairs (Norway)	2014-08-25
Iraq	Host a visit	Sabah Khaled Al-Hamad Al-Sabah	2014-12-29
Iraq	Host a visit	Foreign Affairs (United States)	2014-12-05
Iraq	Host a visit	Julie Bishop	2014-10-19
Iraq	Host a visit	Mohammad Javad Zarif	2014-01-16
Iraq	Host a visit	Massoud Barzani	2014-06-18
Iraq	Host a visit	Rostam Qasemi	2014-10-19
Iraq	Host a visit	Foreign Affairs (Kuwait)	2014-12-17
Iraq	Host a visit	John Baird	2014-09-07
Iraq	Host a visit	Mohammad Javad Zarif	2014-09-23
Iraq	Host a visit	Sergey Viktorovich Lavrov	2014-06-27
Iraq	Host a visit	Combatant (Bosnia and Herzegovina)	2014-09-08
Iraq	Host a visit	Nurse (India)	2014-07-04
Iraq	Host a visit	Militant (Syria)	2014-01-23
South Korea	Host a visit	Kim Jong-Un	2014-06-20
South Korea	Host a visit	Malaysia	2014-04-26
South Korea	Host a visit	Barack Obama	2014-04-26
South Korea	Host a visit	China	2014-07-03
South Korea	Host a visit	Xi Jinping	2014-07-02
South Korea	Host a visit	Xi Jinping	2014-07-05
South Korea	Host a visit	Xi Jinping	2014-07-03
South Korea	Host a visit	Xi Jinping	2014-08-03
South Korea	Host a visit	John Kerry	2014-01-29
South Korea	Host a visit	Kim Jong-Un	2014-10-04
South Korea	Host a visit	Foreign Affairs (United States)	2014-02-10
South Korea	Host a visit	Barack Obama	2014-02-18
South Korea	Host a visit	China	2014-06-28
South Korea	Host a visit	Xi Jinping	2014-07-04
South Korea	Host a visit	Barack Obama	2014-04-05
South Korea	Host a visit	North Korea	2014-10-19
South Korea	Host a visit	Nguyen Phu Trong	2014-10-01
South Korea	Host a visit	Ryoo Kihl-jae	2014-12-10
Benjamin Netanyahu	Criticize or denounce	Hamas	2014-09-30
Benjamin Netanyahu	Criticize or denounce	Iran	2014-02-10
Benjamin Netanyahu	Criticize or denounce	Chuck Hagel	2014-05-21
Benjamin Netanyahu	Criticize or denounce	Hamas	2014-06-24
Central Intelligence Agency	Attempt to assassinate	Kim Jong-Un	2014-12-03
Muhammadu Buhari	Make statement	Murtala Nyako	2014-11-28
Muhammadu Buhari	Make statement	Rauf Aregbesola	2014-11-28
Muhammadu Buhari	Make statement	Government (Nigeria)	2014-12-09
Police (Australia)	Accuse	Criminal (Australia)	2014-10-22
Police (Australia)	Accuse	Citizen (Australia)	2014-05-13
Police (Australia)	Accuse	Citizen (Australia)	2014-01-15
Police (Australia)	Accuse	Citizen (Australia)	2014-11-19
Police (Australia)	Accuse	Women (Australia)	2014-07-11
Police (Australia)	Accuse	Citizen (Australia)	2014-07-10
Police (Australia)	Accuse	Citizen (Australia)	2014-03-05
Police (Australia)	Accuse	Citizen (Australia)	2014-08-15
Police (Australia)	Return, release person(s)	Citizen (Australia)	2014-03-26
Police (Australia)	Return, release person(s)	Citizen (Australia)	2014-12-30
Police (Australia)	Return, release person(s)	Citizen (Australia)	2014-05-21
Police (Australia)	Return, release person(s)	Citizen (Australia)	2014-07-14
Philip Hammond	Make statement	Iraq	2014-08-11
Military Personnel (Nigeria)	Make statement	Government (Nigeria)	2014-05-13
Military Personnel (Nigeria)	Make statement	Murtala Nyako	2014-08-11
Military Personnel (Nigeria)	Make statement	Hunter (Nigeria)	2014-11-27
Kazakhstan	Consult	Afghanistan	2014-04-11
Kazakhstan	Consult	Iraq	2014-04-11
Kazakhstan	Consult	Iran	2014-04-01
Protester (Hong Kong)	Express intent to meet or negotiate	China	2014-11-13
Ethiopia	Host a visit	Japan	2014-09-03
Ethiopia	Host a visit	Head of Government (China)	2014-05-04
Ethiopia	Host a visit	South Sudan	2014-02-11
Ethiopia	Host a visit	Husam Mughazi	2014-09-19
Ethiopia	Host a visit	South Sudan	2014-05-09
Ethiopia	Host a visit	African Union	2014-03-26
Ethiopia	Host a visit	Kyung-wha Kang	2014-11-26
Ethiopia	Host a visit	Sergey Viktorovich Lavrov	2014-09-22
Ethiopia	Host a visit	Ministry (Egypt)	2014-02-11
Ethiopia	Host a visit	Uhuru	2014-08-25
Ethiopia	Host a visit	Head of Government (China)	2014-05-07
Ethiopia	Host a visit	Abdiweli Sheikh Ahmed	2014-08-26
Ministry (Egypt)	Make statement	Police (Egypt)	2014-03-31
Ministry (Egypt)	Make statement	Police (Egypt)	2014-11-26
Fumio Kishida	Make statement	Japan	2014-09-23
Fumio Kishida	Make statement	Japan	2014-07-07
Fumio Kishida	Make statement	Japan	2014-06-12
Fumio Kishida	Make statement	John Kerry	2014-02-08
Fumio Kishida	Make statement	Japan	2014-04-23
Fumio Kishida	Make statement	North Korea	2014-10-21
Fumio Kishida	Make statement	Japan	2014-03-17
Fumio Kishida	Make statement	Japan	2014-07-18
Fumio Kishida	Make statement	Keiji Furuya	2014-03-18
Fumio Kishida	Make statement	China	2014-11-12
Fumio Kishida	Make statement	South Korea	2014-01-24
Fumio Kishida	Make statement	Japan	2014-10-24
Fumio Kishida	Make statement	Japan	2014-07-08
Fumio Kishida	Make statement	Cabinet / Council of Ministers / Advisors (United States)	2014-03-24
Election Commission (India)	Make an appeal or request	Citizen (India)	2014-04-21
Election Commission (India)	Make an appeal or request	Citizen (India)	2014-02-20
Election Commission (India)	Make an appeal or request	Media (India)	2014-03-28
Election Commission (India)	Make an appeal or request	Citizen (India)	2014-03-10
Other Authorities / Officials (Nigeria)	Make statement	Government (Nigeria)	2014-11-12
Other Authorities / Officials (Nigeria)	Make statement	Government (Nigeria)	2014-11-28
Other Authorities / Officials (Nigeria)	Make statement	Health Ministry (Nigeria)	2014-02-26
Other Authorities / Officials (Nigeria)	Make statement	Government (Nigeria)	2014-10-23
Other Authorities / Officials (Nigeria)	Make statement	Education (Nigeria)	2014-11-28
Other Authorities / Officials (Nigeria)	Make statement	Government (Nigeria)	2014-06-05
Other Authorities / Officials (Nigeria)	Make statement	Government (Nigeria)	2014-12-05
Other Authorities / Officials (Nigeria)	Make statement	Education (Nigeria)	2014-09-22
Other Authorities / Officials (Nigeria)	Make statement	Mukhtar Ramalan Yero	2014-09-26
Other Authorities / Officials (Nigeria)	Make statement	Government (Nigeria)	2014-08-22
Other Authorities / Officials (Nigeria)	Make statement	Armed Opposition (Nigeria)	2014-11-27
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-05-08
Citizen (Nigeria)	Make an appeal or request	Treasury/Finance Ministry (Nigeria)	2014-07-29
Citizen (Nigeria)	Make an appeal or request	Mallam Isa Yuguda	2014-06-30
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-07-18
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-10-21
Citizen (Nigeria)	Make an appeal or request	Scientist (Nigeria)	2014-08-22
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-09-15
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-07-07
Citizen (Nigeria)	Make an appeal or request	Member of the Judiciary (Nigeria)	2014-05-19
Citizen (Nigeria)	Make an appeal or request	Nurse (Nigeria)	2014-09-01
Citizen (Nigeria)	Make an appeal or request	Assemblies (Nigeria)	2014-09-22
Citizen (Nigeria)	Make an appeal or request	Member of the Judiciary (Nigeria)	2014-10-20
Citizen (Nigeria)	Make an appeal or request	Other Authorities / Officials (Nigeria)	2014-11-10
Citizen (Nigeria)	Make an appeal or request	Muslim (Nigeria)	2014-09-29
Citizen (Nigeria)	Make an appeal or request	Public Courts (Nigeria)	2014-12-20
Citizen (Nigeria)	Make an appeal or request	Assemblies (Nigeria)	2014-09-04
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-08-22
Citizen (Nigeria)	Make an appeal or request	Assemblies (Nigeria)	2014-12-29
Citizen (Nigeria)	Make an appeal or request	Ministry (Nigeria)	2014-12-29
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-02-27
Citizen (Nigeria)	Make an appeal or request	Human Rights Group (Nigeria)	2014-04-23
Citizen (Nigeria)	Make an appeal or request	Court Judge (Nigeria)	2014-08-04
Citizen (Nigeria)	Make an appeal or request	Emmanuel Eweta Uduaghan	2014-09-01
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-04-28
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-03-12
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-10-31
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-12-29
Citizen (Nigeria)	Make an appeal or request	Member of the Judiciary (Nigeria)	2014-07-04
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-03-25
Citizen (Nigeria)	Make an appeal or request	Member of the Judiciary (Nigeria)	2014-11-27
Citizen (Nigeria)	Make an appeal or request	Other Authorities / Officials (Nigeria)	2014-07-02
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-11-10
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-02-19
Citizen (Nigeria)	Make an appeal or request	Adams Oshiomhole	2014-01-29
Citizen (Nigeria)	Make an appeal or request	Rauf Aregbesola	2014-08-12
Citizen (Nigeria)	Make an appeal or request	Defector (Nigeria)	2014-05-21
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-09-23
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-04-03
Citizen (Nigeria)	Make an appeal or request	Oluṣẹgun Ọbasanjọ	2014-10-06
Citizen (Nigeria)	Make an appeal or request	Member of the Judiciary (Nigeria)	2014-05-08
Citizen (Nigeria)	Make an appeal or request	Muslim (Nigeria)	2014-07-01
Citizen (Nigeria)	Make an appeal or request	Military Personnel (Nigeria)	2014-01-21
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-04-14
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-10-24
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-10-14
Citizen (Nigeria)	Make an appeal or request	Olagunsoye Oyinlola	2014-07-14
Citizen (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-07-28
Citizen (Nigeria)	Make an appeal or request	Company - Owner or Operator (Nigeria)	2014-10-08
Citizen (Nigeria)	Make an appeal or request	Member of the Judiciary (Nigeria)	2014-11-28
Citizen (Nigeria)	Make an appeal or request	USAID	2014-03-24
Evangelos Venizelos	Accuse	Main Opposition (Greece)	2014-09-07
Reza Najafi	Make statement	Iran	2014-10-08
Ministry (South Africa)	Make statement	South Africa	2014-12-19
Ministry (South Africa)	Make statement	Government (South Africa)	2014-09-23
China	Criticize or denounce	Japan	2014-09-02
China	Criticize or denounce	Japan	2014-01-22
China	Criticize or denounce	Philippines	2014-06-09
China	Criticize or denounce	Malaysia	2014-03-25
China	Criticize or denounce	John Kerry	2014-02-17
China	Criticize or denounce	Japan	2014-12-23
China	Criticize or denounce	Japan	2014-01-15
Governor (Thailand)	Consult	Gen Prayut Chan-o-cha	2014-09-15
Uhuru Muigai Kenyatta	Demand	Citizen (Kenya)	2014-05-02
Uhuru Muigai Kenyatta	Demand	Government (Kenya)	2014-08-01
Armed Gang (Al Qaeda)	Carry out suicide bombing	Citizen (Yemen)	2014-10-11
Ministry (Kuwait)	Consult	Sabah Khaled Al-Hamad Al-Sabah	2014-11-09
Police (Tanzania)	Make statement	Criminal (Tanzania)	2014-08-25
Police (Tanzania)	Make statement	Ministry (Tanzania)	2014-08-03
Citizen (Nigeria)	Express intent to engage in diplomatic cooperation (such as policy support)	Head of Government (Nigeria)	2014-07-21
France	Host a visit	Xi Jinping	2014-03-25
France	Host a visit	Sergey Viktorovich Lavrov	2014-10-14
France	Host a visit	Abdel Fattah Al-Sisi	2014-11-21
France	Host a visit	John Kerry	2014-01-08
France	Host a visit	Poland	2014-10-02
France	Host a visit	Tajikistan	2014-06-09
France	Host a visit	Veterans (United States)	2014-08-31
France	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-02-18
France	Host a visit	Youssef Boutros Ghali	2014-04-16
France	Host a visit	Xi Jinping	2014-09-16
France	Host a visit	Abdel Fattah Al-Sisi	2014-11-29
France	Host a visit	John Kerry	2014-10-13
France	Host a visit	China	2014-03-25
France	Host a visit	Xi Jinping	2014-03-23
France	Host a visit	Elmar Mammadyarov	2014-10-03
France	Host a visit	Foreign Affairs (United States)	2014-11-04
France	Host a visit	Angela Merkel	2014-02-19
France	Host a visit	Industry (Tunisia)	2014-04-27
France	Host a visit	Royal Administration (Spain)	2014-07-22
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-11-19
Ministry (Nigeria)	Make statement	Planning Commission (Nigeria)	2014-04-09
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-12-30
Ministry (Nigeria)	Make statement	Defense / Security Ministry (Nigeria)	2014-06-12
Ministry (Nigeria)	Make statement	Congress (Nigeria)	2014-08-27
Ministry (Nigeria)	Make statement	Edwin Clark	2014-06-04
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-05-20
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-02-21
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-09-11
Ministry (Nigeria)	Make statement	Military Personnel (Nigeria)	2014-09-08
Ministry (Nigeria)	Make statement	National Economic Council (Nigeria)	2014-06-13
Ministry (Nigeria)	Make statement	Boko Haram	2014-12-12
Ministry (Nigeria)	Make statement	Farm Worker (Nigeria)	2014-04-14
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-06-05
Ministry (Nigeria)	Make statement	Democratic Party (Nigeria)	2014-12-23
Ministry (Nigeria)	Make statement	Government (Nigeria)	2014-10-15
Ministry (Nigeria)	Make statement	Bukola Saraki	2014-03-17
Fumio Kishida	Praise or endorse	Didier Burkhalter	2014-02-04
Fumio Kishida	Praise or endorse	Thailand	2014-09-26
International Monetary Fund	Make statement	Slovenia	2014-01-17
International Monetary Fund	Make statement	China	2014-08-02
Philippines	Arrest, detain, or charge with legal action	University of the Philippines	2014-08-10
Philippines	Arrest, detain, or charge with legal action	Businessperson (Philippines)	2014-08-18
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-10-09
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-10-22
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-12-13
Philippines	Arrest, detain, or charge with legal action	Secret Agent (Philippines)	2014-08-02
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-11-13
Philippines	Arrest, detain, or charge with legal action	Foreign Affairs (Italy)	2014-04-08
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-03-24
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-08-26
Philippines	Arrest, detain, or charge with legal action	Criminal (Philippines)	2014-12-17
Philippines	Arrest, detain, or charge with legal action	Men (Philippines)	2014-04-17
Philippines	Arrest, detain, or charge with legal action	Musa Cerantonio	2014-07-12
Philippines	Arrest, detain, or charge with legal action	Congress (Philippines)	2014-04-10
Kashim Shettima	Make statement	Government (Nigeria)	2014-04-04
Kashim Shettima	Make statement	Suleiman Abba	2014-10-10
Kashim Shettima	Make statement	Military Personnel - Special (Nigeria)	2014-11-19
Kashim Shettima	Make statement	Government (Nigeria)	2014-06-19
Kashim Shettima	Make statement	Boko Haram	2014-02-19
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-06-22
Police (South Korea)	Arrest, detain, or charge with legal action	Military Personnel (South Korea)	2014-04-19
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-10-08
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-05-28
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-11-14
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-07-27
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-09-04
Police (Australia)	Confiscate property	Citizen (Australia)	2014-08-01
Police (Australia)	Confiscate property	Criminal (Australia)	2014-06-11
Police (Australia)	Confiscate property	Citizen (Australia)	2014-07-30
