relation test,relation train,#inverse,#rel_test,percentage
Host a visit,Express intent to meet or negotiate,1696,2497,0.6792150580696836
Express intent to meet or negotiate,Host a visit,1688,3071,0.5496580918267665
Express intent to meet or negotiate,Engage in negotiation,1367,3071,0.44513187886681865
Express intent to meet or negotiate,"Use chemical, biological, or radiological weapons",12,3071,0.0039075219798111365
Express intent to meet or negotiate,Express intent to provide material aid,430,3071,0.14001953760989905
Express intent to meet or negotiate,Sign formal agreement,1002,3071,0.3262780853142299
Express intent to meet or negotiate,Express intent to cooperate,1090,3071,0.3549332464995116
Express intent to meet or negotiate,Make pessimistic comment,742,3071,0.2416151090849886
Express intent to meet or negotiate,Express intent to engage in diplomatic cooperation (such as policy support),1163,3071,0.3787040052100293
Express intent to meet or negotiate,Make optimistic comment,1012,3071,0.3295343536307392
Express intent to meet or negotiate,Accede to demands for rights,33,3071,0.010745685444480626
Express intent to meet or negotiate,Express intent to allow international involvement (non-mediation),4,3071,0.0013025073266037122
Express intent to meet or negotiate,Yield,344,3071,0.11201563008791925
Express intent to meet or negotiate,"Obstruct passage, block",8,3071,0.0026050146532074245
Express intent to meet or negotiate,Express intent to cooperate economically,565,3071,0.18397915988277433
Express intent to meet or negotiate,"Defy norms, law",253,3071,0.0823835884076848
Express intent to meet or negotiate,Cooperate economically,516,3071,0.16802344513187886
Express intent to meet or negotiate,"Threaten with sanctions, boycott, embargo",52,3071,0.016932595245848257
Express intent to meet or negotiate,Meet at a 'third' location,774,3071,0.2520351676978183
Express intent to meet or negotiate,Express intent to settle dispute,482,3071,0.1569521328557473
Express intent to meet or negotiate,Appeal for intelligence,333,3071,0.10843373493975904
Express intent to meet or negotiate,"Reject proposal to meet, discuss, or negotiate",477,3071,0.15532399869749267
Express intent to meet or negotiate,Halt negotiations,413,3071,0.13448388147183327
Express intent to meet or negotiate,Accede to demands for change in policy,61,3071,0.01986323673070661
Express intent to meet or negotiate,Express intent to provide military protection or peacekeeping,10,3071,0.0032562683165092803
Express intent to meet or negotiate,Demonstrate military or police power,254,3071,0.08270921523933572
Express intent to meet or negotiate,"Impose embargo, boycott, or sanctions",169,3071,0.05503093454900684
Express intent to meet or negotiate,Provide military protection or peacekeeping,36,3071,0.011722565939433409
Express intent to meet or negotiate,Express intent to yield,97,3071,0.03158580267014002
Express intent to meet or negotiate,Complain officially,373,3071,0.12145880820579616
Express intent to meet or negotiate,"Ease economic sanctions, boycott, embargo",102,3071,0.03321393682839466
Express intent to meet or negotiate,Consider policy option,529,3071,0.17225659394334092
Express intent to meet or negotiate,Receive deployment of peacekeepers,78,3071,0.025398892868772387
Express intent to meet or negotiate,Demand diplomatic cooperation (such as policy support),325,3071,0.10582872028655162
Express intent to meet or negotiate,Express intent to provide economic aid,342,3071,0.11136437642461738
Express intent to meet or negotiate,Appeal for military aid,43,3071,0.014001953760989906
Express intent to meet or negotiate,Allow humanitarian access,0,3071,0.0
Express intent to meet or negotiate,Reduce or stop material aid,69,3071,0.022468251383914034
Express intent to meet or negotiate,Express intent to provide humanitarian aid,385,3071,0.1253663301856073
Express intent to meet or negotiate,Appeal for political reform,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Impose state of emergency or martial law,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Give ultimatum,188,3071,0.06121784435037447
Express intent to meet or negotiate,Share intelligence or information,365,3071,0.11885379355258874
Express intent to meet or negotiate,"Reject plan, agreement to settle dispute",493,3071,0.1605340280039075
Express intent to meet or negotiate,Reject judicial cooperation,83,3071,0.02702702702702703
Express intent to meet or negotiate,"Declare truce, ceasefire",403,3071,0.131227613155324
Express intent to meet or negotiate,"Return, release property",134,3071,0.04363399544122436
Express intent to meet or negotiate,Mediate,166,3071,0.05405405405405406
Express intent to meet or negotiate,Express intent to cooperate militarily,349,3071,0.11364376424617388
Express intent to meet or negotiate,Reduce or stop economic assistance,250,3071,0.08140670791273201
Express intent to meet or negotiate,Engage in mass killings,9,3071,0.002930641484858352
Express intent to meet or negotiate,Express intent to ease administrative sanctions,99,3071,0.03223705633344188
Express intent to meet or negotiate,Appeal for humanitarian aid,181,3071,0.058938456528817976
Express intent to meet or negotiate,Appeal for policy change,152,3071,0.04949527841094106
Express intent to meet or negotiate,Demand material cooperation,143,3071,0.04656463692608271
Express intent to meet or negotiate,Threaten to reduce or stop aid,60,3071,0.01953760989905568
Express intent to meet or negotiate,Express intent to engage in material cooperation,71,3071,0.02311950504721589
Express intent to meet or negotiate,Demand intelligence cooperation,118,3071,0.03842396613480951
Express intent to meet or negotiate,Express intent to mediate,130,3071,0.04233148811462065
Express intent to meet or negotiate,Appeal to others to settle dispute,98,3071,0.03191142950179095
Express intent to meet or negotiate,Appeal for aid,155,3071,0.05047215890589384
Express intent to meet or negotiate,Express intent to change policy,48,3071,0.015630087919244546
Express intent to meet or negotiate,"Refuse to ease economic sanctions, boycott, or embargo",58,3071,0.018886356235753826
Express intent to meet or negotiate,Reduce or stop military assistance,10,3071,0.0032562683165092803
Express intent to meet or negotiate,Express intent to cooperate on intelligence,209,3071,0.06805600781504396
Express intent to meet or negotiate,Appeal for rights,148,3071,0.04819277108433735
Express intent to meet or negotiate,Demobilize armed forces,4,3071,0.0013025073266037122
Express intent to meet or negotiate,Reject request for military protection or peacekeeping,6,3071,0.0019537609899055682
Express intent to meet or negotiate,"Appeal for change in institutions, regime",8,3071,0.0026050146532074245
Express intent to meet or negotiate,Ease military blockade,0,3071,0.0
Express intent to meet or negotiate,Reject economic cooperation,44,3071,0.014327580592640833
Express intent to meet or negotiate,Appeal for military cooperation,1,3071,0.00032562683165092806
Express intent to meet or negotiate,Reject material cooperation,4,3071,0.0013025073266037122
Express intent to meet or negotiate,Demand political reform,1,3071,0.00032562683165092806
Express intent to meet or negotiate,"Appeal for easing of economic sanctions, boycott, or embargo",2,3071,0.0006512536633018561
Express intent to meet or negotiate,Ease state of emergency or martial law,4,3071,0.0013025073266037122
Express intent to meet or negotiate,Receive inspectors,61,3071,0.01986323673070661
Express intent to meet or negotiate,Appeal for military protection or peacekeeping,3,3071,0.0009768804949527841
Express intent to meet or negotiate,"Express intent to change institutions, regime",4,3071,0.0013025073266037122
Express intent to meet or negotiate,Reject military cooperation,0,3071,0.0
Express intent to meet or negotiate,Reject mediation,15,3071,0.00488440247476392
Express intent to meet or negotiate,Appeal for target to allow international involvement (non-mediation),0,3071,0.0
Express intent to meet or negotiate,Threaten to impose curfew,1,3071,0.00032562683165092806
Express intent to meet or negotiate,Halt mediation,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Demand rights,1,3071,0.00032562683165092806
Express intent to meet or negotiate,Demand economic cooperation,0,3071,0.0
Express intent to meet or negotiate,Threaten to halt negotiations,20,3071,0.0065125366330185605
Express intent to meet or negotiate,Demand military aid,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Reject request for humanitarian aid,58,3071,0.018886356235753826
Express intent to meet or negotiate,Demand easing of political dissent,1,3071,0.00032562683165092806
Express intent to meet or negotiate,"Reject request for change in institutions, regime",1,3071,0.00032562683165092806
Express intent to meet or negotiate,Ease curfew,0,3071,0.0
Express intent to meet or negotiate,Ease restrictions on political freedoms,0,3071,0.0
Express intent to meet or negotiate,Threaten to halt international involvement (non-mediation),0,3071,0.0
Express intent to meet or negotiate,Threaten to impose state of emergency or martial law,2,3071,0.0006512536633018561
Criticize or denounce,Reject,607,1400,0.43357142857142855
Criticize or denounce,Threaten,428,1400,0.3057142857142857
Criticize or denounce,Accuse,676,1400,0.4828571428571429
Criticize or denounce,"Use chemical, biological, or radiological weapons",6,1400,0.004285714285714286
Criticize or denounce,Investigate,368,1400,0.26285714285714284
Make an appeal or request,Criticize or denounce,1350,2601,0.5190311418685121
Criticize or denounce,Make an appeal or request,746,1400,0.5328571428571428
Criticize or denounce,Express intent to cooperate,525,1400,0.375
Criticize or denounce,Make pessimistic comment,463,1400,0.33071428571428574
Criticize or denounce,Express intent to engage in diplomatic cooperation (such as policy support),541,1400,0.38642857142857145
Criticize or denounce,Provide humanitarian aid,197,1400,0.1407142857142857
Criticize or denounce,Accede to demands for rights,33,1400,0.023571428571428573
Criticize or denounce,Confiscate property,55,1400,0.039285714285714285
Criticize or denounce,Express intent to allow international involvement (non-mediation),1,1400,0.0007142857142857143
Criticize or denounce,Yield,232,1400,0.1657142857142857
Criticize or denounce,"Obstruct passage, block",2,1400,0.0014285714285714286
Criticize or denounce,"Defy norms, law",153,1400,0.10928571428571429
Criticize or denounce,"Threaten with sanctions, boycott, embargo",40,1400,0.02857142857142857
Criticize or denounce,Express intent to settle dispute,188,1400,0.13428571428571429
Criticize or denounce,Appeal for intelligence,204,1400,0.1457142857142857
Criticize or denounce,Bring lawsuit against,200,1400,0.14285714285714285
Criticize or denounce,Deny responsibility,389,1400,0.27785714285714286
Criticize or denounce,"Reject proposal to meet, discuss, or negotiate",252,1400,0.18
Criticize or denounce,Halt negotiations,172,1400,0.12285714285714286
Criticize or denounce,Accede to demands for change in policy,17,1400,0.012142857142857143
Criticize or denounce,Express intent to provide military protection or peacekeeping,1,1400,0.0007142857142857143
Criticize or denounce,Impose administrative sanctions,98,1400,0.07
Criticize or denounce,Express intent to de-escalate military engagement,26,1400,0.018571428571428572
Criticize or denounce,Increase police alert status,4,1400,0.002857142857142857
Criticize or denounce,Demonstrate military or police power,98,1400,0.07
Criticize or denounce,"Impose embargo, boycott, or sanctions",83,1400,0.05928571428571429
Criticize or denounce,Torture,39,1400,0.027857142857142858
Criticize or denounce,Provide military protection or peacekeeping,20,1400,0.014285714285714285
Criticize or denounce,Express intent to yield,81,1400,0.05785714285714286
Criticize or denounce,Complain officially,189,1400,0.135
Criticize or denounce,"Accuse of crime, corruption",139,1400,0.09928571428571428
Criticize or denounce,Reduce relations,330,1400,0.2357142857142857
Criticize or denounce,Receive deployment of peacekeepers,36,1400,0.025714285714285714
Criticize or denounce,Threaten non-force,41,1400,0.029285714285714286
Criticize or denounce,Appeal for military aid,28,1400,0.02
Criticize or denounce,Allow humanitarian access,1,1400,0.0007142857142857143
Criticize or denounce,Reduce or stop material aid,37,1400,0.02642857142857143
Criticize or denounce,Mobilize or increase police power,74,1400,0.05285714285714286
Criticize or denounce,"Impose blockade, restrict movement",39,1400,0.027857142857142858
Criticize or denounce,Impose state of emergency or martial law,2,1400,0.0014285714285714286
Criticize or denounce,Give ultimatum,194,1400,0.13857142857142857
Criticize or denounce,"Reject plan, agreement to settle dispute",216,1400,0.15428571428571428
Criticize or denounce,Reject judicial cooperation,18,1400,0.012857142857142857
Criticize or denounce,"Declare truce, ceasefire",155,1400,0.11071428571428571
Criticize or denounce,"Conduct suicide, car, or other non-military bombing",32,1400,0.022857142857142857
Criticize or denounce,"Return, release property",73,1400,0.052142857142857144
Criticize or denounce,Express intent to cooperate militarily,118,1400,0.08428571428571428
Criticize or denounce,Reduce or stop humanitarian assistance,53,1400,0.03785714285714286
Criticize or denounce,Reduce or stop economic assistance,126,1400,0.09
Criticize or denounce,Refuse to yield,162,1400,0.11571428571428571
Criticize or denounce,fight with artillery and tanks,30,1400,0.02142857142857143
Criticize or denounce,Veto,0,1400,0.0
Criticize or denounce,"Demand change in institutions, regime",1,1400,0.0007142857142857143
Criticize or denounce,Demand material cooperation,66,1400,0.047142857142857146
Criticize or denounce,Seize or damage property,16,1400,0.011428571428571429
Criticize or denounce,Refuse to ease administrative sanctions,39,1400,0.027857142857142858
Criticize or denounce,Demand intelligence cooperation,57,1400,0.04071428571428572
Criticize or denounce,Forgive,4,1400,0.002857142857142857
Criticize or denounce,Appeal to others to settle dispute,78,1400,0.055714285714285716
Criticize or denounce,Ease political dissent,9,1400,0.0064285714285714285
Criticize or denounce,Appeal for aid,94,1400,0.06714285714285714
Criticize or denounce,Express intent to change policy,16,1400,0.011428571428571429
Criticize or denounce,"Refuse to ease economic sanctions, boycott, or embargo",37,1400,0.02642857142857143
Criticize or denounce,Threaten to reduce or break relations,66,1400,0.047142857142857146
Criticize or denounce,Reduce or stop military assistance,8,1400,0.005714285714285714
Criticize or denounce,Use as human shield,20,1400,0.014285714285714285
Criticize or denounce,Express intent to cooperate on intelligence,92,1400,0.06571428571428571
Criticize or denounce,"Threaten with political dissent, protest",5,1400,0.0035714285714285713
Criticize or denounce,Appeal for rights,78,1400,0.055714285714285716
Criticize or denounce,Reject request for military protection or peacekeeping,4,1400,0.002857142857142857
Criticize or denounce,"Express intent to ease economic sanctions, boycott, or embargo",11,1400,0.007857142857142858
Criticize or denounce,Ease military blockade,1,1400,0.0007142857142857143
Criticize or denounce,Reject economic cooperation,9,1400,0.0064285714285714285
Criticize or denounce,Appeal for military cooperation,1,1400,0.0007142857142857143
Criticize or denounce,Demand release of persons or property,35,1400,0.025
Criticize or denounce,Accede to requests or demands for political reform,1,1400,0.0007142857142857143
Criticize or denounce,Reject material cooperation,4,1400,0.002857142857142857
Criticize or denounce,Investigate war crimes,0,1400,0.0
Criticize or denounce,Destroy property,22,1400,0.015714285714285715
Criticize or denounce,"Appeal for easing of economic sanctions, boycott, or embargo",7,1400,0.005
Criticize or denounce,Receive inspectors,13,1400,0.009285714285714286
Criticize or denounce,"Express intent to change institutions, regime",7,1400,0.005
Criticize or denounce,Reject mediation,8,1400,0.005714285714285714
Criticize or denounce,Appeal for target to allow international involvement (non-mediation),1,1400,0.0007142857142857143
Criticize or denounce,Carry out roadside bombing,1,1400,0.0007142857142857143
Criticize or denounce,Threaten to impose curfew,1,1400,0.0007142857142857143
Criticize or denounce,Halt mediation,20,1400,0.014285714285714285
Criticize or denounce,Demand rights,1,1400,0.0007142857142857143
Criticize or denounce,Threaten to halt negotiations,8,1400,0.005714285714285714
Criticize or denounce,Demand military aid,7,1400,0.005
Criticize or denounce,Reject request for humanitarian aid,32,1400,0.022857142857142857
Criticize or denounce,Demand easing of political dissent,1,1400,0.0007142857142857143
Criticize or denounce,"Reject request for change in institutions, regime",1,1400,0.0007142857142857143
Criticize or denounce,Ease curfew,0,1400,0.0
Criticize or denounce,Reject request for economic aid,7,1400,0.005
Criticize or denounce,Threaten to halt international involvement (non-mediation),1,1400,0.0007142857142857143
Criticize or denounce,Reject request or demand for political reform,0,1400,0.0
Criticize or denounce,Reject request for policy change,0,1400,0.0
Appeal for diplomatic cooperation (such as policy support),"Use chemical, biological, or radiological weapons",0,205,0.0
Make an appeal or request,Appeal for diplomatic cooperation (such as policy support),798,2601,0.30680507497116494
Appeal for diplomatic cooperation (such as policy support),Accede to demands for rights,9,205,0.04390243902439024
Appeal for diplomatic cooperation (such as policy support),Express intent to allow international involvement (non-mediation),0,205,0.0
Appeal for diplomatic cooperation (such as policy support),"Defy norms, law",20,205,0.0975609756097561
Appeal for diplomatic cooperation (such as policy support),"Impose embargo, boycott, or sanctions",3,205,0.014634146341463415
Appeal for diplomatic cooperation (such as policy support),Provide military protection or peacekeeping,2,205,0.00975609756097561
Appeal for diplomatic cooperation (such as policy support),Receive deployment of peacekeepers,3,205,0.014634146341463415
Appeal for diplomatic cooperation (such as policy support),Allow humanitarian access,0,205,0.0
Appeal for diplomatic cooperation (such as policy support),"Return, release property",20,205,0.0975609756097561
Appeal for diplomatic cooperation (such as policy support),Reduce or stop economic assistance,13,205,0.06341463414634146
Appeal for diplomatic cooperation (such as policy support),Threaten to reduce or stop aid,4,205,0.01951219512195122
Appeal for diplomatic cooperation (such as policy support),Express intent to cooperate on intelligence,5,205,0.024390243902439025
Appeal for diplomatic cooperation (such as policy support),Reject request for military protection or peacekeeping,1,205,0.004878048780487805
Appeal for diplomatic cooperation (such as policy support),Appeal for military cooperation,1,205,0.004878048780487805
Appeal for diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",2,205,0.00975609756097561
Appeal for diplomatic cooperation (such as policy support),Receive inspectors,2,205,0.00975609756097561
Appeal for diplomatic cooperation (such as policy support),"Express intent to change institutions, regime",0,205,0.0
Appeal for diplomatic cooperation (such as policy support),Reject mediation,1,205,0.004878048780487805
Appeal for diplomatic cooperation (such as policy support),Appeal for target to allow international involvement (non-mediation),0,205,0.0
Appeal for diplomatic cooperation (such as policy support),Halt mediation,7,205,0.03414634146341464
Appeal for diplomatic cooperation (such as policy support),Threaten to halt negotiations,0,205,0.0
Appeal for diplomatic cooperation (such as policy support),Reject request for humanitarian aid,4,205,0.01951219512195122
Appeal for diplomatic cooperation (such as policy support),Demand easing of political dissent,0,205,0.0
Appeal for diplomatic cooperation (such as policy support),"Reject request for change in institutions, regime",0,205,0.0
Appeal for diplomatic cooperation (such as policy support),Ease curfew,0,205,0.0
Appeal for diplomatic cooperation (such as policy support),Threaten to halt international involvement (non-mediation),0,205,0.0
Consult,Engage in diplomatic cooperation,1265,4925,0.2568527918781726
Consult,Host a visit,1670,4925,0.33908629441624366
Consult,Engage in negotiation,2089,4925,0.42416243654822333
Consult,"Use chemical, biological, or radiological weapons",16,4925,0.003248730964467005
Consult,Express intent to provide material aid,509,4925,0.10335025380710659
Consult,Sign formal agreement,1446,4925,0.2936040609137056
Consult,Express intent to cooperate,1585,4925,0.3218274111675127
Consult,Express intent to engage in diplomatic cooperation (such as policy support),1539,4925,0.31248730964467003
Consult,Make optimistic comment,1230,4925,0.24974619289340103
Consult,Discuss by telephone,965,4925,0.19593908629441625
Consult,Express intent to allow international involvement (non-mediation),2,4925,0.0004060913705583756
Consult,Express intent to cooperate economically,865,4925,0.17563451776649747
Consult,"Defy norms, law",286,4925,0.058071065989847716
Consult,Cooperate economically,830,4925,0.16852791878172588
Consult,Reduce or break diplomatic relations,493,4925,0.1001015228426396
Consult,Mobilize or increase armed forces,309,4925,0.06274111675126903
Consult,"Threaten with sanctions, boycott, embargo",65,4925,0.013197969543147208
Consult,Meet at a 'third' location,1233,4925,0.2503553299492386
Consult,Engage in material cooperation,502,4925,0.10192893401015228
Consult,Express intent to settle dispute,781,4925,0.1585786802030457
Consult,Retreat or surrender militarily,68,4925,0.013807106598984771
Consult,Defend verbally,75,4925,0.015228426395939087
Consult,"Reject proposal to meet, discuss, or negotiate",541,4925,0.10984771573604062
Consult,Halt negotiations,479,4925,0.09725888324873097
Consult,Accede to demands for change in policy,95,4925,0.019289340101522844
Consult,Express intent to provide military protection or peacekeeping,13,4925,0.0026395939086294416
Consult,Express accord,568,4925,0.11532994923857869
Consult,Express intent to de-escalate military engagement,37,4925,0.007512690355329949
Consult,Increase police alert status,32,4925,0.00649746192893401
Consult,Demonstrate military or police power,378,4925,0.07675126903553299
Consult,"Impose embargo, boycott, or sanctions",165,4925,0.03350253807106599
Consult,Provide military protection or peacekeeping,65,4925,0.013197969543147208
Consult,"Ease economic sanctions, boycott, embargo",144,4925,0.029238578680203044
Consult,Consider policy option,650,4925,0.1319796954314721
Consult,Receive deployment of peacekeepers,95,4925,0.019289340101522844
Consult,Allow humanitarian access,1,4925,0.0002030456852791878
Consult,Reduce or stop material aid,81,4925,0.016446700507614213
Consult,Mobilize or increase police power,227,4925,0.04609137055837564
Consult,Appeal for political reform,8,4925,0.0016243654822335025
Consult,Impose state of emergency or martial law,10,4925,0.0020304568527918783
Consult,Share intelligence or information,583,4925,0.1183756345177665
Consult,Grant diplomatic recognition,574,4925,0.1165482233502538
Consult,"Reject plan, agreement to settle dispute",731,4925,0.1484263959390863
Consult,Reject judicial cooperation,75,4925,0.015228426395939087
Consult,"Declare truce, ceasefire",533,4925,0.10822335025380711
Consult,Mediate,229,4925,0.04649746192893401
Consult,Express intent to cooperate militarily,486,4925,0.09868020304568528
Consult,Reduce or stop economic assistance,327,4925,0.06639593908629442
Consult,fight with artillery and tanks,153,4925,0.031065989847715737
Consult,Veto,9,4925,0.0018274111675126903
Consult,"Demand change in institutions, regime",19,4925,0.0038578680203045683
Consult,"Demand meeting, negotiation",288,4925,0.05847715736040609
Consult,Demand material cooperation,204,4925,0.04142131979695431
Consult,Threaten to reduce or stop aid,65,4925,0.013197969543147208
Consult,Appeal to yield,146,4925,0.02964467005076142
Consult,Express intent to engage in material cooperation,65,4925,0.013197969543147208
Consult,Forgive,5,4925,0.0010152284263959391
Consult,Express intent to mediate,106,4925,0.02152284263959391
Consult,Appeal to others to settle dispute,143,4925,0.029035532994923858
Consult,Impose curfew,1,4925,0.0002030456852791878
Consult,Appeal for aid,158,4925,0.03208121827411167
Consult,Expel or withdraw,2,4925,0.0004060913705583756
Consult,Express intent to change policy,67,4925,0.013604060913705585
Consult,"Refuse to ease economic sanctions, boycott, or embargo",72,4925,0.014619289340101522
Consult,Reduce or stop military assistance,12,4925,0.002436548223350254
Consult,Express intent to change leadership,8,4925,0.0016243654822335025
Consult,Express intent to cooperate on intelligence,261,4925,0.05299492385786802
Consult,Demand material aid,5,4925,0.0010152284263959391
Consult,"Threaten with political dissent, protest",25,4925,0.005076142131979695
Consult,Demand humanitarian aid,0,4925,0.0
Consult,Demobilize armed forces,9,4925,0.0018274111675126903
Consult,Reject request for military protection or peacekeeping,3,4925,0.0006091370558375635
Consult,"Express intent to ease economic sanctions, boycott, or embargo",17,4925,0.0034517766497461928
Consult,"Appeal for change in institutions, regime",15,4925,0.003045685279187817
Consult,Reject economic cooperation,69,4925,0.01401015228426396
Consult,Appeal for military cooperation,3,4925,0.0006091370558375635
Consult,Accede to requests or demands for political reform,6,4925,0.001218274111675127
Consult,Reject material cooperation,1,4925,0.0002030456852791878
Consult,Demand settling of dispute,122,4925,0.024771573604060914
Consult,Conduct strike or boycott for leadership change,0,4925,0.0
Consult,Demand policy change,13,4925,0.0026395939086294416
Consult,"Appeal for easing of economic sanctions, boycott, or embargo",7,4925,0.0014213197969543147
Consult,Ease state of emergency or martial law,2,4925,0.0004060913705583756
Consult,Receive inspectors,9,4925,0.0018274111675126903
Consult,Threaten with repression,1,4925,0.0002030456852791878
Consult,"Express intent to change institutions, regime",18,4925,0.0036548223350253805
Consult,"Accede to demands for change in institutions, regime",0,4925,0.0
Consult,Reject request for change in leadership,1,4925,0.0002030456852791878
Consult,Reject military cooperation,1,4925,0.0002030456852791878
Consult,Reject mediation,18,4925,0.0036548223350253805
Consult,Appeal for target to allow international involvement (non-mediation),1,4925,0.0002030456852791878
Consult,Threaten to impose curfew,1,4925,0.0002030456852791878
Consult,Demand rights,1,4925,0.0002030456852791878
Consult,Demand economic cooperation,0,4925,0.0
Consult,Threaten to halt negotiations,12,4925,0.002436548223350254
Consult,Demand military aid,2,4925,0.0004060913705583756
Consult,Reject request for humanitarian aid,65,4925,0.013197969543147208
Consult,Demand easing of political dissent,0,4925,0.0
Consult,"Reject request for change in institutions, regime",0,4925,0.0
Consult,Ease curfew,1,4925,0.0002030456852791878
Consult,Reject request for economic aid,5,4925,0.0010152284263959391
Consult,Threaten to halt international involvement (non-mediation),1,4925,0.0002030456852791878
Consult,Reject request or demand for political reform,1,4925,0.0002030456852791878
Consult,Threaten to impose state of emergency or martial law,0,4925,0.0
Demand,"Use chemical, biological, or radiological weapons",0,676,0.0
Demand,Investigate,152,676,0.22485207100591717
Make an appeal or request,Demand,1145,2601,0.4402153018069973
Demand,Express intent to cooperate,233,676,0.34467455621301774
Demand,Accede to demands for rights,21,676,0.03106508875739645
Demand,Confiscate property,37,676,0.05473372781065089
Demand,Express intent to allow international involvement (non-mediation),0,676,0.0
Demand,Yield,130,676,0.19230769230769232
Demand,"Obstruct passage, block",5,676,0.0073964497041420114
Demand,"Defy norms, law",71,676,0.10502958579881656
Demand,"Threaten with sanctions, boycott, embargo",17,676,0.02514792899408284
Demand,Express intent to settle dispute,43,676,0.06360946745562131
Demand,Appeal for intelligence,99,676,0.14644970414201183
Demand,Halt negotiations,52,676,0.07692307692307693
Demand,Accede to demands for change in policy,4,676,0.005917159763313609
Demand,Express intent to provide military protection or peacekeeping,6,676,0.008875739644970414
Demand,Express intent to de-escalate military engagement,12,676,0.01775147928994083
Demand,Increase police alert status,14,676,0.020710059171597635
Demand,"Impose embargo, boycott, or sanctions",19,676,0.028106508875739646
Demand,Provide military protection or peacekeeping,6,676,0.008875739644970414
Demand,Express intent to yield,63,676,0.09319526627218935
Demand,Complain officially,98,676,0.14497041420118342
Demand,Receive deployment of peacekeepers,10,676,0.014792899408284023
Demand,Appeal for military aid,17,676,0.02514792899408284
Demand,Allow humanitarian access,2,676,0.0029585798816568047
Demand,Mobilize or increase police power,25,676,0.03698224852071006
Demand,"Impose blockade, restrict movement",25,676,0.03698224852071006
Demand,Impose state of emergency or martial law,2,676,0.0029585798816568047
Demand,Give ultimatum,94,676,0.1390532544378698
Demand,"Reject plan, agreement to settle dispute",63,676,0.09319526627218935
Demand,Reject judicial cooperation,21,676,0.03106508875739645
Demand,"Declare truce, ceasefire",36,676,0.05325443786982249
Demand,"Return, release property",34,676,0.05029585798816568
Demand,Express intent to cooperate militarily,21,676,0.03106508875739645
Demand,Refuse to yield,72,676,0.10650887573964497
Demand,fight with artillery and tanks,10,676,0.014792899408284023
Demand,Seize or damage property,6,676,0.008875739644970414
Demand,Express intent to engage in material cooperation,14,676,0.020710059171597635
Demand,Demand intelligence cooperation,26,676,0.038461538461538464
Demand,Forgive,4,676,0.005917159763313609
Demand,Impose curfew,0,676,0.0
Demand,Appeal for aid,49,676,0.07248520710059171
Demand,Express intent to change policy,9,676,0.013313609467455622
Demand,Express intent to cooperate on intelligence,16,676,0.023668639053254437
Demand,Demand material aid,0,676,0.0
Demand,Demand humanitarian aid,0,676,0.0
Demand,Reject request for military protection or peacekeeping,2,676,0.0029585798816568047
Demand,Ease military blockade,2,676,0.0029585798816568047
Demand,Appeal for military cooperation,0,676,0.0
