,head,relation,tail,time
32,China,Engage in diplomatic cooperation,Iran,2009-08-02
33,Cambodia,Engage in diplomatic cooperation,Vietnam,2006-03-20
34,China,Grant diplomatic recognition,Japan,2007-08-20
35,South Korea,"Reject plan, agreement to settle dispute",Envoy (United States),2006-09-22
36,Barack Obama,Praise or endorse,Ireland,2013-03-20
37,Association of Southeast Asian Nations,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Thailand),2006-06-15
38,South Korea,Host a visit,Nuri al-Maliki,2011-05-03
39,China,Engage in diplomatic cooperation,Iran,2009-05-11
40,Yemen,Expel or deport individuals,Immigrants (Ethiopia),2013-04-14
41,Werner Faymann,Make statement,Alexis Tsipras,2015-06-19
42,Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2008-10-05
43,China,Express intent to meet or negotiate,South Korea,2007-03-31
44,China,Express intent to cooperate,Japan,2007-05-04
45,Police (Australia),Make statement,Medical Personnel (Australia),2012-04-26
46,Ministry (Sri Lanka),Make a visit,Head of Government (Cameroon),2011-09-05
47,Barack Obama,Express intent to meet or negotiate,Shimon Peres,2009-05-02
48,Islamic Preacher (Iran),Make an appeal or request,Iran,2010-08-30
49,South Africa,Express intent to meet or negotiate,Malawi,2006-03-10
50,Police (Australia),Engage in material cooperation,Citizen (Australia),2006-07-18
51,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-11-21
52,Iran,Reject,UN Security Council,2007-09-17
53,United Arab Emirates,Host a visit,Chuck Hagel,2013-04-25
54,China,Reject,Japan,2005-11-01
55,Lee Myung Bak,Make a visit,Japan,2010-11-29
56,China,Express intent to cooperate economically,Cambodia,2010-12-18
57,Jakaya Mrisho Kikwete,Consult,Xi Jinping,2015-04-27
58,Wen Jiabao,Consult,China,2006-03-10
59,Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2013-12-26
60,Barack Obama,Appeal for aid,China,2014-12-21
61,Media Personnel (China),Make statement,China,2015-06-22
62,Protester (Thailand),Impose restrictions on political freedoms,Thailand,2014-01-26
63,Abdullah Gül,Express intent to meet or negotiate,Barack Obama,2009-04-06
64,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2006-02-25
65,Mauritania,Meet at a 'third' location,Niger,2010-09-27
66,Cristina Fernández de Kirchner,Express intent to meet or negotiate,Angela Merkel,2009-09-25
67,South Korea,Consult,Japan,2006-10-11
68,South Korea,Demand,Japan,2011-10-18
69,Evo Morales,Discuss by telephone,Daniel Ortega,2006-11-08
70,Citizen (Thailand),Make pessimistic comment,Thailand,2005-02-24
71,Police (Australia),Confiscate property,Criminal (Australia),2008-12-11
72,Wen Jiabao,Make statement,China,2008-05-07
73,Member of Parliament (Australia),Express intent to engage in diplomatic cooperation (such as policy support),Julia Gillard,2010-06-14
74,Government (Nigeria),Make an appeal or request,Ministry (Nigeria),2009-12-11
75,South Korea,Make an appeal or request,Japan,2015-04-27
76,A.P. Sharma,Make statement,Finance / Economy / Commerce / Trade Ministry (India),2012-07-12
77,South Korea,Express intent to meet or negotiate,China,2008-11-24
78,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Bolivia,2009-11-21
79,China,Express intent to cooperate,Vietnam,2007-08-30
80,Police (Australia),Make an appeal or request,Citizen (Australia),2006-06-13
81,Rapid Action Battalion,Confiscate property,Citizen (Bangladesh),2006-06-21
82,Yemen,Host a visit,Human Rights Watch,2015-05-31
83,Qatar,Reduce or break diplomatic relations,Foreign Affairs (Syria),2012-02-08
84,Hugo Moyano,Make statement,Cristina Fernández de Kirchner,2012-05-30
85,Armed Rebel (Russia),Use unconventional violence,Military (Russia),2010-08-05
86,Thailand,Ease administrative sanctions,Citizen (Thailand),2013-03-25
87,China,Criticize or denounce,South Korea,2011-03-24
88,Donald Rumsfeld,Make a visit,Iraq,2005-08-16
89,Tanzania,Host a visit,Jakaya Mrisho Kikwete,2005-09-30
90,Police (Australia),Investigate,Citizen (Australia),2015-04-08
91,Yannis Stournaras,Engage in negotiation,International Monetary Fund,2014-02-24
92,Mahmoud Ahmadinejad,Express intent to meet or negotiate,United Arab Emirates,2007-05-13
93,Cabinet / Council of Ministers / Advisors (Australia),Express intent to meet or negotiate,Citizen (Australia),2011-02-28
94,Armed Gang (Saudi Arabia),fight with small arms and light weapons,Police (Saudi Arabia),2015-04-08
95,Naval (United States),Make statement,China,2009-04-21
96,Angela Merkel,Express intent to cooperate,Cristina Fernández de Kirchner,2013-01-27
97,China,Host a visit,Norodom Sihanouk,2012-03-20
98,Head of Government (Pakistan),Make statement,Benazir Bhutto,2007-09-15
99,United Arab Emirates,Host a visit,Qatar,2009-01-22
100,France,Engage in diplomatic cooperation,China,2005-04-22
101,African Union,Praise or endorse,Sudan,2015-03-03
102,China,Sign formal agreement,Malaysia,2007-10-29
103,Iraq,Host a visit,Mahmoud Ahmadinejad,2008-01-21
104,Javier Solana,Make a visit,Middle East,2006-02-16
105,Islamic Preacher (Iran),Make statement,Iran,2013-05-18
106,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2013-03-17
107,Barack Obama,Express intent to meet or negotiate,Mahmoud Abbas,2011-09-22
108,Police (Australia),Criticize or denounce,Citizen (Australia),2014-10-28
109,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2005-07-05
110,China,Host a visit,Abhisit Vejjajiva,2010-11-12
111,Lee Myung Bak,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (South Korea),2010-03-27
112,Police (Philippines),Make statement,Military Personnel - Special (Philippines),2014-06-29
113,Barack Obama,Make a visit,Japan,2010-11-14
114,Member of Parliament (Australia),Make statement,Julia Gillard,2010-06-24
115,Head of Government (Pakistan),Rally opposition against,Government (Pakistan),2007-12-31
116,Abdullah Gül,Make statement,Romania,2005-03-29
117,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-07
118,African Union,Express intent to meet or negotiate,Sudan,2007-02-13
119,Dmitry Anatolyevich Medvedev,Consult,Raúl Castro,2008-12-01
120,Iran,"Defy norms, law",UN Security Council,2009-09-29
121,Dmitry Anatolyevich Medvedev,Threaten,Iran,2010-03-03
122,Alan Purisima,Praise or endorse,Police (Philippines),2012-03-29
123,Iran,Express intent to cooperate,France,2015-07-30
124,Citizen (Sudan),Criticize or denounce,Government (Sudan),2015-10-28
125,Laos,Express intent to cooperate,Vietnam,2005-06-03
126,Police (Australia),Accuse,Women (Australia),2009-11-26
127,Uhuru Muigai Kenyatta,Make statement,Mwai Kibaki,2005-05-25
128,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2008-04-10
129,Men (Philippines),Use unconventional violence,Military (Philippines),2009-03-17
130,Thailand,Engage in diplomatic cooperation,China,2009-06-30
131,Media Personnel (Pakistan),Make statement,Government (Pakistan),2008-06-09
132,William Ruto,Make statement,Police (Kenya),2005-12-08
133,France,Host a visit,Benjamin Netanyahu,2011-05-04
134,Tony Blair,Make an appeal or request,Iran,2006-07-17
135,The Hague,Host a visit,Bolivia,2015-05-02
136,Citizen (Australia),Use unconventional violence,Police (Australia),2011-03-12
137,Colombia,Consult,Head of Government (Colombia),2008-03-30
138,Labor Union (Nigeria),Criticize or denounce,Citizen (Nigeria),2011-10-03
139,Newspaper (United Kingdom),Express intent to cooperate,Citizen (United Kingdom),2012-06-01
140,China,Host a visit,Maumoon Abdul Gayoom,2007-07-08
141,Vietnam,Express intent to meet or negotiate,Thailand,2015-04-04
142,Japan,Express intent to meet or negotiate,China,2005-07-23
143,Kuomintang,Make a visit,China,2012-03-21
144,Lee Myung Bak,Make statement,South Korea,2009-01-13
145,Other Authorities / Officials (Mexico),Provide economic aid,Mexico,2010-02-01
146,China,Express intent to meet or negotiate,Japan,2015-10-20
147,Isaias Afewerki,Make statement,Eritrea,2005-11-11
148,Islamic Militant (Philippines),Use unconventional violence,Military (Philippines),2007-08-18
149,Police (Uganda),Make pessimistic comment,Citizen (Uganda),2008-04-30
150,Nuri al-Maliki,Make statement,Iraq,2014-03-14
151,Lawyer/Attorney (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2010-11-01
152,Angola,Host a visit,Ricardo Alarcón de Quesada,2012-06-25
153,Kuwait,Host a visit,Nuri al-Maliki,2012-03-13
154,Wang Yi,Make statement,China,2015-06-25
155,Member of Parliament (Bangladesh),Make an appeal or request,Citizen (Bangladesh),2005-08-09
156,China,Engage in diplomatic cooperation,Madagascar,2008-07-14
157,Court Judge (United Kingdom),Demand,Citizen (United Kingdom),2006-09-29
158,Xi Jinping,Express intent to meet or negotiate,South Africa,2014-07-15
159,South Korea,Express intent to meet or negotiate,China,2014-10-16
160,City Mayor (Philippines),Make statement,Police (Philippines),2006-01-11
161,Bolivia,Consult,Evo Morales,2009-05-22
162,Daniel Scioli,Make statement,Cristina Fernández de Kirchner,2013-04-03
163,Iran,Make optimistic comment,Mahmoud Ahmadinejad,2005-06-25
164,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2010-01-28
165,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2011-09-21
166,Christine Lagarde,Make statement,France,2005-12-15
167,Mainland Affairs Council,Accuse,China,2005-05-17
168,Mahmoud Ahmadinejad,Make an appeal or request,Ministry (Iran),2009-09-15
169,Oversight Court (Japan),"Arrest, detain, or charge with legal action",Men (Japan),2011-05-18
170,Congress (Argentina),Express intent to engage in diplomatic cooperation (such as policy support),Cristina Fernández de Kirchner,2010-02-03
171,Georgios Papandreou,Express intent to meet or negotiate,Angela Merkel,2010-03-04
172,South Korea,Express intent to cooperate,China,2006-05-11
173,Japan,Express intent to cooperate,China,2010-08-22
174,China,Engage in negotiation,Japan,2005-11-25
175,Angola,Host a visit,Japan,2012-01-09
176,Cambodia,Consult,Thailand,2011-08-10
177,China,Reduce or break diplomatic relations,Japan,2010-10-13
178,South Korea,Consult,China,2007-07-05
179,Tanzania,Host a visit,Mwai Kibaki,2013-02-21
180,Police (New Zealand),"Arrest, detain, or charge with legal action",Children (New Zealand),2007-01-10
181,Omar Suleiman,Express intent to meet or negotiate,Mahmoud Abbas,2006-06-29
182,Chishimba Kambwili,Threaten,Citizen (Zambia),2011-12-07
183,Abdel Fattah Al-Sisi,Consult,Royal Administration (Spain),2015-05-01
184,Abdulsalami Alhaji Abubakar,Make statement,Government (Nigeria),2013-01-13
185,China,Criticize or denounce,Women (China),2009-12-06
186,Dmitry Anatolyevich Medvedev,Make optimistic comment,Barack Obama,2008-11-16
187,Police (Malaysia),Make statement,Malaysia,2010-08-18
188,Ali Abdullah Saleh,Engage in negotiation,Mahmoud Abbas,2006-08-07
189,China,Host a visit,Lien Chan,2005-04-15
190,Bukola Saraki,Criticize or denounce,Citizen (Nigeria),2008-01-31
191,Ethiopia,Host a visit,African Union,2012-02-08
192,Member of Parliament (Kyrgyzstan),fight with small arms and light weapons,Citizen (Kyrgyzstan),2005-10-21
193,Barack Obama,Criticize or denounce,Iran,2009-05-20
194,Military Personnel (Philippines),Make statement,Military (Philippines),2015-12-09
195,Okada Katsuya,Consult,Yoshihiko Noda,2012-04-13
196,Iran,Praise or endorse,Iraq,2015-03-16
197,Ministry (South Korea),Express intent to meet or negotiate,South Korea,2015-09-29
198,Member of the Judiciary (South Africa),Make statement,South Africa,2014-08-07
199,Barack Obama,Express intent to cooperate,Dmitry Anatolyevich Medvedev,2008-11-13
200,Eritrea,Accuse,Ethiopia,2015-09-15
201,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-08
202,Laos,Make statement,Vietnam,2010-11-23
203,Foreign Affairs (Belarus),Make statement,Vietnam,2009-07-06
204,Tony Blair,Make a visit,Middle East,2006-12-19
205,Barack Obama,Express intent to cooperate,Angela Merkel,2010-06-22
206,Lawyer/Attorney (Australia),Make statement,Police (Australia),2010-04-13
207,Dmitry Anatolyevich Medvedev,Make statement,Barack Obama,2015-11-22
208,Ministry (Iran),Express intent to meet or negotiate,Iran,2012-10-10
209,China,Host a visit,Muhammad VI,2005-09-06
210,Mahmoud Abbas,Make optimistic comment,Benjamin Netanyahu,2013-09-30
211,Iraq,Express intent to meet or negotiate,Kuwait,2010-09-20
212,China,Consult,Japan,2014-06-24
213,South Korea,Express intent to cooperate,Japan,2005-10-27
214,China,Investigate,Maithripala Sirisena,2015-02-16
215,Member of Legislative (Govt) (Nigeria),Investigate,Citizen (Nigeria),2009-03-06
216,Angela Merkel,Consult,Dmitry Anatolyevich Medvedev,2008-08-18
217,Benjamin Netanyahu,Consult,Barack Obama,2009-11-25
218,Attacker (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2010-10-23
219,Media Personnel (Thailand),Express intent to meet or negotiate,Citizen (Thailand),2006-08-02
220,Tariq Aziz,Accuse,Iraq,2008-05-21
221,Oman,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-11-09
222,Barack Obama,Bring lawsuit against,China,2012-02-02
223,Al-Shabaab,Threaten with military force,Cabinet / Council of Ministers / Advisors (Somalia),2010-11-16
224,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Mahmoud Abbas,2010-08-31
225,Japan,Criticize or denounce,China,2013-06-29
226,Haider Al-Abadi,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2015-01-30
227,Thailand,Express intent to cooperate,Cambodia,2005-12-19
228,Citizen (Venezuela),Reject,Ministry (Venezuela),2013-03-12
229,Citizen (Thailand),Demand,Abhisit Vejjajiva,2009-07-09
230,Dmitry Anatolyevich Medvedev,Engage in negotiation,Angela Merkel,2009-08-13
231,Other Authorities / Officials (Nigeria),Sign formal agreement,Boko Haram,2014-10-19
232,Police (Philippines),Make statement,Military Personnel - Special (Philippines),2009-04-17
233,Barack Obama,Make statement,China,2009-11-18
234,Barack Obama,Praise or endorse,Benjamin Netanyahu,2009-05-19
235,National Front Malaysia,Make statement,Malaysia,2009-01-08
236,Iran,Host a visit,Gholamali Haddad Adel,2005-10-03
237,Swaziland,Host a visit,Ma Ying Jeou,2012-04-16
238,Iran,Express intent to meet or negotiate,Iraq,2012-04-21
239,Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-05-31
240,Citizen (Tanzania),Reject,Civic United Front,2010-09-19
241,Citizen (Australia),Accuse,Police (Australia),2013-08-27
242,Barack Obama,Praise or endorse,Northern Ireland,2009-03-17
243,Police (South Korea),Investigate,South Korea,2009-10-05
244,Citizen (Thailand),Threaten,Thailand,2010-04-20
245,Employee (Bangladesh),Make pessimistic comment,Citizen (Bangladesh),2015-12-24
246,Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Royal Administration (Nigeria),2013-12-30
247,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2015-06-08
248,Citizen (Nigeria),Express intent to cooperate,Government (Nigeria),2015-03-13
249,Oman,Mediate,Iran,2013-04-27
250,National United Front for Democracy Against Dictatorship,Make optimistic comment,Member of Parliament (Thailand),2008-12-11
251,Japan,Make a visit,China,2008-06-02
252,South Korea,Host a visit,Envoy (United States),2011-05-18
253,Barack Obama,Express intent to meet or negotiate,Sudan,2005-10-10
254,Philipp Rösler,Make a visit,Vietnam,2012-09-18
255,Mahmoud Ahmadinejad,Make a visit,Iran,2010-10-19
256,Head of Government (Nigeria),Demand,Government (Nigeria),2014-05-26
257,Head of Government (Brazil),Demand,Citizen (Brazil),2012-11-30
258,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2007-10-21
259,UN Security Council,Make an appeal or request,African Union,2006-04-25
260,China,Host a visit,Ashraf Ghani Ahmadzai,2014-10-27
261,Abdelilah Benkirane,Consult,Muhammad VI,2011-11-29
262,Sudan,Receive deployment of peacekeepers,African Union,2005-07-19
263,Iran,Engage in negotiation,Jack Straw,2005-06-25
264,Police (Australia),Accuse,Criminal (Australia),2015-07-29
265,Cambodia,Engage in judicial cooperation,China,2009-12-19
266,Kazakhstan,Consult,Iran,2007-06-21
267,Citizen (Nigeria),Make an appeal or request,Adebisi Akande,2013-12-06
268,Bolivia,Praise or endorse,Evo Morales,2013-01-14
269,Sudan,Host a visit,Envoy (United States),2009-04-14
270,Citizen (Nigeria),Make an appeal or request,Education (Nigeria),2013-11-11
271,Iraq,Yield,Nuri al-Maliki,2010-04-20
272,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2006-06-21
273,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-07
274,Kuomintang,Demonstrate or rally,China,2006-03-20
275,Sudan,Make a visit,Head of Government (Egypt),2011-05-29
276,Muhammadu Buhari,Make an appeal or request,Government (Nigeria),2015-06-30
277,National United Front for Democracy Against Dictatorship,"Threaten with political dissent, protest",Abhisit Vejjajiva,2008-12-27
278,Vietnam,Criticize or denounce,China,2009-06-27
279,Adil Abdul-Mahdi,Make statement,Iraq,2007-01-25
280,Thailand,Consult,Kuwait,2012-10-17
281,Prachanda,Appeal for diplomatic cooperation (such as policy support),Political Parties (Nepal),2005-02-12
282,Scientist (China),Express intent to provide material aid,China,2008-05-24
283,Police (South Africa),Use conventional military force,Men (South Africa),2008-10-16
284,Israeli Defense Forces,Use conventional military force,Children (Israel),2008-09-13
285,Men (Malaysia),Accuse,Police (Malaysia),2005-06-06
286,Ethiopia,Consult,African Union,2007-06-15
287,Business (South Korea),Express intent to cooperate economically,South Korea,2015-12-09
288,Sudan,Make an appeal or request,South Africa,2015-02-03
289,South Korea,Consult,China,2005-12-08
290,China,Sign formal agreement,Sudan,2007-12-08
291,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2011-07-22
292,Citizen (Thailand),Acknowledge or claim responsibility,Thailand,2015-05-14
293,Militant (Ukraine),Use unconventional violence,Police (Ukraine),2014-05-04
294,Malaysia,Sign formal agreement,Laos,2008-04-03
295,Michael Sata,Make an appeal or request,Citizen (Zambia),2013-02-27
296,China,Express intent to meet or negotiate,South Korea,2007-10-22
297,Cambodia,Consult,Laos,2013-10-28
298,Iraq,Express intent to meet or negotiate,Kuwait,2006-09-21
299,Mahmoud Abbas,Make a visit,Cristina Fernández de Kirchner,2009-11-22
300,UN Security Council,Make an appeal or request,Iran,2006-04-17
301,Thailand,Accuse,Malaysia,2007-03-02
302,China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2005-07-31
303,Daniel Scioli,Make statement,Cristina Fernández de Kirchner,2013-11-15
304,Police (South Africa),"Impose blockade, restrict movement",South Africa,2012-10-10
305,Yoshihiko Noda,Consult,Barack Obama,2012-04-30
306,Japan,Host a visit,Envoy (United States),2010-07-29
307,Citizen (Australia),Reduce relations,Member of Parliament (Australia),2008-06-09
308,China,Engage in negotiation,Vietnam,2007-07-28
309,Citizen (Nigeria),Demand,Police (South Africa),2010-08-20
310,Justicialist Party,Praise or endorse,Cristina Fernández de Kirchner,2011-07-28
311,Rafael Correa,Investigate,Julian Paul Assange,2012-06-25
312,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2007-10-15
313,South Korea,Consult,Envoy (United States),2010-02-25
314,Boko Haram,Use conventional military force,Citizen (Nigeria),2011-02-03
315,China,Sign formal agreement,Laos,2015-10-07
316,South Korea,Consult,China,2009-12-11
317,Citizen (Thailand),Use unconventional violence,Thailand,2012-02-18
318,Police (Australia),Make an appeal or request,Citizen (Australia),2011-03-20
319,Lawyer/Attorney (Australia),Make statement,Police (Australia),2005-08-10
320,Nuri al-Maliki,Make statement,Iraq,2013-01-01
321,Citizen (United Kingdom),Reject,Labor Party (United Kingdom),2005-05-05
322,Abdullah ibn Husayn al-Ahmar,Make pessimistic comment,Yemen,2005-04-14
323,Thailand,Engage in negotiation,Japan,2005-06-30
324,Legislature (Romania),Consult,Senate (Romania),2010-04-20
325,Xi Jinping,Make an appeal or request,China,2013-05-15
326,Emperor Akihito,Make statement,Japan,2012-03-12
327,Police (Malaysia),Make statement,Malaysia,2005-04-07
328,Muslim (Nigeria),Use conventional military force,Citizen (Nigeria),2012-06-22
329,Solomon Arase,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2015-09-29
330,Shaukat Aziz,Make statement,Pervez Musharraf,2005-09-12
331,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Government (Nigeria),2012-10-17
332,Wang Yi,Host a visit,John Baird,2013-07-02
333,Japan,Host a visit,Ma Ying Jeou,2007-11-23
334,Media Personnel (Thailand),Investigate,Citizen (Thailand),2005-12-22
335,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),France,2011-11-23
336,Cambodia,Sign formal agreement,Thailand,2008-05-07
337,Boko Haram,Use conventional military force,Citizen (Nigeria),2015-02-17
338,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2012-02-09
339,Iran,Host a visit,Iraq,2009-03-01
340,Head of Government (Nigeria),Make statement,Government (Nigeria),2012-10-17
341,Citizen (Thailand),Occupy territory,Thailand,2008-10-11
342,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Barack Obama,2010-06-11
343,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2013-11-19
344,Vincent C. Siew,Consult,Ma Ying Jeou,2008-04-14
345,Japan,Make an appeal or request,China,2006-05-18
346,Police (Kenya),Discuss by telephone,Media (Africa),2007-06-06
347,Wang Yi,Make statement,China,2013-11-23
348,Thailand,Host a visit,China,2008-08-11
349,Governor (Thailand),Make statement,Thailand,2005-03-09
350,Japan,Make an appeal or request,Iran,2005-08-05
351,Umaru Musa Yar'Adua,Consult,Dimeji Bankole,2008-10-09
352,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2014-10-03
353,Iran,Engage in diplomatic cooperation,Iraq,2011-05-28
354,Ethiopia,Express intent to cooperate,Eritrea,2006-02-09
355,Tsai Ing-wen,Accuse,Ma Ying Jeou,2009-05-17
356,Zurab Nogaideli,Express intent to meet or negotiate,Iran,2007-01-16
357,"Armed Gang (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2012-06-01
358,Julia Gillard,Engage in symbolic act,Citizen (Australia),2013-01-17
359,Police (Australia),Investigate,Citizen (Australia),2008-12-29
360,China,Consult,Japan,2006-11-14
361,Cambodia,Consult,Laos,2008-11-04
362,Rafael Correa,Demand intelligence cooperation,Colombia,2008-05-23
363,Barack Obama,Consult,Dmitry Anatolyevich Medvedev,2014-12-10
364,Lawyer/Attorney (Indonesia),Make statement,Police (Indonesia),2015-11-11
365,Ethiopia,Host a visit,Government (Sudan),2013-11-05
366,Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2012-08-23
367,Japan,Occupy territory,South Korea,2015-10-15
368,China,"Arrest, detain, or charge with legal action",Criminal (China),2013-05-25
369,Head of Government (Pakistan),Consult,Chaudhry Nisar Ali Khan,2014-05-07
370,Citizen (Greece),Express accord,Antonis Samaras,2015-06-25
371,Abdel Fattah Al-Sisi,Make a visit,Sergey Kuzhugetovich Shoygu,2015-11-24
372,Military Personnel (Philippines),Reject,City Mayor (Philippines),2009-03-09
373,China,Host a visit,Somsavat Lengsava,2008-09-26
374,Iran,Host a visit,Javier Solana,2006-06-15
375,Foreign Affairs (France),Make a visit,Middle East,2006-07-23
376,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2015-01-25
377,Lawyer/Attorney (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2006-10-04
378,Shaukat Aziz,Make statement,Iran,2007-05-18
379,Citizen (Zambia),Express intent to engage in diplomatic cooperation (such as policy support),Hakainde Hichilema,2014-11-26
380,Lawmaker (Argentina),Make an appeal or request,Senate (Argentina),2007-07-05
381,Police (Sudan),"Arrest, detain, or charge with legal action",Citizen (Sudan),2010-04-11
382,Ethiopia,"Arrest, detain, or charge with legal action",Ogaden National Liberation Front,2009-08-07
383,Sudan,Occupy territory,South Sudan,2012-04-23
384,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2014-01-17
385,South Korea,Make statement,Iran,2015-08-24
386,Japan,Express intent to cooperate,China,2009-11-03
387,Citizen (Sudan),Appeal for military protection or peacekeeping,UN Security Council,2006-12-11
388,Japan,Express intent to meet or negotiate,Yoshihiko Noda,2012-08-21
389,Xi Jinping,Express intent to meet or negotiate,France,2014-01-24
390,Citizen (Nigeria),Accuse,Government (Nigeria),2014-06-30
391,Citizen (United Kingdom),Accuse,Actor (United Kingdom),2007-04-27
392,Police (Philippines),Use conventional military force,Men (Philippines),2008-05-27
393,Head of Government (Germany),Make a visit,China,2014-07-07
394,City Mayor (Philippines),Express intent to engage in diplomatic cooperation (such as policy support),Police (Philippines),2014-03-31
395,Japan,Make statement,South Korea,2006-04-21
396,Cabinet / Council of Ministers / Advisors (Japan),Praise or endorse,China,2015-01-14
397,Umaru Musa Yar'Adua,Make an appeal or request,Citizen (Nigeria),2008-10-27
398,China,Express intent to cooperate,Portugal,2009-05-06
399,France,Express intent to meet or negotiate,China,2015-04-02
400,Grand National Party,Criticize or denounce,Lee Myung Bak,2007-12-04
401,South Sudan,Engage in diplomatic cooperation,China,2012-04-09
402,Xi Jinping,Express intent to meet or negotiate,Malaysia,2013-09-26
403,Citizen (Nigeria),Praise or endorse,Emmanuel Eweta Uduaghan,2014-09-01
404,Jian Yu,Make statement,China,2009-04-22
405,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Kuwait,2006-02-25
406,Ethiopia,Consult,Eritrea,2015-09-29
407,China,Host a visit,Envoy (United States),2005-08-13
408,Lawyer/Attorney (Australia),Investigate,Citizen (Australia),2010-03-17
409,Police (Australia),Make an appeal or request,Cabinet / Council of Ministers / Advisors (Australia),2015-03-27
410,City Mayor (New Zealand),Make a visit,Japan,2010-02-27
411,Japan,Express intent to cooperate,China,2008-12-15
