relation i,relation j,#temporal implication,#rel_i,P one direction,P two direction
Impose restrictions on political freedoms,Praise or endorse,0,54,0.0,0.0
Praise or endorse,fight with small arms and light weapons,0,2912,0.0,0.0
fight with small arms and light weapons,Praise or endorse,0,696,0.0,0.0
Praise or endorse,"Demand meeting, negotiation",0,2912,0.0,0.0
"Demand meeting, negotiation",Praise or endorse,0,15,0.0,0.0
Praise or endorse,Discuss by telephone,19,2912,0.006524725274725275,0.010284167794316644
Discuss by telephone,Praise or endorse,19,783,0.024265644955300127,0.010284167794316644
Praise or endorse,Reject,7,2912,0.002403846153846154,0.003808487486398259
Reject,Praise or endorse,7,764,0.009162303664921465,0.003808487486398259
Praise or endorse,Deny responsibility,0,2912,0.0,0.0
Deny responsibility,Praise or endorse,0,168,0.0,0.0
Praise or endorse,Occupy territory,0,2912,0.0,0.0
Occupy territory,Praise or endorse,0,208,0.0,0.0
Praise or endorse,Meet at a 'third' location,6,2912,0.0020604395604395605,0.0035863717872086074
Meet at a 'third' location,Praise or endorse,6,434,0.013824884792626729,0.0035863717872086074
Praise or endorse,Expel or deport individuals,1,2912,0.00034340659340659343,0.0006557377049180328
Expel or deport individuals,Praise or endorse,1,138,0.007246376811594203,0.0006557377049180328
Praise or endorse,Accuse of aggression,0,2912,0.0,0.0
Accuse of aggression,Praise or endorse,0,7,0.0,0.0
Praise or endorse,Reduce relations,0,2912,0.0,0.0
Reduce relations,Praise or endorse,0,188,0.0,0.0
Praise or endorse,"Abduct, hijack, or take hostage",0,2912,0.0,0.0
"Abduct, hijack, or take hostage",Praise or endorse,0,483,0.0,0.0
Praise or endorse,Investigate,2,2912,0.0006868131868131869,0.0010706638115631692
Investigate,Praise or endorse,2,824,0.0024271844660194173,0.0010706638115631692
Praise or endorse,Appeal for de-escalation of military engagement,0,2912,0.0,0.0
Appeal for de-escalation of military engagement,Praise or endorse,0,34,0.0,0.0
Praise or endorse,Physically assault,0,2912,0.0,0.0
Physically assault,Praise or endorse,0,191,0.0,0.0
Praise or endorse,"Reject proposal to meet, discuss, or negotiate",0,2912,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Praise or endorse,0,92,0.0,0.0
Praise or endorse,Express intent to provide humanitarian aid,1,2912,0.00034340659340659343,0.0006756756756756757
Express intent to provide humanitarian aid,Praise or endorse,1,48,0.020833333333333332,0.0006756756756756757
Praise or endorse,Engage in symbolic act,9,2912,0.0030906593406593405,0.005392450569203115
Engage in symbolic act,Praise or endorse,9,426,0.02112676056338028,0.005392450569203115
Praise or endorse,Provide aid,3,2912,0.0010302197802197802,0.001954397394136808
Provide aid,Praise or endorse,3,158,0.0189873417721519,0.001954397394136808
Praise or endorse,Provide humanitarian aid,0,2912,0.0,0.0
Provide humanitarian aid,Praise or endorse,0,252,0.0,0.0
Praise or endorse,Cooperate economically,1,2912,0.00034340659340659343,0.0006602839220864972
Cooperate economically,Praise or endorse,1,117,0.008547008547008548,0.0006602839220864972
Praise or endorse,Consider policy option,2,2912,0.0006868131868131869,0.0013324450366422385
Consider policy option,Praise or endorse,2,90,0.022222222222222223,0.0013324450366422385
Praise or endorse,"Defy norms, law",0,2912,0.0,0.0
"Defy norms, law",Praise or endorse,0,57,0.0,0.0
Praise or endorse,Conduct strike or boycott,0,2912,0.0,0.0
Conduct strike or boycott,Praise or endorse,0,32,0.0,0.0
Praise or endorse,Bring lawsuit against,1,2912,0.00034340659340659343,0.0006548788474132286
Bring lawsuit against,Praise or endorse,1,142,0.007042253521126761,0.0006548788474132286
Praise or endorse,Demonstrate military or police power,0,2912,0.0,0.0
Demonstrate military or police power,Praise or endorse,0,30,0.0,0.0
Praise or endorse,Carry out suicide bombing,0,2912,0.0,0.0
Carry out suicide bombing,Praise or endorse,0,76,0.0,0.0
Praise or endorse,Mobilize or increase armed forces,6,2912,0.0020604395604395605,0.0038948393378773127
Mobilize or increase armed forces,Praise or endorse,6,169,0.03550295857988166,0.0038948393378773127
Praise or endorse,Reduce or break diplomatic relations,1,2912,0.00034340659340659343,0.000657030223390276
Reduce or break diplomatic relations,Praise or endorse,1,132,0.007575757575757576,0.000657030223390276
Praise or endorse,Confiscate property,1,2912,0.00034340659340659343,0.0006557377049180328
Confiscate property,Praise or endorse,1,138,0.007246376811594203,0.0006557377049180328
Praise or endorse,Threaten,1,2912,0.00034340659340659343,0.0005785363031530228
Threaten,Praise or endorse,1,545,0.001834862385321101,0.0005785363031530228
Praise or endorse,Express intent to release persons or property,1,2912,0.00034340659340659343,0.0006727211570803902
Express intent to release persons or property,Praise or endorse,1,61,0.01639344262295082,0.0006727211570803902
Praise or endorse,Express intent to provide material aid,1,2912,0.00034340659340659343,0.0006691201070592171
Express intent to provide material aid,Praise or endorse,1,77,0.012987012987012988,0.0006691201070592171
Praise or endorse,Demand de-escalation of military engagement,0,2912,0.0,0.0
Demand de-escalation of military engagement,Praise or endorse,0,12,0.0,0.0
Praise or endorse,"Declare truce, ceasefire",0,2912,0.0,0.0
"Declare truce, ceasefire",Praise or endorse,0,23,0.0,0.0
Praise or endorse,Reduce or stop humanitarian assistance,0,2912,0.0,0.0
Reduce or stop humanitarian assistance,Praise or endorse,0,4,0.0,0.0
Praise or endorse,Express intent to cooperate militarily,0,2912,0.0,0.0
Express intent to cooperate militarily,Praise or endorse,0,14,0.0,0.0
Praise or endorse,"Express intent to ease economic sanctions, boycott, or embargo",1,2912,0.00034340659340659343,0.0006825938566552901
"Express intent to ease economic sanctions, boycott, or embargo",Praise or endorse,1,18,0.05555555555555555,0.0006825938566552901
Praise or endorse,Coerce,0,2912,0.0,0.0
Coerce,Praise or endorse,0,95,0.0,0.0
Praise or endorse,Appeal for change in leadership,0,2912,0.0,0.0
Appeal for change in leadership,Praise or endorse,0,49,0.0,0.0
Praise or endorse,Express intent to settle dispute,1,2912,0.00034340659340659343,0.0006743088334457181
Express intent to settle dispute,Praise or endorse,1,54,0.018518518518518517,0.0006743088334457181
Praise or endorse,Express accord,0,2912,0.0,0.0
Express accord,Praise or endorse,0,79,0.0,0.0
Praise or endorse,Rally opposition against,0,2912,0.0,0.0
Rally opposition against,Praise or endorse,0,68,0.0,0.0
Praise or endorse,Retreat or surrender militarily,0,2912,0.0,0.0
Retreat or surrender militarily,Praise or endorse,0,55,0.0,0.0
Praise or endorse,Halt negotiations,0,2912,0.0,0.0
Halt negotiations,Praise or endorse,0,27,0.0,0.0
Praise or endorse,Appeal to others to meet or negotiate,0,2912,0.0,0.0
Appeal to others to meet or negotiate,Praise or endorse,0,28,0.0,0.0
Praise or endorse,Demand diplomatic cooperation (such as policy support),2,2912,0.0006868131868131869,0.001343183344526528
Demand diplomatic cooperation (such as policy support),Praise or endorse,2,66,0.030303030303030304,0.001343183344526528
Praise or endorse,Yield,3,2912,0.0010302197802197802,0.0019966722129783694
Yield,Praise or endorse,3,93,0.03225806451612903,0.0019966722129783694
Praise or endorse,Rally support on behalf of,0,2912,0.0,0.0
Rally support on behalf of,Praise or endorse,0,96,0.0,0.0
Praise or endorse,Express intent to cooperate on intelligence,0,2912,0.0,0.0
Express intent to cooperate on intelligence,Praise or endorse,0,8,0.0,0.0
Praise or endorse,"Obstruct passage, block",0,2912,0.0,0.0
"Obstruct passage, block",Praise or endorse,0,58,0.0,0.0
Praise or endorse,Demand change in leadership,0,2912,0.0,0.0
Demand change in leadership,Praise or endorse,0,64,0.0,0.0
Praise or endorse,Appeal for economic aid,1,2912,0.00034340659340659343,0.0006814310051107325
Appeal for economic aid,Praise or endorse,1,23,0.043478260869565216,0.0006814310051107325
Praise or endorse,Provide military aid,3,2912,0.0010302197802197802,0.002
Provide military aid,Praise or endorse,3,88,0.03409090909090909,0.002
Praise or endorse,Ease administrative sanctions,0,2912,0.0,0.0
Ease administrative sanctions,Praise or endorse,0,146,0.0,0.0
Praise or endorse,Express intent to provide economic aid,1,2912,0.00034340659340659343,0.0006706908115358819
Express intent to provide economic aid,Praise or endorse,1,70,0.014285714285714285,0.0006706908115358819
Praise or endorse,"Appeal for change in institutions, regime",0,2912,0.0,0.0
"Appeal for change in institutions, regime",Praise or endorse,0,20,0.0,0.0
Praise or endorse,Increase police alert status,0,2912,0.0,0.0
Increase police alert status,Praise or endorse,0,25,0.0,0.0
Praise or endorse,"Return, release property",0,2912,0.0,0.0
"Return, release property",Praise or endorse,0,10,0.0,0.0
Praise or endorse,Ease military blockade,0,2912,0.0,0.0
Ease military blockade,Praise or endorse,0,3,0.0,0.0
Praise or endorse,"Ease economic sanctions, boycott, embargo",0,2912,0.0,0.0
"Ease economic sanctions, boycott, embargo",Praise or endorse,0,21,0.0,0.0
Praise or endorse,Threaten with military force,0,2912,0.0,0.0
Threaten with military force,Praise or endorse,0,91,0.0,0.0
Praise or endorse,Acknowledge or claim responsibility,0,2912,0.0,0.0
Acknowledge or claim responsibility,Praise or endorse,0,62,0.0,0.0
Praise or endorse,Express intent to provide military aid,5,2912,0.001717032967032967,0.003328894806924101
Express intent to provide military aid,Praise or endorse,5,92,0.05434782608695652,0.003328894806924101
Praise or endorse,Defend verbally,1,2912,0.00034340659340659343,0.0006809669731018045
Defend verbally,Praise or endorse,1,25,0.04,0.0006809669731018045
Praise or endorse,Make empathetic comment,6,2912,0.0020604395604395605,0.003816793893129771
Make empathetic comment,Praise or endorse,6,232,0.02586206896551724,0.003816793893129771
Praise or endorse,"Impose embargo, boycott, or sanctions",1,2912,0.00034340659340659343,0.000664451827242525
"Impose embargo, boycott, or sanctions",Praise or endorse,1,98,0.01020408163265306,0.000664451827242525
Praise or endorse,Increase military alert status,0,2912,0.0,0.0
Increase military alert status,Praise or endorse,0,27,0.0,0.0
Praise or endorse,Accede to demands for rights,0,2912,0.0,0.0
Accede to demands for rights,Praise or endorse,0,6,0.0,0.0
Praise or endorse,Appeal to others to settle dispute,1,2912,0.00034340659340659343,0.0006839945280437756
Appeal to others to settle dispute,Praise or endorse,1,12,0.08333333333333333,0.0006839945280437756
Praise or endorse,"Appeal for easing of economic sanctions, boycott, or embargo",0,2912,0.0,0.0
"Appeal for easing of economic sanctions, boycott, or embargo",Praise or endorse,0,1,0.0,0.0
Praise or endorse,Mobilize or increase police power,0,2912,0.0,0.0
Mobilize or increase police power,Praise or endorse,0,25,0.0,0.0
Praise or endorse,"Conduct suicide, car, or other non-military bombing",0,2912,0.0,0.0
"Conduct suicide, car, or other non-military bombing",Praise or endorse,0,69,0.0,0.0
Praise or endorse,Appeal for material cooperation,0,2912,0.0,0.0
Appeal for material cooperation,Praise or endorse,0,10,0.0,0.0
Praise or endorse,Refuse to ease administrative sanctions,0,2912,0.0,0.0
Refuse to ease administrative sanctions,Praise or endorse,0,8,0.0,0.0
Praise or endorse,Provide economic aid,0,2912,0.0,0.0
Provide economic aid,Praise or endorse,0,71,0.0,0.0
Praise or endorse,Demand release of persons or property,0,2912,0.0,0.0
Demand release of persons or property,Praise or endorse,0,5,0.0,0.0
Praise or endorse,"Demand change in institutions, regime",0,2912,0.0,0.0
"Demand change in institutions, regime",Praise or endorse,0,8,0.0,0.0
Praise or endorse,Appeal for release of persons or property,2,2912,0.0006868131868131869,0.0013596193065941536
Appeal for release of persons or property,Praise or endorse,2,30,0.06666666666666667,0.0013596193065941536
Praise or endorse,Kill by physical assault,0,2912,0.0,0.0
Kill by physical assault,Praise or endorse,0,80,0.0,0.0
Praise or endorse,Demonstrate for leadership change,0,2912,0.0,0.0
Demonstrate for leadership change,Praise or endorse,0,27,0.0,0.0
Praise or endorse,Grant diplomatic recognition,0,2912,0.0,0.0
Grant diplomatic recognition,Praise or endorse,0,53,0.0,0.0
Praise or endorse,"Impose blockade, restrict movement",0,2912,0.0,0.0
"Impose blockade, restrict movement",Praise or endorse,0,18,0.0,0.0
Praise or endorse,Employ aerial weapons,2,2912,0.0006868131868131869,0.00133422281521014
Employ aerial weapons,Praise or endorse,2,86,0.023255813953488372,0.00133422281521014
Praise or endorse,Cooperate militarily,0,2912,0.0,0.0
Cooperate militarily,Praise or endorse,0,96,0.0,0.0
Praise or endorse,"Accuse of crime, corruption",0,2912,0.0,0.0
"Accuse of crime, corruption",Praise or endorse,0,64,0.0,0.0
Praise or endorse,Engage in violent protest for rights,0,2912,0.0,0.0
Engage in violent protest for rights,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Sexually assault,0,2912,0.0,0.0
Sexually assault,Praise or endorse,0,112,0.0,0.0
Praise or endorse,Refuse to yield,0,2912,0.0,0.0
Refuse to yield,Praise or endorse,0,37,0.0,0.0
Praise or endorse,Provide military protection or peacekeeping,0,2912,0.0,0.0
Provide military protection or peacekeeping,Praise or endorse,0,23,0.0,0.0
Praise or endorse,Appeal for military protection or peacekeeping,0,2912,0.0,0.0
Appeal for military protection or peacekeeping,Praise or endorse,0,1,0.0,0.0
Praise or endorse,"Reject plan, agreement to settle dispute",1,2912,0.00034340659340659343,0.0006740815638692282
"Reject plan, agreement to settle dispute",Praise or endorse,1,55,0.01818181818181818,0.0006740815638692282
Praise or endorse,Threaten to halt negotiations,0,2912,0.0,0.0
Threaten to halt negotiations,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Express intent to institute political reform,0,2912,0.0,0.0
Express intent to institute political reform,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Give ultimatum,0,2912,0.0,0.0
Give ultimatum,Praise or endorse,0,52,0.0,0.0
Praise or endorse,fight with artillery and tanks,0,2912,0.0,0.0
fight with artillery and tanks,Praise or endorse,0,32,0.0,0.0
Praise or endorse,Appeal to engage in or accept mediation,0,2912,0.0,0.0
Appeal to engage in or accept mediation,Praise or endorse,0,33,0.0,0.0
Praise or endorse,Appeal for aid,0,2912,0.0,0.0
Appeal for aid,Praise or endorse,0,22,0.0,0.0
Praise or endorse,"Investigate crime, corruption",0,2912,0.0,0.0
"Investigate crime, corruption",Praise or endorse,0,28,0.0,0.0
Praise or endorse,"Threaten with political dissent, protest",0,2912,0.0,0.0
"Threaten with political dissent, protest",Praise or endorse,0,5,0.0,0.0
Praise or endorse,Appeal for easing of administrative sanctions,0,2912,0.0,0.0
Appeal for easing of administrative sanctions,Praise or endorse,0,13,0.0,0.0
Praise or endorse,Express intent to de-escalate military engagement,0,2912,0.0,0.0
Express intent to de-escalate military engagement,Praise or endorse,0,31,0.0,0.0
Praise or endorse,Appeal for judicial cooperation,0,2912,0.0,0.0
Appeal for judicial cooperation,Praise or endorse,0,23,0.0,0.0
Praise or endorse,Complain officially,0,2912,0.0,0.0
Complain officially,Praise or endorse,0,109,0.0,0.0
Praise or endorse,Accuse of war crimes,0,2912,0.0,0.0
Accuse of war crimes,Praise or endorse,0,7,0.0,0.0
Praise or endorse,Apologize,1,2912,0.00034340659340659343,0.0006791171477079797
Apologize,Praise or endorse,1,33,0.030303030303030304,0.0006791171477079797
Praise or endorse,Express intent to mediate,0,2912,0.0,0.0
Express intent to mediate,Praise or endorse,0,14,0.0,0.0
Praise or endorse,Decline comment,0,2912,0.0,0.0
Decline comment,Praise or endorse,0,22,0.0,0.0
Praise or endorse,Mediate,0,2912,0.0,0.0
Mediate,Praise or endorse,0,15,0.0,0.0
Praise or endorse,Appeal for military aid,0,2912,0.0,0.0
Appeal for military aid,Praise or endorse,0,26,0.0,0.0
Praise or endorse,Assassinate,0,2912,0.0,0.0
Assassinate,Praise or endorse,0,44,0.0,0.0
Praise or endorse,Reject military cooperation,0,2912,0.0,0.0
Reject military cooperation,Praise or endorse,0,3,0.0,0.0
Praise or endorse,"Refuse to ease economic sanctions, boycott, or embargo",1,2912,0.00034340659340659343,0.0006858710562414266
"Refuse to ease economic sanctions, boycott, or embargo",Praise or endorse,1,4,0.25,0.0006858710562414266
Praise or endorse,Torture,0,2912,0.0,0.0
Torture,Praise or endorse,0,30,0.0,0.0
Praise or endorse,Threaten to halt mediation,0,2912,0.0,0.0
Threaten to halt mediation,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Reject judicial cooperation,0,2912,0.0,0.0
Reject judicial cooperation,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Refuse to release persons or property,0,2912,0.0,0.0
Refuse to release persons or property,Praise or endorse,0,19,0.0,0.0
Praise or endorse,Seize or damage property,0,2912,0.0,0.0
Seize or damage property,Praise or endorse,0,8,0.0,0.0
Praise or endorse,Appeal for rights,0,2912,0.0,0.0
Appeal for rights,Praise or endorse,0,9,0.0,0.0
Praise or endorse,Express intent to accept mediation,0,2912,0.0,0.0
Express intent to accept mediation,Praise or endorse,0,8,0.0,0.0
Praise or endorse,Appeal for economic cooperation,0,2912,0.0,0.0
Appeal for economic cooperation,Praise or endorse,0,15,0.0,0.0
Praise or endorse,Receive deployment of peacekeepers,0,2912,0.0,0.0
Receive deployment of peacekeepers,Praise or endorse,0,28,0.0,0.0
Praise or endorse,Demand settling of dispute,0,2912,0.0,0.0
Demand settling of dispute,Praise or endorse,0,5,0.0,0.0
Praise or endorse,Impose state of emergency or martial law,0,2912,0.0,0.0
Impose state of emergency or martial law,Praise or endorse,0,12,0.0,0.0
Praise or endorse,Use as human shield,0,2912,0.0,0.0
Use as human shield,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Demand policy change,0,2912,0.0,0.0
Demand policy change,Praise or endorse,0,2,0.0,0.0
Praise or endorse,"Accuse of espionage, treason",0,2912,0.0,0.0
"Accuse of espionage, treason",Praise or endorse,0,14,0.0,0.0
Praise or endorse,Demand that target yields,0,2912,0.0,0.0
Demand that target yields,Praise or endorse,0,8,0.0,0.0
Praise or endorse,Reduce or stop military assistance,2,2912,0.0006868131868131869,0.0013698630136986301
Reduce or stop military assistance,Praise or endorse,2,8,0.25,0.0013698630136986301
Praise or endorse,Share intelligence or information,0,2912,0.0,0.0
Share intelligence or information,Praise or endorse,0,38,0.0,0.0
Praise or endorse,Accede to demands for change in policy,0,2912,0.0,0.0
Accede to demands for change in policy,Praise or endorse,0,2,0.0,0.0
Praise or endorse,Express intent to ease administrative sanctions,0,2912,0.0,0.0
Express intent to ease administrative sanctions,Praise or endorse,0,7,0.0,0.0
Praise or endorse,"Threaten with sanctions, boycott, embargo",0,2912,0.0,0.0
"Threaten with sanctions, boycott, embargo",Praise or endorse,0,6,0.0,0.0
Praise or endorse,Express intent to change policy,0,2912,0.0,0.0
Express intent to change policy,Praise or endorse,0,2,0.0,0.0
Praise or endorse,Accuse of human rights abuses,0,2912,0.0,0.0
Accuse of human rights abuses,Praise or endorse,0,39,0.0,0.0
Praise or endorse,Appeal for humanitarian aid,0,2912,0.0,0.0
Appeal for humanitarian aid,Praise or endorse,0,7,0.0,0.0
Praise or endorse,Demand judicial cooperation,0,2912,0.0,0.0
Demand judicial cooperation,Praise or endorse,0,4,0.0,0.0
Praise or endorse,Engage in mass killings,0,2912,0.0,0.0
Engage in mass killings,Praise or endorse,0,12,0.0,0.0
Praise or endorse,Demand economic aid,0,2912,0.0,0.0
Demand economic aid,Praise or endorse,0,10,0.0,0.0
Praise or endorse,Demand material aid,0,2912,0.0,0.0
Demand material aid,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Express intent to provide military protection or peacekeeping,0,2912,0.0,0.0
Express intent to provide military protection or peacekeeping,Praise or endorse,0,6,0.0,0.0
Praise or endorse,Investigate human rights abuses,0,2912,0.0,0.0
Investigate human rights abuses,Praise or endorse,0,3,0.0,0.0
Praise or endorse,Violate ceasefire,0,2912,0.0,0.0
Violate ceasefire,Praise or endorse,0,4,0.0,0.0
Praise or endorse,Carry out car bombing,0,2912,0.0,0.0
Carry out car bombing,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Demand material cooperation,0,2912,0.0,0.0
Demand material cooperation,Praise or endorse,0,9,0.0,0.0
Praise or endorse,"Accede to demands for change in institutions, regime",0,2912,0.0,0.0
"Accede to demands for change in institutions, regime",Praise or endorse,0,3,0.0,0.0
Praise or endorse,Expel or withdraw,0,2912,0.0,0.0
Expel or withdraw,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Expel or withdraw peacekeepers,0,2912,0.0,0.0
Expel or withdraw peacekeepers,Praise or endorse,0,4,0.0,0.0
Praise or endorse,Destroy property,0,2912,0.0,0.0
Destroy property,Praise or endorse,0,3,0.0,0.0
Praise or endorse,Reject economic cooperation,0,2912,0.0,0.0
Reject economic cooperation,Praise or endorse,0,2,0.0,0.0
Praise or endorse,Refuse to de-escalate military engagement,0,2912,0.0,0.0
Refuse to de-escalate military engagement,Praise or endorse,0,4,0.0,0.0
Use conventional military force,Make statement,26,1644,0.015815085158150853,0.0036450301415954017
Make statement,Use conventional military force,26,12622,0.0020598954206940264,0.0036450301415954017
Use conventional military force,Express intent to cooperate,0,1644,0.0,0.0
Express intent to cooperate,Use conventional military force,0,1265,0.0,0.0
Use conventional military force,Sign formal agreement,1,1644,0.0006082725060827251,0.0007374631268436578
Sign formal agreement,Use conventional military force,1,1068,0.0009363295880149813,0.0007374631268436578
Use conventional military force,Attempt to assassinate,0,1644,0.0,0.0
Attempt to assassinate,Use conventional military force,0,11,0.0,0.0
Use conventional military force,Express intent to meet or negotiate,2,1644,0.0012165450121654502,0.0006991784653032686
Express intent to meet or negotiate,Use conventional military force,2,4077,0.0004905567819475104,0.0006991784653032686
Use conventional military force,Consult,3,1644,0.0018248175182481751,0.0006188118811881188
Consult,Use conventional military force,3,8052,0.00037257824143070045,0.0006188118811881188
Use conventional military force,Make an appeal or request,17,1644,0.010340632603406326,0.00510280654359898
Make an appeal or request,Use conventional military force,17,5019,0.0033871289101414623,0.00510280654359898
Use conventional military force,Express intent to engage in diplomatic cooperation (such as policy support),3,1644,0.0018248175182481751,0.002173913043478261
Express intent to engage in diplomatic cooperation (such as policy support),Use conventional military force,3,1116,0.002688172043010753,0.002173913043478261
Use conventional military force,Criticize or denounce,14,1644,0.00851581508515815,0.006913580246913581
Criticize or denounce,Use conventional military force,14,2406,0.005818786367414797,0.006913580246913581
Use conventional military force,Appeal for intelligence,1,1644,0.0006082725060827251,0.0011634671320535194
Appeal for intelligence,Use conventional military force,1,75,0.013333333333333334,0.0011634671320535194
Use conventional military force,Demonstrate or rally,1,1644,0.0006082725060827251,0.0009315323707498836
Demonstrate or rally,Use conventional military force,1,503,0.0019880715705765406,0.0009315323707498836
Use conventional military force,Accuse,26,1644,0.015815085158150853,0.01386296987470008
Accuse,Use conventional military force,26,2107,0.012339819648789748,0.01386296987470008
Use conventional military force,Appeal for diplomatic cooperation (such as policy support),0,1644,0.0,0.0
Appeal for diplomatic cooperation (such as policy support),Use conventional military force,0,380,0.0,0.0
Use conventional military force,Engage in negotiation,1,1644,0.0006082725060827251,0.0006180469715698393
Engage in negotiation,Use conventional military force,1,1592,0.000628140703517588,0.0006180469715698393
Use conventional military force,Use unconventional violence,5,1644,0.0030413625304136255,0.00279876854184159
Use unconventional violence,Use conventional military force,5,1929,0.002592016588906169,0.00279876854184159
Use conventional military force,"Arrest, detain, or charge with legal action",48,1644,0.029197080291970802,0.019806065607592325
"Arrest, detain, or charge with legal action",Use conventional military force,48,3203,0.014985950671245708,0.019806065607592325
Use conventional military force,Make a visit,0,1644,0.0,0.0
Make a visit,Use conventional military force,0,3394,0.0,0.0
