relation i,relation j,#symmetric,#rel_i,P one direction,P two direction
Express intent to cooperate militarily,Express intent to cooperate militarily,82,115,0.7130434782608696,0.7130434782608696
Decline comment,Decline comment,7,114,0.06140350877192982,0.06140350877192982
Veto,Veto,0,114,0.0,0.0
Refuse to release persons or property,Refuse to release persons or property,2,105,0.01904761904761905,0.01904761904761905
Appeal for judicial cooperation,Appeal for judicial cooperation,2,99,0.020202020202020204,0.020202020202020204
Demand de-escalation of military engagement,Demand de-escalation of military engagement,0,98,0.0,0.0
Reduce or stop economic assistance,Reduce or stop economic assistance,27,94,0.2872340425531915,0.2872340425531915
Accede to demands for change in leadership,Accede to demands for change in leadership,0,93,0.0,0.0
Appeal for economic cooperation,Appeal for economic cooperation,8,93,0.08602150537634409,0.08602150537634409
Appeal to others to settle dispute,Appeal to others to settle dispute,0,87,0.0,0.0
Increase police alert status,Increase police alert status,0,84,0.0,0.0
Engage in judicial cooperation,Engage in judicial cooperation,0,84,0.0,0.0
"Demand meeting, negotiation","Demand meeting, negotiation",4,78,0.05128205128205128,0.05128205128205128
Express intent to provide military protection or peacekeeping,Express intent to provide military protection or peacekeeping,1,76,0.013157894736842105,0.013157894736842105
Appeal for economic aid,Appeal for economic aid,0,74,0.0,0.0
Demonstrate for leadership change,Demonstrate for leadership change,0,73,0.0,0.0
Express intent to accept mediation,Express intent to accept mediation,0,72,0.0,0.0
Express intent to yield,Express intent to yield,14,72,0.19444444444444445,0.19444444444444445
"Threaten with sanctions, boycott, embargo","Threaten with sanctions, boycott, embargo",1,68,0.014705882352941176,0.014705882352941176
Appeal for military aid,Appeal for military aid,2,67,0.029850746268656716,0.029850746268656716
Appeal for easing of administrative sanctions,Appeal for easing of administrative sanctions,0,65,0.0,0.0
Appeal for material cooperation,Appeal for material cooperation,2,64,0.03125,0.03125
Express intent to engage in material cooperation,Express intent to engage in material cooperation,23,63,0.36507936507936506,0.36507936507936506
Conduct strike or boycott,Conduct strike or boycott,0,62,0.0,0.0
Appeal for policy change,Appeal for policy change,2,59,0.03389830508474576,0.03389830508474576
Seize or damage property,Seize or damage property,0,58,0.0,0.0
Demand material cooperation,Demand material cooperation,2,57,0.03508771929824561,0.03508771929824561
Demand intelligence cooperation,Demand intelligence cooperation,2,56,0.03571428571428571,0.03571428571428571
Grant asylum,Grant asylum,0,56,0.0,0.0
Forgive,Forgive,0,56,0.0,0.0
Appeal to yield,Appeal to yield,2,55,0.03636363636363636,0.03636363636363636
Impose state of emergency or martial law,Impose state of emergency or martial law,0,55,0.0,0.0
Threaten non-force,Threaten non-force,7,54,0.12962962962962962,0.12962962962962962
"Appeal for change in institutions, regime","Appeal for change in institutions, regime",9,52,0.17307692307692307,0.17307692307692307
Express intent to mediate,Express intent to mediate,7,52,0.1346153846153846,0.1346153846153846
Express intent to cooperate on judicial matters,Express intent to cooperate on judicial matters,0,51,0.0,0.0
Threaten to reduce or break relations,Threaten to reduce or break relations,8,49,0.16326530612244897,0.16326530612244897
"Accuse of espionage, treason","Accuse of espionage, treason",4,49,0.08163265306122448,0.08163265306122448
"Ease economic sanctions, boycott, embargo","Ease economic sanctions, boycott, embargo",2,49,0.04081632653061224,0.04081632653061224
Refuse to de-escalate military engagement,Refuse to de-escalate military engagement,0,47,0.0,0.0
Demand that target yields,Demand that target yields,2,47,0.0425531914893617,0.0425531914893617
Accede to demands for rights,Accede to demands for rights,0,47,0.0,0.0
Express intent to ease administrative sanctions,Express intent to ease administrative sanctions,0,46,0.0,0.0
Appeal for humanitarian aid,Appeal for humanitarian aid,2,40,0.05,0.05
Accuse of war crimes,Accuse of war crimes,4,40,0.1,0.1
"Return, release property","Return, release property",12,40,0.3,0.3
Refuse to ease administrative sanctions,Refuse to ease administrative sanctions,0,36,0.0,0.0
Demand economic aid,Demand economic aid,4,36,0.1111111111111111,0.1111111111111111
Accuse of aggression,Accuse of aggression,12,34,0.35294117647058826,0.35294117647058826
Appeal for rights,Appeal for rights,4,34,0.11764705882352941,0.11764705882352941
Reduce or stop material aid,Reduce or stop material aid,0,34,0.0,0.0
Expel or withdraw,Expel or withdraw,0,34,0.0,0.0
Accede to demands for change in policy,Accede to demands for change in policy,0,33,0.0,0.0
Engage in mass killings,Engage in mass killings,0,32,0.0,0.0
"Demand change in institutions, regime","Demand change in institutions, regime",0,30,0.0,0.0
Reject economic cooperation,Reject economic cooperation,0,30,0.0,0.0
Reduce or stop military assistance,Reduce or stop military assistance,0,29,0.0,0.0
Destroy property,Destroy property,0,26,0.0,0.0
Demand judicial cooperation,Demand judicial cooperation,0,26,0.0,0.0
Threaten with administrative sanctions,Threaten with administrative sanctions,0,24,0.0,0.0
Reject judicial cooperation,Reject judicial cooperation,0,23,0.0,0.0
Express intent to change leadership,Express intent to change leadership,3,23,0.13043478260869565,0.13043478260869565
Express intent to cooperate on intelligence,Express intent to cooperate on intelligence,17,22,0.7727272727272727,0.7727272727272727
Reduce or stop humanitarian assistance,Reduce or stop humanitarian assistance,0,21,0.0,0.0
Appeal for political reform,Appeal for political reform,0,19,0.0,0.0
Appeal for military protection or peacekeeping,Appeal for military protection or peacekeeping,0,19,0.0,0.0
Ban political parties or politicians,Ban political parties or politicians,0,18,0.0,0.0
Threaten with repression,Threaten with repression,0,18,0.0,0.0
Attempt to assassinate,Attempt to assassinate,0,18,0.0,0.0
Threaten to reduce or stop aid,Threaten to reduce or stop aid,0,17,0.0,0.0
Violate ceasefire,Violate ceasefire,0,17,0.0,0.0
"Threaten with political dissent, protest","Threaten with political dissent, protest",0,17,0.0,0.0
Express intent to change policy,Express intent to change policy,0,17,0.0,0.0
Receive inspectors,Receive inspectors,0,16,0.0,0.0
"Express intent to ease economic sanctions, boycott, or embargo","Express intent to ease economic sanctions, boycott, or embargo",0,16,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo","Refuse to ease economic sanctions, boycott, or embargo",0,15,0.0,0.0
Expel or withdraw peacekeepers,Expel or withdraw peacekeepers,0,15,0.0,0.0
Demand settling of dispute,Demand settling of dispute,0,15,0.0,0.0
Demobilize armed forces,Demobilize armed forces,0,14,0.0,0.0
Ease state of emergency or martial law,Ease state of emergency or martial law,1,14,0.07142857142857142,0.07142857142857142
Impose curfew,Impose curfew,0,14,0.0,0.0
Use as human shield,Use as human shield,0,14,0.0,0.0
Express intent to institute political reform,Express intent to institute political reform,0,13,0.0,0.0
Investigate human rights abuses,Investigate human rights abuses,0,13,0.0,0.0
Demand policy change,Demand policy change,0,12,0.0,0.0
Appeal for easing of political dissent,Appeal for easing of political dissent,0,11,0.0,0.0
Accede to requests or demands for political reform,Accede to requests or demands for political reform,0,10,0.0,0.0
Demand easing of administrative sanctions,Demand easing of administrative sanctions,0,10,0.0,0.0
Demand military aid,Demand military aid,0,9,0.0,0.0
Demonstrate for policy change,Demonstrate for policy change,0,9,0.0,0.0
Engage in violent protest for leadership change,Engage in violent protest for leadership change,0,9,0.0,0.0
Reject material cooperation,Reject material cooperation,0,9,0.0,0.0
Demand mediation,Demand mediation,0,9,0.0,0.0
Demand political reform,Demand political reform,0,8,0.0,0.0
Reject mediation,Reject mediation,2,8,0.25,0.25
"Appeal for easing of economic sanctions, boycott, or embargo","Appeal for easing of economic sanctions, boycott, or embargo",0,8,0.0,0.0
"Express intent to change institutions, regime","Express intent to change institutions, regime",0,8,0.0,0.0
Demand release of persons or property,Demand release of persons or property,0,7,0.0,0.0
Threaten with restrictions on political freedoms,Threaten with restrictions on political freedoms,0,7,0.0,0.0
Threaten to halt negotiations,Threaten to halt negotiations,0,7,0.0,0.0
Ease military blockade,Ease military blockade,0,7,0.0,0.0
Demand rights,Demand rights,0,7,0.0,0.0
"Accede to demands for change in institutions, regime","Accede to demands for change in institutions, regime",0,6,0.0,0.0
"Use chemical, biological, or radiological weapons","Use chemical, biological, or radiological weapons",3,6,0.5,0.5
Ease political dissent,Ease political dissent,0,6,0.0,0.0
Demand material aid,Demand material aid,0,6,0.0,0.0
Reject request for military protection or peacekeeping,Reject request for military protection or peacekeeping,0,6,0.0,0.0
Reject request for change in leadership,Reject request for change in leadership,0,6,0.0,0.0
Appeal for target to allow international involvement (non-mediation),Appeal for target to allow international involvement (non-mediation),0,5,0.0,0.0
Carry out roadside bombing,Carry out roadside bombing,0,4,0.0,0.0
Demand humanitarian aid,Demand humanitarian aid,0,4,0.0,0.0
Ease ban on political parties or politicians,Ease ban on political parties or politicians,0,4,0.0,0.0
Engage in political dissent,Engage in political dissent,0,4,0.0,0.0
Reject request for economic aid,Reject request for economic aid,0,3,0.0,0.0
Conduct hunger strike,Conduct hunger strike,0,3,0.0,0.0
Halt mediation,Halt mediation,0,3,0.0,0.0
Investigate war crimes,Investigate war crimes,0,3,0.0,0.0
Reject military cooperation,Reject military cooperation,0,2,0.0,0.0
Ease restrictions on political freedoms,Ease restrictions on political freedoms,0,2,0.0,0.0
Threaten to impose curfew,Threaten to impose curfew,0,2,0.0,0.0
Express intent to allow international involvement (non-mediation),Express intent to allow international involvement (non-mediation),0,2,0.0,0.0
Reject request for rights,Reject request for rights,0,2,0.0,0.0
Detonate nuclear weapons,Detonate nuclear weapons,0,2,0.0,0.0
Reject request for policy change,Reject request for policy change,0,2,0.0,0.0
Demand economic cooperation,Demand economic cooperation,0,2,0.0,0.0
Appeal for military cooperation,Appeal for military cooperation,0,2,0.0,0.0
Demand easing of political dissent,Demand easing of political dissent,0,1,0.0,0.0
Allow humanitarian access,Allow humanitarian access,0,1,0.0,0.0
Conduct strike or boycott for leadership change,Conduct strike or boycott for leadership change,0,1,0.0,0.0
Reject request or demand for political reform,Reject request or demand for political reform,0,1,0.0,0.0
Engage in violent protest for policy change,Engage in violent protest for policy change,0,1,0.0,0.0
"Reject request for change in institutions, regime","Reject request for change in institutions, regime",0,1,0.0,0.0
Engage in ethnic cleansing,Engage in ethnic cleansing,0,1,0.0,0.0
Threaten to impose state of emergency or martial law,Threaten to impose state of emergency or martial law,0,1,0.0,0.0
Threaten to halt mediation,Threaten to halt mediation,0,1,0.0,0.0
Threaten to halt international involvement (non-mediation),Threaten to halt international involvement (non-mediation),0,1,0.0,0.0
Reject request for humanitarian aid,Reject request for humanitarian aid,0,1,0.0,0.0
Investigate military action,Investigate military action,0,1,0.0,0.0
Ease curfew,Ease curfew,0,1,0.0,0.0
Engage in mass expulsion,Engage in mass expulsion,0,1,0.0,0.0
