,head,relation,tail,time
34,South Korea,Express intent to meet or negotiate,China,2008-11-24
35,China,Express intent to cooperate,Vietnam,2007-08-30
36,Police (Australia),Make an appeal or request,Citizen (Australia),2006-06-13
37,China,Criticize or denounce,South Korea,2011-03-24
38,Angela Merkel,Express intent to cooperate,Cristina Fernández de Kirchner,2013-01-27
39,France,Engage in diplomatic cooperation,China,2005-04-22
40,African Union,Praise or endorse,Sudan,2015-03-03
41,China,Sign formal agreement,Malaysia,2007-10-29
42,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2013-03-17
43,Barack Obama,Express intent to meet or negotiate,Mahmoud Abbas,2011-09-22
44,Police (Australia),Criticize or denounce,Citizen (Australia),2014-10-28
45,Media (Africa),Consult,Finance / Economy / Commerce / Trade Ministry (Namibia),2005-09-14
46,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2005-07-05
47,Member of Parliament (Australia),Make statement,Julia Gillard,2010-06-24
48,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-07
49,African Union,Express intent to meet or negotiate,Sudan,2007-02-13
50,Iran,Express intent to cooperate,France,2015-07-30
51,Laos,Express intent to cooperate,Vietnam,2005-06-03
52,Police (Australia),Accuse,Women (Australia),2009-11-26
53,Uhuru Muigai Kenyatta,Make statement,Mwai Kibaki,2005-05-25
54,Thailand,Engage in diplomatic cooperation,China,2009-06-30
55,Police (Egypt),Make statement,Other Authorities / Officials (Egypt),2013-10-15
56,Moro National Liberation Front,Use conventional military force,Military (Philippines),2007-02-26
57,Minister Nemwang,Consult,Prachanda,2007-10-26
58,Japan,Express intent to meet or negotiate,China,2005-07-23
59,Lee Myung Bak,Make statement,South Korea,2009-01-13
60,China,Express intent to meet or negotiate,Japan,2015-10-20
61,Nuri al-Maliki,Make statement,Iraq,2014-03-14
62,Wang Yi,Make statement,China,2015-06-25
63,Member of Parliament (Bangladesh),Make an appeal or request,Citizen (Bangladesh),2005-08-09
64,Yoon Jeung Hyun,Consult,Yoon Jeung Hyun,2010-11-09
65,Court Judge (United Kingdom),Demand,Citizen (United Kingdom),2006-09-29
66,South Korea,Express intent to meet or negotiate,China,2014-10-16
67,City Mayor (Philippines),Make statement,Police (Philippines),2006-01-11
68,Bolivia,Consult,Evo Morales,2009-05-22
69,Iran,Make optimistic comment,Mahmoud Ahmadinejad,2005-06-25
70,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2010-01-28
71,Christine Lagarde,Make statement,France,2005-12-15
72,Georgios Papandreou,Express intent to meet or negotiate,Angela Merkel,2010-03-04
73,South Korea,Express intent to cooperate,China,2006-05-11
74,Japan,Express intent to cooperate,China,2010-08-22
75,China,Engage in negotiation,Japan,2005-11-25
76,Cambodia,Consult,Thailand,2011-08-10
77,China,Reduce or break diplomatic relations,Japan,2010-10-13
78,South Korea,Consult,China,2007-07-05
79,Omar Suleiman,Express intent to meet or negotiate,Mahmoud Abbas,2006-06-29
80,Abdel Fattah Al-Sisi,Consult,Royal Administration (Spain),2015-05-01
81,Dmitry Anatolyevich Medvedev,Make optimistic comment,Barack Obama,2008-11-16
82,Police (Malaysia),Make statement,Malaysia,2010-08-18
83,Ali Abdullah Saleh,Engage in negotiation,Mahmoud Abbas,2006-08-07
84,Bukola Saraki,Criticize or denounce,Citizen (Nigeria),2008-01-31
85,Barack Obama,Criticize or denounce,Iran,2009-05-20
86,Military Personnel (Philippines),Make statement,Military (Philippines),2015-12-09
87,Iran,Praise or endorse,Iraq,2015-03-16
88,Ministry (South Korea),Express intent to meet or negotiate,South Korea,2015-09-29
89,Barack Obama,Express intent to cooperate,Dmitry Anatolyevich Medvedev,2008-11-13
90,Eritrea,Accuse,Ethiopia,2015-09-15
91,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-08
92,Abdul Kalam,Make an appeal or request,Member of Parliament (India),2006-02-16
93,African Union,Use conventional military force,Al-Shabaab,2014-06-16
94,Laos,Make statement,Vietnam,2010-11-23
95,Barack Obama,Express intent to cooperate,Angela Merkel,2010-06-22
96,Lawyer/Attorney (Australia),Make statement,Police (Australia),2010-04-13
97,Dmitry Anatolyevich Medvedev,Make statement,Barack Obama,2015-11-22
98,Mahmoud Ahmadinejad,Praise or endorse,Abdoulaye Wade,2009-10-17
99,Mahmoud Abbas,Make optimistic comment,Benjamin Netanyahu,2013-09-30
100,Iraq,Express intent to meet or negotiate,Kuwait,2010-09-20
101,China,Consult,Japan,2014-06-24
102,South Korea,Express intent to cooperate,Japan,2005-10-27
103,Media Personnel (International),Consult,Wen Jiabao,2008-03-18
104,Angela Merkel,Consult,Dmitry Anatolyevich Medvedev,2008-08-18
105,Benjamin Netanyahu,Consult,Barack Obama,2009-11-25
106,Media Personnel (Thailand),Express intent to meet or negotiate,Citizen (Thailand),2006-08-02
107,Japan,Criticize or denounce,China,2013-06-29
108,Thailand,Express intent to cooperate,Cambodia,2005-12-19
109,Citizen (Thailand),Demand,Abhisit Vejjajiva,2009-07-09
110,Dmitry Anatolyevich Medvedev,Engage in negotiation,Angela Merkel,2009-08-13
111,Bhutan,Consult,Maldives,2005-10-19
112,Barack Obama,Make statement,China,2009-11-18
113,Barack Obama,Praise or endorse,Benjamin Netanyahu,2009-05-19
114,Iran,Express intent to meet or negotiate,Iraq,2012-04-21
115,Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-05-31
116,Citizen (Australia),Accuse,Police (Australia),2013-08-27
117,Citizen (Nigeria),Express intent to cooperate,Government (Nigeria),2015-03-13
118,Japan,Make a visit,China,2008-06-02
119,Head of Government (Nigeria),Demand,Government (Nigeria),2014-05-26
120,Head of Government (Brazil),Demand,Citizen (Brazil),2012-11-30
121,UN Security Council,Make an appeal or request,African Union,2006-04-25
122,Umaru Musa Yar'Adua,Make statement,Government (Nigeria),2009-07-29
123,Kazakhstan,Consult,Iran,2007-06-21
124,Citizen (Nigeria),Make an appeal or request,Education (Nigeria),2013-11-11
125,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-07
126,Vietnam,Criticize or denounce,China,2009-06-27
127,Men (Malaysia),Accuse,Police (Malaysia),2005-06-06
128,Ethiopia,Consult,African Union,2007-06-15
129,South Korea,Consult,China,2005-12-08
130,China,Sign formal agreement,Sudan,2007-12-08
131,Malaysia,Sign formal agreement,Laos,2008-04-03
132,Michael Sata,Make an appeal or request,Citizen (Zambia),2013-02-27
133,China,Express intent to meet or negotiate,South Korea,2007-10-22
134,Cambodia,Consult,Laos,2013-10-28
135,Iraq,Express intent to meet or negotiate,Kuwait,2006-09-21
136,UN Security Council,Make an appeal or request,Iran,2006-04-17
137,China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2005-07-31
138,Yoshihiko Noda,Consult,Barack Obama,2012-04-30
139,Richard Boucher,Consult,Pervez Musharraf,2007-06-23
140,China,Engage in negotiation,Vietnam,2007-07-28
141,South Korea,Consult,Envoy (United States),2010-02-25
142,China,Sign formal agreement,Laos,2015-10-07
143,South Korea,Consult,China,2009-12-11
144,Police (Australia),Make an appeal or request,Citizen (Australia),2011-03-20
145,Lawyer/Attorney (Australia),Make statement,Police (Australia),2005-08-10
146,Nuri al-Maliki,Make statement,Iraq,2013-01-01
147,Legislature (Romania),Consult,Senate (Romania),2010-04-20
148,Police (Malaysia),Make statement,Malaysia,2005-04-07
149,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Government (Nigeria),2012-10-17
150,Cambodia,Sign formal agreement,Thailand,2008-05-07
151,Militant (Taliban),Use unconventional violence,Armed Rebel (Afghanistan),2009-06-11
152,Iran,Host a visit,Iraq,2009-03-01
153,Prem Tinsulanonda,Demonstrate or rally,Prem Tinsulanonda,2007-07-26
154,Head of Government (Nigeria),Make statement,Government (Nigeria),2012-10-17
155,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Barack Obama,2010-06-11
156,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2013-11-19
157,Japan,Make an appeal or request,China,2006-05-18
158,Chevron,Sign formal agreement,USAID,2011-03-02
159,Mahmoud Ahmadinejad,Consult,Rafael Correa,2012-01-12
160,Wang Yi,Make statement,China,2013-11-23
161,Thailand,Host a visit,China,2008-08-11
162,Japan,Make an appeal or request,Iran,2005-08-05
163,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2014-10-03
164,Iran,Engage in diplomatic cooperation,Iraq,2011-05-28
165,Ethiopia,Express intent to cooperate,Eritrea,2006-02-09
166,Tsai Ing-wen,Accuse,Ma Ying Jeou,2009-05-17
167,China,Consult,Japan,2006-11-14
168,Cambodia,Consult,Laos,2008-11-04
169,Barack Obama,Consult,Dmitry Anatolyevich Medvedev,2014-12-10
170,Lawyer/Attorney (Indonesia),Make statement,Police (Indonesia),2015-11-11
171,Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2012-08-23
172,Supreme Council (South Korea),Consult,Grand National Party,2011-12-07
173,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Pham Binh Minh,2014-05-22
174,Lawyer/Attorney (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2006-10-04
175,Japan,Express intent to cooperate,China,2009-11-03
176,Japan,Express intent to meet or negotiate,Yoshihiko Noda,2012-08-21
177,Citizen (Nigeria),Accuse,Government (Nigeria),2014-06-30
178,Japan,Make statement,South Korea,2006-04-21
179,Cabinet / Council of Ministers / Advisors (Japan),Praise or endorse,China,2015-01-14
180,Umaru Musa Yar'Adua,Make an appeal or request,Citizen (Nigeria),2008-10-27
181,France,Express intent to meet or negotiate,China,2015-04-02
182,South Sudan,Engage in diplomatic cooperation,China,2012-04-09
183,Mahmoud Abbas,Consult,Catherine Ashton,2011-12-14
184,Police (Australia),Make an appeal or request,Cabinet / Council of Ministers / Advisors (Australia),2015-03-27
185,Japan,Express intent to cooperate,China,2008-12-15
186,China,Make a visit,South Korea,2014-07-01
187,Lawyer/Attorney (Australia),Make an appeal or request,Citizen (Australia),2015-11-25
188,Catherine Ashton,Meet at a 'third' location,Iran,2012-04-14
189,Japan,Express intent to cooperate economically,Vietnam,2009-12-14
190,China,Engage in diplomatic cooperation,Iran,2015-10-14
191,Head of Government (Pakistan),Consult,Barack Obama,2009-05-19
192,Cristina Fernández de Kirchner,Make statement,Foreign Affairs (Argentina),2011-01-18
193,Japan,Sign formal agreement,South Korea,2009-03-06
194,South Sudan,Sign formal agreement,Sudan,2012-10-14
195,Ministry (Iran),Make statement,Iran,2006-02-06
196,South Korea,Consult,China,2010-10-28
197,Mahmoud Ahmadinejad,Make statement,Iran,2008-04-11
198,Student (Tanzania),Consult,Citizen (Tanzania),2011-10-04
199,Thailand,Express intent to cooperate,Cambodia,2011-05-25
200,Islam Karimov,Express intent to cooperate,Xi Jinping,2014-08-21
201,South Korea,Make statement,Ministry (South Korea),2012-12-01
202,South Korea,Consult,China,2006-12-27
203,Laos,Consult,Vietnam,2006-12-06
204,Media (Africa),Consult,Police (Kenya),2008-07-16
205,Head of Government (Pakistan),Make statement,Pervez Musharraf,2007-11-04
206,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2008-12-18
207,China,Express intent to cooperate,South Korea,2007-11-21
208,Barack Obama,Consult,Benjamin Netanyahu,2015-03-01
209,Ashraf Ghani Ahmadzai,Consult,Associated Press,2014-07-14
210,Japan,Express intent to meet or negotiate,South Korea,2005-07-14
211,Head of Government (Pakistan),Consult,Mahmoud Ahmadinejad,2013-03-02
212,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2010-06-24
213,Iran,Consult,Iraq,2007-08-14
214,China,Make statement,Criminal (China),2010-12-12
215,Nonaligned Movement,Express intent to meet or negotiate,Iran,2012-06-02
216,Eritrea,Make a visit,Sudan,2006-01-03
217,Ministry (Nigeria),Make statement,Government (Nigeria),2009-03-05
218,Emmanuel Eweta Uduaghan,Make an appeal or request,Citizen (Nigeria),2008-08-11
219,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2005-07-22
220,Vietnam,Engage in diplomatic cooperation,Cambodia,2006-03-17
221,Thailand,Consult,Malaysia,2006-08-11
222,Barack Obama,Make statement,South Korea,2009-11-19
223,Police (Philippines),Make statement,Military Personnel (Philippines),2008-11-08
224,Iran,Reject,UN Security Council,2006-09-09
225,Benazir Bhutto,Make statement,Pakistan People's Party,2007-10-30
226,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2011-05-22
227,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2010-05-18
228,Court Judge (United Kingdom),Make an appeal or request,Citizen (United Kingdom),2006-01-09
229,Head of Government (Greece),Make statement,Panhellenic Socialist Movement,2007-11-02
230,China,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2008-12-23
231,Xi Jinping,Make statement,China,2013-10-07
232,Japan,Express intent to cooperate,China,2006-03-07
233,China,Consult,Japan,2005-09-21
234,Eritrea,Express intent to cooperate,Ethiopia,2006-02-08
235,Barack Obama,Express intent to cooperate,Benjamin Netanyahu,2015-03-19
236,China,Consult,South Korea,2009-10-10
237,Mahmoud Ahmadinejad,Make statement,Iran,2010-08-05
238,Cabinet / Council of Ministers / Advisors (United States),Consult,Benjamin Netanyahu,2010-08-25
239,Ministry (Nigeria),Make statement,Government (Nigeria),2008-12-24
240,Wen Jiabao,Make an appeal or request,China,2007-07-14
241,China,Express intent to meet or negotiate,Japan,2015-03-17
242,Council of Representatives,Make statement,Member of Parliament (Iraq),2014-01-25
243,South Africa,Consult,Tanzania,2010-02-02
244,Yemen,Make statement,Iran,2015-05-13
245,Mahmoud Ahmadinejad,Make statement,Iran,2011-04-09
246,South Korea,Make statement,China,2005-08-02
247,Citizen (Australia),Make an appeal or request,Lawyer/Attorney (Australia),2007-04-20
248,Benjamin Netanyahu,Praise or endorse,Likud,2014-05-29
249,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2010-05-23
250,Iran,Engage in negotiation,UN Security Council,2009-09-30
251,Barack Obama,Criticize or denounce,China,2015-11-20
252,Military (Philippines),Use conventional military force,Abu Sayyaf,2008-11-15
253,Japan,Consult,China,2006-07-26
254,Mahmoud Ahmadinejad,Make statement,Ministry (Iran),2005-08-24
255,Lawmaker (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2006-11-01
256,Mahmoud Abbas,Consult,Head of Government (Egypt),2011-01-24
257,Sheikh Hamad bin Isa al Khalifah,Consult,Mahmoud Abbas,2005-06-14
258,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-08
259,Klaus Johannis,Make statement,Romania,2015-06-17
260,International Monetary Fund,Make an appeal or request,Portugal,2009-12-03
261,Tony Blair,Consult,Angela Merkel,2006-02-17
262,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Energy Department/Ministry (Brazil),2008-11-19
263,China,Express intent to cooperate,South Korea,2007-07-03
264,Japan,Sign formal agreement,Thailand,2005-08-10
265,China,Consult,Association of Southeast Asian Nations,2006-07-17
266,Sudan,Reduce or break diplomatic relations,South Sudan,2012-03-27
267,Lee Myung Bak,Make statement,South Korea,2012-01-12
268,Vietnam,Praise or endorse,France,2009-11-12
269,Wang Yi,Make statement,China,2013-05-23
270,Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2014-01-09
271,Thailand,Express intent to meet or negotiate,Cambodia,2005-07-05
272,Police (Australia),Make an appeal or request,Citizen (Australia),2015-12-25
273,China,Make optimistic comment,Iran,2010-09-15
274,Mexico,Express intent to meet or negotiate,Barack Obama,2010-04-28
275,Barack Obama,Consult,Angela Merkel,2009-06-05
276,Cambodia,Express intent to cooperate,Thailand,2011-07-21
277,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2005-10-12
278,Barack Obama,Sign formal agreement,Xi Jinping,2015-04-01
279,Japan,Engage in negotiation,China,2006-12-06
280,China,Make an appeal or request,Japan,2014-08-30
281,China,Express intent to cooperate,Vietnam,2008-06-23
282,South Korea,Make a visit,China,2013-11-13
283,Kuwait,Consult,Oman,2008-12-30
284,Abdullah Gül,Consult,Jack Straw,2005-11-20
285,Saud bin Faisal bin Abdul-Aziz,Consult,Cabinet / Council of Ministers / Advisors (United States),2011-09-21
286,Lawyer/Attorney (Australia),Accuse,Police (Australia),2010-05-27
287,China,Consult,South Korea,2008-11-09
288,Andrej Kiska,Consult,Daniela Svecová,2015-09-09
289,China,Make optimistic comment,Japan,2005-04-19
290,Miguel Treviño Morales,Use unconventional violence,Iván Velázquez-Caballero,2012-09-27
291,Lawyer/Attorney (Jordan),Consult,Al Sharq al Awsat,2006-03-18
292,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2008-08-17
293,Thailand,Host a visit,Japan,2009-04-09
294,Angela Merkel,Praise or endorse,Barack Obama,2008-11-05
295,China,Engage in negotiation,South Korea,2007-11-15
296,Japan,Engage in diplomatic cooperation,South Korea,2006-12-27
297,"Armed Gang (Palestinian Territory, Occupied)",fight with small arms and light weapons,Israeli Defense Forces,2009-01-06
298,Vietnam,Consult,China,2014-07-12
299,Ma Ying Jeou,Make statement,China,2006-02-11
300,Police (South Africa),fight with small arms and light weapons,Men (South Africa),2010-06-17
301,Malaysia,Engage in diplomatic cooperation,China,2015-04-24
302,Oman,Consult,Iran,2014-03-13
303,Barack Obama,Consult,Yoshihiko Noda,2011-09-22
304,Thailand,Express intent to meet or negotiate,Cambodia,2008-08-06
305,Citizen (Sudan),Accuse,Government (Sudan),2010-09-30
306,Police (Australia),"Return, release person(s)",Citizen (Australia),2008-12-17
307,South Korea,Sign formal agreement,Japan,2006-06-01
308,Foreign Affairs (Malaysia),Make statement,Malaysia,2013-03-07
309,Head of Government (Pakistan),Praise or endorse,Barack Obama,2009-03-30
310,Benazir Bhutto,Sign formal agreement,Pervez Musharraf,2013-11-20
311,France,Consult,Yemen,2006-07-25
312,China,Criticize or denounce,Japan,2010-12-17
313,Military Personnel (Philippines),Make statement,Military (Philippines),2009-11-24
314,Police (Australia),Make optimistic comment,Citizen (Australia),2007-06-13
315,Japan,"Reject proposal to meet, discuss, or negotiate",China,2013-01-11
316,Mexico,Consult,China,2008-04-23
317,Kuwait,Engage in negotiation,Iran,2012-05-20
318,Military Personnel - Special (Philippines),Use conventional military force,Moro Islamic Liberation Front,2014-11-14
319,Labor Union (Nigeria),Sign formal agreement,Government (Nigeria),2015-01-19
320,Japan,Express intent to meet or negotiate,China,2009-09-09
321,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Barack Obama,2010-10-28
322,Japan,Praise or endorse,Association of Southeast Asian Nations,2014-05-12
323,Sudan,Use conventional military force,South Sudan,2013-03-18
324,China,Criticize or denounce,Barack Obama,2010-10-12
325,Iran,Make statement,Business (Iran),2005-01-31
326,Police (Australia),Physically assault,Citizen (Australia),2009-06-18
327,Police (Australia),Make statement,Criminal (Australia),2015-11-19
328,South Korea,Consult,China,2009-04-13
329,Iraq,Consult,Kuwait,2008-12-16
330,China,Consult,Japan,2009-06-01
331,Ma Ying Jeou,Make statement,Kuomintang,2006-06-22
332,Lee Myung Bak,Make statement,South Korea,2010-05-26
333,Yasuo Fukuda,Praise or endorse,Lee Myung Bak,2007-12-22
334,Barack Obama,Consult,China,2015-06-25
335,Military (Philippines),Use conventional military force,Abu Sayyaf,2010-03-25
336,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2013-08-30
337,Japan,Consult,China,2009-05-08
338,Iran,Praise or endorse,Iraq,2007-10-30
339,Ma Ying Jeou,Make statement,China,2014-06-04
340,Japan,Make optimistic comment,China,2007-02-10
341,Vietnam,Engage in diplomatic cooperation,Laos,2009-01-08
342,Muslim (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-09-24
343,City Mayor (Philippines),Make statement,Police (Philippines),2008-10-11
344,Prem Tinsulanonda,Consult,Military Personnel (Thailand),2010-02-19
345,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2012-08-22
346,China,Praise or endorse,UN Security Council,2006-10-20
347,Japan,Praise or endorse,UN Security Council,2006-12-24
348,Jakaya Mrisho Kikwete,Demand,Citizen (Tanzania),2014-10-13
349,Laos,Host a visit,China,2005-09-29
350,High Ranking Military Personnel (Syria),Consult,Police (Syria),2015-01-31
351,China,Sign formal agreement,Japan,2007-10-19
352,Government (Nigeria),Make statement,Boko Haram,2014-10-27
353,Japan,Express intent to meet or negotiate,Vietnam,2005-01-05
354,Militant (Nigeria),"Abduct, hijack, or take hostage",Citizen (Nigeria),2008-09-22
355,South Korea,Express intent to cooperate,China,2007-10-28
356,Mahmoud Ahmadinejad,Make statement,Iran,2010-12-10
357,Citizen (Australia),Demand,Media Personnel (Australia),2007-04-11
358,Cambodia,Consult,Vietnam,2008-03-26
359,Iran,Engage in negotiation,France,2006-09-20
360,China,Consult,South Korea,2011-05-03
361,Association of Southeast Asian Nations,Express intent to meet or negotiate,South Korea,2009-05-21
362,Japan,Make an appeal or request,Iran,2010-05-04
363,Lee Myung Bak,Discuss by telephone,Barack Obama,2012-11-15
364,Envoy (United States),Engage in negotiation,Sudan,2009-07-20
365,Police (Israel),Make statement,Criminal (Israel),2005-11-08
366,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2008-12-15
367,Iraq,Express intent to cooperate,Iran,2012-04-23
368,UN Security Council,Meet at a 'third' location,Iran,2009-10-09
369,Labor Union (Croatia),Engage in negotiation,Government (Croatia),2012-06-04
370,Iraq,Express intent to meet or negotiate,Iran,2010-09-20
371,Emmanuel Eweta Uduaghan,Make an appeal or request,Citizen (Nigeria),2009-06-26
372,Iraq,Host a visit,Donald Rumsfeld,2005-04-12
373,South Korea,Express intent to meet or negotiate,Japan,2015-11-10
374,Military Personnel (Philippines),Make statement,Military (Philippines),2014-11-14
375,Police (Australia),Accuse,Citizen (Australia),2008-01-29
376,Lee Myung Bak,Consult,Yasuo Fukuda,2008-04-20
377,China,Express intent to cooperate,South Korea,2007-09-14
378,China,Express intent to meet or negotiate,South Korea,2010-08-25
379,China,Engage in diplomatic cooperation,Sudan,2009-11-19
380,Japan,Consult,South Korea,2011-11-19
381,Cambodia,Express intent to meet or negotiate,Laos,2008-03-31
382,Evo Morales,Make statement,Bolivia,2006-02-07
383,South Korea,Express intent to cooperate,Japan,2007-06-03
384,Laos,Engage in diplomatic cooperation,Vietnam,2012-05-18
385,Citizen (Australia),Accuse,Police (Australia),2007-03-01
386,Vietnam,Express intent to cooperate on intelligence,Sudan,2010-11-04
387,Mario Monti,Consult,Angela Merkel,2012-01-12
388,Iran,Criticize or denounce,Mahmoud Ahmadinejad,2006-12-29
389,United Arab Emirates,Make an appeal or request,Iran,2012-06-30
390,Japan,Sign formal agreement,South Korea,2009-02-11
391,China,Express intent to meet or negotiate,Japan,2005-05-14
392,Mahmoud Abbas,Consult,Barack Obama,2014-03-10
393,Dmitry Anatolyevich Medvedev,Engage in symbolic act,Abdullah Gül,2010-05-12
394,Member of Parliament (Australia),Make an appeal or request,Citizen (Australia),2012-08-09
395,Employee (Philippines),Make statement,Police (Philippines),2013-02-12
396,Lawyer/Attorney (Uganda),Accuse,Police (Uganda),2008-01-28
397,Iran,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2013-11-26
398,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-04-22
399,South Korea,Criticize or denounce,Japan,2014-03-06
400,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2009-04-02
401,Citizen (Brazil),Make an appeal or request,Ministry (Brazil),2011-01-13
402,Gholamali Haddad Adel,Consult,Business (Iran),2006-10-27
403,South Korea,Criticize or denounce,Japan,2006-07-12
404,Citizen (Nigeria),Accuse,Government (Nigeria),2009-10-06
405,Pervez Musharraf,Make statement,Benazir Bhutto,2007-08-08
406,Jakaya Mrisho Kikwete,Make statement,Tanzania,2014-09-01
407,Citizen (Australia),Reject,Lawyer/Attorney (Australia),2006-11-06
408,Benedict XVI,Make statement,Cabinet / Council of Ministers / Advisors (Holy See (Vatican City State)),2012-08-24
409,Japan,"Reject plan, agreement to settle dispute",China,2010-10-26
410,Mahmoud Abbas,Criticize or denounce,Benjamin Netanyahu,2012-06-26
411,Kim Kye Gwan,Consult,Envoy (United States),2008-05-04
412,South Sudan,Make a visit,Sudan,2011-01-04
413,China,Sign formal agreement,Japan,2006-04-03
414,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2010-03-23
415,Barack Obama,Consult,Angela Merkel,2009-06-23
416,Associated Press,Discuss by telephone,Media Personnel (Somalia),2006-11-01
417,Mahmoud Abbas,Engage in negotiation,Sheikh Hamad bin Isa al Khalifah,2006-09-04
418,Ethiopia,Praise or endorse,African Union,2009-02-14
419,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2010-11-30
420,South Korea,Express intent to cooperate,Japan,2008-10-05
421,South Africa,Express intent to meet or negotiate,China,2013-02-12
422,Japan,Make optimistic comment,China,2014-03-26
423,Education Ministry (Czech Republic),Consult,Ministry (Social Democratic Party),2015-09-23
424,Iran,Make statement,Iraq,2008-02-17
425,China,Make an appeal or request,South Korea,2014-05-27
426,Citizen (Australia),Make an appeal or request,Member of Parliament (Australia),2006-08-09
427,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2011-01-03
428,Association of Southeast Asian Nations,Engage in negotiation,China,2012-08-25
429,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Laos,2007-11-05
430,Japan,Engage in diplomatic cooperation,China,2012-09-28
431,Barack Obama,Make statement,China,2011-11-13
432,Iran,Engage in diplomatic cooperation,China,2006-04-17
433,Head of Government (Nigeria),Criticize or denounce,Government (Nigeria),2008-05-26
434,Lawyer/Attorney (Australia),Make statement,Police (Australia),2010-09-24
