relation i,relation j,#inverse,#rel_i,P one direction,P two direction
Criticize or denounce,Host a visit,237,2406,0.09850374064837905,0.10531732418524871
Host a visit,Criticize or denounce,377,3424,0.11010514018691589,0.10531732418524871
Criticize or denounce,Increase military alert status,0,2406,0.0,0.0
Increase military alert status,Criticize or denounce,0,27,0.0,0.0
Criticize or denounce,Make a visit,244,2406,0.10141313383208644,0.08103448275862069
Make a visit,Criticize or denounce,226,3394,0.06658809664113141,0.08103448275862069
Criticize or denounce,Consult,416,2406,0.17290108063175394,0.10097532989099255
Consult,Criticize or denounce,640,8052,0.07948335817188276,0.10097532989099255
Criticize or denounce,Provide economic aid,33,2406,0.01371571072319202,0.014937424303593056
Provide economic aid,Criticize or denounce,4,71,0.056338028169014086,0.014937424303593056
Criticize or denounce,Express intent to engage in diplomatic cooperation (such as policy support),399,2406,0.1658354114713217,0.17149346961953435
Express intent to engage in diplomatic cooperation (such as policy support),Criticize or denounce,205,1116,0.18369175627240145,0.17149346961953435
Criticize or denounce,Appeal for intelligence,53,2406,0.02202826267664173,0.031035872632003223
Appeal for intelligence,Criticize or denounce,24,75,0.32,0.031035872632003223
Criticize or denounce,Demand,442,2406,0.18370739817123857,0.2166947723440135
Demand,Criticize or denounce,329,1152,0.2855902777777778,0.2166947723440135
Criticize or denounce,Carry out suicide bombing,3,2406,0.0012468827930174563,0.0040290088638195
Carry out suicide bombing,Criticize or denounce,7,76,0.09210526315789473,0.0040290088638195
Criticize or denounce,Threaten,386,2406,0.16043225270157938,0.1941714672992206
Threaten,Criticize or denounce,187,545,0.3431192660550459,0.1941714672992206
Criticize or denounce,Express intent to provide material aid,126,2406,0.05236907730673317,0.056383407168747485
Express intent to provide material aid,Criticize or denounce,14,77,0.18181818181818182,0.056383407168747485
Criticize or denounce,Grant diplomatic recognition,35,2406,0.014546965918536992,0.015860105734038225
Grant diplomatic recognition,Criticize or denounce,4,53,0.07547169811320754,0.015860105734038225
Criticize or denounce,Demonstrate or rally,68,2406,0.02826267664172901,0.06462701959436232
Demonstrate or rally,Criticize or denounce,120,503,0.23856858846918488,0.06462701959436232
Criticize or denounce,Meet at a 'third' location,104,2406,0.043225270157938485,0.054929577464788736
Meet at a 'third' location,Criticize or denounce,52,434,0.11981566820276497,0.054929577464788736
Criticize or denounce,Accuse,649,2406,0.26974231088944306,0.302237979171283
Accuse,Criticize or denounce,715,2107,0.3393450403417181,0.302237979171283
Criticize or denounce,Investigate,145,2406,0.06026600166251039,0.10030959752321982
Investigate,Criticize or denounce,179,824,0.21723300970873785,0.10030959752321982
Criticize or denounce,Reject,479,2406,0.19908561928512053,0.23154574132492114
Reject,Criticize or denounce,255,764,0.3337696335078534,0.23154574132492114
Criticize or denounce,Appeal for diplomatic cooperation (such as policy support),257,2406,0.10681629260182876,0.13101220387652548
Appeal for diplomatic cooperation (such as policy support),Criticize or denounce,108,380,0.28421052631578947,0.13101220387652548
Criticize or denounce,Engage in symbolic act,178,2406,0.0739817123857024,0.09992937853107345
Engage in symbolic act,Criticize or denounce,105,426,0.24647887323943662,0.09992937853107345
Criticize or denounce,"Defy norms, law",62,2406,0.025768911055694097,0.0341047503045067
"Defy norms, law",Criticize or denounce,22,57,0.38596491228070173,0.0341047503045067
Criticize or denounce,Provide aid,98,2406,0.040731504571903575,0.051092043681747266
Provide aid,Criticize or denounce,33,158,0.2088607594936709,0.051092043681747266
Criticize or denounce,Make empathetic comment,153,2406,0.06359102244389027,0.0731614859742229
Make empathetic comment,Criticize or denounce,40,232,0.1724137931034483,0.0731614859742229
Criticize or denounce,Bring lawsuit against,115,2406,0.04779717373233583,0.06240188383045526
Bring lawsuit against,Criticize or denounce,44,142,0.30985915492957744,0.06240188383045526
Criticize or denounce,Make pessimistic comment,339,2406,0.14089775561097256,0.16362999299229153
Make pessimistic comment,Criticize or denounce,128,448,0.2857142857142857,0.16362999299229153
Criticize or denounce,"Abduct, hijack, or take hostage",47,2406,0.019534497090606815,0.054690204222914506
"Abduct, hijack, or take hostage",Criticize or denounce,111,483,0.22981366459627328,0.054690204222914506
Criticize or denounce,"Protest violently, riot",31,2406,0.012884455527847049,0.04399701715137957
"Protest violently, riot",Criticize or denounce,87,276,0.31521739130434784,0.04399701715137957
Criticize or denounce,Reduce or break diplomatic relations,14,2406,0.005818786367414797,0.009062253743104806
Reduce or break diplomatic relations,Criticize or denounce,9,132,0.06818181818181818,0.009062253743104806
Criticize or denounce,Engage in diplomatic cooperation,297,2406,0.12344139650872818,0.14877213021130783
Engage in diplomatic cooperation,Criticize or denounce,224,1096,0.20437956204379562,0.14877213021130783
Criticize or denounce,Make optimistic comment,363,2406,0.15087281795511223,0.1674342105263158
Make optimistic comment,Criticize or denounce,146,634,0.2302839116719243,0.1674342105263158
Criticize or denounce,Torture,17,2406,0.007065669160432253,0.012315270935960592
Torture,Criticize or denounce,13,30,0.43333333333333335,0.012315270935960592
Criticize or denounce,Refuse to yield,102,2406,0.04239401496259352,0.04707327056897258
Refuse to yield,Criticize or denounce,13,37,0.35135135135135137,0.04707327056897258
Criticize or denounce,Appeal for change in leadership,17,2406,0.007065669160432253,0.010590631364562118
Appeal for change in leadership,Criticize or denounce,9,49,0.1836734693877551,0.010590631364562118
Criticize or denounce,Cooperate militarily,27,2406,0.011221945137157107,0.011990407673860911
Cooperate militarily,Criticize or denounce,3,96,0.03125,0.011990407673860911
Criticize or denounce,Mobilize or increase armed forces,19,2406,0.007896924355777223,0.011262135922330097
Mobilize or increase armed forces,Criticize or denounce,10,169,0.05917159763313609,0.011262135922330097
Criticize or denounce,fight with small arms and light weapons,227,2406,0.0943474646716542,0.1292714377820761
fight with small arms and light weapons,Criticize or denounce,174,696,0.25,0.1292714377820761
Criticize or denounce,Ease administrative sanctions,93,2406,0.03865336658354115,0.05525078369905956
Ease administrative sanctions,Criticize or denounce,48,146,0.3287671232876712,0.05525078369905956
Criticize or denounce,Appeal for political reform,0,2406,0.0,0.0
Appeal for political reform,Criticize or denounce,0,3,0.0,0.0
Criticize or denounce,Discuss by telephone,26,2406,0.010806317539484621,0.028849169018501097
Discuss by telephone,Criticize or denounce,66,783,0.0842911877394636,0.028849169018501097
Criticize or denounce,Impose restrictions on political freedoms,56,2406,0.023275145469659187,0.026016260162601626
Impose restrictions on political freedoms,Criticize or denounce,8,54,0.14814814814814814,0.026016260162601626
Criticize or denounce,Reduce relations,190,2406,0.07896924355777224,0.09791827293754819
Reduce relations,Criticize or denounce,64,188,0.3404255319148936,0.09791827293754819
Criticize or denounce,Engage in material cooperation,115,2406,0.04779717373233583,0.05343511450381679
Engage in material cooperation,Criticize or denounce,18,83,0.21686746987951808,0.05343511450381679
Criticize or denounce,Provide humanitarian aid,189,2406,0.07855361596009976,0.0981941309255079
Provide humanitarian aid,Criticize or denounce,72,252,0.2857142857142857,0.0981941309255079
Criticize or denounce,Use tactics of violent repression,15,2406,0.006234413965087282,0.010293556995806329
Use tactics of violent repression,Criticize or denounce,12,217,0.055299539170506916,0.010293556995806329
Criticize or denounce,Occupy territory,48,2406,0.0199501246882793,0.041315990818668706
Occupy territory,Criticize or denounce,60,208,0.28846153846153844,0.041315990818668706
Criticize or denounce,"Return, release person(s)",184,2406,0.07647547797173733,0.10387260224393775
"Return, release person(s)",Criticize or denounce,103,357,0.28851540616246496,0.10387260224393775
Criticize or denounce,Demand humanitarian aid,1,2406,0.00041562759767248546,0.0008309098462816784
Demand humanitarian aid,Criticize or denounce,1,1,1.0,0.0008309098462816784
Criticize or denounce,Threaten non-force,42,2406,0.017456359102244388,0.018211920529801324
Threaten non-force,Criticize or denounce,2,10,0.2,0.018211920529801324
Criticize or denounce,Express intent to cooperate economically,51,2406,0.02119700748129676,0.025610244097639057
Express intent to cooperate economically,Criticize or denounce,13,93,0.13978494623655913,0.025610244097639057
Criticize or denounce,"Conduct suicide, car, or other non-military bombing",20,2406,0.00831255195344971,0.019393939393939394
"Conduct suicide, car, or other non-military bombing",Criticize or denounce,28,69,0.4057971014492754,0.019393939393939394
Criticize or denounce,"Demand meeting, negotiation",14,2406,0.005818786367414797,0.009087154068566708
"Demand meeting, negotiation",Criticize or denounce,8,15,0.5333333333333333,0.009087154068566708
Criticize or denounce,Deny responsibility,212,2406,0.08811305070656691,0.10101010101010101
Deny responsibility,Criticize or denounce,48,168,0.2857142857142857,0.10101010101010101
Criticize or denounce,"Express intent to change institutions, regime",0,2406,0.0,0.0
"Express intent to change institutions, regime",Criticize or denounce,0,1,0.0,0.0
Criticize or denounce,Appeal for judicial cooperation,17,2406,0.007065669160432253,0.01029230135858378
Appeal for judicial cooperation,Criticize or denounce,8,23,0.34782608695652173,0.01029230135858378
Criticize or denounce,Expel or deport individuals,96,2406,0.0399002493765586,0.04874213836477988
Expel or deport individuals,Criticize or denounce,28,138,0.2028985507246377,0.04874213836477988
Criticize or denounce,Confiscate property,53,2406,0.02202826267664173,0.031053459119496855
Confiscate property,Criticize or denounce,26,138,0.18840579710144928,0.031053459119496855
Criticize or denounce,Accuse of aggression,2,2406,0.0008312551953449709,0.0020721094073767096
Accuse of aggression,Criticize or denounce,3,7,0.42857142857142855,0.0020721094073767096
Criticize or denounce,Physically assault,99,2406,0.04114713216957606,0.06353484790142472
Physically assault,Criticize or denounce,66,191,0.34554973821989526,0.06353484790142472
Criticize or denounce,Retreat or surrender militarily,5,2406,0.0020781379883624274,0.004469727752945957
Retreat or surrender militarily,Criticize or denounce,6,55,0.10909090909090909,0.004469727752945957
Criticize or denounce,Demand diplomatic cooperation (such as policy support),28,2406,0.011637572734829594,0.016585760517799353
Demand diplomatic cooperation (such as policy support),Criticize or denounce,13,66,0.19696969696969696,0.016585760517799353
Criticize or denounce,Veto,0,2406,0.0,0.0
Veto,Criticize or denounce,0,6,0.0,0.0
Criticize or denounce,Kill by physical assault,12,2406,0.004987531172069825,0.008447304907481898
Kill by physical assault,Criticize or denounce,9,80,0.1125,0.008447304907481898
Criticize or denounce,"Appeal for change in institutions, regime",3,2406,0.0012468827930174563,0.00247320692497939
"Appeal for change in institutions, regime",Criticize or denounce,3,20,0.15,0.00247320692497939
Criticize or denounce,"Reject proposal to meet, discuss, or negotiate",121,2406,0.05029093931837074,0.0588470776621297
"Reject proposal to meet, discuss, or negotiate",Criticize or denounce,26,92,0.2826086956521739,0.0588470776621297
Criticize or denounce,Express intent to provide humanitarian aid,119,2406,0.04945968412302577,0.05623471882640587
Express intent to provide humanitarian aid,Criticize or denounce,19,48,0.3958333333333333,0.05623471882640587
Criticize or denounce,Express intent to cooperate militarily,29,2406,0.012053200332502078,0.013223140495867768
Express intent to cooperate militarily,Criticize or denounce,3,14,0.21428571428571427,0.013223140495867768
Criticize or denounce,Cooperate economically,18,2406,0.007481296758104738,0.012683313515655966
Cooperate economically,Criticize or denounce,14,117,0.11965811965811966,0.012683313515655966
Criticize or denounce,Express intent to provide economic aid,60,2406,0.02493765586034913,0.028675282714054926
Express intent to provide economic aid,Criticize or denounce,11,70,0.15714285714285714,0.028675282714054926
Criticize or denounce,Consider policy option,96,2406,0.0399002493765586,0.04447115384615385
Consider policy option,Criticize or denounce,15,90,0.16666666666666666,0.04447115384615385
Criticize or denounce,Mobilize or increase police power,0,2406,0.0,0.0
Mobilize or increase police power,Criticize or denounce,0,25,0.0,0.0
Criticize or denounce,Demonstrate for leadership change,2,2406,0.0008312551953449709,0.0016440608302507192
Demonstrate for leadership change,Criticize or denounce,2,27,0.07407407407407407,0.0016440608302507192
Criticize or denounce,Sexually assault,52,2406,0.021612635078969242,0.03415409054805401
Sexually assault,Criticize or denounce,34,112,0.30357142857142855,0.03415409054805401
Criticize or denounce,Conduct strike or boycott,8,2406,0.0033250207813798837,0.004922067268252666
Conduct strike or boycott,Criticize or denounce,4,32,0.125,0.004922067268252666
Criticize or denounce,Demonstrate military or police power,87,2406,0.03615960099750624,0.04064039408866995
Demonstrate military or police power,Criticize or denounce,12,30,0.4,0.04064039408866995
Criticize or denounce,Provide military aid,40,2406,0.01662510390689942,0.01764234161988773
Provide military aid,Criticize or denounce,4,88,0.045454545454545456,0.01764234161988773
Criticize or denounce,"Reject plan, agreement to settle dispute",125,2406,0.051953449709060684,0.059731816334823246
"Reject plan, agreement to settle dispute",Criticize or denounce,22,55,0.4,0.059731816334823246
Criticize or denounce,"Impose embargo, boycott, or sanctions",22,2406,0.00914380714879468,0.015575079872204472
"Impose embargo, boycott, or sanctions",Criticize or denounce,17,98,0.17346938775510204,0.015575079872204472
Criticize or denounce,Yield,86,2406,0.03574397339983375,0.041616646658663464
Yield,Criticize or denounce,18,93,0.1935483870967742,0.041616646658663464
Criticize or denounce,"Obstruct passage, block",9,2406,0.003740648379052369,0.006899350649350649
"Obstruct passage, block",Criticize or denounce,8,58,0.13793103448275862,0.006899350649350649
Criticize or denounce,Mediate,4,2406,0.0016625103906899418,0.0028913672036348617
Mediate,Criticize or denounce,3,15,0.2,0.0028913672036348617
Criticize or denounce,Apologize,20,2406,0.00831255195344971,0.00943009430094301
Apologize,Criticize or denounce,3,33,0.09090909090909091,0.00943009430094301
Criticize or denounce,Express intent to release persons or property,80,2406,0.03325020781379884,0.041345764085934336
Express intent to release persons or property,Criticize or denounce,22,61,0.36065573770491804,0.041345764085934336
Criticize or denounce,Express intent to de-escalate military engagement,1,2406,0.00041562759767248546,0.0012310217480508822
Express intent to de-escalate military engagement,Criticize or denounce,2,31,0.06451612903225806,0.0012310217480508822
Criticize or denounce,Accede to demands for rights,48,2406,0.0199501246882793,0.02197346600331675
Accede to demands for rights,Criticize or denounce,5,6,0.8333333333333334,0.02197346600331675
Criticize or denounce,Demand economic aid,11,2406,0.00457190357439734,0.006208609271523178
Demand economic aid,Criticize or denounce,4,10,0.4,0.006208609271523178
Criticize or denounce,Impose state of emergency or martial law,0,2406,0.0,0.0
Impose state of emergency or martial law,Criticize or denounce,0,12,0.0,0.0
Criticize or denounce,Receive deployment of peacekeepers,14,2406,0.005818786367414797,0.010682004930156122
Receive deployment of peacekeepers,Criticize or denounce,12,28,0.42857142857142855,0.010682004930156122
Criticize or denounce,"Declare truce, ceasefire",8,2406,0.0033250207813798837,0.006175380815150268
"Declare truce, ceasefire",Criticize or denounce,7,23,0.30434782608695654,0.006175380815150268
Criticize or denounce,Reduce or stop humanitarian assistance,7,2406,0.0029093931837073984,0.0033195020746887966
Reduce or stop humanitarian assistance,Criticize or denounce,1,4,0.25,0.0033195020746887966
Criticize or denounce,Appeal to others to settle dispute,12,2406,0.004987531172069825,0.007030603804797354
Appeal to others to settle dispute,Criticize or denounce,5,12,0.4166666666666667,0.007030603804797354
Criticize or denounce,Reject request for military aid,1,2406,0.00041562759767248546,0.0008309098462816784
Reject request for military aid,Criticize or denounce,1,1,1.0,0.0008309098462816784
Criticize or denounce,"Threaten with political dissent, protest",3,2406,0.0012468827930174563,0.0016590626296142678
"Threaten with political dissent, protest",Criticize or denounce,1,5,0.2,0.0016590626296142678
Criticize or denounce,"Express intent to ease economic sanctions, boycott, or embargo",9,2406,0.003740648379052369,0.010313531353135313
"Express intent to ease economic sanctions, boycott, or embargo",Criticize or denounce,16,18,0.8888888888888888,0.010313531353135313
Criticize or denounce,Coerce,73,2406,0.030340814630091438,0.03638544582167133
Coerce,Criticize or denounce,18,95,0.18947368421052632,0.03638544582167133
Criticize or denounce,Express intent to cooperate on intelligence,16,2406,0.006650041562759767,0.009113504556752278
Express intent to cooperate on intelligence,Criticize or denounce,6,8,0.75,0.009113504556752278
Criticize or denounce,Express intent to settle dispute,96,2406,0.0399002493765586,0.046747967479674794
Express intent to settle dispute,Criticize or denounce,19,54,0.35185185185185186,0.046747967479674794
Criticize or denounce,Express accord,58,2406,0.024106400665004156,0.03420523138832998
Express accord,Criticize or denounce,27,79,0.34177215189873417,0.03420523138832998
Criticize or denounce,Rally support on behalf of,37,2406,0.015378221113881962,0.016786570743405275
Rally support on behalf of,Criticize or denounce,5,96,0.052083333333333336,0.016786570743405275
Criticize or denounce,Halt negotiations,35,2406,0.014546965918536992,0.016440608302507192
Halt negotiations,Criticize or denounce,5,27,0.18518518518518517,0.016440608302507192
Criticize or denounce,Appeal for military aid,17,2406,0.007065669160432253,0.011513157894736841
Appeal for military aid,Criticize or denounce,11,26,0.4230769230769231,0.011513157894736841
Criticize or denounce,Acknowledge or claim responsibility,14,2406,0.005818786367414797,0.01053484602917342
Acknowledge or claim responsibility,Criticize or denounce,12,62,0.1935483870967742,0.01053484602917342
Criticize or denounce,Appeal to others to meet or negotiate,38,2406,0.015793848711554447,0.01972062448644207
Appeal to others to meet or negotiate,Criticize or denounce,10,28,0.35714285714285715,0.01972062448644207
Criticize or denounce,Express intent to provide military protection or peacekeeping,0,2406,0.0,0.0
Express intent to provide military protection or peacekeeping,Criticize or denounce,0,6,0.0,0.0
Criticize or denounce,Assassinate,14,2406,0.005818786367414797,0.009387755102040816
Assassinate,Criticize or denounce,9,44,0.20454545454545456,0.009387755102040816
Criticize or denounce,Rally opposition against,73,2406,0.030340814630091438,0.039207760711398545
Rally opposition against,Criticize or denounce,24,68,0.35294117647058826,0.039207760711398545
Criticize or denounce,"Threaten with sanctions, boycott, embargo",0,2406,0.0,0.0
"Threaten with sanctions, boycott, embargo",Criticize or denounce,0,6,0.0,0.0
Criticize or denounce,Demand change in leadership,33,2406,0.01371571072319202,0.019838056680161944
Demand change in leadership,Criticize or denounce,16,64,0.25,0.019838056680161944
Criticize or denounce,Appeal for economic aid,15,2406,0.006234413965087282,0.007822149032523672
Appeal for economic aid,Criticize or denounce,4,23,0.17391304347826086,0.007822149032523672
Criticize or denounce,Refuse to de-escalate military engagement,0,2406,0.0,0.0
Refuse to de-escalate military engagement,Criticize or denounce,0,4,0.0,0.0
Criticize or denounce,Express intent to provide military aid,10,2406,0.004156275976724855,0.009207365892714172
Express intent to provide military aid,Criticize or denounce,13,92,0.14130434782608695,0.009207365892714172
Criticize or denounce,Refuse to release persons or property,9,2406,0.003740648379052369,0.00577319587628866
Refuse to release persons or property,Criticize or denounce,5,19,0.2631578947368421,0.00577319587628866
Criticize or denounce,Increase police alert status,18,2406,0.007481296758104738,0.00781571369806664
Increase police alert status,Criticize or denounce,1,25,0.04,0.00781571369806664
Criticize or denounce,Ease military blockade,0,2406,0.0,0.0
Ease military blockade,Criticize or denounce,0,3,0.0,0.0
Criticize or denounce,"Ease economic sanctions, boycott, embargo",8,2406,0.0033250207813798837,0.00865265760197775
"Ease economic sanctions, boycott, embargo",Criticize or denounce,13,21,0.6190476190476191,0.00865265760197775
Criticize or denounce,Appeal for material cooperation,25,2406,0.010390689941812137,0.011589403973509934
Appeal for material cooperation,Criticize or denounce,3,10,0.3,0.011589403973509934
Criticize or denounce,Appeal for economic cooperation,51,2406,0.02119700748129676,0.02271788517141677
Appeal for economic cooperation,Criticize or denounce,4,15,0.26666666666666666,0.02271788517141677
Criticize or denounce,Threaten with military force,55,2406,0.0228595178719867,0.02883460152182619
Threaten with military force,Criticize or denounce,17,91,0.18681318681318682,0.02883460152182619
Criticize or denounce,Demand settling of dispute,10,2406,0.004156275976724855,0.005391953546246371
Demand settling of dispute,Criticize or denounce,3,5,0.6,0.005391953546246371
Criticize or denounce,"Accuse of crime, corruption",48,2406,0.0199501246882793,0.024696356275303644
"Accuse of crime, corruption",Criticize or denounce,13,64,0.203125,0.024696356275303644
Criticize or denounce,Give ultimatum,54,2406,0.022443890274314215,0.02563059397884459
Give ultimatum,Criticize or denounce,9,52,0.17307692307692307,0.02563059397884459
Criticize or denounce,Defend verbally,6,2406,0.0024937655860349127,0.003702180172768408
Defend verbally,Criticize or denounce,3,25,0.12,0.003702180172768408
Criticize or denounce,Provide military protection or peacekeeping,21,2406,0.008728179551122194,0.009057225195553726
Provide military protection or peacekeeping,Criticize or denounce,1,23,0.043478260869565216,0.009057225195553726
Criticize or denounce,"Accuse of espionage, treason",0,2406,0.0,0.0
"Accuse of espionage, treason",Criticize or denounce,0,14,0.0,0.0
Criticize or denounce,Accede to requests or demands for political reform,0,2406,0.0,0.0
Accede to requests or demands for political reform,Criticize or denounce,0,2,0.0,0.0
Criticize or denounce,Employ aerial weapons,7,2406,0.0029093931837073984,0.004414125200642055
Employ aerial weapons,Criticize or denounce,4,86,0.046511627906976744,0.004414125200642055
Criticize or denounce,"Appeal for easing of economic sanctions, boycott, or embargo",18,2406,0.007481296758104738,0.007893643539675945
"Appeal for easing of economic sanctions, boycott, or embargo",Criticize or denounce,1,1,1.0,0.007893643539675945
Criticize or denounce,Accuse of human rights abuses,8,2406,0.0033250207813798837,0.004498977505112475
Accuse of human rights abuses,Criticize or denounce,3,39,0.07692307692307693,0.004498977505112475
Criticize or denounce,Appeal to yield,42,2406,0.017456359102244388,0.019063406547865726
Appeal to yield,Criticize or denounce,4,7,0.5714285714285714,0.019063406547865726
Criticize or denounce,"Return, release property",44,2406,0.01828761429758936,0.019867549668874173
"Return, release property",Criticize or denounce,4,10,0.4,0.019867549668874173
Criticize or denounce,fight with artillery and tanks,65,2406,0.027015793848711556,0.033223954060705496
fight with artillery and tanks,Criticize or denounce,16,32,0.5,0.033223954060705496
Criticize or denounce,Demand military aid,2,2406,0.0008312551953449709,0.0016611295681063123
Demand military aid,Criticize or denounce,2,2,1.0,0.0016611295681063123
Criticize or denounce,Threaten to reduce or stop aid,0,2406,0.0,0.0
Threaten to reduce or stop aid,Criticize or denounce,0,4,0.0,0.0
Criticize or denounce,Share intelligence or information,23,2406,0.009559434746467166,0.012684124386252046
Share intelligence or information,Criticize or denounce,8,38,0.21052631578947367,0.012684124386252046
Criticize or denounce,Demand release of persons or property,2,2406,0.0008312551953449709,0.001244296972210701
Demand release of persons or property,Criticize or denounce,1,5,0.2,0.001244296972210701
Criticize or denounce,Decline comment,41,2406,0.017040731504571905,0.02018121911037891
Decline comment,Criticize or denounce,8,22,0.36363636363636365,0.02018121911037891
Criticize or denounce,Forgive,0,2406,0.0,0.0
Forgive,Criticize or denounce,0,3,0.0,0.0
Criticize or denounce,Accede to demands for change in leadership,11,2406,0.00457190357439734,0.007392197125256674
Accede to demands for change in leadership,Criticize or denounce,7,29,0.2413793103448276,0.007392197125256674
Criticize or denounce,"Demand change in institutions, regime",0,2406,0.0,0.0
"Demand change in institutions, regime",Criticize or denounce,0,8,0.0,0.0
Criticize or denounce,Appeal for easing of administrative sanctions,3,2406,0.0012468827930174563,0.002066969822240595
Appeal for easing of administrative sanctions,Criticize or denounce,2,13,0.15384615384615385,0.002066969822240595
Criticize or denounce,Appeal for aid,21,2406,0.008728179551122194,0.012355848434925865
Appeal for aid,Criticize or denounce,9,22,0.4090909090909091,0.012355848434925865
Criticize or denounce,Appeal for rights,40,2406,0.01662510390689942,0.01780538302277433
Appeal for rights,Criticize or denounce,3,9,0.3333333333333333,0.01780538302277433
Criticize or denounce,Appeal to engage in or accept mediation,14,2406,0.005818786367414797,0.007790077900779008
Appeal to engage in or accept mediation,Criticize or denounce,5,33,0.15151515151515152,0.007790077900779008
Criticize or denounce,"Impose blockade, restrict movement",26,2406,0.010806317539484621,0.012376237623762377
"Impose blockade, restrict movement",Criticize or denounce,4,18,0.2222222222222222,0.012376237623762377
Criticize or denounce,Engage in violent protest for rights,2,2406,0.0008312551953449709,0.0012463647694225177
Engage in violent protest for rights,Criticize or denounce,1,1,1.0,0.0012463647694225177
Criticize or denounce,Express intent to mediate,1,2406,0.00041562759767248546,0.0008264462809917355
Express intent to mediate,Criticize or denounce,1,14,0.07142857142857142,0.0008264462809917355
Criticize or denounce,Appeal for release of persons or property,61,2406,0.02535328345802161,0.02832512315270936
Appeal for release of persons or property,Criticize or denounce,8,30,0.26666666666666666,0.02832512315270936
Criticize or denounce,Expel or withdraw peacekeepers,0,2406,0.0,0.0
Expel or withdraw peacekeepers,Criticize or denounce,0,4,0.0,0.0
Criticize or denounce,Appeal for military protection or peacekeeping,2,2406,0.0008312551953449709,0.0012463647694225177
Appeal for military protection or peacekeeping,Criticize or denounce,1,1,1.0,0.0012463647694225177
Criticize or denounce,Attempt to assassinate,0,2406,0.0,0.0
Attempt to assassinate,Criticize or denounce,0,11,0.0,0.0
Criticize or denounce,Accuse of war crimes,0,2406,0.0,0.0
Accuse of war crimes,Criticize or denounce,0,7,0.0,0.0
Criticize or denounce,Reject military cooperation,18,2406,0.007481296758104738,0.0078870900788709
Reject military cooperation,Criticize or denounce,1,3,0.3333333333333333,0.0078870900788709
Criticize or denounce,Threaten to halt negotiations,18,2406,0.007481296758104738,0.007893643539675945
Threaten to halt negotiations,Criticize or denounce,1,1,1.0,0.007893643539675945
Criticize or denounce,Demand material cooperation,23,2406,0.009559434746467166,0.010766045548654244
Demand material cooperation,Criticize or denounce,3,9,0.3333333333333333,0.010766045548654244
Criticize or denounce,Express intent to institute political reform,0,2406,0.0,0.0
Express intent to institute political reform,Criticize or denounce,0,1,0.0,0.0
Criticize or denounce,"Investigate crime, corruption",12,2406,0.004987531172069825,0.007395234182415777
"Investigate crime, corruption",Criticize or denounce,6,28,0.21428571428571427,0.007395234182415777
Criticize or denounce,Demand easing of administrative sanctions,1,2406,0.00041562759767248546,0.0008298755186721991
Demand easing of administrative sanctions,Criticize or denounce,1,4,0.25,0.0008298755186721991
Criticize or denounce,Ban political parties or politicians,3,2406,0.0012468827930174563,0.0016576875259013675
Ban political parties or politicians,Criticize or denounce,1,7,0.14285714285714285,0.0016576875259013675
Criticize or denounce,Express intent to engage in material cooperation,1,2406,0.00041562759767248546,0.0008278145695364238
Express intent to engage in material cooperation,Criticize or denounce,1,10,0.1,0.0008278145695364238
