relation i,relation j,#temporal inverse,#rel_i,P one direction,P two direction
Reject,Sign formal agreement,24,3682,0.006518196632265073,0.004082326926348018
Sign formal agreement,Reject,24,8076,0.0029717682020802376,0.004082326926348018
Reject,Make optimistic comment,11,3682,0.0029875067897881585,0.003059379780280907
Make optimistic comment,Reject,11,3509,0.003134796238244514,0.003059379780280907
Reject,Discuss by telephone,2,3682,0.0005431830526887561,0.0005925925925925926
Discuss by telephone,Reject,2,3068,0.000651890482398957,0.0005925925925925926
Reject,Provide military protection or peacekeeping,1,3682,0.00027159152634437803,0.0004964010920824026
Provide military protection or peacekeeping,Reject,1,347,0.002881844380403458,0.0004964010920824026
Reject,Occupy territory,4,3682,0.0010863661053775121,0.0018310826276035706
Occupy territory,Reject,4,687,0.005822416302765648,0.0018310826276035706
Reject,Grant diplomatic recognition,1,3682,0.00027159152634437803,0.00048828125
Grant diplomatic recognition,Reject,1,414,0.0024154589371980675,0.00048828125
Reject,Investigate,16,3682,0.0043454644215100485,0.003577417551704863
Investigate,Reject,16,5263,0.0030400912027360822,0.003577417551704863
Reject,Engage in symbolic act,2,3682,0.0005431830526887561,0.0007408779403593258
Engage in symbolic act,Reject,2,1717,0.0011648223645894002,0.0007408779403593258
Reject,Threaten non-force,0,3682,0.0,0.0
Threaten non-force,Reject,0,54,0.0,0.0
Reject,Demand material cooperation,0,3682,0.0,0.0
Demand material cooperation,Reject,0,57,0.0,0.0
Reject,Appeal for aid,3,3682,0.0008147745790331341,0.0015785319652722968
Appeal for aid,Reject,3,119,0.025210084033613446,0.0015785319652722968
Reject,Make pessimistic comment,15,3682,0.004073872895165671,0.00494641384995878
Make pessimistic comment,Reject,15,2383,0.00629458665547629,0.00494641384995878
Reject,Appeal for economic cooperation,0,3682,0.0,0.0
Appeal for economic cooperation,Reject,0,93,0.0,0.0
Reject,Bring lawsuit against,0,3682,0.0,0.0
Bring lawsuit against,Reject,0,665,0.0,0.0
Reject,Provide military aid,0,3682,0.0,0.0
Provide military aid,Reject,0,374,0.0,0.0
Reject,Provide economic aid,1,3682,0.00027159152634437803,0.00046522447080716444
Provide economic aid,Reject,1,617,0.0016207455429497568,0.00046522447080716444
Reject,"Conduct suicide, car, or other non-military bombing",0,3682,0.0,0.0
"Conduct suicide, car, or other non-military bombing",Reject,0,440,0.0,0.0
Reject,Confiscate property,1,3682,0.00027159152634437803,0.00041981528127623844
Confiscate property,Reject,1,1082,0.0009242144177449168,0.00041981528127623844
Reject,Grant asylum,1,3682,0.00027159152634437803,0.0005350454788657035
Grant asylum,Reject,1,56,0.017857142857142856,0.0005350454788657035
Reject,fight with small arms and light weapons,5,3682,0.0013579576317218902,0.0012581781580271766
fight with small arms and light weapons,Reject,5,4266,0.0011720581340834506,0.0012581781580271766
Reject,Appeal for intelligence,3,3682,0.0008147745790331341,0.0014800197335964479
Appeal for intelligence,Reject,3,372,0.008064516129032258,0.0014800197335964479
Reject,Deny responsibility,8,3682,0.0021727322107550242,0.0033783783783783786
Deny responsibility,Reject,8,1054,0.007590132827324478,0.0033783783783783786
Reject,"Return, release person(s)",2,3682,0.0005431830526887561,0.0007651109410864575
"Return, release person(s)",Reject,2,1546,0.00129366106080207,0.0007651109410864575
Reject,Threaten with military force,1,3682,0.00027159152634437803,0.0004854368932038835
Threaten with military force,Reject,1,438,0.00228310502283105,0.0004854368932038835
Reject,"Accuse of crime, corruption",0,3682,0.0,0.0
"Accuse of crime, corruption",Reject,0,239,0.0,0.0
Reject,Appeal for diplomatic cooperation (such as policy support),10,3682,0.0027159152634437804,0.0038131553860819827
Appeal for diplomatic cooperation (such as policy support),Reject,10,1563,0.006397952655150352,0.0038131553860819827
Reject,Coerce,1,3682,0.00027159152634437803,0.0004828585224529213
Coerce,Reject,1,460,0.002173913043478261,0.0004828585224529213
Reject,Employ aerial weapons,0,3682,0.0,0.0
Employ aerial weapons,Reject,0,257,0.0,0.0
Reject,Give ultimatum,14,3682,0.0038022813688212928,0.0069947539345490885
Give ultimatum,Reject,14,321,0.04361370716510903,0.0069947539345490885
Reject,Refuse to release persons or property,0,3682,0.0,0.0
Refuse to release persons or property,Reject,0,105,0.0,0.0
Reject,Provide humanitarian aid,3,3682,0.0008147745790331341,0.0012307692307692308
Provide humanitarian aid,Reject,3,1193,0.002514668901927913,0.0012307692307692308
Reject,Express accord,1,3682,0.00027159152634437803,0.0004988775255674732
Express accord,Reject,1,327,0.0030581039755351682,0.0004988775255674732
Reject,Demand de-escalation of military engagement,2,3682,0.0005431830526887561,0.0010582010582010583
Demand de-escalation of military engagement,Reject,2,98,0.02040816326530612,0.0010582010582010583
Reject,Share intelligence or information,1,3682,0.00027159152634437803,0.000501378791677112
Share intelligence or information,Reject,1,307,0.003257328990228013,0.000501378791677112
Reject,Demonstrate or rally,7,3682,0.0019011406844106464,0.0025974025974025974
Demonstrate or rally,Reject,7,1708,0.004098360655737705,0.0025974025974025974
Reject,Apologize,0,3682,0.0,0.0
Apologize,Reject,0,152,0.0,0.0
Reject,Receive inspectors,0,3682,0.0,0.0
Receive inspectors,Reject,0,16,0.0,0.0
Reject,Meet at a 'third' location,3,3682,0.0008147745790331341,0.0011558466576767482
Meet at a 'third' location,Reject,3,1509,0.0019880715705765406,0.0011558466576767482
Reject,Cooperate economically,1,3682,0.00027159152634437803,0.00044752741105392703
Cooperate economically,Reject,1,787,0.0012706480304955528,0.00044752741105392703
Reject,Reduce or break diplomatic relations,5,3682,0.0013579576317218902,0.0023546032493524842
Reduce or break diplomatic relations,Reject,5,565,0.008849557522123894,0.0023546032493524842
Reject,"Impose blockade, restrict movement",0,3682,0.0,0.0
"Impose blockade, restrict movement",Reject,0,144,0.0,0.0
Reject,Appeal to engage in or accept mediation,0,3682,0.0,0.0
Appeal to engage in or accept mediation,Reject,0,133,0.0,0.0
Reject,Impose administrative sanctions,1,3682,0.00027159152634437803,0.00046490004649000463
Impose administrative sanctions,Reject,1,620,0.0016129032258064516,0.00046490004649000463
Reject,Yield,6,3682,0.0016295491580662683,0.002882536632236368
Yield,Reject,6,481,0.012474012474012475,0.002882536632236368
Reject,Physically assault,0,3682,0.0,0.0
Physically assault,Reject,0,828,0.0,0.0
Reject,Consider policy option,9,3682,0.0024443237370994023,0.004220398593200469
Consider policy option,Reject,9,583,0.015437392795883362,0.004220398593200469
Reject,Appeal to yield,1,3682,0.00027159152634437803,0.0005351886540005352
Appeal to yield,Reject,1,55,0.01818181818181818,0.0005351886540005352
Reject,Express intent to settle dispute,5,3682,0.0013579576317218902,0.002462447672986949
Express intent to settle dispute,Reject,5,379,0.013192612137203167,0.002462447672986949
Reject,Appeal for change in leadership,4,3682,0.0010863661053775121,0.002017145738779627
Appeal for change in leadership,Reject,4,284,0.014084507042253521,0.002017145738779627
Reject,Threaten to reduce or stop aid,0,3682,0.0,0.0
Threaten to reduce or stop aid,Reject,0,17,0.0,0.0
Reject,Threaten to halt negotiations,0,3682,0.0,0.0
Threaten to halt negotiations,Reject,0,7,0.0,0.0
Reject,Accede to demands for rights,0,3682,0.0,0.0
Accede to demands for rights,Reject,0,47,0.0,0.0
Reject,Appeal for release of persons or property,1,3682,0.00027159152634437803,0.0005216484089723526
Appeal for release of persons or property,Reject,1,152,0.006578947368421052,0.0005216484089723526
Reject,"Abduct, hijack, or take hostage",2,3682,0.0005431830526887561,0.000812842918106076
"Abduct, hijack, or take hostage",Reject,2,1239,0.0016142050040355124,0.000812842918106076
Reject,Impose restrictions on political freedoms,0,3682,0.0,0.0
Impose restrictions on political freedoms,Reject,0,231,0.0,0.0
Reject,Acknowledge or claim responsibility,1,3682,0.00027159152634437803,0.0005115089514066496
Acknowledge or claim responsibility,Reject,1,228,0.0043859649122807015,0.0005115089514066496
Reject,Use tactics of violent repression,0,3682,0.0,0.0
Use tactics of violent repression,Reject,0,653,0.0,0.0
Reject,Sexually assault,1,3682,0.00027159152634437803,0.0004938271604938272
Sexually assault,Reject,1,368,0.002717391304347826,0.0004938271604938272
Reject,Express intent to provide military protection or peacekeeping,1,3682,0.00027159152634437803,0.0005321979776476849
Express intent to provide military protection or peacekeeping,Reject,1,76,0.013157894736842105,0.0005321979776476849
Reject,Express intent to provide military aid,1,3682,0.00027159152634437803,0.0005074854097944684
Express intent to provide military aid,Reject,1,259,0.003861003861003861,0.0005074854097944684
Reject,"Impose embargo, boycott, or sanctions",20,3682,0.005431830526887561,0.009176416609314062
"Impose embargo, boycott, or sanctions",Reject,20,677,0.029542097488921712,0.009176416609314062
Reject,Reduce relations,7,3682,0.0019011406844106464,0.0030668127053669223
Reduce relations,Reject,7,883,0.007927519818799546,0.0030668127053669223
Reject,"Protest violently, riot",2,3682,0.0005431830526887561,0.0008678672163159037
"Protest violently, riot",Reject,2,927,0.002157497303128371,0.0008678672163159037
Reject,Complain officially,4,3682,0.0010863661053775121,0.0020035061357375405
Complain officially,Reject,4,311,0.012861736334405145,0.0020035061357375405
Reject,Express intent to provide economic aid,0,3682,0.0,0.0
Express intent to provide economic aid,Reject,0,462,0.0,0.0
Reject,"Demand meeting, negotiation",2,3682,0.0005431830526887561,0.0010638297872340426
"Demand meeting, negotiation",Reject,2,78,0.02564102564102564,0.0010638297872340426
Reject,"Reject proposal to meet, discuss, or negotiate",2,3682,0.0005431830526887561,0.0009629272989889263
"Reject proposal to meet, discuss, or negotiate",Reject,2,472,0.00423728813559322,0.0009629272989889263
Reject,Torture,0,3682,0.0,0.0
Torture,Reject,0,126,0.0,0.0
Reject,Expel or deport individuals,2,3682,0.0005431830526887561,0.0008992805755395684
Expel or deport individuals,Reject,2,766,0.0026109660574412533,0.0008992805755395684
Reject,Demand diplomatic cooperation (such as policy support),7,3682,0.0019011406844106464,0.0034904013961605585
Demand diplomatic cooperation (such as policy support),Reject,7,329,0.02127659574468085,0.0034904013961605585
Reject,"Reject plan, agreement to settle dispute",11,3682,0.0029875067897881585,0.00548218290555694
"Reject plan, agreement to settle dispute",Reject,11,331,0.03323262839879154,0.00548218290555694
Reject,"Declare truce, ceasefire",0,3682,0.0,0.0
"Declare truce, ceasefire",Reject,0,150,0.0,0.0
Reject,Express intent to mediate,0,3682,0.0,0.0
Express intent to mediate,Reject,0,52,0.0,0.0
Reject,Engage in material cooperation,0,3682,0.0,0.0
Engage in material cooperation,Reject,0,444,0.0,0.0
Reject,Appeal for material cooperation,2,3682,0.0005431830526887561,0.0010678056593699946
Appeal for material cooperation,Reject,2,64,0.03125,0.0010678056593699946
Reject,Mobilize or increase armed forces,0,3682,0.0,0.0
Mobilize or increase armed forces,Reject,0,638,0.0,0.0
Reject,Appeal to others to meet or negotiate,1,3682,0.00027159152634437803,0.0005223295899712719
Appeal to others to meet or negotiate,Reject,1,147,0.006802721088435374,0.0005223295899712719
Reject,Demand change in leadership,5,3682,0.0013579576317218902,0.002577319587628866
Demand change in leadership,Reject,5,198,0.025252525252525252,0.002577319587628866
Reject,Express intent to release persons or property,2,3682,0.0005431830526887561,0.0010078105316200555
Express intent to release persons or property,Reject,2,287,0.006968641114982578,0.0010078105316200555
Reject,"Defy norms, law",1,3682,0.00027159152634437803,0.0004967709885742673
"Defy norms, law",Reject,1,344,0.0029069767441860465,0.0004967709885742673
Reject,Demonstrate military or police power,1,3682,0.00027159152634437803,0.000520697734964853
Demonstrate military or police power,Reject,1,159,0.006289308176100629,0.000520697734964853
Reject,Rally opposition against,1,3682,0.00027159152634437803,0.0004987531172069825
Rally opposition against,Reject,1,328,0.003048780487804878,0.0004987531172069825
Reject,Increase military alert status,0,3682,0.0,0.0
Increase military alert status,Reject,0,127,0.0,0.0
Reject,Reject judicial cooperation,1,3682,0.00027159152634437803,0.0005398110661268556
Reject judicial cooperation,Reject,1,23,0.043478260869565216,0.0005398110661268556
Reject,Express intent to provide humanitarian aid,2,3682,0.0005431830526887561,0.0010116337885685382
Express intent to provide humanitarian aid,Reject,2,272,0.007352941176470588,0.0010116337885685382
Reject,Halt negotiations,1,3682,0.00027159152634437803,0.0005151983513652757
Halt negotiations,Reject,1,200,0.005,0.0005151983513652757
Reject,Express intent to engage in material cooperation,0,3682,0.0,0.0
Express intent to engage in material cooperation,Reject,0,63,0.0,0.0
Reject,"Investigate crime, corruption",0,3682,0.0,0.0
"Investigate crime, corruption",Reject,0,265,0.0,0.0
Reject,Appeal to others to settle dispute,1,3682,0.00027159152634437803,0.0005306447333510214
Appeal to others to settle dispute,Reject,1,87,0.011494252873563218,0.0005306447333510214
Reject,Demand judicial cooperation,0,3682,0.0,0.0
Demand judicial cooperation,Reject,0,26,0.0,0.0
Reject,Demand settling of dispute,0,3682,0.0,0.0
Demand settling of dispute,Reject,0,15,0.0,0.0
Reject,Cooperate militarily,0,3682,0.0,0.0
Cooperate militarily,Reject,0,375,0.0,0.0
Reject,Express intent to cooperate militarily,0,3682,0.0,0.0
Express intent to cooperate militarily,Reject,0,115,0.0,0.0
Reject,Attempt to assassinate,0,3682,0.0,0.0
Attempt to assassinate,Reject,0,18,0.0,0.0
Reject,"Reject request for change in institutions, regime",0,3682,0.0,0.0
"Reject request for change in institutions, regime",Reject,0,1,0.0,0.0
Reject,Mediate,0,3682,0.0,0.0
Mediate,Reject,0,142,0.0,0.0
Reject,Express intent to de-escalate military engagement,0,3682,0.0,0.0
Express intent to de-escalate military engagement,Reject,0,248,0.0,0.0
Reject,Express intent to ease administrative sanctions,1,3682,0.00027159152634437803,0.000536480686695279
Express intent to ease administrative sanctions,Reject,1,46,0.021739130434782608,0.000536480686695279
Reject,Express intent to provide material aid,3,3682,0.0008147745790331341,0.001466992665036675
Express intent to provide material aid,Reject,3,408,0.007352941176470588,0.001466992665036675
Reject,Refuse to yield,0,3682,0.0,0.0
Refuse to yield,Reject,0,145,0.0,0.0
Reject,Accuse of aggression,0,3682,0.0,0.0
Accuse of aggression,Reject,0,34,0.0,0.0
Reject,Express intent to yield,0,3682,0.0,0.0
Express intent to yield,Reject,0,72,0.0,0.0
Reject,Ease administrative sanctions,3,3682,0.0008147745790331341,0.0013979496738117428
Ease administrative sanctions,Reject,3,610,0.004918032786885246,0.0013979496738117428
Reject,Express intent to accept mediation,0,3682,0.0,0.0
Express intent to accept mediation,Reject,0,72,0.0,0.0
Reject,Threaten to reduce or break relations,1,3682,0.00027159152634437803,0.0005360493165371214
Threaten to reduce or break relations,Reject,1,49,0.02040816326530612,0.0005360493165371214
Reject,Impose state of emergency or martial law,0,3682,0.0,0.0
Impose state of emergency or martial law,Reject,0,55,0.0,0.0
Reject,"Threaten with sanctions, boycott, embargo",3,3682,0.0008147745790331341,0.0016
"Threaten with sanctions, boycott, embargo",Reject,3,68,0.04411764705882353,0.0016
Reject,Kill by physical assault,1,3682,0.00027159152634437803,0.0005074854097944684
Kill by physical assault,Reject,1,259,0.003861003861003861,0.0005074854097944684
Reject,Appeal for policy change,1,3682,0.00027159152634437803,0.0005346164127238706
Appeal for policy change,Reject,1,59,0.01694915254237288,0.0005346164127238706
Reject,Refuse to ease administrative sanctions,0,3682,0.0,0.0
Refuse to ease administrative sanctions,Reject,0,36,0.0,0.0
Reject,"Accuse of espionage, treason",0,3682,0.0,0.0
"Accuse of espionage, treason",Reject,0,49,0.0,0.0
Reject,Demobilize armed forces,0,3682,0.0,0.0
Demobilize armed forces,Reject,0,14,0.0,0.0
Reject,Demand intelligence cooperation,0,3682,0.0,0.0
Demand intelligence cooperation,Reject,0,56,0.0,0.0
Reject,Carry out suicide bombing,0,3682,0.0,0.0
Carry out suicide bombing,Reject,0,129,0.0,0.0
Reject,Appeal for rights,0,3682,0.0,0.0
Appeal for rights,Reject,0,34,0.0,0.0
Reject,Defend verbally,0,3682,0.0,0.0
Defend verbally,Reject,0,137,0.0,0.0
Reject,"Demand change in institutions, regime",0,3682,0.0,0.0
"Demand change in institutions, regime",Reject,0,30,0.0,0.0
Reject,Destroy property,0,3682,0.0,0.0
Destroy property,Reject,0,26,0.0,0.0
Reject,Appeal for de-escalation of military engagement,0,3682,0.0,0.0
Appeal for de-escalation of military engagement,Reject,0,179,0.0,0.0
Reject,Reduce or stop economic assistance,0,3682,0.0,0.0
Reduce or stop economic assistance,Reject,0,94,0.0,0.0
Reject,Reduce or stop humanitarian assistance,0,3682,0.0,0.0
Reduce or stop humanitarian assistance,Reject,0,21,0.0,0.0
Reject,Reduce or stop material aid,0,3682,0.0,0.0
Reduce or stop material aid,Reject,0,34,0.0,0.0
Reject,Demand that target yields,2,3682,0.0005431830526887561,0.0010726736390453205
Demand that target yields,Reject,2,47,0.0425531914893617,0.0010726736390453205
Reject,Reject request for economic aid,0,3682,0.0,0.0
Reject request for economic aid,Reject,0,3,0.0,0.0
Reject,fight with artillery and tanks,1,3682,0.00027159152634437803,0.0005245213742460005
fight with artillery and tanks,Reject,1,131,0.007633587786259542,0.0005245213742460005
Reject,Appeal for military aid,0,3682,0.0,0.0
Appeal for military aid,Reject,0,67,0.0,0.0
Reject,Appeal for military protection or peacekeeping,0,3682,0.0,0.0
Appeal for military protection or peacekeeping,Reject,0,19,0.0,0.0
Reject,"Appeal for easing of economic sanctions, boycott, or embargo",0,3682,0.0,0.0
"Appeal for easing of economic sanctions, boycott, or embargo",Reject,0,8,0.0,0.0
Reject,Conduct strike or boycott,0,3682,0.0,0.0
Conduct strike or boycott,Reject,0,62,0.0,0.0
Reject,"Return, release property",0,3682,0.0,0.0
"Return, release property",Reject,0,40,0.0,0.0
Reject,Appeal for economic aid,0,3682,0.0,0.0
Appeal for economic aid,Reject,0,74,0.0,0.0
Reject,Appeal for target to allow international involvement (non-mediation),1,3682,0.00027159152634437803,0.0005424464334147003
Appeal for target to allow international involvement (non-mediation),Reject,1,5,0.2,0.0005424464334147003
Reject,Accede to demands for change in leadership,0,3682,0.0,0.0
Accede to demands for change in leadership,Reject,0,93,0.0,0.0
Reject,Decline comment,0,3682,0.0,0.0
Decline comment,Reject,0,114,0.0,0.0
Reject,Express intent to change leadership,0,3682,0.0,0.0
Express intent to change leadership,Reject,0,23,0.0,0.0
Reject,Increase police alert status,0,3682,0.0,0.0
Increase police alert status,Reject,0,84,0.0,0.0
Reject,Accede to demands for change in policy,0,3682,0.0,0.0
Accede to demands for change in policy,Reject,0,33,0.0,0.0
Reject,Appeal for military cooperation,0,3682,0.0,0.0
Appeal for military cooperation,Reject,0,2,0.0,0.0
Reject,Veto,0,3682,0.0,0.0
Veto,Reject,0,114,0.0,0.0
Reject,Express intent to allow international involvement (non-mediation),0,3682,0.0,0.0
Express intent to allow international involvement (non-mediation),Reject,0,2,0.0,0.0
Reject,Mobilize or increase police power,0,3682,0.0,0.0
Mobilize or increase police power,Reject,0,178,0.0,0.0
Reject,Express intent to cooperate on judicial matters,0,3682,0.0,0.0
Express intent to cooperate on judicial matters,Reject,0,51,0.0,0.0
Reject,Accuse of human rights abuses,0,3682,0.0,0.0
Accuse of human rights abuses,Reject,0,208,0.0,0.0
Reject,Appeal for judicial cooperation,0,3682,0.0,0.0
Appeal for judicial cooperation,Reject,0,99,0.0,0.0
Reject,Appeal for easing of administrative sanctions,1,3682,0.00027159152634437803,0.0005337603416066186
Appeal for easing of administrative sanctions,Reject,1,65,0.015384615384615385,0.0005337603416066186
Reject,Express intent to cooperate on intelligence,0,3682,0.0,0.0
Express intent to cooperate on intelligence,Reject,0,22,0.0,0.0
Reject,Rally support on behalf of,0,3682,0.0,0.0
Rally support on behalf of,Reject,0,506,0.0,0.0
Reject,"Ease economic sanctions, boycott, embargo",0,3682,0.0,0.0
"Ease economic sanctions, boycott, embargo",Reject,0,49,0.0,0.0
Reject,Engage in judicial cooperation,0,3682,0.0,0.0
Engage in judicial cooperation,Reject,0,84,0.0,0.0
Reject,Reject economic cooperation,1,3682,0.00027159152634437803,0.0005387931034482759
Reject economic cooperation,Reject,1,30,0.03333333333333333,0.0005387931034482759
Reject,Appeal for humanitarian aid,1,3682,0.00027159152634437803,0.0005373455131649651
Appeal for humanitarian aid,Reject,1,40,0.025,0.0005373455131649651
Reject,Engage in mass killings,0,3682,0.0,0.0
Engage in mass killings,Reject,0,32,0.0,0.0
Reject,Assassinate,0,3682,0.0,0.0
Assassinate,Reject,0,136,0.0,0.0
Reject,Accuse of war crimes,0,3682,0.0,0.0
Accuse of war crimes,Reject,0,40,0.0,0.0
Reject,"Threaten with political dissent, protest",0,3682,0.0,0.0
"Threaten with political dissent, protest",Reject,0,17,0.0,0.0
Reject,Forgive,0,3682,0.0,0.0
Forgive,Reject,0,56,0.0,0.0
Reject,Expel or withdraw,0,3682,0.0,0.0
Expel or withdraw,Reject,0,34,0.0,0.0
Reject,Threaten with administrative sanctions,0,3682,0.0,0.0
Threaten with administrative sanctions,Reject,0,24,0.0,0.0
Reject,Reject request for humanitarian aid,1,3682,0.00027159152634437803,0.0005430355688297583
Reject request for humanitarian aid,Reject,1,1,1.0,0.0005430355688297583
Reject,"Obstruct passage, block",0,3682,0.0,0.0
"Obstruct passage, block",Reject,0,148,0.0,0.0
Reject,Refuse to de-escalate military engagement,0,3682,0.0,0.0
Refuse to de-escalate military engagement,Reject,0,47,0.0,0.0
Reject,Seize or damage property,0,3682,0.0,0.0
Seize or damage property,Reject,0,58,0.0,0.0
Reject,Demonstrate for leadership change,1,3682,0.00027159152634437803,0.0005326231691078562
Demonstrate for leadership change,Reject,1,73,0.0136986301369863,0.0005326231691078562
Reject,Express intent to change policy,0,3682,0.0,0.0
Express intent to change policy,Reject,0,17,0.0,0.0
Reject,"Appeal for change in institutions, regime",0,3682,0.0,0.0
"Appeal for change in institutions, regime",Reject,0,52,0.0,0.0
Reject,Demand policy change,0,3682,0.0,0.0
Demand policy change,Reject,0,12,0.0,0.0
Reject,Reject mediation,0,3682,0.0,0.0
Reject mediation,Reject,0,8,0.0,0.0
Reject,"Refuse to ease economic sanctions, boycott, or embargo",0,3682,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo",Reject,0,15,0.0,0.0
Reject,Engage in violent protest for leadership change,0,3682,0.0,0.0
Engage in violent protest for leadership change,Reject,0,9,0.0,0.0
Reject,Reject request for change in leadership,0,3682,0.0,0.0
Reject request for change in leadership,Reject,0,6,0.0,0.0
Reject,Appeal for easing of political dissent,0,3682,0.0,0.0
Appeal for easing of political dissent,Reject,0,11,0.0,0.0
Reject,Ease state of emergency or martial law,0,3682,0.0,0.0
Ease state of emergency or martial law,Reject,0,14,0.0,0.0
Reject,Demand economic aid,0,3682,0.0,0.0
Demand economic aid,Reject,0,36,0.0,0.0
Reject,Threaten with repression,0,3682,0.0,0.0
Threaten with repression,Reject,0,18,0.0,0.0
Reject,Reject material cooperation,0,3682,0.0,0.0
Reject material cooperation,Reject,0,9,0.0,0.0
Reject,Demand material aid,0,3682,0.0,0.0
Demand material aid,Reject,0,6,0.0,0.0
Reject,Violate ceasefire,0,3682,0.0,0.0
Violate ceasefire,Reject,0,17,0.0,0.0
Reject,Demand military aid,0,3682,0.0,0.0
Demand military aid,Reject,0,9,0.0,0.0
Reject,Ease political dissent,0,3682,0.0,0.0
Ease political dissent,Reject,0,6,0.0,0.0
Reject,Impose curfew,0,3682,0.0,0.0
Impose curfew,Reject,0,14,0.0,0.0
Reject,Use as human shield,0,3682,0.0,0.0
Use as human shield,Reject,0,14,0.0,0.0
Reject,Appeal for political reform,0,3682,0.0,0.0
Appeal for political reform,Reject,0,19,0.0,0.0
Reject,Investigate human rights abuses,0,3682,0.0,0.0
Investigate human rights abuses,Reject,0,13,0.0,0.0
Reject,Demand release of persons or property,0,3682,0.0,0.0
Demand release of persons or property,Reject,0,7,0.0,0.0
Reject,"Express intent to ease economic sanctions, boycott, or embargo",0,3682,0.0,0.0
"Express intent to ease economic sanctions, boycott, or embargo",Reject,0,16,0.0,0.0
Reject,"Use chemical, biological, or radiological weapons",0,3682,0.0,0.0
"Use chemical, biological, or radiological weapons",Reject,0,6,0.0,0.0
Reject,Demand economic cooperation,0,3682,0.0,0.0
Demand economic cooperation,Reject,0,2,0.0,0.0
Accuse,Host a visit,27,9375,0.00288,0.0018709073900841909
Host a visit,Accuse,27,19488,0.0013854679802955665,0.0018709073900841909
Accuse,Use conventional military force,96,9375,0.01024,0.011302095596891923
Use conventional military force,Accuse,96,7613,0.012610009194798372,0.011302095596891923
Accuse,Retreat or surrender militarily,3,9375,0.00032,0.0006188118811881188
Retreat or surrender militarily,Accuse,3,321,0.009345794392523364,0.0006188118811881188
Accuse,Make a visit,16,9375,0.0017066666666666667,0.0011069217198796224
