relation i,relation j,#temporal implication,#rel_i,P one direction,P two direction
Make statement,Ease administrative sanctions,8,60754,0.00013167857260427298,0.0002607391956195815
Ease administrative sanctions,Make statement,8,610,0.013114754098360656,0.0002607391956195815
Make statement,Express intent to allow international involvement (non-mediation),0,60754,0.0,0.0
Express intent to allow international involvement (non-mediation),Make statement,0,2,0.0,0.0
Make statement,"Obstruct passage, block",5,60754,8.22991078776706e-05,0.0001641982200912942
"Obstruct passage, block",Make statement,5,148,0.033783783783783786,0.0001641982200912942
Make statement,"Abduct, hijack, or take hostage",1,60754,1.6459821575534122e-05,3.226170696691562e-05
"Abduct, hijack, or take hostage",Make statement,1,1239,0.0008071025020177562,3.226170696691562e-05
Make statement,Criticize or denounce,425,60754,0.006995424169602002,0.011843058574374407
Criticize or denounce,Make statement,425,11018,0.03857324378290071,0.011843058574374407
Make statement,Confiscate property,23,60754,0.00037857589623728477,0.0007439032278931367
Confiscate property,Make statement,23,1082,0.021256931608133085,0.0007439032278931367
Make statement,Use conventional military force,75,60754,0.001234486618165059,0.002194040984685594
Use conventional military force,Make statement,75,7613,0.009851569683436227,0.002194040984685594
Make statement,"Arrest, detain, or charge with legal action",102,60754,0.0016789018007044804,0.0026025387510365504
"Arrest, detain, or charge with legal action",Make statement,102,17631,0.005785264590777607,0.0026025387510365504
Make statement,Make an appeal or request,638,60754,0.010501366165190769,0.015548271534234223
Make an appeal or request,Make statement,638,21313,0.02993478158870173,0.015548271534234223
Make statement,Provide military aid,4,60754,6.583928630213649e-05,0.00013087292239235702
Provide military aid,Make statement,4,374,0.0106951871657754,0.00013087292239235702
Make statement,Cooperate economically,18,60754,0.0002962767883596142,0.000584975869745373
Cooperate economically,Make statement,18,787,0.022871664548919948,0.000584975869745373
Make statement,Use tactics of violent repression,9,60754,0.0001481383941798071,0.0002931261908251502
Use tactics of violent repression,Make statement,9,653,0.013782542113323124,0.0002931261908251502
Make statement,Demand,378,60754,0.006221812555551898,0.011372867587327376
Demand,Make statement,378,5720,0.06608391608391609,0.011372867587327376
Make statement,"Threaten with sanctions, boycott, embargo",2,60754,3.2919643151068245e-05,6.576567689322942e-05
"Threaten with sanctions, boycott, embargo",Make statement,2,68,0.029411764705882353,6.576567689322942e-05
Make statement,Make empathetic comment,26,60754,0.00042795536096388714,0.0008406621831350233
Make empathetic comment,Make statement,26,1102,0.023593466424682397,0.0008406621831350233
Make statement,Discuss by telephone,82,60754,0.001349705369193798,0.0025696468302466233
Discuss by telephone,Make statement,82,3068,0.026727509778357236,0.0025696468302466233
Make statement,Host a visit,178,60754,0.0029298482404450737,0.004436579347473891
Host a visit,Make statement,178,19488,0.009133825944170771,0.004436579347473891
Make statement,Sexually assault,0,60754,0.0,0.0
Sexually assault,Make statement,0,368,0.0,0.0
Make statement,Employ aerial weapons,3,60754,4.9379464726602364e-05,9.834292176820574e-05
Employ aerial weapons,Make statement,3,257,0.011673151750972763,9.834292176820574e-05
Make statement,Use unconventional violence,8,60754,0.00013167857260427298,0.00023504869915235563
Use unconventional violence,Make statement,8,7317,0.001093344266776001,0.00023504869915235563
Make statement,Deny responsibility,37,60754,0.0006090133982947625,0.001197256018638364
Deny responsibility,Make statement,37,1054,0.03510436432637571,0.001197256018638364
Make statement,"Reject proposal to meet, discuss, or negotiate",22,60754,0.0003621160746617507,0.0007186489399928135
"Reject proposal to meet, discuss, or negotiate",Make statement,22,472,0.046610169491525424,0.0007186489399928135
Make statement,fight with small arms and light weapons,31,60754,0.0005102544688415577,0.0009535527529990772
fight with small arms and light weapons,Make statement,31,4266,0.007266760431317393,0.0009535527529990772
Make statement,Accede to demands for change in policy,2,60754,3.2919643151068245e-05,6.58035435208186e-05
Accede to demands for change in policy,Make statement,2,33,0.06060606060606061,6.58035435208186e-05
Make statement,Physically assault,0,60754,0.0,0.0
Physically assault,Make statement,0,828,0.0,0.0
Make statement,"Defy norms, law",8,60754,0.00013167857260427298,0.00026187436577302037
"Defy norms, law",Make statement,8,344,0.023255813953488372,0.00026187436577302037
Make statement,Impose restrictions on political freedoms,3,60754,4.9379464726602364e-05,9.838484873329507e-05
Impose restrictions on political freedoms,Make statement,3,231,0.012987012987012988,9.838484873329507e-05
Make statement,Appeal for diplomatic cooperation (such as policy support),60,60754,0.0009875892945320473,0.0019256382688511962
Appeal for diplomatic cooperation (such as policy support),Make statement,60,1563,0.03838771593090211,0.0019256382688511962
Make statement,Express accord,19,60754,0.0003127366099351483,0.0006221247196345836
Express accord,Make statement,19,327,0.0581039755351682,0.0006221247196345836
Make statement,Express intent to settle dispute,28,60754,0.0004608750041149554,0.0009160355290923069
Express intent to settle dispute,Make statement,28,379,0.07387862796833773,0.0009160355290923069
Make statement,Impose administrative sanctions,16,60754,0.00026335714520854596,0.0005213934239254407
Impose administrative sanctions,Make statement,16,620,0.025806451612903226,0.0005213934239254407
Make statement,Make pessimistic comment,88,60754,0.0014484642986470027,0.0027875888939924293
Make pessimistic comment,Make statement,88,2383,0.03692824171212757,0.0027875888939924293
Make statement,Provide humanitarian aid,11,60754,0.00018105803733087534,0.0003551422990621015
Provide humanitarian aid,Make statement,11,1193,0.009220452640402346,0.0003551422990621015
Make statement,Appeal for intelligence,8,60754,0.00013167857260427298,0.00026175440892582533
Appeal for intelligence,Make statement,8,372,0.021505376344086023,0.00026175440892582533
Make statement,Reduce relations,29,60754,0.0004773348256904895,0.0009409932345831238
Reduce relations,Make statement,29,883,0.03284258210645526,0.0009409932345831238
Make statement,Threaten non-force,1,60754,1.6459821575534122e-05,3.289040915668991e-05
Threaten non-force,Make statement,1,54,0.018518518518518517,3.289040915668991e-05
Make statement,Rally support on behalf of,15,60754,0.0002468973236330118,0.0004897159647404506
Rally support on behalf of,Make statement,15,506,0.029644268774703556,0.0004897159647404506
Make statement,Mobilize or increase armed forces,13,60754,0.00021397768048194357,0.0004235079489184259
Mobilize or increase armed forces,Make statement,13,638,0.02037617554858934,0.0004235079489184259
Make statement,Demand diplomatic cooperation (such as policy support),57,60754,0.0009382098298054449,0.0018663130494572958
Demand diplomatic cooperation (such as policy support),Make statement,57,329,0.17325227963525835,0.0018663130494572958
Make statement,"Return, release person(s)",11,60754,0.00018105803733087534,0.00035313001605136434
"Return, release person(s)",Make statement,11,1546,0.0071151358344113845,0.00035313001605136434
Make statement,Kill by physical assault,1,60754,1.6459821575534122e-05,3.2779899365708947e-05
Kill by physical assault,Make statement,1,259,0.003861003861003861,3.2779899365708947e-05
Make statement,Expel or deport individuals,6,60754,9.875892945320473e-05,0.0001950585175552666
Expel or deport individuals,Make statement,6,766,0.007832898172323759,0.0001950585175552666
Make statement,Express intent to cooperate economically,16,60754,0.00026335714520854596,0.0005215973920130399
Express intent to cooperate economically,Make statement,16,596,0.026845637583892617,0.0005215973920130399
Make statement,Express intent to de-escalate military engagement,23,60754,0.00037857589623728477,0.0007540736369299367
Express intent to de-escalate military engagement,Make statement,23,248,0.09274193548387097,0.0007540736369299367
Make statement,"Conduct suicide, car, or other non-military bombing",2,60754,3.2919643151068245e-05,6.536588554433442e-05
"Conduct suicide, car, or other non-military bombing",Make statement,2,440,0.004545454545454545,6.536588554433442e-05
Make statement,Express intent to provide humanitarian aid,7,60754,0.00011521875102873885,0.00022941041523285156
Express intent to provide humanitarian aid,Make statement,7,272,0.025735294117647058,0.00022941041523285156
Make statement,Appeal to engage in or accept mediation,3,60754,4.9379464726602364e-05,9.854320298257428e-05
Appeal to engage in or accept mediation,Make statement,3,133,0.022556390977443608,9.854320298257428e-05
Make statement,"Ease economic sanctions, boycott, embargo",2,60754,3.2919643151068245e-05,6.578622765324079e-05
"Ease economic sanctions, boycott, embargo",Make statement,2,49,0.04081632653061224,6.578622765324079e-05
Make statement,Appeal for political reform,0,60754,0.0,0.0
Appeal for political reform,Make statement,0,19,0.0,0.0
Make statement,Meet at a 'third' location,42,60754,0.0006913125061724331,0.0013491158472929347
Meet at a 'third' location,Make statement,42,1509,0.027833001988071572,0.0013491158472929347
Make statement,"Accuse of crime, corruption",6,60754,9.875892945320473e-05,0.00019674388864295903
"Accuse of crime, corruption",Make statement,6,239,0.02510460251046025,0.00019674388864295903
Make statement,Express intent to release persons or property,3,60754,4.9379464726602364e-05,9.8294588882882e-05
Express intent to release persons or property,Make statement,3,287,0.010452961672473868,9.8294588882882e-05
Make statement,Give ultimatum,17,60754,0.00027981696678408004,0.0005566925910765453
Give ultimatum,Make statement,17,321,0.0529595015576324,0.0005566925910765453
Make statement,Appeal for de-escalation of military engagement,7,60754,0.00011521875102873885,0.0002297605566770059
Appeal for de-escalation of military engagement,Make statement,7,179,0.03910614525139665,0.0002297605566770059
Make statement,Grant diplomatic recognition,10,60754,0.0001645982157553412,0.0003269683494637719
Grant diplomatic recognition,Make statement,10,414,0.024154589371980676,0.0003269683494637719
Make statement,Receive deployment of peacekeepers,5,60754,8.22991078776706e-05,0.0001635858007524947
Receive deployment of peacekeepers,Make statement,5,376,0.013297872340425532,0.0001635858007524947
Make statement,Complain officially,11,60754,0.00018105803733087534,0.00036027184148038977
Complain officially,Make statement,11,311,0.03536977491961415,0.00036027184148038977
Make statement,Cooperate militarily,2,60754,3.2919643151068245e-05,6.54353907310769e-05
Cooperate militarily,Make statement,2,375,0.005333333333333333,6.54353907310769e-05
Make statement,Appeal for change in leadership,9,60754,0.0001481383941798071,0.0002948982601002654
Appeal for change in leadership,Make statement,9,284,0.03169014084507042,0.0002948982601002654
Make statement,Demonstrate or rally,20,60754,0.0003291964315106824,0.0006403893567288912
Demonstrate or rally,Make statement,20,1708,0.0117096018735363,0.0006403893567288912
Make statement,"Reject plan, agreement to settle dispute",17,60754,0.00027981696678408004,0.0005566014569861668
"Reject plan, agreement to settle dispute",Make statement,17,331,0.0513595166163142,0.0005566014569861668
Make statement,Acknowledge or claim responsibility,3,60754,4.9379464726602364e-05,9.838968876061789e-05
Acknowledge or claim responsibility,Make statement,3,228,0.013157894736842105,9.838968876061789e-05
Make statement,Express intent to provide economic aid,10,60754,0.0001645982157553412,0.0003267119707266074
Express intent to provide economic aid,Make statement,10,462,0.021645021645021644,0.0003267119707266074
Make statement,Coerce,7,60754,0.00011521875102873885,0.00022870585160257456
Coerce,Make statement,7,460,0.015217391304347827,0.00022870585160257456
Make statement,Reduce or break diplomatic relations,27,60754,0.0004444151825394213,0.0008806405844844176
Reduce or break diplomatic relations,Make statement,27,565,0.047787610619469026,0.0008806405844844176
Make statement,Occupy territory,7,60754,0.00011521875102873885,0.00022786087466024316
Occupy territory,Make statement,7,687,0.010189228529839884,0.00022786087466024316
Make statement,Express intent to cooperate militarily,3,60754,4.9379464726602364e-05,9.857234388605036e-05
Express intent to cooperate militarily,Make statement,3,115,0.02608695652173913,9.857234388605036e-05
Make statement,Reduce or stop humanitarian assistance,1,60754,1.6459821575534122e-05,3.290826820238585e-05
Reduce or stop humanitarian assistance,Make statement,1,21,0.047619047619047616,3.290826820238585e-05
Make statement,Reduce or stop economic assistance,2,60754,3.2919643151068245e-05,6.573757559821194e-05
Reduce or stop economic assistance,Make statement,2,94,0.02127659574468085,6.573757559821194e-05
Make statement,Provide economic aid,9,60754,0.0001481383941798071,0.0002932981375568265
Provide economic aid,Make statement,9,617,0.014586709886547812,0.0002932981375568265
Make statement,Retreat or surrender militarily,14,60754,0.0002304375020574777,0.00045845272206303727
Retreat or surrender militarily,Make statement,14,321,0.04361370716510903,0.00045845272206303727
Make statement,Provide aid,11,60754,0.00018105803733087534,0.00035725885027606364
Provide aid,Make statement,11,826,0.013317191283292978,0.00035725885027606364
Make statement,Express intent to cooperate on judicial matters,1,60754,1.6459821575534122e-05,3.289203190527095e-05
Express intent to cooperate on judicial matters,Make statement,1,51,0.0196078431372549,3.289203190527095e-05
Make statement,Express intent to provide material aid,10,60754,0.0001645982157553412,0.0003270004251005526
Express intent to provide material aid,Make statement,10,408,0.024509803921568627,0.0003270004251005526
Make statement,Apologize,2,60754,3.2919643151068245e-05,6.567497455094736e-05
Apologize,Make statement,2,152,0.013157894736842105,6.567497455094736e-05
Make statement,Increase military alert status,3,60754,4.9379464726602364e-05,9.855291470245232e-05
Increase military alert status,Make statement,3,127,0.023622047244094488,9.855291470245232e-05
Make statement,Appeal for release of persons or property,5,60754,8.22991078776706e-05,0.0001641874363773684
Appeal for release of persons or property,Make statement,5,152,0.03289473684210526,0.0001641874363773684
Make statement,Express intent to ease administrative sanctions,0,60754,0.0,0.0
Express intent to ease administrative sanctions,Make statement,0,46,0.0,0.0
Make statement,"Impose embargo, boycott, or sanctions",20,60754,0.0003291964315106824,0.0006511370480701926
"Impose embargo, boycott, or sanctions",Make statement,20,677,0.029542097488921712,0.0006511370480701926
Make statement,Demonstrate military or police power,13,60754,0.00021397768048194357,0.00042683827754338153
Demonstrate military or police power,Make statement,13,159,0.08176100628930817,0.00042683827754338153
Make statement,Appeal for military aid,2,60754,3.2919643151068245e-05,6.576675819207182e-05
Appeal for military aid,Make statement,2,67,0.029850746268656716,6.576675819207182e-05
Make statement,Defend verbally,8,60754,0.00013167857260427298,0.0002627646121758552
Defend verbally,Make statement,8,137,0.058394160583941604,0.0002627646121758552
Make statement,Engage in material cooperation,5,60754,8.22991078776706e-05,0.00016340403281152978
Engage in material cooperation,Make statement,5,444,0.01126126126126126,0.00016340403281152978
Make statement,Halt negotiations,8,60754,0.00013167857260427298,0.00026249302752895626
Halt negotiations,Make statement,8,200,0.04,0.00026249302752895626
Make statement,Appeal to yield,3,60754,4.9379464726602364e-05,9.866960482823266e-05
Appeal to yield,Make statement,3,55,0.05454545454545454,9.866960482823266e-05
Make statement,Express intent to provide military aid,3,60754,4.9379464726602364e-05,9.833969809712684e-05
Express intent to provide military aid,Make statement,3,259,0.011583011583011582,9.833969809712684e-05
Make statement,Seize or damage property,0,60754,0.0,0.0
Seize or damage property,Make statement,0,58,0.0,0.0
Make statement,Bring lawsuit against,6,60754,9.875892945320473e-05,0.00019537928002735309
Bring lawsuit against,Make statement,6,665,0.009022556390977444,0.00019537928002735309
Make statement,Reduce or stop material aid,0,60754,0.0,0.0
Reduce or stop material aid,Make statement,0,34,0.0,0.0
Make statement,Demand intelligence cooperation,0,60754,0.0,0.0
Demand intelligence cooperation,Make statement,0,56,0.0,0.0
Make statement,Appeal for policy change,3,60754,4.9379464726602364e-05,9.866311479453407e-05
Appeal for policy change,Make statement,3,59,0.05084745762711865,9.866311479453407e-05
Make statement,Use as human shield,0,60754,0.0,0.0
Use as human shield,Make statement,0,14,0.0,0.0
Make statement,Demand de-escalation of military engagement,2,60754,3.2919643151068245e-05,6.573325445342799e-05
Demand de-escalation of military engagement,Make statement,2,98,0.02040816326530612,6.573325445342799e-05
Make statement,"Impose blockade, restrict movement",0,60754,0.0,0.0
"Impose blockade, restrict movement",Make statement,0,144,0.0,0.0
Make statement,Veto,2,60754,3.2919643151068245e-05,6.571597555365709e-05
Veto,Make statement,2,114,0.017543859649122806,6.571597555365709e-05
Make statement,Appeal to others to settle dispute,5,60754,8.22991078776706e-05,0.00016436284742196873
Appeal to others to settle dispute,Make statement,5,87,0.05747126436781609,0.00016436284742196873
Make statement,Refuse to yield,5,60754,8.22991078776706e-05,0.00016420630880638435
Refuse to yield,Make statement,5,145,0.034482758620689655,0.00016420630880638435
Make statement,Appeal for aid,1,60754,1.6459821575534122e-05,3.285528888012748e-05
Appeal for aid,Make statement,1,119,0.008403361344537815,3.285528888012748e-05
Make statement,Impose state of emergency or martial law,5,60754,8.22991078776706e-05,0.00016444934138038777
Impose state of emergency or martial law,Make statement,5,55,0.09090909090909091,0.00016444934138038777
Make statement,Ease political dissent,0,60754,0.0,0.0
Ease political dissent,Make statement,0,6,0.0,0.0
Make statement,Provide military protection or peacekeeping,11,60754,0.00018105803733087534,0.0003600595734930689
Provide military protection or peacekeeping,Make statement,11,347,0.03170028818443804,0.0003600595734930689
Make statement,Engage in judicial cooperation,3,60754,4.9379464726602364e-05,9.86225714191788e-05
Engage in judicial cooperation,Make statement,3,84,0.03571428571428571,9.86225714191788e-05
Make statement,Appeal to others to meet or negotiate,6,60754,9.875892945320473e-05,0.00019704109948933516
Appeal to others to meet or negotiate,Make statement,6,147,0.04081632653061224,0.00019704109948933516
Make statement,Consider policy option,28,60754,0.0004608750041149554,0.0009129888974028726
Consider policy option,Make statement,28,583,0.048027444253859346,0.0009129888974028726
Make statement,fight with artillery and tanks,3,60754,4.9379464726602364e-05,9.854644000985464e-05
fight with artillery and tanks,Make statement,3,131,0.022900763358778626,9.854644000985464e-05
Make statement,Express intent to provide military protection or peacekeeping,1,60754,1.6459821575534122e-05,3.287851389117212e-05
Express intent to provide military protection or peacekeeping,Make statement,1,76,0.013157894736842105,3.287851389117212e-05
Make statement,Demand change in leadership,5,60754,8.22991078776706e-05,0.00016406352539703373
Demand change in leadership,Make statement,5,198,0.025252525252525252,0.00016406352539703373
Make statement,Rally opposition against,16,60754,0.00026335714520854596,0.0005238859238400838
Rally opposition against,Make statement,16,328,0.04878048780487805,0.0005238859238400838
Make statement,Expel or withdraw,1,60754,1.6459821575534122e-05,3.290123050602092e-05
Expel or withdraw,Make statement,1,34,0.029411764705882353,3.290123050602092e-05
Make statement,"Refuse to ease economic sanctions, boycott, or embargo",2,60754,3.2919643151068245e-05,6.582303477101812e-05
"Refuse to ease economic sanctions, boycott, or embargo",Make statement,2,15,0.13333333333333333,6.582303477101812e-05
Make statement,Share intelligence or information,4,60754,6.583928630213649e-05,0.0001310165244591474
Share intelligence or information,Make statement,4,307,0.013029315960912053,0.0001310165244591474
Make statement,"Accuse of espionage, treason",6,60754,9.875892945320473e-05,0.00019735868295972238
"Accuse of espionage, treason",Make statement,6,49,0.12244897959183673,0.00019735868295972238
Make statement,Accuse of human rights abuses,6,60754,9.875892945320473e-05,0.00019684393556641843
Accuse of human rights abuses,Make statement,6,208,0.028846153846153848,0.00019684393556641843
Make statement,Refuse to release persons or property,1,60754,1.6459821575534122e-05,3.2862846908427676e-05
Refuse to release persons or property,Make statement,1,105,0.009523809523809525,3.2862846908427676e-05
Make statement,Demand economic aid,1,60754,1.6459821575534122e-05,3.290014805066623e-05
Demand economic aid,Make statement,1,36,0.027777777777777776,3.290014805066623e-05
Make statement,Demand material cooperation,2,60754,3.2919643151068245e-05,6.577757313643914e-05
Demand material cooperation,Make statement,2,57,0.03508771929824561,6.577757313643914e-05
Make statement,Increase police alert status,1,60754,1.6459821575534122e-05,3.2874190473059604e-05
Increase police alert status,Make statement,1,84,0.011904761904761904,3.2874190473059604e-05
Make statement,Accuse of aggression,6,60754,9.875892945320473e-05,0.00019740738303612555
Accuse of aggression,Make statement,6,34,0.17647058823529413,0.00019740738303612555
Make statement,Threaten to reduce or break relations,3,60754,4.9379464726602364e-05,9.867934147986119e-05
Threaten to reduce or break relations,Make statement,3,49,0.061224489795918366,9.867934147986119e-05
Make statement,Torture,0,60754,0.0,0.0
Torture,Make statement,0,126,0.0,0.0
Make statement,Express intent to yield,1,60754,1.6459821575534122e-05,3.288067602669911e-05
Express intent to yield,Make statement,1,72,0.013888888888888888,3.288067602669911e-05
Make statement,Refuse to ease administrative sanctions,0,60754,0.0,0.0
Refuse to ease administrative sanctions,Make statement,0,36,0.0,0.0
Make statement,Conduct strike or boycott,2,60754,3.2919643151068245e-05,6.577216521967904e-05
Conduct strike or boycott,Make statement,2,62,0.03225806451612903,6.577216521967904e-05
Make statement,Yield,3,60754,4.9379464726602364e-05,9.798317955417653e-05
Yield,Make statement,3,481,0.006237006237006237,9.798317955417653e-05
Make statement,Engage in mass killings,0,60754,0.0,0.0
Engage in mass killings,Make statement,0,32,0.0,0.0
Make statement,Reduce or stop military assistance,2,60754,3.2919643151068245e-05,6.580787391211359e-05
Reduce or stop military assistance,Make statement,2,29,0.06896551724137931,6.580787391211359e-05
Make statement,Express intent to cooperate on intelligence,0,60754,0.0,0.0
Express intent to cooperate on intelligence,Make statement,0,22,0.0,0.0
Make statement,Demonstrate for leadership change,4,60754,6.583928630213649e-05,0.00013152054186463247
Demonstrate for leadership change,Make statement,4,73,0.0547945205479452,0.00013152054186463247
Make statement,Demonstrate for policy change,0,60754,0.0,0.0
Demonstrate for policy change,Make statement,0,9,0.0,0.0
Make statement,Demand material aid,0,60754,0.0,0.0
Demand material aid,Make statement,0,6,0.0,0.0
Make statement,Appeal for judicial cooperation,1,60754,1.6459821575534122e-05,3.2866087127996976e-05
Appeal for judicial cooperation,Make statement,1,99,0.010101010101010102,3.2866087127996976e-05
Make statement,"Declare truce, ceasefire",7,60754,0.00011521875102873885,0.00022986995928017865
"Declare truce, ceasefire",Make statement,7,150,0.04666666666666667,0.00022986995928017865
Make statement,"Return, release property",0,60754,0.0,0.0
"Return, release property",Make statement,0,40,0.0,0.0
Make statement,Reject judicial cooperation,2,60754,3.2919643151068245e-05,6.581437056781349e-05
Reject judicial cooperation,Make statement,2,23,0.08695652173913043,6.581437056781349e-05
Make statement,Demand humanitarian aid,0,60754,0.0,0.0
Demand humanitarian aid,Make statement,0,4,0.0,0.0
Make statement,"Demand meeting, negotiation",5,60754,8.22991078776706e-05,0.0001643871646501841
"Demand meeting, negotiation",Make statement,5,78,0.0641025641025641,0.0001643871646501841
Make statement,"Demand change in institutions, regime",0,60754,0.0,0.0
"Demand change in institutions, regime",Make statement,0,30,0.0,0.0
Make statement,Express intent to accept mediation,1,60754,1.6459821575534122e-05,3.288067602669911e-05
Express intent to accept mediation,Make statement,1,72,0.013888888888888888,3.288067602669911e-05
Make statement,Appeal for military cooperation,0,60754,0.0,0.0
Appeal for military cooperation,Make statement,0,2,0.0,0.0
Make statement,Forgive,1,60754,1.6459821575534122e-05,3.2889327413254396e-05
Forgive,Make statement,1,56,0.017857142857142856,3.2889327413254396e-05
Make statement,Express intent to mediate,0,60754,0.0,0.0
Express intent to mediate,Make statement,0,52,0.0,0.0
Make statement,Demand that target yields,2,60754,3.2919643151068245e-05,6.578839163829542e-05
Demand that target yields,Make statement,2,47,0.0425531914893617,6.578839163829542e-05
Make statement,Demobilize armed forces,1,60754,1.6459821575534122e-05,3.2912058978409687e-05
Demobilize armed forces,Make statement,1,14,0.07142857142857142,3.2912058978409687e-05
Make statement,Demand release of persons or property,1,60754,1.6459821575534122e-05,3.291585062786985e-05
Demand release of persons or property,Make statement,1,7,0.14285714285714285,3.291585062786985e-05
Make statement,Appeal for economic aid,1,60754,1.6459821575534122e-05,3.287959492339054e-05
Appeal for economic aid,Make statement,1,74,0.013513513513513514,3.287959492339054e-05
Make statement,Express intent to engage in material cooperation,0,60754,0.0,0.0
Express intent to engage in material cooperation,Make statement,0,63,0.0,0.0
Make statement,Reject economic cooperation,2,60754,3.2919643151068245e-05,6.580679126085812e-05
Reject economic cooperation,Make statement,2,30,0.06666666666666667,6.580679126085812e-05
Make statement,Mobilize or increase police power,9,60754,0.0001481383941798071,0.00029541127814613013
Mobilize or increase police power,Make statement,9,178,0.05056179775280899,0.00029541127814613013
Make statement,Demand settling of dispute,2,60754,3.2919643151068245e-05,6.582303477101812e-05
Demand settling of dispute,Make statement,2,15,0.13333333333333333,6.582303477101812e-05
Make statement,"Threaten with political dissent, protest",2,60754,3.2919643151068245e-05,6.582086850635995e-05
"Threaten with political dissent, protest",Make statement,2,17,0.11764705882352941,6.582086850635995e-05
Make statement,Appeal for easing of administrative sanctions,0,60754,0.0,0.0
Appeal for easing of administrative sanctions,Make statement,0,65,0.0,0.0
Make statement,Carry out suicide bombing,2,60754,3.2919643151068245e-05,6.569978483320467e-05
Carry out suicide bombing,Make statement,2,129,0.015503875968992248,6.569978483320467e-05
Make statement,Assassinate,2,60754,3.2919643151068245e-05,6.569223189357858e-05
Assassinate,Make statement,2,136,0.014705882352941176,6.569223189357858e-05
Make statement,Appeal for economic cooperation,1,60754,1.6459821575534122e-05,3.286932798658932e-05
Appeal for economic cooperation,Make statement,1,93,0.010752688172043012,3.286932798658932e-05
Make statement,Demand policy change,1,60754,1.6459821575534122e-05,3.2913142217687525e-05
Demand policy change,Make statement,1,12,0.08333333333333333,3.2913142217687525e-05
Make statement,Ease state of emergency or martial law,2,60754,3.2919643151068245e-05,6.582411795681937e-05
Ease state of emergency or martial law,Make statement,2,14,0.14285714285714285,6.582411795681937e-05
Make statement,Appeal for easing of political dissent,4,60754,6.583928630213649e-05,0.00013165473545626594
Appeal for easing of political dissent,Make statement,4,11,0.36363636363636365,0.00013165473545626594
Make statement,Threaten with repression,0,60754,0.0,0.0
Threaten with repression,Make statement,0,18,0.0,0.0
Make statement,Appeal for rights,0,60754,0.0,0.0
Appeal for rights,Make statement,0,34,0.0,0.0
Make statement,Mediate,8,60754,0.00013167857260427298,0.0002627430373095113
Mediate,Make statement,8,142,0.056338028169014086,0.0002627430373095113
Make statement,Decline comment,1,60754,1.6459821575534122e-05,3.2857987776828546e-05
Decline comment,Make statement,1,114,0.008771929824561403,3.2857987776828546e-05
Make statement,Impose curfew,0,60754,0.0,0.0
Impose curfew,Make statement,0,14,0.0,0.0
Make statement,Appeal for humanitarian aid,3,60754,4.9379464726602364e-05,9.869395006086127e-05
