head	relation_x	tail	time
Sudan	Host a visit	Bill Richardson	2007-01-10
Cambodia	Host a visit	Military Personnel (South Korea)	2011-04-05
Iran	Host a visit	Ministry (Vietnam)	2014-10-13
France	Host a visit	City Mayor (United States)	2012-05-13
Iran	Host a visit	Mahmoud Ahmadinejad	2011-12-20
Ethiopia	Host a visit	Abdel Fattah Al-Sisi	2015-03-26
Laos	Host a visit	Vietnam	2005-09-22
China	Host a visit	Royal Administration (Spain)	2007-06-27
Mauritania	Host a visit	Mohamed Ould Abdel Aziz	2013-11-23
Colombia	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2010-06-06
Ethiopia	Host a visit	Iran	2012-11-15
United Arab Emirates	Host a visit	Sheikh Ahmed Abdullah	2010-01-27
Malaysia	Host a visit	George Yeo	2005-09-07
Japan	Host a visit	China	2006-12-09
France	Host a visit	Xi Jinping	2015-12-05
Muhammad VI	Host a visit	Royal Administration (Spain)	2014-07-14
China	Host a visit	Military (Singapore)	2008-06-04
South Korea	Host a visit	China	2006-05-23
Mexico	Host a visit	Vietnam	2008-07-31
Vietnam	Host a visit	Ken Calvert	2007-02-23
Iran	Host a visit	Pervez Musharraf	2007-02-05
Head of Government (Belarus)	Host a visit	Iran	2007-05-21
South Korea	Host a visit	Japan	2005-03-03
Ethiopia	Host a visit	Qatar	2012-10-24
Iraq	Host a visit	Jack Straw	2005-06-09
China	Host a visit	Donald Rumsfeld	2005-05-23
Qatar	Host a visit	Foreign Affairs (Syria)	2012-07-13
China	Host a visit	Roh Moo Hyun	2005-06-22
Dmitry Anatolyevich Medvedev	Host a visit	Angela Merkel	2009-07-16
Iraq	Host a visit	Kuwait	2011-02-16
Sudan	Host a visit	UN Security Council	2006-05-08
South Korea	Host a visit	Association of Southeast Asian Nations	2009-06-02
China	Host a visit	Representatives (International)	2006-11-26
Middle East	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2012-11-21
Japan	Host a visit	George Yeo	2005-05-27
Vietnam	Host a visit	Wang Yi	2013-08-06
France	Host a visit	Presidential Family (Turkey)	2010-10-06
Iran	Host a visit	France	2005-07-30
Iran	Host a visit	Nonaligned Movement	2012-08-18
Mexico	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-05-21
Qatar	Host a visit	Isaias Afewerki	2010-05-31
Sudan	Host a visit	South Sudan	2013-08-24
Romania	Host a visit	Sheikh Jabir al Ahmad al Jabir al Sabah	2008-05-10
Werner Faymann	Host a visit	Alexis Tsipras	2015-06-17
South Africa	Host a visit	Mahmoud Abbas	2012-01-09
France	Host a visit	Donald Rumsfeld	2005-02-10
Barack Obama	Host a visit	Qatar	2013-04-23
China	Host a visit	Vietnam	2010-05-02
China	Host a visit	Lawmaker (Hong Kong)	2005-09-25
Chongwadai	Host a visit	Lee Myung Bak	2008-02-25
South Korea	Host a visit	China	2014-07-04
Japan	Host a visit	China	2013-07-22
South Korea	Host a visit	Julia Gillard	2011-04-25
France	Host a visit	Head of Government (India)	2008-09-22
Ireland	Host a visit	Tourist (United States)	2006-09-25
South Africa	Host a visit	Jakaya Mrisho Kikwete	2011-07-21
Iran	Host a visit	Foreign Affairs (South Korea)	2005-10-20
Tanzania	Host a visit	Xi Jinping	2013-03-27
Iran	Host a visit	Ebrahim Yazdi	2013-06-14
Laos	Host a visit	Vietnam	2007-04-30
China	Host a visit	Angela Merkel	2014-11-12
Iran	Host a visit	Gurbanguly Berdymukhammedov	2011-03-27
Muhammadu Buhari	Host a visit	International Rescue Committee	2015-12-10
Tony Blair	Host a visit	Mahmoud Abbas	2006-09-10
Thailand	Host a visit	Thongsing Thammavong	2012-12-22
China	Host a visit	Envoy (United States)	2010-11-22
Sudan	Host a visit	Islamic Courts Union	2006-11-06
Barack Obama	Host a visit	Benjamin Netanyahu	2009-05-18
Sudan	Host a visit	African Union	2007-10-29
Northern Ireland	Host a visit	Barack Obama	2013-06-24
Vietnam	Host a visit	Xi Jinping	2015-11-11
South Sudan	Host a visit	Head of Government (Ethiopia)	2012-12-28
Iran	Host a visit	Nuri al-Maliki	2014-05-05
Qatar	Host a visit	Eritrea	2009-04-19
Iran	Host a visit	China	2005-11-14
Angola	Host a visit	African Central Bank	2015-08-27
Royal Administration (Saudi Arabia)	Host a visit	Ali Abdullah Saleh	2010-02-23
Iran	Host a visit	Mahmoud Ahmadinejad	2013-07-20
Romania	Host a visit	Islam Karimov	2008-04-04
Qatar	Host a visit	Nicos Anastasiades	2015-03-10
France	Host a visit	China	2008-01-26
China	Host a visit	Kazakhstan	2008-01-23
China	Host a visit	Envoy (United States)	2013-11-22
Iraq	Host a visit	Ante Kotromanović	2015-10-04
Japan	Host a visit	Yoshihiko Noda	2011-12-08
Ireland	Host a visit	Angela Merkel	2008-04-14
Laos	Host a visit	Vietnam	2009-09-04
Japan	Host a visit	Anupong Paochinda	2009-08-25
Sudan	Host a visit	Qatar	2011-07-14
Laos	Host a visit	Wen Jiabao	2012-11-05
Kuwait	Host a visit	Iran	2015-03-10
Japan	Host a visit	Mahmoud Abbas	2005-03-09
Fuad Masum	Host a visit	Ministry (Belarus)	2014-08-25
France	Host a visit	Pervez Musharraf	2006-09-25
Iran	Host a visit	Nonaligned Movement	2012-08-31
Japan	Host a visit	Tsai Ing-wen	2015-10-09
China	Host a visit	Japan	2008-06-02
Iran	Host a visit	Mahmoud Abbas	2012-09-04
South Korea	Host a visit	Yoshihiko Noda	2012-03-26
Angela Merkel	Host a visit	Elizabeth II	2015-06-24
Ethiopia	Host a visit	African Union	2013-10-11
Japan	Host a visit	Military Personnel (South Korea)	2007-04-03
China	Host a visit	Latvian Chamber of Commerce and Industry	2006-11-09
Iraq	Host a visit	Donald Rumsfeld	2005-04-16
China	Host a visit	City Mayor (United States)	2011-01-25
Thailand	Host a visit	Julie Bishop	2015-05-08
China	Host a visit	Solomon Passy	2007-09-23
Iran	Host a visit	Mahmoud Ahmadinejad	2008-10-30
Malaysia	Host a visit	Head of Government (India)	2010-10-24
France	Host a visit	Gurbanguly Berdymukhammedov	2010-02-01
China	Host a visit	Xi Jinping	2014-07-07
Iraq	Host a visit	France	2009-04-01
United Arab Emirates	Host a visit	Wen Jiabao	2012-01-14
China	Host a visit	Head of Government (Colombia)	2006-11-19
Angola	Host a visit	Ministry (Iran)	2012-07-12
Cambodia	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2010-10-30
Yemen	Host a visit	Head of Government (Germany)	2005-03-13
Thailand	Host a visit	Japan Self-Defense Forces	2005-01-04
China	Host a visit	Shaukat Aziz	2005-04-05
South Korea	Host a visit	Barack Obama	2014-04-22
China	Host a visit	Foreign Affairs (India)	2013-05-15
China	Host a visit	Japan	2008-07-11
China	Host a visit	Chuck Hagel	2014-04-10
Oman	Host a visit	Businessperson (Uzbekistan)	2009-01-07
China	Host a visit	Standard Chartered Bank	2009-03-30
Qatar	Host a visit	Mahmoud Ahmadinejad	2006-12-02
Ethiopia	Host a visit	South Sudan	2012-06-23
South Korea	Host a visit	Meira Kumar	2011-05-18
France	Host a visit	Shimon Peres	2008-03-13
Middle East	Host a visit	Head of Government (South Korea)	2006-02-27
Uhuru Muigai Kenyatta	Host a visit	Barack Obama	2015-07-25
France	Host a visit	Ingrid Betancourt Pulecio	2008-07-10
Wang Yi	Host a visit	Abdel Fattah Al-Sisi	2014-08-05
Qatar	Host a visit	Nuri al-Maliki	2012-04-22
Timor-Leste	Host a visit	Military (New Zealand)	2006-05-31
Western Cape High Court	Host a visit	Shrien Dewani	2014-06-20
Ethiopia	Host a visit	African Union	2005-10-03
South Africa	Host a visit	Mahmoud Abbas	2014-11-26
Iraq	Host a visit	Jack Straw	2006-02-20
Kuwait	Host a visit	Oman	2008-06-05
Iran	Host a visit	Catherine Ashton	2014-01-16
Ethiopia	Host a visit	Media Personnel (International)	2012-01-28
South Korea	Host a visit	China	2012-11-20
South Korea	Host a visit	China	2007-04-11
China	Host a visit	Adji Otheth Ayassor	2009-09-02
France	Host a visit	Xi Jinping	2015-11-02
Japan	Host a visit	China	2007-04-11
Iran	Host a visit	Mahmoud Ahmadinejad	2012-08-25
Iran	Host a visit	Member of Legislative (Govt) (Lebanon)	2011-01-20
Sudan	Host a visit	South Sudan	2011-01-04
Sudan	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2007-04-12
Thailand	Host a visit	Jack Straw	2005-01-07
Tanzania	Host a visit	Barack Obama	2014-07-29
China	Host a visit	Lien Chan	2005-04-30
Kazakhstan	Host a visit	Iran	2013-04-05
Japan	Host a visit	Gurbanguly Berdymukhammedov	2013-09-24
Japan	Host a visit	Lee Myung Bak	2010-11-29
France	Host a visit	Muhammad VI	2005-03-11
Ministry (Iran)	Host a visit	Economic Cooperation Organization	2007-04-07
Iraq	Host a visit	Jawad al-Bulani	2010-08-02
Trinidad and Tobago	Host a visit	Barack Obama	2009-04-05
Thailand	Host a visit	Barack Obama	2012-11-20
Iraq	Host a visit	Mahmoud Ahmadinejad	2008-06-20
Vietnam	Host a visit	Wang Yi	2013-08-05
South Korea	Host a visit	Barack Obama	2010-11-03
Romania	Host a visit	Foreign Affairs (Italy)	2005-06-07
Thailand	Host a visit	Envoy (United States)	2015-01-26
Iran	Host a visit	Romania	2014-04-21
Legislature (Turkey)	Host a visit	Barack Obama	2009-04-24
Malaysia	Host a visit	Iran	2013-07-26
China	Host a visit	Lien Chan	2005-05-22
Mexico	Host a visit	Barack Obama	2012-06-18
China	Host a visit	Barack Obama	2010-11-11
Eritrea	Host a visit	Isaias Afewerki	2008-10-28
Vietnam	Host a visit	Yu Zhengsheng	2014-12-27
Lawyer/Attorney (South Korea)	Host a visit	Democratic Party	2010-03-10
Barack Obama	Host a visit	Mahmoud Abbas	2014-03-18
China	Host a visit	South Korea	2007-03-15
Thailand	Host a visit	Abhisit Vejjajiva	2010-11-09
Ramtane Lamamra	Host a visit	Military (Madagascar)	2013-07-11
Thailand	Host a visit	Abhisit Vejjajiva	2011-03-30
Qatar	Host a visit	Mahmoud Ahmadinejad	2008-11-29
Odes Baysultanov	Host a visit	Mahmoud Abbas	2008-12-21
Colombia	Host a visit	Bolivia	2008-01-08
Timor-Leste	Host a visit	Malaysia	2006-06-27
Antonis Samaras	Host a visit	Jacob J. Lew	2013-07-21
Japan	Host a visit	China	2007-11-03
Royal Administration (Spain)	Host a visit	Head of Government (Egypt)	2015-04-30
South Korea	Host a visit	Islam Karimov	2015-05-30
South Korea	Host a visit	China	2010-11-12
China	Host a visit	Japan	2006-11-29
Vietnam	Host a visit	Defense / Security Ministry (United States)	2006-06-04
China	Host a visit	Shivraj Patil	2005-09-13
Japan	Host a visit	Wen Jiabao	2011-05-28
Angola	Host a visit	Head of Government (Portugal)	2011-11-17
Abdullah Gül	Host a visit	Abdoulaye Wade	2008-02-19
Vietnam	Host a visit	International Government Organizations	2010-10-14
Barack Obama	Host a visit	Benjamin Netanyahu	2009-09-20
Iraq	Host a visit	Nuri al-Maliki	2008-11-19
China	Host a visit	Islam Karimov	2014-08-18
South Korea	Host a visit	Elmar Mammadyarov	2005-12-01
China	Host a visit	Xi Jinping	2015-12-13
Iraq	Host a visit	Morteza Sarmadi	2015-04-02
Vietnam	Host a visit	Northern Ireland	2015-07-30
Iran	Host a visit	Ali Abdullah Saleh	2015-03-01
France	Host a visit	Barack Obama	2009-06-08
Ethiopia	Host a visit	Head of Government (Egypt)	2015-01-27
The Hague	Host a visit	Reserve Personnel (Latvia)	2015-09-24
Elmar Mammadyarov	Host a visit	Iran	2007-08-21
Iraq	Host a visit	Jack Straw	2005-11-23
Middle East	Host a visit	John Paul II	2009-05-07
Angola	Host a visit	Afonso Pedro Canga	2015-03-10
Iran	Host a visit	Treasury/Finance Ministry (Syria)	2012-04-29
Japan	Host a visit	Sergey Kuzhugetovich Shoygu	2006-02-22
Qatar	Host a visit	Radoslaw Sikorski	2011-04-13
Barack Obama	Host a visit	Angela Merkel	2011-06-07
Romania	Host a visit	Foreign Affairs (Portugal)	2005-01-19
Uhuru Muigai Kenyatta	Host a visit	Barack Obama	2015-07-26
Bolivia	Host a visit	Evo Morales	2008-12-24
Foreign Affairs (Belgium)	Host a visit	Wen Jiabao	2009-01-30
Bolivia	Host a visit	Eduardo Rodríguez	2005-06-16
Thailand	Host a visit	Malaysia	2006-03-25
Japan	Host a visit	Lee Myung Bak	2011-12-16
Middle East	Host a visit	Barack Obama	2008-07-01
South Korea	Host a visit	Envoy (United States)	2008-07-21
Yemen	Host a visit	Mahmoud Abbas	2009-10-04
Yemen	Host a visit	Mswati III	2009-10-21
Mexico	Host a visit	Special Rapporteurs of the United Nations	2008-03-10
Qatar	Host a visit	Shimon Peres	2007-01-31
Vietnam	Host a visit	High Commission for Refugees	2005-06-24
Niger	Host a visit	Muhammadu Buhari	2015-06-17
France	Host a visit	Sergey Bagapsh	2008-06-21
China	Host a visit	Shaukat Aziz	2010-11-30
Japan	Host a visit	Dissident (China)	2007-06-08
China	Host a visit	Admiral (South Korea)	2013-07-10
Japan	Host a visit	Tony Blair	2008-03-14
Japan	Host a visit	Xi Jinping	2009-12-16
Undersecretary (United States)	Host a visit	Evangelos Meimarakis	2007-06-11
Iran	Host a visit	Muhammad Naji al-Otari	2007-03-14
Japan	Host a visit	Vietnam	2009-04-24
France	Host a visit	Gerhard Schröder	2005-05-29
Angola	Host a visit	Benedict XVI	2009-02-23
Middle East	Host a visit	Alberto Gonzales	2005-07-03
Japan	Host a visit	South Korea	2008-06-07
Vietnam	Host a visit	Laos	2008-11-06
Qatar	Host a visit	Abhisit Vejjajiva	2009-11-24
South Korea	Host a visit	Ed Royce	2015-08-09
China	Host a visit	Xi Jinping	2009-06-22
China	Host a visit	Daniel Kwelagobe	2010-07-03
South Korea	Host a visit	Barack Obama	2010-10-29
South Africa	Host a visit	France	2011-11-11
Thailand	Host a visit	Businessperson (Australia)	2006-09-21
Mohamed Ould Abdel Aziz	Host a visit	Abdelkader Messahel	2009-12-01
South Korea	Host a visit	Julia Gillard	2011-04-28
Colombia	Host a visit	Al Gore	2007-04-20
Middle East	Host a visit	Mwai Kibaki	2008-01-07
Cambodia	Host a visit	Businessperson (Sweden)	2009-11-23
Christine Lagarde	Host a visit	International Monetary Fund	2014-01-07
Qatar	Host a visit	Mahmoud Abbas	2014-08-19
Iran	Host a visit	Mahmoud Ahmadinejad	2012-01-14
Javier Solana	Host a visit	Hashim Thaçi	2006-05-25
Iraq	Host a visit	Hisham Qandil	2013-03-04
China	Host a visit	Dianne Feinstein	2010-06-22
Iran	Host a visit	Mahmoud Ahmadinejad	2010-05-12
Rafael Correa	Host a visit	Julian Paul Assange	2013-06-25
Angola	Host a visit	Cabinet / Council of Ministers / Advisors (Cuba)	2015-11-01
Sudan	Host a visit	Japan	2005-03-08
South Korea	Host a visit	Barack Obama	2009-11-18
China	Host a visit	International Federation of Red Cross and Red Crescent Societies	2014-10-25
Togo	Host a visit	Angela Merkel	2015-06-02
China	Host a visit	Robert Hill	2005-06-08
Javier Solana	Host a visit	Benjamin Netanyahu	2009-09-06
China	Host a visit	Military Personnel (India)	2011-06-21
South Korea	Host a visit	Yoshihiko Noda	2012-01-13
Bolivia	Host a visit	Mahmoud Ahmadinejad	2007-10-02
Barack Obama	Host a visit	Angela Merkel	2015-02-10
China	Host a visit	Kim Kye Gwan	2011-04-15
Japan	Host a visit	Wen Jiabao	2007-04-19
Head of Government (Egypt)	Host a visit	Jaber Mubarak Al-Sabah	2015-01-05
Japan	Host a visit	Christine Lagarde	2011-11-17
Oman	Host a visit	Iran	2012-01-04
Kazakhstan	Host a visit	Head of Government (Finland)	2015-06-08
Bhutan	Host a visit	Head of Government (Pakistan)	2010-04-27
Maldives	Host a visit	International Monetary Fund	2010-11-21
Sudan	Host a visit	Envoy (United States)	2009-12-14
South Sudan	Host a visit	UN Security Council	2011-01-10
Abdullah Gül	Host a visit	Mahmoud Abbas	2007-11-14
China	Host a visit	Barack Obama	2014-10-04
Mexico	Host a visit	Lee Myung Bak	2012-06-19
Japan	Host a visit	Wen Jiabao	2011-05-18
Muhammadu Buhari	Host a visit	Mukhtar Ramalan Yero	2014-07-25
Niger	Host a visit	Abdoulaye Wade	2010-02-20
Middle East	Host a visit	Tony Blair	2006-09-10
William Mgimwa	Host a visit	Jakaya Mrisho Kikwete	2013-12-13
Malaysia	Host a visit	Gazprom	2007-06-21
Tanzania	Host a visit	Benedict XVI	2007-11-13
Emmanuel Nadingar	Host a visit	François Bozizé	2010-12-01
Ethiopia	Host a visit	USAID	2007-11-25
Iran	Host a visit	Evo Morales	2008-09-04
China	Host a visit	Henry M. Paulson	2006-09-12
Yemen	Host a visit	Ali Abdullah Saleh	2011-11-20
Republic of South Ossetia	Host a visit	Zurab Nogaideli	2005-04-21
China	Host a visit	Umaru Musa Yar'Adua	2008-04-02
South Korea	Host a visit	Wen Jiabao	2010-05-30
Sudan	Host a visit	Mohamed Ibn Chambas	2013-04-01
Abhisit Vejjajiva	Host a visit	Barack Obama	2009-01-21
Malaysia	Host a visit	Association of Southeast Asian Nations	2006-05-12
Benjamin Netanyahu	Host a visit	Japan	2014-05-13
France	Host a visit	Xi Jinping	2015-06-29
China	Host a visit	Xi Jinping	2012-12-07
Kazakhstan	Host a visit	Congress (United States)	2008-06-26
Government Official (South Africa)	Host a visit	Uhuru Muigai Kenyatta	2014-05-24
Japan	Host a visit	South Korea	2015-06-21
Governor (Japan)	Host a visit	Xi Jinping	2010-08-19
Iran	Host a visit	Grigol Vashadze	2010-02-15
Gurbanguly Berdymukhammedov	Host a visit	Envoy (France)	2010-06-30
Iran	Host a visit	Central Intelligence Agency	2014-01-23
United Arab Emirates	Host a visit	Mahmoud Abbas	2007-07-07
Kazakhstan	Host a visit	Mahmoud Ahmadinejad	2009-06-11
Oman	Host a visit	Head of Government (India)	2008-10-31
Laos	Host a visit	Xi Jinping	2010-06-15
China	Host a visit	Barack Obama	2014-03-15
China	Host a visit	Abhisit Vejjajiva	2009-06-27
Military (Russia)	Host a visit	Dmitry Anatolyevich Medvedev	2012-01-19
Asturias	Host a visit	Civil Guard	2007-04-10
Middle East	Host a visit	UN Security Council	2012-10-15
South Sudan	Host a visit	Omar Suleiman	2010-10-24
China	Host a visit	Abhisit Vejjajiva	2010-11-09
Rashid Gumarovich Nurgaliyev	Host a visit	Dmitry Anatolyevich Medvedev	2009-08-19
Iran	Host a visit	Mahmoud Ahmadinejad	2008-08-25
China	Host a visit	Kim Kye Gwan	2005-07-29
South Korea	Host a visit	Yoshihiko Noda	2011-10-21
Foreign Affairs (South Korea)	Host a visit	Joon Young Woo	2010-06-08
Ireland	Host a visit	Ivan Gasparovic	2007-03-28
China	Host a visit	Tony Blair	2005-09-04
China	Host a visit	Head of Government (Chile)	2008-04-14
Kazakhstan	Host a visit	High Commission for Refugees	2007-11-12
Middle East	Host a visit	Head of Government (Brazil)	2010-03-04
Malaysia	Host a visit	Xi Jinping	2013-11-25
Iran	Host a visit	High Ranking Military Personnel (Syria)	2008-05-27
China	Host a visit	Cristina Fernández de Kirchner	2010-07-15
Swaziland	Host a visit	Ma Ying Jeou	2012-04-15
China	Host a visit	Hani Dahi	2014-12-12
Wen Jiabao	Host a visit	Abhisit Vejjajiva	2009-06-26
Ethiopia	Host a visit	Jakaya Mrisho Kikwete	2009-02-02
Japan	Host a visit	Head of Government (Turkmenistan)	2009-12-17
France	Host a visit	Ingrid Betancourt Pulecio	2008-09-10
Sudan	Host a visit	UN Security Council	2014-07-18
China	Host a visit	United States Senate	2006-08-07
South Korea	Host a visit	Japan	2014-10-24
Kuwait	Host a visit	Barack Obama	2008-07-22
Middle East	Host a visit	Angela Merkel	2007-03-28
China	Host a visit	Hui Liangyu	2010-04-14
France	Host a visit	Dissident (China)	2008-03-01
China	Host a visit	Wen Jiabao	2007-02-17
China	Host a visit	Wu Po-hsiung	2008-05-26
Barack Obama	Host a visit	Benjamin Netanyahu	2012-03-07
Romania	Host a visit	Herman Van Rompuy	2010-01-19
Ethiopia	Host a visit	African Union	2010-02-05
Republic of South Ossetia	Host a visit	Dmitry Anatolyevich Medvedev	2009-07-13
Kazakhstan	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2015-11-01
Romania	Host a visit	Vuk Jeremić	2009-03-11
Iran	Host a visit	Mahmoud Ahmadinejad	2013-01-22
France	Host a visit	Andreas Lubitz	2015-12-26
Vietnam	Host a visit	Ricardo Alarcón de Quesada	2007-06-14
China	Host a visit	South Korea	2009-03-24
Iran	Host a visit	Mahmoud Ahmadinejad	2008-12-16
Angola	Host a visit	Vietnam	2008-04-07
Romania	Host a visit	Government (Germany)	2010-10-12
France	Host a visit	Carlos Saul Menem	2005-10-11
Iran	Host a visit	Lawyer/Attorney (United Kingdom)	2014-09-21
Japan	Host a visit	Lee Myung Bak	2008-04-15
China	Host a visit	Mario Monti	2012-11-30
China	Host a visit	Solomon Berewa	2006-04-27
Iran	Host a visit	Fahed al-Jasem el-Freij	2015-04-28
Laos	Host a visit	Vietnam	2010-12-09
Malaysia	Host a visit	Laos	2008-10-24
Iran	Host a visit	Catherine Ashton	2014-03-11
Kazakhstan	Host a visit	Binyamin Ben-Eliezer	2010-04-14
China	Host a visit	Lawmaker (Japan)	2006-07-04
China	Host a visit	Barack Obama	2009-11-11
Thailand	Host a visit	Wen Jiabao	2012-11-20
Cabinet / Council of Ministers / Advisors (United States)	Host a visit	Andrius Kubilius	2011-06-30
China	Host a visit	Domestic Affairs (Vietnam)	2015-12-13
Vietnam	Host a visit	William J. Fallon	2006-07-15
Iran	Host a visit	Mahmoud Ahmadinejad	2007-05-24
Sudan	Host a visit	African Union	2010-03-18
South Africa	Host a visit	Wen Jiabao	2006-06-19
Vietnam	Host a visit	United Arab Emirates	2007-09-07
Japan	Host a visit	International Monetary Fund	2006-06-06
Kazakhstan	Host a visit	Congress (United States)	2006-11-21
Vietnam	Host a visit	Lee Myung Bak	2010-10-29
Iran	Host a visit	Mahmoud Ahmadinejad	2005-12-20
Mahmoud Ahmadinejad	Host a visit	Foreign Affairs (Singapore)	2012-02-01
Undersecretary (United States)	Host a visit	Abdullah Gül	2007-01-19
Vietnam	Host a visit	Juan Carlos I	2006-02-23
Angola	Host a visit	Head of Government (Cuba)	2015-03-18
Mahmoud Abbas	Host a visit	Sheikh Ahmed Abdullah	2005-10-09
Angola	Host a visit	Mohamed Rukara	2011-07-21
Middle East	Host a visit	Javier Solana	2009-02-25
China	Host a visit	Farm Worker (Taiwan)	2005-06-23
South Sudan	Host a visit	Ethiopia	2013-12-27
