head	relation	tail	time_x
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-01
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-04
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-24
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-08
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-04
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-16
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-10-15
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-06
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-31
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-06
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
Media (Africa)	Consult	Citizen (Sudan)	2014-08-25
Media (Africa)	Consult	Citizen (Sudan)	2014-03-24
Media (Africa)	Consult	Citizen (Sudan)	2014-07-23
Media (Africa)	Consult	Citizen (Sudan)	2014-09-01
Media (Africa)	Consult	Citizen (Sudan)	2014-09-15
Media (Africa)	Consult	Citizen (Sudan)	2014-05-01
Media (Africa)	Consult	Citizen (Sudan)	2014-04-08
Media (Africa)	Consult	Citizen (Sudan)	2014-03-06
Afghanistan	Consult	Iran	2014-03-29
Afghanistan	Consult	Iran	2014-12-17
Afghanistan	Consult	Iran	2014-03-28
Afghanistan	Consult	Iran	2014-08-12
Afghanistan	Consult	Iran	2014-03-26
Afghanistan	Consult	Iran	2014-12-11
Afghanistan	Consult	Iran	2014-12-15
Military (Argentina)	Sign formal agreement	City Mayor (Argentina)	2014-11-19
Student (Bahrain)	Consult	Business (Bahrain)	2014-04-08
Student (Bahrain)	Consult	Business (Bahrain)	2014-02-17
Media (India)	Consult	Member of Parliament (India)	2014-01-10
Media (India)	Consult	Member of Parliament (India)	2014-08-26
Media (India)	Consult	Member of Parliament (India)	2014-06-03
Media (India)	Consult	Member of Parliament (India)	2014-10-05
Media (India)	Consult	Member of Parliament (India)	2014-01-09
China	Consult	Japan	2014-12-28
China	Consult	Japan	2014-10-27
China	Consult	Japan	2014-10-14
China	Consult	Japan	2014-04-28
China	Consult	Japan	2014-06-24
China	Consult	Japan	2014-12-08
China	Consult	Japan	2014-11-12
China	Consult	Japan	2014-11-10
China	Consult	Japan	2014-11-18
China	Consult	Japan	2014-11-13
China	Consult	Japan	2014-09-12
China	Consult	Japan	2014-04-05
China	Consult	Japan	2014-10-17
China	Consult	Japan	2014-06-01
China	Consult	Japan	2014-04-17
China	Consult	Japan	2014-07-26
China	Consult	Japan	2014-12-12
China	Consult	Japan	2014-07-15
China	Consult	Japan	2014-07-01
China	Consult	Japan	2014-11-07
China	Consult	Japan	2014-04-22
China	Consult	Japan	2014-09-01
China	Consult	Japan	2014-07-25
China	Consult	Japan	2014-09-29
China	Consult	Japan	2014-06-20
Haider Al-Abadi	Consult	Iran	2014-10-24
Afghanistan	Engage in diplomatic cooperation	Iran	2014-04-23
Afghanistan	Engage in diplomatic cooperation	Iran	2014-06-16
Afghanistan	Engage in diplomatic cooperation	Iran	2014-09-08
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-10-15
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-24
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-07
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-02-02
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-04-22
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-25
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-15
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-04-05
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-15
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-07-19
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-05
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-14
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-19
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-11
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-10-17
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-05-03
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-18
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-02-01
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-06-11
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-09-23
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-31
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-02-18
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-12
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-20
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-16
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-02-04
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-10-07
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-06-04
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-14
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-07-27
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-07-20
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-07-29
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-10
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-10-25
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-11
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-13
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-05-30
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-13
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-13
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-22
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-16
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-29
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-14
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-04-17
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-11-09
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-02-11
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-02
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-01-31
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-11-14
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-12-04
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-04-26
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-06
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-04-08
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-06-05
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-04-10
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-02-22
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-11-07
John Kerry	Consult	Sergey Viktorovich Lavrov	2014-03-30
France	Consult	Canada	2014-10-23
France	Consult	Canada	2014-09-21
France	Consult	Canada	2014-09-14
France	Consult	Canada	2014-09-05
France	Consult	Canada	2014-03-25
France	Consult	Canada	2014-10-21
France	Consult	Canada	2014-09-15
France	Consult	Canada	2014-09-19
France	Consult	Canada	2014-09-23
France	Consult	Canada	2014-09-17
France	Consult	Canada	2014-10-15
France	Consult	Canada	2014-04-11
France	Consult	Canada	2014-09-22
Kamalesh Sharma	Meet at a 'third' location	Salil Shetty	2014-02-05
Japan	Engage in negotiation	North Korea	2014-03-05
Japan	Engage in negotiation	North Korea	2014-06-30
Japan	Engage in negotiation	North Korea	2014-08-10
Japan	Engage in negotiation	North Korea	2014-02-12
Japan	Engage in negotiation	North Korea	2014-06-19
Japan	Engage in negotiation	North Korea	2014-04-15
Japan	Engage in negotiation	North Korea	2014-03-17
Japan	Engage in negotiation	North Korea	2014-07-03
Japan	Engage in negotiation	North Korea	2014-04-03
Japan	Engage in negotiation	North Korea	2014-04-11
Japan	Engage in negotiation	North Korea	2014-03-03
Japan	Engage in negotiation	North Korea	2014-04-04
Japan	Engage in negotiation	North Korea	2014-10-28
Japan	Engage in negotiation	North Korea	2014-03-19
Japan	Engage in negotiation	North Korea	2014-03-30
Japan	Engage in negotiation	North Korea	2014-04-02
Japan	Engage in negotiation	North Korea	2014-04-16
Japan	Engage in negotiation	North Korea	2014-03-31
Japan	Engage in negotiation	North Korea	2014-12-21
Japan	Engage in negotiation	North Korea	2014-07-07
Japan	Engage in negotiation	North Korea	2014-05-31
Japan	Engage in negotiation	North Korea	2014-07-16
Japan	Engage in negotiation	North Korea	2014-07-15
Japan	Engage in negotiation	North Korea	2014-04-24
Japan	Engage in negotiation	North Korea	2014-03-20
Japan	Engage in negotiation	North Korea	2014-10-04
Japan	Engage in negotiation	North Korea	2014-03-04
Japan	Engage in negotiation	North Korea	2014-04-12
Japan	Engage in negotiation	North Korea	2014-03-10
Japan	Engage in negotiation	North Korea	2014-04-23
Japan	Engage in negotiation	North Korea	2014-06-17
Xi Jinping	Consult	Yasuo Fukuda	2014-08-04
Xi Jinping	Consult	Yasuo Fukuda	2014-10-29
Xi Jinping	Consult	Yasuo Fukuda	2014-08-03
Xi Jinping	Consult	Yasuo Fukuda	2014-10-24
Xi Jinping	Consult	Yasuo Fukuda	2014-08-01
Xi Jinping	Consult	Yasuo Fukuda	2014-08-27
Xi Jinping	Consult	Yasuo Fukuda	2014-08-28
Xi Jinping	Consult	Yasuo Fukuda	2014-10-28
Al Wefaq National Islamic Society	Consult	Foreign Affairs (United States)	2014-07-15
Al Wefaq National Islamic Society	Consult	Foreign Affairs (United States)	2014-07-11
Al Wefaq National Islamic Society	Consult	Foreign Affairs (United States)	2014-07-10
Al Wefaq National Islamic Society	Consult	Foreign Affairs (United States)	2014-07-16
Barack Obama	Consult	Benjamin Netanyahu	2014-03-02
Barack Obama	Consult	Benjamin Netanyahu	2014-07-27
Barack Obama	Consult	Benjamin Netanyahu	2014-03-06
Barack Obama	Consult	Benjamin Netanyahu	2014-03-04
Barack Obama	Consult	Benjamin Netanyahu	2014-03-19
Barack Obama	Consult	Benjamin Netanyahu	2014-10-10
Barack Obama	Consult	Benjamin Netanyahu	2014-07-29
Barack Obama	Consult	Benjamin Netanyahu	2014-07-10
Barack Obama	Consult	Benjamin Netanyahu	2014-03-08
Barack Obama	Consult	Benjamin Netanyahu	2014-03-03
Barack Obama	Consult	Benjamin Netanyahu	2014-03-16
Barack Obama	Consult	Benjamin Netanyahu	2014-09-28
Barack Obama	Consult	Benjamin Netanyahu	2014-02-27
Barack Obama	Consult	Benjamin Netanyahu	2014-01-29
Barack Obama	Consult	Benjamin Netanyahu	2014-10-08
Barack Obama	Consult	Benjamin Netanyahu	2014-02-19
Barack Obama	Consult	Benjamin Netanyahu	2014-10-13
Barack Obama	Consult	Benjamin Netanyahu	2014-07-20
Barack Obama	Consult	Benjamin Netanyahu	2014-03-15
Barack Obama	Consult	Benjamin Netanyahu	2014-03-07
Barack Obama	Consult	Benjamin Netanyahu	2014-07-28
Barack Obama	Consult	Benjamin Netanyahu	2014-02-16
Barack Obama	Consult	Benjamin Netanyahu	2014-10-02
Barack Obama	Consult	Benjamin Netanyahu	2014-03-18
Mohammad Javad Zarif	Consult	Head of Government (Bangladesh)	2014-08-05
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-07-11
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-06-21
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-03-18
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-05-28
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-05-15
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-05-14
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-05-27
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-03-09
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-09-26
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-10-15
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-07-02
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-05-16
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-11-19
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-07-04
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-04-06
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-04-05
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-03-19
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-03-10
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-08-31
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-11-18
Catherine Ashton	Engage in negotiation	Mohammad Javad Zarif	2014-06-01
Iran	Sign formal agreement	Iraq	2014-05-19
Iran	Sign formal agreement	Iraq	2014-12-09
Iran	Sign formal agreement	Iraq	2014-05-18
Iran	Sign formal agreement	Iraq	2014-03-09
Iran	Sign formal agreement	Iraq	2014-02-03
Iran	Sign formal agreement	Iraq	2014-12-31
Iran	Sign formal agreement	Iraq	2014-03-02
Iran	Sign formal agreement	Iraq	2014-06-15
Iran	Sign formal agreement	Iraq	2014-12-11
Iran	Sign formal agreement	Iraq	2014-04-09
Iran	Sign formal agreement	Iraq	2014-11-24
Iran	Sign formal agreement	Iraq	2014-12-30
Iran	Sign formal agreement	Iraq	2014-05-21
Iran	Sign formal agreement	Iraq	2014-03-12
Iran	Sign formal agreement	Iraq	2014-03-04
Iran	Sign formal agreement	Iraq	2014-10-25
Iran	Sign formal agreement	Iraq	2014-11-26
Iran	Sign formal agreement	Iraq	2014-03-05
Iran	Sign formal agreement	Iraq	2014-09-28
Xi Jinping	Consult	Barack Obama	2014-07-15
Xi Jinping	Consult	Barack Obama	2014-03-11
Xi Jinping	Consult	Barack Obama	2014-03-25
Xi Jinping	Consult	Barack Obama	2014-11-12
Xi Jinping	Consult	Barack Obama	2014-03-24
Xi Jinping	Consult	Barack Obama	2014-11-13
Xi Jinping	Consult	Barack Obama	2014-11-11
Xi Jinping	Consult	Barack Obama	2014-03-10
Xi Jinping	Consult	Barack Obama	2014-11-14
Xi Jinping	Consult	Barack Obama	2014-10-16
Xi Jinping	Consult	Barack Obama	2014-11-15
Xi Jinping	Consult	Barack Obama	2014-04-10
Xi Jinping	Consult	Barack Obama	2014-06-10
Xi Jinping	Consult	Barack Obama	2014-11-10
Xi Jinping	Consult	Barack Obama	2014-11-21
Xi Jinping	Consult	Head of Government (China)	2014-11-10
Xi Jinping	Consult	Head of Government (China)	2014-11-12
Xi Jinping	Consult	Head of Government (China)	2014-05-31
Xi Jinping	Consult	Head of Government (China)	2014-11-09
Xi Jinping	Consult	Head of Government (China)	2014-11-18
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-26
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-29
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-24
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-08-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-19
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-07
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-02
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-27
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-24
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-16
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-03
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-22
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-19
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-03
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-12
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-22
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-09-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-08
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-22
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-29
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-15
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-07
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-01
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-29
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-31
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-17
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-15
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-23
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-10
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-28
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-10-08
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-23
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-28
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-10
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-02-27
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-15
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-27
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-14
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-17
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-30
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-07
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-01-20
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-08-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-26
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-19
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-23
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-06
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-08
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-24
North Korea	Engage in negotiation	Japan	2014-03-31
North Korea	Engage in negotiation	Japan	2014-04-10
North Korea	Engage in negotiation	Japan	2014-12-21
North Korea	Engage in negotiation	Japan	2014-04-15
North Korea	Engage in negotiation	Japan	2014-03-10
North Korea	Engage in negotiation	Japan	2014-07-03
North Korea	Engage in negotiation	Japan	2014-04-24
North Korea	Engage in negotiation	Japan	2014-05-30
North Korea	Engage in negotiation	Japan	2014-06-17
North Korea	Engage in negotiation	Japan	2014-03-20
North Korea	Engage in negotiation	Japan	2014-05-21
North Korea	Engage in negotiation	Japan	2014-07-16
North Korea	Engage in negotiation	Japan	2014-04-02
North Korea	Engage in negotiation	Japan	2014-04-11
North Korea	Engage in negotiation	Japan	2014-03-30
North Korea	Engage in negotiation	Japan	2014-07-19
North Korea	Engage in negotiation	Japan	2014-03-17
North Korea	Engage in negotiation	Japan	2014-03-19
North Korea	Engage in negotiation	Japan	2014-03-03
North Korea	Engage in negotiation	Japan	2014-12-20
North Korea	Engage in negotiation	Japan	2014-04-03
North Korea	Engage in negotiation	Japan	2014-04-12
North Korea	Engage in negotiation	Japan	2014-02-12
North Korea	Engage in negotiation	Japan	2014-07-15
North Korea	Engage in negotiation	Japan	2014-08-12
North Korea	Engage in negotiation	Japan	2014-06-30
North Korea	Engage in negotiation	Japan	2014-07-07
North Korea	Engage in negotiation	Japan	2014-10-28
South Korea	Express intent to cooperate	China	2014-04-12
South Korea	Express intent to cooperate	China	2014-07-04
South Korea	Express intent to cooperate	China	2014-07-23
South Korea	Express intent to cooperate	China	2014-11-12
South Korea	Express intent to cooperate	China	2014-07-20
South Korea	Express intent to cooperate	China	2014-12-18
South Korea	Express intent to cooperate	China	2014-02-21
South Korea	Express intent to cooperate	China	2014-10-31
South Korea	Express intent to cooperate	China	2014-05-19
South Korea	Express intent to cooperate	China	2014-07-07
South Korea	Express intent to cooperate	China	2014-09-12
South Korea	Express intent to cooperate	China	2014-08-09
South Korea	Express intent to cooperate	China	2014-12-09
South Korea	Express intent to cooperate	China	2014-11-10
South Korea	Express intent to cooperate	China	2014-09-17
South Korea	Express intent to cooperate	China	2014-01-18
South Korea	Express intent to cooperate	China	2014-07-03
South Korea	Express intent to cooperate	China	2014-09-11
South Korea	Express intent to cooperate	China	2014-03-14
South Korea	Express intent to cooperate	China	2014-11-09
South Korea	Express intent to cooperate	China	2014-05-28
South Korea	Express intent to cooperate	China	2014-02-24
South Korea	Express intent to cooperate	China	2014-01-21
South Korea	Express intent to cooperate	China	2014-09-19
South Korea	Express intent to cooperate	China	2014-09-03
South Korea	Express intent to cooperate	China	2014-11-19
South Korea	Express intent to cooperate	China	2014-11-03
Barack Obama	Express intent to cooperate	Angela Merkel	2014-03-08
Barack Obama	Express intent to cooperate	Angela Merkel	2014-08-29
Barack Obama	Express intent to cooperate	Angela Merkel	2014-03-18
Barack Obama	Express intent to cooperate	Angela Merkel	2014-08-23
Barack Obama	Express intent to cooperate	Angela Merkel	2014-08-09
Barack Obama	Express intent to cooperate	Angela Merkel	2014-01-19
Barack Obama	Express intent to cooperate	Angela Merkel	2014-01-20
Barack Obama	Express intent to cooperate	Angela Merkel	2014-07-04
Barack Obama	Express intent to cooperate	Angela Merkel	2014-08-22
Barack Obama	Express intent to cooperate	Angela Merkel	2014-03-19
Barack Obama	Express intent to cooperate	Angela Merkel	2014-04-17
