,head,relation,tail,time
46,Abdel Fattah Al-Sisi,Consult,Ministry (Egypt),2015-12-28
47,Abdel Fattah Al-Sisi,Meet at a 'third' location,Nicos Anastasiades,2014-11-09
48,Abdel Fattah Al-Sisi,Consult,Nicos Anastasiades,2014-11-07
49,Abdel Fattah Al-Sisi,Make optimistic comment,Other Authorities / Officials (Egypt),2014-06-25
50,Abdel Fattah Al-Sisi,Make optimistic comment,Other Authorities / Officials (Egypt),2014-06-24
51,Abdel Fattah Al-Sisi,Make statement,Police (Egypt),2014-01-11
52,Abdel Fattah Al-Sisi,Praise or endorse,Police (Egypt),2013-12-16
53,Abdel Fattah Al-Sisi,Make a visit,Sergey Kuzhugetovich Shoygu,2015-11-24
54,Abdel Fattah Al-Sisi,Consult,Sergey Kuzhugetovich Shoygu,2013-11-26
55,Abdel Fattah Al-Sisi,Consult,Tony Blair,2014-07-26
56,Abdel Fattah Al-Sisi,Host a visit,Tony Blair,2014-09-08
57,Abdel Fattah Al-Sisi,Engage in symbolic act,Viktor Orban,2015-06-08
58,Abdel Fattah Al-Sisi,Make a visit,Viktor Orban,2015-06-05
59,Abdel Fattah Al-Sisi,Consult,Xi Jinping,2015-09-03
60,Abdel Fattah Al-Sisi,Engage in negotiation,Xi Jinping,2014-12-29
61,Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Xi Jinping,2015-08-30
62,Abdoulaye Wade,Make an appeal or request,African Union,2008-03-09
63,Abdoulaye Wade,Make statement,African Union,2010-01-18
64,Abdoulaye Wade,Make a visit,Ali Abdullah Saleh,2005-02-24
65,Abdoulaye Wade,Consult,Ali Abdullah Saleh,2005-02-25
66,Abdoulaye Wade,Consult,China,2007-12-11
67,Abdoulaye Wade,Express intent to meet or negotiate,China,2006-06-22
68,Abdoulaye Wade,Make a visit,China,2006-11-04
69,Abdoulaye Wade,Make a visit,France,2005-05-22
70,Abdoulaye Wade,Make a visit,France,2008-09-19
71,Abdoulaye Wade,Make statement,Iran,2011-01-20
72,Abdoulaye Wade,Make a visit,Iran,2006-06-26
73,Abdoulaye Wade,Make a visit,Iran,2008-04-10
74,Abdoulaye Wade,Express intent to meet or negotiate,Iran,2006-06-20
75,Abdoulaye Wade,Express intent to meet or negotiate,Mauritania,2009-05-12
76,Abdoulaye Wade,Make a visit,Mauritania,2006-03-06
77,Abdoulaye Wade,Praise or endorse,Ministry (Senegal),2006-11-24
78,Abdoulaye Wade,Praise or endorse,Ministry (Senegal),2007-06-19
79,Abdoulaye Wade,Consult,Ministry (Senegal),2011-06-24
80,Abdoulaye Wade,Make an appeal or request,Ministry (Senegal),2011-06-03
81,Abdoulaye Wade,Praise or endorse,Ministry (Senegal),2008-08-07
82,Abdoulaye Wade,Accuse,Other Authorities / Officials (Senegal),2014-04-26
83,Abdoulaye Wade,Make statement,Other Authorities / Officials (Senegal),2014-04-24
84,Abdul Aziz,Make statement,Malaysia,2008-04-08
85,Abdul Aziz,Make statement,Malaysia,2008-09-19
86,Abdul Aziz,Make a visit,Malaysia,2014-02-12
87,Abdul Aziz Abdul Ghani,Make statement,Ali Abdullah Saleh,2006-06-07
88,Abdul Aziz Abdul Ghani,Make statement,Ali Abdullah Saleh,2007-04-22
89,Abdul Aziz Abdul Ghani,Make statement,Yemen,2010-02-19
90,Abdul Aziz Abdul Ghani,Make statement,Yemen,2010-08-08
91,Abdul Hamid,Appeal for diplomatic cooperation (such as policy support),Citizen (Bangladesh),2013-10-31
92,Abdul Hamid,Engage in symbolic act,Citizen (Bangladesh),2015-03-17
93,Abdul Hamid,Make a visit,Vietnam,2015-08-14
94,Abdul Hamid,Make statement,Vietnam,2015-08-10
95,Abdul Kalam,Praise or endorse,Carlo Azeglio Ciampi,2005-02-14
96,Abdul Kalam,Host a visit,Carlo Azeglio Ciampi,2005-02-14
97,Abdul Kalam,Engage in negotiation,Roh Moo Hyun,2006-02-06
98,Abdul Kalam,Express intent to cooperate,Roh Moo Hyun,2006-02-07
99,Abdul Kalam,Make a visit,South Korea,2006-01-29
100,Abdul Kalam,Make an appeal or request,South Korea,2006-02-02
101,Abdul Kalam,Express intent to meet or negotiate,South Korea,2006-01-25
102,Abdul-Karim Al-Arhabi,Consult,Japan,2010-04-25
103,Abdul-Karim Al-Arhabi,Make a visit,Japan,2008-04-10
104,Abdullah Gül,Host a visit,Angela Merkel,2010-03-29
105,Abdullah Gül,Consult,Angela Merkel,2005-11-18
106,Abdullah Gül,Consult,Angela Merkel,2005-11-24
107,Abdullah Gül,Express intent to meet or negotiate,Barack Obama,2009-04-06
108,Abdullah Gül,Engage in negotiation,Barack Obama,2009-04-06
109,Abdullah Gül,Criticize or denounce,Barack Obama,2009-04-25
110,Abdullah Gül,Engage in negotiation,Barack Obama,2009-10-18
111,Abdullah Gül,Make statement,Barack Obama,2009-04-15
112,Abdullah Gül,Engage in negotiation,Barack Obama,2009-02-17
113,Abdullah Gül,Make an appeal or request,Barack Obama,2010-03-04
114,Abdullah Gül,Consult,Barack Obama,2010-11-20
115,Abdullah Gül,Express intent to meet or negotiate,Businessperson (Turkey),2005-05-11
116,Abdullah Gül,Make statement,Businessperson (Turkey),2010-12-23
117,Abdullah Gül,Consult,Businessperson (Turkey),2006-01-11
118,Abdullah Gül,Make a visit,China,2009-06-24
119,Abdullah Gül,Host a visit,China,2009-05-12
120,Abdullah Gül,Make a visit,China,2005-01-27
121,Abdullah Gül,Express intent to meet or negotiate,China,2009-06-22
122,Abdullah Gül,Make a visit,China,2005-01-25
123,Abdullah Gül,Make a visit,China,2009-06-25
124,Abdullah Gül,Make statement,China,2009-06-30
125,Abdullah Gül,Consult,Dmitry Anatolyevich Medvedev,2010-01-31
126,Abdullah Gül,Engage in symbolic act,Dmitry Anatolyevich Medvedev,2009-02-13
127,Abdullah Gül,Engage in negotiation,Dmitry Anatolyevich Medvedev,2009-10-21
128,Abdullah Gül,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2010-01-30
129,Abdullah Gül,Sign formal agreement,Dmitry Anatolyevich Medvedev,2009-02-14
130,Abdullah Gül,Make a visit,France,2006-09-12
131,Abdullah Gül,Make statement,France,2006-02-02
132,Abdullah Gül,Express intent to meet or negotiate,France,2009-10-04
133,Abdullah Gül,Host a visit,France,2008-10-15
134,Abdullah Gül,Make statement,France,2006-10-11
135,Abdullah Gül,Express intent to meet or negotiate,France,2009-10-05
136,Abdullah Gül,Make an appeal or request,France,2014-01-27
137,Abdullah Gül,Make statement,France,2011-12-23
138,Abdullah Gül,Express intent to meet or negotiate,Iran,2009-02-28
139,Abdullah Gül,Make a visit,Iran,2011-02-15
140,Abdullah Gül,Make a visit,Iran,2009-03-12
141,Abdullah Gül,Make a visit,Iran,2011-02-13
142,Abdullah Gül,Make an appeal or request,Iran,2005-11-25
143,Abdullah Gül,Praise or endorse,Iran,2011-11-18
144,Abdullah Gül,Make statement,Iran,2011-04-16
145,Abdullah Gül,Make statement,Iran,2006-07-09
146,Abdullah Gül,Make a visit,Iran,2006-06-26
147,Abdullah Gül,Express intent to meet or negotiate,Iran,2010-09-20
148,Abdullah Gül,Make statement,Iraq,2007-06-19
149,Abdullah Gül,Make statement,Iraq,2007-01-27
150,Abdullah Gül,Make an appeal or request,Iraq,2006-05-04
151,Abdullah Gül,Make an appeal or request,Iraq,2005-12-05
152,Abdullah Gül,Make a visit,Iraq,2006-10-12
153,Abdullah Gül,Make an appeal or request,Iraq,2007-07-07
154,Abdullah Gül,Reduce or break diplomatic relations,Iraq,2008-12-15
155,Abdullah Gül,Make an appeal or request,Iraq,2008-10-04
156,Abdullah Gül,Express intent to meet or negotiate,Iraq,2009-03-22
157,Abdullah Gül,Make statement,Iraq,2006-04-28
158,Abdullah Gül,Make statement,Iraq,2007-11-06
159,Abdullah Gül,Consult,Jack Straw,2005-11-20
160,Abdullah Gül,Consult,Jack Straw,2006-01-26
161,Abdullah Gül,Sign formal agreement,Jack Straw,2005-10-09
162,Abdullah Gül,Make statement,Japan,2010-05-04
163,Abdullah Gül,Make a visit,Japan,2010-05-05
164,Abdullah Gül,Express intent to meet or negotiate,Kazakhstan,2010-05-19
165,Abdullah Gül,Make a visit,Kazakhstan,2007-12-20
166,Abdullah Gül,Express intent to meet or negotiate,Kazakhstan,2010-06-21
167,Abdullah Gül,Express intent to meet or negotiate,Kazakhstan,2010-05-26
168,Abdullah Gül,Engage in negotiation,Legislature (Turkey),2011-05-29
169,Abdullah Gül,Make statement,Legislature (Turkey),2006-10-13
170,Abdullah Gül,Make a visit,Legislature (Turkey),2009-04-06
171,Abdullah Gül,Engage in negotiation,Mahmoud Abbas,2005-01-08
172,Abdullah Gül,Consult,Mahmoud Abbas,2012-03-01
173,Abdullah Gül,Consult,Mahmoud Abbas,2007-05-16
174,Abdullah Gül,Engage in negotiation,Mahmoud Abbas,2009-02-08
175,Abdullah Gül,Engage in symbolic act,Mahmoud Ahmadinejad,2008-08-14
176,Abdullah Gül,Consult,Mahmoud Ahmadinejad,2011-05-10
177,Abdullah Gül,Express intent to meet or negotiate,Mahmoud Ahmadinejad,2006-06-23
178,Abdullah Gül,Make statement,Mahmoud Ahmadinejad,2008-08-18
179,Abdullah Gül,Make statement,Mahmoud Ahmadinejad,2006-04-21
180,Abdullah Gül,Consult,Mahmoud Ahmadinejad,2013-02-10
181,Abdullah Gül,Meet at a 'third' location,Mahmoud Ahmadinejad,2008-03-14
182,Abdullah Gül,Make optimistic comment,Middle East,2007-11-13
183,Abdullah Gül,Make statement,Middle East,2006-06-19
184,Abdullah Gül,Consult,Nuri al-Maliki,2009-01-11
185,Abdullah Gül,Consult,Nuri al-Maliki,2008-11-01
186,Abdullah Gül,Consult,Pedro Manuel Mamede Passos Coelho,2012-12-19
187,Abdullah Gül,Engage in symbolic act,Pedro Manuel Mamede Passos Coelho,2013-05-07
188,Abdullah Gül,Consult,Robert Wexler,2006-04-11
189,Abdullah Gül,Consult,Robert Wexler,2010-01-20
190,Abdullah Gül,Make statement,Romania,2005-03-29
191,Abdullah Gül,Make statement,Romania,2008-03-03
192,Abdullah Gül,Make statement,Romania,2010-02-02
193,Abdullah Gül,Praise or endorse,Rupiah Banda,2010-07-12
194,Abdullah Gül,Make statement,Rupiah Banda,2010-07-13
195,Abdullah Gül,Praise or endorse,Shimon Peres,2007-11-13
196,Abdullah Gül,"Reject proposal to meet, discuss, or negotiate",Shimon Peres,2010-09-20
197,Abdullah Gül,Express intent to meet or negotiate,Tanzania,2008-02-21
198,Abdullah Gül,Express intent to meet or negotiate,Tanzania,2008-02-25
199,Abdullah Gül,Consult,Tatarstan,2009-09-27
200,Abdullah Gül,Express intent to meet or negotiate,Tatarstan,2009-02-11
201,Abdullah Gül,Engage in negotiation,Tzipi Livni,2006-05-30
202,Abdullah Gül,Express intent to meet or negotiate,Tzipi Livni,2006-03-09
203,Abdullah Gül,Engage in symbolic act,Tzipi Livni,2006-05-29
204,Abdullah Gül,Make statement,Yemen,2011-01-11
205,Abdullah Gül,Express intent to meet or negotiate,Yemen,2005-06-21
206,Abdulsalami Alhaji Abubakar,Make an appeal or request,Citizen (Nigeria),2015-10-08
207,Abdulsalami Alhaji Abubakar,"Return, release person(s)",Citizen (Nigeria),2006-09-21
208,Abdulsalami Alhaji Abubakar,Make statement,Government (Nigeria),2013-01-13
209,Abdulsalami Alhaji Abubakar,Praise or endorse,Government (Nigeria),2014-03-28
210,Abdulsalami Alhaji Abubakar,Engage in symbolic act,Head of Government (Nigeria),2015-02-26
211,Abdulsalami Alhaji Abubakar,Consult,Head of Government (Nigeria),2012-03-21
212,Abdulsalami Alhaji Abubakar,Praise or endorse,Muhammadu Buhari,2015-04-01
213,Abdulsalami Alhaji Abubakar,Consult,Muhammadu Buhari,2015-08-12
214,Abdulsalami Alhaji Abubakar,Express intent to meet or negotiate,Muhammadu Buhari,2015-03-26
215,Abdulsalami Alhaji Abubakar,Make statement,Oluṣẹgun Ọbasanjọ,2013-10-08
216,Abdulsalami Alhaji Abubakar,"Return, release person(s)",Oluṣẹgun Ọbasanjọ,2008-08-21
217,Abhisit Vejjajiva,Consult,Anand Panyarachun,2010-06-21
218,Abhisit Vejjajiva,Make statement,Anand Panyarachun,2010-06-22
219,Abhisit Vejjajiva,Consult,Association of Southeast Asian Nations,2009-02-28
220,Abhisit Vejjajiva,Make statement,Association of Southeast Asian Nations,2009-01-07
221,Abhisit Vejjajiva,Make statement,Association of Southeast Asian Nations,2009-04-22
222,Abhisit Vejjajiva,Meet at a 'third' location,Association of Southeast Asian Nations,2010-06-08
223,Abhisit Vejjajiva,Make a visit,Association of Southeast Asian Nations,2011-05-09
224,Abhisit Vejjajiva,Halt negotiations,Association of Southeast Asian Nations,2009-04-13
225,Abhisit Vejjajiva,Express intent to meet or negotiate,Banharn Silpa-archa,2013-08-30
226,Abhisit Vejjajiva,Consult,Banharn Silpa-archa,2009-05-15
227,Abhisit Vejjajiva,Demand change in leadership,Cabinet / Council of Ministers / Advisors (Thailand),2014-05-04
228,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2010-01-11
229,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2009-01-21
230,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2010-06-06
231,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2010-05-06
232,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2009-10-12
233,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2010-06-10
234,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2010-07-13
235,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2009-11-23
236,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2009-04-16
237,Abhisit Vejjajiva,Consult,Cabinet / Council of Ministers / Advisors (Thailand),2010-01-20
238,Abhisit Vejjajiva,Engage in symbolic act,Cabinet / Council of Ministers / Advisors (Thailand),2011-07-14
239,Abhisit Vejjajiva,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (Thailand),2008-12-19
240,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2009-12-01
241,Abhisit Vejjajiva,Express intent to change leadership,Cabinet / Council of Ministers / Advisors (Thailand),2009-12-04
242,Abhisit Vejjajiva,Consult,Cabinet / Council of Ministers / Advisors (Thailand),2009-10-07
243,Abhisit Vejjajiva,Make statement,Cambodia,2009-02-06
244,Abhisit Vejjajiva,"Demand meeting, negotiation",Cambodia,2011-07-19
245,Abhisit Vejjajiva,Make statement,Cambodia,2010-08-20
246,Abhisit Vejjajiva,Make a visit,Cambodia,2009-06-30
247,Abhisit Vejjajiva,Criticize or denounce,Cambodia,2011-12-26
248,Abhisit Vejjajiva,Make statement,Cambodia,2009-06-30
249,Abhisit Vejjajiva,Make statement,Cambodia,2009-11-11
250,Abhisit Vejjajiva,Criticize or denounce,Cambodia,2010-08-02
251,Abhisit Vejjajiva,Make optimistic comment,Cambodia,2011-02-17
252,Abhisit Vejjajiva,Make statement,Cambodia,2010-08-01
253,Abhisit Vejjajiva,Make a visit,Cambodia,2009-06-22
254,Abhisit Vejjajiva,Make statement,Cambodia,2010-08-09
255,Abhisit Vejjajiva,Deny responsibility,Cambodia,2011-06-16
256,Abhisit Vejjajiva,Make a visit,China,2009-06-27
257,Abhisit Vejjajiva,Consult,China,2009-08-11
258,Abhisit Vejjajiva,Make a visit,China,2010-11-09
259,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2010-05-23
260,Abhisit Vejjajiva,Deny responsibility,Citizen (Thailand),2008-12-22
261,Abhisit Vejjajiva,Criticize or denounce,Citizen (Thailand),2011-06-22
262,Abhisit Vejjajiva,Express intent to meet or negotiate,Citizen (Thailand),2009-01-18
263,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2010-02-17
264,Abhisit Vejjajiva,Make a visit,Citizen (Thailand),2012-04-30
265,Abhisit Vejjajiva,Praise or endorse,Citizen (Thailand),2009-03-02
266,Abhisit Vejjajiva,Engage in symbolic act,Citizen (Thailand),2010-01-12
267,Abhisit Vejjajiva,"Reject plan, agreement to settle dispute",Citizen (Thailand),2010-03-29
268,Abhisit Vejjajiva,Demand intelligence cooperation,Citizen (Thailand),2009-05-19
269,Abhisit Vejjajiva,Investigate,Citizen (Thailand),2009-10-06
270,Abhisit Vejjajiva,Express intent to cooperate,Citizen (Thailand),2010-01-04
271,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2010-06-11
272,Abhisit Vejjajiva,Coerce,Citizen (Thailand),2010-04-27
273,Abhisit Vejjajiva,Make pessimistic comment,Citizen (Thailand),2007-05-09
274,Abhisit Vejjajiva,Appeal for diplomatic cooperation (such as policy support),Citizen (Thailand),2010-06-02
275,Abhisit Vejjajiva,Express intent to meet or negotiate,Citizen (Thailand),2010-05-24
276,Abhisit Vejjajiva,Make optimistic comment,Citizen (Thailand),2009-07-20
277,Abhisit Vejjajiva,Demand material aid,Citizen (Thailand),2008-01-15
278,Abhisit Vejjajiva,Express intent to meet or negotiate,Citizen (Thailand),2009-10-06
279,Abhisit Vejjajiva,Bring lawsuit against,Citizen (Thailand),2010-07-01
280,Abhisit Vejjajiva,Halt negotiations,Citizen (Thailand),2009-04-22
281,Abhisit Vejjajiva,Decline comment,Citizen (Thailand),2009-02-14
282,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2010-05-16
283,Abhisit Vejjajiva,Praise or endorse,Citizen (Thailand),2009-03-04
284,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2009-04-24
285,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2009-03-20
286,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2010-08-29
287,Abhisit Vejjajiva,Demand,Citizen (Thailand),2011-03-28
288,Abhisit Vejjajiva,Demand,Citizen (Thailand),2008-09-11
289,Abhisit Vejjajiva,Demand diplomatic cooperation (such as policy support),Citizen (Thailand),2009-07-14
290,Abhisit Vejjajiva,Reject,Citizen (Thailand),2010-03-29
291,Abhisit Vejjajiva,Make empathetic comment,Citizen (Thailand),2006-08-08
292,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2008-06-24
293,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2006-04-02
294,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2012-04-27
295,Abhisit Vejjajiva,Make statement,Council for National Security,2007-07-13
296,Abhisit Vejjajiva,Make statement,Council for National Security,2007-02-16
297,Abhisit Vejjajiva,Make statement,Council for National Security,2007-02-17
298,Abhisit Vejjajiva,Demand diplomatic cooperation (such as policy support),Council for National Security,2007-05-15
299,Abhisit Vejjajiva,Engage in negotiation,Head of Government (Bahrain),2011-06-16
300,Abhisit Vejjajiva,Express intent to meet or negotiate,Head of Government (Bahrain),2010-03-26
301,Abhisit Vejjajiva,Praise or endorse,Head of Government (Bahrain),2010-03-30
302,Abhisit Vejjajiva,Make statement,Japan,2011-08-18
303,Abhisit Vejjajiva,Express intent to meet or negotiate,Japan,2009-02-05
304,Abhisit Vejjajiva,Make a visit,Japan,2009-02-08
305,Abhisit Vejjajiva,"Arrest, detain, or charge with legal action",Jatuporn Prompan,2010-01-25
306,Abhisit Vejjajiva,Bring lawsuit against,Jatuporn Prompan,2010-12-22
307,Abhisit Vejjajiva,Consult,Jatuporn Prompan,2013-03-09
308,Abhisit Vejjajiva,Bring lawsuit against,Jatuporn Prompan,2010-09-27
309,Abhisit Vejjajiva,Make statement,Jatuporn Prompan,2014-05-20
310,Abhisit Vejjajiva,Bring lawsuit against,Jatuporn Prompan,2010-01-18
311,Abhisit Vejjajiva,Make an appeal or request,Member of Parliament (Thailand),2009-09-09
312,Abhisit Vejjajiva,Investigate,Member of Parliament (Thailand),2010-10-20
313,Abhisit Vejjajiva,Bring lawsuit against,National United Front for Democracy Against Dictatorship,2010-07-01
314,Abhisit Vejjajiva,Make an appeal or request,National United Front for Democracy Against Dictatorship,2010-05-18
315,Abhisit Vejjajiva,Make statement,National United Front for Democracy Against Dictatorship,2009-04-29
316,Abhisit Vejjajiva,Express intent to engage in diplomatic cooperation (such as policy support),National United Front for Democracy Against Dictatorship,2009-03-02
317,Abhisit Vejjajiva,Make statement,National United Front for Democracy Against Dictatorship,2010-04-04
318,Abhisit Vejjajiva,Make statement,Party Member (Thailand),2011-04-18
319,Abhisit Vejjajiva,Demand,Party Member (Thailand),2010-01-11
320,Abhisit Vejjajiva,Make statement,Party Member (Thailand),2011-05-25
321,Abhisit Vejjajiva,Make statement,Party Member (Thailand),2008-09-12
322,Abhisit Vejjajiva,Make statement,Party Member (Thailand),2009-08-04
323,Abhisit Vejjajiva,Yield,Protester (Thailand),2010-04-04
324,Abhisit Vejjajiva,Make statement,Protester (Thailand),2010-06-03
325,Abhisit Vejjajiva,Make statement,Protester (Thailand),2008-12-29
326,Abhisit Vejjajiva,Make an appeal or request,Protester (Thailand),2010-05-10
327,Abhisit Vejjajiva,"Reject plan, agreement to settle dispute",Protester (Thailand),2010-04-28
328,Abhisit Vejjajiva,Make statement,Protester (Thailand),2009-04-10
329,Abhisit Vejjajiva,Make an appeal or request,Protester (Thailand),2009-04-10
330,Abhisit Vejjajiva,Reject,Protester (Thailand),2010-03-24
331,Abhisit Vejjajiva,Make statement,Protester (Thailand),2010-03-12
332,Abhisit Vejjajiva,Make an appeal or request,Protester (Thailand),2010-05-18
333,Abhisit Vejjajiva,Make statement,Protester (Thailand),2010-04-04
334,Abhisit Vejjajiva,Express intent to meet or negotiate,Protester (Thailand),2010-03-18
335,Abhisit Vejjajiva,Appeal for release of persons or property,Protester (Thailand),2009-04-12
336,Abhisit Vejjajiva,Make a visit,Qatar,2009-11-28
337,Abhisit Vejjajiva,Make a visit,Qatar,2009-11-24
338,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2010-03-23
339,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-11-03
340,Abhisit Vejjajiva,Make statement,Thailand,2010-08-28
341,Abhisit Vejjajiva,Make statement,Thailand,2010-11-09
342,Abhisit Vejjajiva,Make statement,Thailand,2011-04-18
343,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2011-05-30
344,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-10-15
345,Abhisit Vejjajiva,Make statement,Thailand,2010-01-17
346,Abhisit Vejjajiva,Make statement,Thailand,2009-02-20
347,Abhisit Vejjajiva,Make statement,Thailand,2009-04-07
348,Abhisit Vejjajiva,Make statement,Thailand,2010-09-09
349,Abhisit Vejjajiva,Make a visit,Thailand,2011-01-14
350,Abhisit Vejjajiva,Criticize or denounce,Thailand,2010-08-19
351,Abhisit Vejjajiva,Make statement,Thailand,2009-02-25
352,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-07-15
353,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-01-16
354,Abhisit Vejjajiva,Make a visit,Thailand,2011-03-30
355,Abhisit Vejjajiva,Make statement,Thailand,2009-09-07
356,Abhisit Vejjajiva,Make statement,Thailand,2009-08-10
357,Abhisit Vejjajiva,Make a visit,Thailand,2008-09-22
358,Abhisit Vejjajiva,Make statement,Thailand,2010-12-12
359,Abhisit Vejjajiva,Make statement,Thailand,2010-10-08
360,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2005-06-14
361,Abhisit Vejjajiva,Make a visit,Thailand,2011-07-02
362,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2005-11-08
363,Abhisit Vejjajiva,Make a visit,Thailand,2010-11-09
364,Abhisit Vejjajiva,Express intent to cooperate on judicial matters,Thailand,2009-10-23
365,Abhisit Vejjajiva,Make statement,Thailand,2011-06-24
366,Abhisit Vejjajiva,Make statement,Thailand,2009-10-03
367,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2010-06-11
368,Abhisit Vejjajiva,Make statement,Thailand,2012-01-18
369,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-06-23
370,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-11-18
371,Abhisit Vejjajiva,Make statement,Thailand,2008-12-19
