head	relation_x	tail	time_x
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-11-14
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-30
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-01-10
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-09
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-29
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-20
China	Express intent to cooperate	Japan	2014-09-11
China	Express intent to cooperate	Japan	2014-11-08
China	Express intent to cooperate	Japan	2014-11-10
China	Express intent to cooperate	Japan	2014-08-09
China	Express intent to cooperate	Japan	2014-11-29
China	Express intent to cooperate	Japan	2014-11-11
China	Express intent to cooperate	Japan	2014-11-07
China	Express intent to cooperate	Japan	2014-09-12
China	Express intent to cooperate	Japan	2014-12-09
China	Express intent to cooperate	Japan	2014-11-13
China	Express intent to cooperate	Japan	2014-11-27
China	Express intent to cooperate	Japan	2014-09-24
China	Express intent to cooperate	Japan	2014-12-31
China	Express intent to cooperate	Japan	2014-11-21
China	Express intent to cooperate	Japan	2014-09-26
China	Express intent to cooperate	Japan	2014-09-19
China	Express intent to cooperate	Japan	2014-09-27
China	Express intent to cooperate	Japan	2014-12-30
China	Express intent to cooperate	Japan	2014-09-17
China	Express intent to cooperate	Japan	2014-09-25
China	Express intent to cooperate	Japan	2014-12-18
Japan	Express intent to cooperate	North Korea	2014-05-28
Japan	Express intent to cooperate	North Korea	2014-03-21
Japan	Express intent to cooperate	North Korea	2014-06-25
Japan	Express intent to cooperate	North Korea	2014-08-21
Japan	Express intent to cooperate	North Korea	2014-03-06
Japan	Express intent to cooperate	North Korea	2014-03-20
Japan	Express intent to cooperate	North Korea	2014-07-01
Japan	Express intent to cooperate	North Korea	2014-03-03
Japan	Express intent to cooperate	North Korea	2014-05-31
Japan	Express intent to cooperate	North Korea	2014-02-28
Angela Merkel	Express intent to cooperate	Barack Obama	2014-08-29
Angela Merkel	Express intent to cooperate	Barack Obama	2014-08-28
Angela Merkel	Express intent to cooperate	Barack Obama	2014-03-08
Angela Merkel	Express intent to cooperate	Barack Obama	2014-02-20
Angela Merkel	Express intent to cooperate	Barack Obama	2014-04-17
Angela Merkel	Express intent to cooperate	Barack Obama	2014-03-02
Pakistan Tehreek-e-Insaf	Express intent to cooperate	Government (Pakistan)	2014-08-15
Pakistan Tehreek-e-Insaf	Express intent to cooperate	Government (Pakistan)	2014-08-24
Guatemala	Express intent to cooperate	Mexico	2014-09-09
Barack Obama	Express intent to cooperate	Benjamin Netanyahu	2014-03-04
Barack Obama	Express intent to cooperate	Benjamin Netanyahu	2014-03-03
Catherine Ashton	Express intent to cooperate	Mohammad Javad Zarif	2014-02-20
Catherine Ashton	Express intent to cooperate	Mohammad Javad Zarif	2014-01-31
Xi Jinping	Express intent to cooperate	Barack Obama	2014-03-24
Xi Jinping	Express intent to cooperate	Barack Obama	2014-11-14
Xi Jinping	Express intent to cooperate	Barack Obama	2014-11-13
Xi Jinping	Express intent to cooperate	Barack Obama	2014-07-15
Xi Jinping	Express intent to cooperate	Barack Obama	2014-04-10
Xi Jinping	Express intent to cooperate	Barack Obama	2014-12-19
Xi Jinping	Express intent to cooperate	Barack Obama	2014-11-12
China	Express intent to cooperate	South Korea	2014-09-17
China	Express intent to cooperate	South Korea	2014-05-19
China	Express intent to cooperate	South Korea	2014-07-03
China	Express intent to cooperate	South Korea	2014-09-21
China	Express intent to cooperate	South Korea	2014-02-24
China	Express intent to cooperate	South Korea	2014-11-10
China	Express intent to cooperate	South Korea	2014-11-12
China	Express intent to cooperate	South Korea	2014-01-21
China	Express intent to cooperate	South Korea	2014-09-11
China	Express intent to cooperate	South Korea	2014-09-19
China	Express intent to cooperate	South Korea	2014-09-12
China	Express intent to cooperate	South Korea	2014-11-19
China	Express intent to cooperate	South Korea	2014-05-16
China	Express intent to cooperate	South Korea	2014-10-31
China	Express intent to cooperate	South Korea	2014-08-09
China	Express intent to cooperate	South Korea	2014-07-07
China	Express intent to cooperate	South Korea	2014-07-04
China	Express intent to cooperate	South Korea	2014-11-03
China	Express intent to cooperate	South Korea	2014-01-18
China	Express intent to cooperate	South Korea	2014-04-12
China	Express intent to cooperate	South Korea	2014-02-21
China	Express intent to cooperate	South Korea	2014-11-09
China	Express intent to cooperate	South Korea	2014-07-23
North Korea	Express intent to cooperate	Japan	2014-03-06
North Korea	Express intent to cooperate	Japan	2014-05-29
North Korea	Express intent to cooperate	Japan	2014-06-02
North Korea	Express intent to cooperate	Japan	2014-10-31
North Korea	Express intent to cooperate	Japan	2014-05-31
North Korea	Express intent to cooperate	Japan	2014-03-21
North Korea	Express intent to cooperate	Japan	2014-03-03
North Korea	Express intent to cooperate	Japan	2014-05-28
North Korea	Express intent to cooperate	Japan	2014-07-01
North Korea	Express intent to cooperate	Japan	2014-03-20
North Korea	Express intent to cooperate	Japan	2014-06-06
South Korea	Express intent to cooperate	China	2014-04-12
South Korea	Express intent to cooperate	China	2014-07-04
South Korea	Express intent to cooperate	China	2014-07-23
South Korea	Express intent to cooperate	China	2014-11-12
South Korea	Express intent to cooperate	China	2014-07-20
South Korea	Express intent to cooperate	China	2014-12-18
South Korea	Express intent to cooperate	China	2014-02-21
South Korea	Express intent to cooperate	China	2014-10-31
South Korea	Express intent to cooperate	China	2014-05-19
South Korea	Express intent to cooperate	China	2014-07-07
South Korea	Express intent to cooperate	China	2014-09-12
South Korea	Express intent to cooperate	China	2014-08-09
South Korea	Express intent to cooperate	China	2014-12-09
South Korea	Express intent to cooperate	China	2014-11-10
South Korea	Express intent to cooperate	China	2014-09-17
South Korea	Express intent to cooperate	China	2014-01-18
South Korea	Express intent to cooperate	China	2014-07-03
South Korea	Express intent to cooperate	China	2014-09-11
South Korea	Express intent to cooperate	China	2014-03-14
South Korea	Express intent to cooperate	China	2014-11-09
South Korea	Express intent to cooperate	China	2014-05-28
South Korea	Express intent to cooperate	China	2014-02-24
South Korea	Express intent to cooperate	China	2014-01-21
South Korea	Express intent to cooperate	China	2014-09-19
South Korea	Express intent to cooperate	China	2014-09-03
South Korea	Express intent to cooperate	China	2014-11-19
South Korea	Express intent to cooperate	China	2014-11-03
Mohammad Javad Zarif	Express intent to cooperate	Catherine Ashton	2014-01-27
Mohammad Javad Zarif	Express intent to cooperate	Catherine Ashton	2014-01-31
China	Express intent to cooperate	Malaysia	2014-05-20
China	Express intent to cooperate	Malaysia	2014-11-11
China	Express intent to cooperate	Malaysia	2014-05-05
China	Express intent to cooperate	Malaysia	2014-05-15
China	Express intent to cooperate	Malaysia	2014-04-11
France	Express intent to cooperate	China	2014-11-30
France	Express intent to cooperate	China	2014-01-14
France	Express intent to cooperate	China	2014-10-20
France	Express intent to cooperate	China	2014-01-12
France	Express intent to cooperate	China	2014-11-01
France	Express intent to cooperate	China	2014-10-19
North Korea	Express intent to cooperate	South Korea	2014-02-06
North Korea	Express intent to cooperate	South Korea	2014-01-06
North Korea	Express intent to cooperate	South Korea	2014-10-05
North Korea	Express intent to cooperate	South Korea	2014-10-09
North Korea	Express intent to cooperate	South Korea	2014-09-10
North Korea	Express intent to cooperate	South Korea	2014-02-05
North Korea	Express intent to cooperate	South Korea	2014-10-10
North Korea	Express intent to cooperate	South Korea	2014-02-12
North Korea	Express intent to cooperate	South Korea	2014-03-27
North Korea	Express intent to cooperate	South Korea	2014-02-17
North Korea	Express intent to cooperate	South Korea	2014-10-06
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-24
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-14
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-30
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-15
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-13
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-29
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-05
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Afghanistan	2014-12-05
South Korea	Express intent to cooperate	Japan	2014-10-11
South Korea	Express intent to cooperate	Japan	2014-11-22
South Korea	Express intent to cooperate	Japan	2014-11-12
South Korea	Express intent to cooperate	Japan	2014-04-10
South Korea	Express intent to cooperate	Japan	2014-09-12
South Korea	Express intent to cooperate	Japan	2014-08-07
South Korea	Express intent to cooperate	Japan	2014-09-25
South Korea	Express intent to cooperate	Japan	2014-12-29
South Korea	Express intent to cooperate	Japan	2014-09-11
South Korea	Express intent to cooperate	Japan	2014-10-10
South Korea	Express intent to cooperate	Japan	2014-12-09
South Korea	Express intent to cooperate	Japan	2014-04-16
South Korea	Express intent to cooperate	Japan	2014-12-26
South Korea	Express intent to cooperate	Japan	2014-09-19
South Korea	Express intent to cooperate	Japan	2014-07-16
South Korea	Express intent to cooperate	Japan	2014-08-09
China	Express intent to cooperate	Iran	2014-11-25
China	Express intent to cooperate	Iran	2014-02-23
China	Express intent to cooperate	Iran	2014-11-27
Iran	Express intent to cooperate	Oman	2014-12-01
Iran	Express intent to cooperate	Oman	2014-11-29
Catherine Ashton	Express intent to cooperate	John Kerry	2014-04-19
Antonis Samaras	Express intent to cooperate	Evangelos Venizelos	2014-10-03
Antonis Samaras	Express intent to cooperate	Evangelos Venizelos	2014-09-30
Benjamin Netanyahu	Express intent to cooperate	John Kerry	2014-07-03
Malaysia	Express intent to cooperate	Thailand	2014-12-04
Malaysia	Express intent to cooperate	Thailand	2014-12-02
Malaysia	Express intent to cooperate	Thailand	2014-09-12
Malaysia	Express intent to cooperate	Thailand	2014-12-01
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-03-05
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-03-30
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-03-14
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-07-29
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-10-24
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-11-14
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-07-19
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-01-15
Sergey Viktorovich Lavrov	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (United States)	2014-03-31
China	Express intent to cooperate	France	2014-10-20
China	Express intent to cooperate	France	2014-10-19
China	Express intent to cooperate	France	2014-11-30
China	Express intent to cooperate	France	2014-11-24
China	Express intent to cooperate	France	2014-01-12
China	Express intent to cooperate	France	2014-01-16
China	Express intent to cooperate	France	2014-11-01
China	Express intent to cooperate	France	2014-01-14
Iran	Express intent to cooperate	UN Security Council	2014-07-19
Mohammad Javad Zarif	Express intent to cooperate	John Kerry	2014-07-16
Mohammad Javad Zarif	Express intent to cooperate	John Kerry	2014-11-24
John Kerry	Express intent to cooperate	Mohammad Javad Zarif	2014-07-16
John Kerry	Express intent to cooperate	Mohammad Javad Zarif	2014-11-24
Laos	Express intent to cooperate	Cambodia	2014-06-27
North Korea	Express intent to cooperate	China	2014-02-22
François Hollande	Express intent to cooperate	Barack Obama	2014-02-06
François Hollande	Express intent to cooperate	Barack Obama	2014-06-20
France	Express intent to cooperate	Japan	2014-01-09
France	Express intent to cooperate	Japan	2014-09-26
France	Express intent to cooperate	Japan	2014-06-04
France	Express intent to cooperate	Japan	2014-06-05
France	Express intent to cooperate	Japan	2014-03-25
France	Express intent to cooperate	Japan	2014-05-06
Iran	Express intent to cooperate	France	2014-01-17
Thailand	Express intent to cooperate	Cambodia	2014-06-17
Thailand	Express intent to cooperate	Cambodia	2014-10-30
Thailand	Express intent to cooperate	Cambodia	2014-06-27
Joseph Robinette Biden	Express intent to cooperate	Arseniy Yatsenyuk	2014-09-17
Japan	Express intent to cooperate	South Korea	2014-10-11
Japan	Express intent to cooperate	South Korea	2014-10-10
Japan	Express intent to cooperate	South Korea	2014-11-22
Japan	Express intent to cooperate	South Korea	2014-09-19
Japan	Express intent to cooperate	South Korea	2014-12-26
Japan	Express intent to cooperate	South Korea	2014-09-26
Japan	Express intent to cooperate	South Korea	2014-09-25
Japan	Express intent to cooperate	South Korea	2014-08-07
Japan	Express intent to cooperate	South Korea	2014-11-12
Japan	Express intent to cooperate	South Korea	2014-12-29
Japan	Express intent to cooperate	South Korea	2014-07-16
Japan	Express intent to cooperate	South Korea	2014-04-10
Japan	Express intent to cooperate	South Korea	2014-09-12
Japan	Express intent to cooperate	South Korea	2014-04-16
Japan	Express intent to cooperate	South Korea	2014-12-09
Barack Obama	Express intent to cooperate	Japan	2014-04-25
Barack Obama	Express intent to cooperate	Japan	2014-04-24
Barack Obama	Express intent to cooperate	Japan	2014-05-13
