relation test,relation train,#implication,#rel_test,percentage
Consult,"Accede to demands for change in institutions, regime",1,977,0.0010235414534288639
Consult,Halt mediation,1,977,0.0010235414534288639
Consult,Accede to demands for change in policy,0,977,0.0
Consult,Demand material aid,0,977,0.0
Consult,Engage in mass expulsion,0,977,0.0
Consult,Investigate human rights abuses,0,977,0.0
Consult,Ease state of emergency or martial law,0,977,0.0
"Abduct, hijack, or take hostage",Violate ceasefire,0,56,0.0
"Abduct, hijack, or take hostage",Use as human shield,0,56,0.0
"Abduct, hijack, or take hostage",Investigate human rights abuses,1,56,0.017857142857142856
Praise or endorse,Appeal for political reform,0,343,0.0
Praise or endorse,"Express intent to change institutions, regime",2,343,0.0058309037900874635
Praise or endorse,Veto,5,343,0.014577259475218658
Praise or endorse,"Ease economic sanctions, boycott, embargo",10,343,0.029154518950437316
Praise or endorse,Express intent to cooperate militarily,1,343,0.0029154518950437317
Praise or endorse,Express intent to de-escalate military engagement,27,343,0.07871720116618076
Praise or endorse,Accede to demands for rights,0,343,0.0
Praise or endorse,Appeal to others to settle dispute,8,343,0.023323615160349854
Praise or endorse,"Express intent to ease economic sanctions, boycott, or embargo",15,343,0.043731778425655975
Praise or endorse,Express intent to cooperate on intelligence,0,343,0.0
Praise or endorse,Express intent to settle dispute,3,343,0.008746355685131196
Praise or endorse,Demand settling of dispute,0,343,0.0
Praise or endorse,Appeal to yield,3,343,0.008746355685131196
Praise or endorse,Demand military aid,0,343,0.0
Praise or endorse,Reject military cooperation,4,343,0.011661807580174927
Praise or endorse,Demand political reform,0,343,0.0
Praise or endorse,Violate ceasefire,0,343,0.0
Praise or endorse,Reject judicial cooperation,0,343,0.0
Praise or endorse,Reduce or stop military assistance,5,343,0.014577259475218658
Praise or endorse,"Accede to demands for change in institutions, regime",0,343,0.0
Praise or endorse,Halt mediation,0,343,0.0
Praise or endorse,Accede to demands for change in policy,1,343,0.0029154518950437317
Praise or endorse,Engage in mass expulsion,0,343,0.0
Praise or endorse,Appeal for target to allow international involvement (non-mediation),3,343,0.008746355685131196
Engage in negotiation,Meet at a 'third' location,157,194,0.8092783505154639
Engage in negotiation,"Express intent to change institutions, regime",1,194,0.005154639175257732
Engage in negotiation,Express intent to cooperate militarily,0,194,0.0
Engage in negotiation,"Express intent to ease economic sanctions, boycott, or embargo",63,194,0.3247422680412371
Engage in negotiation,Express intent to cooperate on intelligence,21,194,0.10824742268041238
Engage in negotiation,Express intent to settle dispute,22,194,0.1134020618556701
Engage in negotiation,"Appeal for easing of economic sanctions, boycott, or embargo",0,194,0.0
Engage in negotiation,Demand military aid,0,194,0.0
Engage in negotiation,Reject military cooperation,2,194,0.010309278350515464
Engage in negotiation,Threaten to halt negotiations,0,194,0.0
Engage in negotiation,Reject judicial cooperation,1,194,0.005154639175257732
Engage in negotiation,"Accede to demands for change in institutions, regime",2,194,0.010309278350515464
Engage in negotiation,Halt mediation,0,194,0.0
Engage in negotiation,Accede to demands for change in policy,0,194,0.0
Engage in negotiation,Engage in mass expulsion,0,194,0.0
Make an appeal or request,Complain officially,57,629,0.09062003179650238
Make an appeal or request,Appeal for diplomatic cooperation (such as policy support),462,629,0.7344992050874404
Make an appeal or request,Threaten,270,629,0.4292527821939587
Make an appeal or request,Impose restrictions on political freedoms,25,629,0.0397456279809221
Make an appeal or request,"Investigate crime, corruption",29,629,0.046104928457869634
Make an appeal or request,Appeal to others to meet or negotiate,24,629,0.03815580286168521
Make an appeal or request,Use tactics of violent repression,31,629,0.0492845786963434
Make an appeal or request,Demand humanitarian aid,1,629,0.001589825119236884
Make an appeal or request,"Demand meeting, negotiation",11,629,0.017488076311605722
Make an appeal or request,Accuse of aggression,0,629,0.0
Make an appeal or request,"Appeal for change in institutions, regime",7,629,0.011128775834658187
Make an appeal or request,Express intent to provide humanitarian aid,32,629,0.05087440381558029
Make an appeal or request,"Ease economic sanctions, boycott, embargo",3,629,0.0047694753577106515
Make an appeal or request,Mobilize or increase police power,0,629,0.0
Make an appeal or request,"Reject plan, agreement to settle dispute",32,629,0.05087440381558029
Make an appeal or request,"Obstruct passage, block",1,629,0.001589825119236884
Make an appeal or request,Accede to demands for rights,16,629,0.025437201907790145
Make an appeal or request,Demand de-escalation of military engagement,2,629,0.003179650238473768
Make an appeal or request,Reduce or stop humanitarian assistance,7,629,0.011128775834658187
Make an appeal or request,Appeal to others to settle dispute,6,629,0.009538950715421303
Make an appeal or request,"Express intent to ease economic sanctions, boycott, or embargo",1,629,0.001589825119236884
Make an appeal or request,Express intent to cooperate on intelligence,12,629,0.019077901430842606
Make an appeal or request,Decline comment,16,629,0.025437201907790145
Make an appeal or request,Appeal for military aid,128,629,0.20349761526232116
Make an appeal or request,Express intent to provide military protection or peacekeeping,2,629,0.003179650238473768
Make an appeal or request,"Return, release property",12,629,0.019077901430842606
Make an appeal or request,Ease military blockade,0,629,0.0
Make an appeal or request,Appeal for material cooperation,26,629,0.04133545310015898
Make an appeal or request,Demand settling of dispute,1,629,0.001589825119236884
Make an appeal or request,"Appeal for easing of economic sanctions, boycott, or embargo",0,629,0.0
Make an appeal or request,Appeal to yield,32,629,0.05087440381558029
Make an appeal or request,Demand military aid,0,629,0.0
Make an appeal or request,Threaten to reduce or stop aid,0,629,0.0
Make an appeal or request,Appeal for release of persons or property,11,629,0.017488076311605722
Make an appeal or request,Appeal for aid,61,629,0.09697933227344992
Make an appeal or request,Appeal to engage in or accept mediation,76,629,0.12082670906200318
Make an appeal or request,Engage in violent protest for rights,0,629,0.0
Make an appeal or request,Expel or withdraw peacekeepers,1,629,0.001589825119236884
Make an appeal or request,Appeal for military protection or peacekeeping,0,629,0.0
Make an appeal or request,Accuse of war crimes,3,629,0.0047694753577106515
Make an appeal or request,Reject military cooperation,0,629,0.0
Make an appeal or request,Threaten to halt negotiations,0,629,0.0
Make an appeal or request,Demand material cooperation,8,629,0.012718600953895072
Make an appeal or request,Demand easing of administrative sanctions,0,629,0.0
Make an appeal or request,Demand rights,0,629,0.0
Make an appeal or request,Demand political reform,0,629,0.0
Make an appeal or request,Demand judicial cooperation,4,629,0.006359300476947536
Make an appeal or request,Express intent to accept mediation,1,629,0.001589825119236884
Make an appeal or request,Demand that target yields,3,629,0.0047694753577106515
Make an appeal or request,Demand mediation,1,629,0.001589825119236884
Make an appeal or request,Appeal for humanitarian aid,3,629,0.0047694753577106515
Make an appeal or request,Reject judicial cooperation,4,629,0.006359300476947536
Make an appeal or request,Threaten to reduce or break relations,0,629,0.0
Make an appeal or request,Demobilize armed forces,0,629,0.0
Make an appeal or request,Demand policy change,3,629,0.0047694753577106515
Make an appeal or request,"Accede to demands for change in institutions, regime",0,629,0.0
Make an appeal or request,Reject economic cooperation,3,629,0.0047694753577106515
Make an appeal or request,Halt mediation,0,629,0.0
Make an appeal or request,Accede to demands for change in policy,0,629,0.0
Make an appeal or request,Demand material aid,2,629,0.003179650238473768
Make an appeal or request,Engage in mass expulsion,0,629,0.0
Make an appeal or request,Investigate human rights abuses,9,629,0.014308426073131956
Use unconventional violence,Carry out suicide bombing,130,219,0.593607305936073
Use unconventional violence,"Conduct suicide, car, or other non-military bombing",146,219,0.6666666666666666
Use unconventional violence,Physically assault,149,219,0.680365296803653
Use unconventional violence,Kill by physical assault,45,219,0.2054794520547945
Use unconventional violence,Demand political reform,0,219,0.0
Use unconventional violence,Demand judicial cooperation,2,219,0.0091324200913242
Use unconventional violence,Use as human shield,1,219,0.0045662100456621
Use unconventional violence,Carry out car bombing,7,219,0.0319634703196347
Use unconventional violence,Carry out roadside bombing,2,219,0.0091324200913242
Make statement,Meet at a 'third' location,150,1500,0.1
Make statement,"Impose blockade, restrict movement",6,1500,0.004
Make statement,Discuss by telephone,225,1500,0.15
Make statement,Use tactics of violent repression,39,1500,0.026
Make statement,Express intent to cooperate economically,41,1500,0.027333333333333334
Make statement,"Express intent to change institutions, regime",1,1500,0.0006666666666666666
Make statement,Accuse of aggression,8,1500,0.005333333333333333
Make statement,Veto,0,1500,0.0
Make statement,"Ease economic sanctions, boycott, embargo",55,1500,0.03666666666666667
Make statement,Express intent to cooperate militarily,6,1500,0.004
Make statement,Mobilize or increase police power,37,1500,0.024666666666666667
Make statement,Employ aerial weapons,15,1500,0.01
Make statement,Demonstrate military or police power,26,1500,0.017333333333333333
Make statement,"Reject plan, agreement to settle dispute",32,1500,0.021333333333333333
Make statement,"Obstruct passage, block",27,1500,0.018
Make statement,Express intent to de-escalate military engagement,20,1500,0.013333333333333334
Make statement,Demand de-escalation of military engagement,2,1500,0.0013333333333333333
Make statement,Reduce or stop humanitarian assistance,2,1500,0.0013333333333333333
Make statement,Appeal to others to settle dispute,4,1500,0.0026666666666666666
Make statement,"Express intent to ease economic sanctions, boycott, or embargo",19,1500,0.012666666666666666
Make statement,fight with artillery and tanks,27,1500,0.018
Make statement,Express intent to cooperate on intelligence,9,1500,0.006
Make statement,Express intent to settle dispute,21,1500,0.014
Make statement,Halt negotiations,17,1500,0.011333333333333334
Make statement,Express intent to provide military protection or peacekeeping,2,1500,0.0013333333333333333
Make statement,Refuse to de-escalate military engagement,2,1500,0.0013333333333333333
Make statement,Increase police alert status,22,1500,0.014666666666666666
Make statement,Ease military blockade,2,1500,0.0013333333333333333
Make statement,Seize or damage property,2,1500,0.0013333333333333333
Make statement,Accede to requests or demands for political reform,0,1500,0.0
Make statement,"Appeal for easing of economic sanctions, boycott, or embargo",2,1500,0.0013333333333333333
Make statement,Demand military aid,0,1500,0.0
Make statement,Threaten to reduce or stop aid,2,1500,0.0013333333333333333
Make statement,Demand release of persons or property,1,1500,0.0006666666666666666
Make statement,"Demand change in institutions, regime",4,1500,0.0026666666666666666
Make statement,Engage in violent protest for rights,0,1500,0.0
Make statement,Reject military cooperation,4,1500,0.0026666666666666666
Make statement,Threaten to halt negotiations,2,1500,0.0013333333333333333
Make statement,Express intent to institute political reform,1,1500,0.0006666666666666666
Make statement,Receive inspectors,0,1500,0.0
Make statement,Violate ceasefire,0,1500,0.0
Make statement,Demand that target yields,1,1500,0.0006666666666666666
Make statement,Threaten to halt mediation,0,1500,0.0
Make statement,Reject judicial cooperation,1,1500,0.0006666666666666666
Make statement,Demand policy change,1,1500,0.0006666666666666666
Make statement,"Accede to demands for change in institutions, regime",4,1500,0.0026666666666666666
Make statement,Reject economic cooperation,0,1500,0.0
Make statement,Halt mediation,0,1500,0.0
Make statement,Accede to demands for change in policy,3,1500,0.002
Make statement,Investigate war crimes,0,1500,0.0
Make statement,Destroy property,1,1500,0.0006666666666666666
Make statement,Express intent to change policy,1,1500,0.0006666666666666666
Make statement,Engage in mass expulsion,0,1500,0.0
Make statement,Carry out car bombing,0,1500,0.0
"Arrest, detain, or charge with legal action",Ease administrative sanctions,400,402,0.9950248756218906
"Arrest, detain, or charge with legal action",Accede to demands for rights,12,402,0.029850746268656716
"Arrest, detain, or charge with legal action",Coerce,129,402,0.3208955223880597
"Arrest, detain, or charge with legal action",Refuse to ease administrative sanctions,14,402,0.03482587064676617
"Arrest, detain, or charge with legal action",Demand release of persons or property,2,402,0.004975124378109453
"Arrest, detain, or charge with legal action",Use as human shield,0,402,0.0
"Arrest, detain, or charge with legal action",Investigate human rights abuses,18,402,0.04477611940298507
Use conventional military force,"Impose blockade, restrict movement",7,191,0.03664921465968586
Use conventional military force,Use tactics of violent repression,208,191,1.0890052356020943
Use conventional military force,"Express intent to change institutions, regime",1,191,0.005235602094240838
Use conventional military force,Confiscate property,82,191,0.4293193717277487
Use conventional military force,Mobilize or increase police power,4,191,0.020942408376963352
Use conventional military force,Employ aerial weapons,34,191,0.17801047120418848
Use conventional military force,Impose state of emergency or martial law,5,191,0.02617801047120419
Use conventional military force,Reject request for military aid,0,191,0.0
Use conventional military force,Increase police alert status,12,191,0.06282722513089005
Use conventional military force,Seize or damage property,0,191,0.0
Use conventional military force,"Appeal for easing of economic sanctions, boycott, or embargo",1,191,0.005235602094240838
Use conventional military force,Appeal for military protection or peacekeeping,0,191,0.0
Use conventional military force,Threaten to halt negotiations,1,191,0.005235602094240838
Use conventional military force,Demobilize armed forces,0,191,0.0
Use conventional military force,Halt mediation,0,191,0.0
Use conventional military force,"Use chemical, biological, or radiological weapons",0,191,0.0
Use conventional military force,Engage in mass expulsion,2,191,0.010471204188481676
Complain officially,"Express intent to ease economic sanctions, boycott, or embargo",0,16,0.0
Complain officially,Express intent to cooperate on intelligence,0,16,0.0
Complain officially,Demand judicial cooperation,0,16,0.0
Complain officially,Reject judicial cooperation,0,16,0.0
Impose administrative sanctions,"Impose blockade, restrict movement",3,21,0.14285714285714285
Express intent to cooperate,"Express intent to change institutions, regime",1,178,0.0056179775280898875
Express intent to cooperate,"Ease economic sanctions, boycott, embargo",20,178,0.11235955056179775
Express intent to cooperate,Express intent to cooperate militarily,3,178,0.016853932584269662
Express intent to cooperate,"Reject plan, agreement to settle dispute",24,178,0.1348314606741573
Express intent to cooperate,Accede to demands for rights,1,178,0.0056179775280898875
Express intent to cooperate,"Express intent to ease economic sanctions, boycott, or embargo",30,178,0.16853932584269662
Express intent to cooperate,Express intent to cooperate on intelligence,13,178,0.07303370786516854
Express intent to cooperate,Express intent to settle dispute,33,178,0.1853932584269663
Express intent to cooperate,"Appeal for easing of economic sanctions, boycott, or embargo",1,178,0.0056179775280898875
Express intent to cooperate,Appeal to yield,2,178,0.011235955056179775
Express intent to cooperate,Threaten to halt negotiations,1,178,0.0056179775280898875
Express intent to cooperate,Demand judicial cooperation,0,178,0.0
Express intent to cooperate,Reject judicial cooperation,2,178,0.011235955056179775
Express intent to cooperate,Demand policy change,0,178,0.0
Express intent to cooperate,Reject economic cooperation,0,178,0.0
Express intent to cooperate,Halt mediation,1,178,0.0056179775280898875
Express intent to cooperate,Engage in mass expulsion,1,178,0.0056179775280898875
Sign formal agreement,"Express intent to change institutions, regime",1,129,0.007751937984496124
Sign formal agreement,Express intent to cooperate militarily,6,129,0.046511627906976744
Sign formal agreement,"Reject plan, agreement to settle dispute",14,129,0.10852713178294573
Sign formal agreement,"Express intent to ease economic sanctions, boycott, or embargo",16,129,0.12403100775193798
Sign formal agreement,Express intent to cooperate on intelligence,6,129,0.046511627906976744
Sign formal agreement,Express intent to settle dispute,24,129,0.18604651162790697
Sign formal agreement,"Appeal for easing of economic sanctions, boycott, or embargo",0,129,0.0
Sign formal agreement,Demand military aid,0,129,0.0
Sign formal agreement,Engage in violent protest for rights,0,129,0.0
Sign formal agreement,Threaten to halt negotiations,0,129,0.0
Sign formal agreement,Violate ceasefire,0,129,0.0
Sign formal agreement,Reject judicial cooperation,1,129,0.007751937984496124
Sign formal agreement,Halt mediation,0,129,0.0
Sign formal agreement,Accede to demands for change in policy,0,129,0.0
Threaten with military force,Attempt to assassinate,0,14,0.0
Host a visit,"Express intent to change institutions, regime",1,432,0.0023148148148148147
Host a visit,"Appeal for easing of economic sanctions, boycott, or embargo",0,432,0.0
Host a visit,Demand military aid,0,432,0.0
Host a visit,Threaten to halt negotiations,0,432,0.0
Host a visit,Reject judicial cooperation,0,432,0.0
Host a visit,Reject material cooperation,2,432,0.004629629629629629
Host a visit,Halt mediation,0,432,0.0
Host a visit,Appeal for target to allow international involvement (non-mediation),0,432,0.0
Make a visit,"Express intent to change institutions, regime",1,432,0.0023148148148148147
Make a visit,"Ease economic sanctions, boycott, embargo",39,432,0.09027777777777778
Make a visit,Express intent to cooperate militarily,8,432,0.018518518518518517
Make a visit,Express intent to de-escalate military engagement,26,432,0.06018518518518518
Make a visit,"Express intent to ease economic sanctions, boycott, or embargo",45,432,0.10416666666666667
Make a visit,Express intent to cooperate on intelligence,0,432,0.0
Make a visit,Express intent to settle dispute,23,432,0.05324074074074074
Make a visit,Refuse to de-escalate military engagement,3,432,0.006944444444444444
Make a visit,"Appeal for easing of economic sanctions, boycott, or embargo",4,432,0.009259259259259259
Make a visit,Demand military aid,0,432,0.0
Make a visit,Threaten to halt negotiations,4,432,0.009259259259259259
Make a visit,Reject judicial cooperation,0,432,0.0
Make a visit,"Accede to demands for change in institutions, regime",3,432,0.006944444444444444
Make a visit,Halt mediation,1,432,0.0023148148148148147
Make a visit,Accede to demands for change in policy,0,432,0.0
"Impose embargo, boycott, or sanctions","Ease economic sanctions, boycott, embargo",3,13,0.23076923076923078
"Impose embargo, boycott, or sanctions","Express intent to ease economic sanctions, boycott, or embargo",0,13,0.0
"Impose embargo, boycott, or sanctions","Refuse to ease economic sanctions, boycott, or embargo",0,13,0.0
Provide economic aid,"Express intent to change institutions, regime",0,13,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,505,163,3.098159509202454
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to change institutions, regime",7,163,0.04294478527607362
Express intent to engage in diplomatic cooperation (such as policy support),"Ease economic sanctions, boycott, embargo",0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate militarily,2,163,0.012269938650306749
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to de-escalate military engagement,1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for rights,14,163,0.08588957055214724
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to ease economic sanctions, boycott, or embargo",2,163,0.012269938650306749
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate on intelligence,3,163,0.018404907975460124
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to settle dispute,27,163,0.1656441717791411
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to provide military protection or peacekeeping,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Provide military protection or peacekeeping,11,163,0.06748466257668712
Express intent to engage in diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Appeal to yield,6,163,0.03680981595092025
Express intent to engage in diplomatic cooperation (such as policy support),Threaten to halt negotiations,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Demand rights,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Demand judicial cooperation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject judicial cooperation,1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Reduce or stop military assistance,17,163,0.10429447852760736
Express intent to engage in diplomatic cooperation (such as policy support),Demand policy change,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject economic cooperation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Halt mediation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for change in policy,1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for target to allow international involvement (non-mediation),0,163,0.0
Appeal for intelligence,"Express intent to ease economic sanctions, boycott, or embargo",15,9,1.6666666666666667
Appeal for intelligence,Demand policy change,0,9,0.0
Appeal for intelligence,Reject economic cooperation,0,9,0.0
Demand,Demand humanitarian aid,0,136,0.0
Demand,"Ease economic sanctions, boycott, embargo",0,136,0.0
Demand,Appeal to others to settle dispute,1,136,0.007352941176470588
Demand,"Express intent to ease economic sanctions, boycott, or embargo",0,136,0.0
Demand,Appeal for material cooperation,2,136,0.014705882352941176
Demand,Demand settling of dispute,0,136,0.0
Demand,"Appeal for easing of economic sanctions, boycott, or embargo",1,136,0.007352941176470588
Demand,Demand military aid,0,136,0.0
Demand,Demand release of persons or property,0,136,0.0
Demand,Reject military cooperation,1,136,0.007352941176470588
Demand,Threaten to halt negotiations,1,136,0.007352941176470588
Demand,Demand rights,1,136,0.007352941176470588
Demand,Demand political reform,0,136,0.0
Demand,Demand judicial cooperation,2,136,0.014705882352941176
Demand,Reject judicial cooperation,1,136,0.007352941176470588
Demand,Demand policy change,2,136,0.014705882352941176
Demand,Reject economic cooperation,2,136,0.014705882352941176
Demand,Halt mediation,0,136,0.0
Demand,Threaten with repression,1,136,0.007352941176470588
Demand,Accede to demands for change in policy,0,136,0.0
Demand,Express intent to change policy,0,136,0.0
Demand,Demand material aid,2,136,0.014705882352941176
Demand,Appeal for target to allow international involvement (non-mediation),0,136,0.0
Carry out suicide bombing,Use as human shield,0,9,0.0
Carry out suicide bombing,Carry out car bombing,0,9,0.0
Carry out suicide bombing,Carry out roadside bombing,0,9,0.0
Express intent to provide material aid,Demand humanitarian aid,0,10,0.0
Express intent to provide material aid,"Express intent to change institutions, regime",3,10,0.3
Express intent to provide material aid,Accede to demands for rights,0,10,0.0
Express intent to provide material aid,Reduce or stop military assistance,6,10,0.6
Express intent to provide material aid,Accede to demands for change in policy,0,10,0.0
Demonstrate or rally,"Protest violently, riot",556,55,10.10909090909091
Demonstrate or rally,Demand humanitarian aid,0,55,0.0
Demonstrate or rally,"Obstruct passage, block",29,55,0.5272727272727272
Demonstrate or rally,Reduce or stop humanitarian assistance,2,55,0.03636363636363636
Demonstrate or rally,Ease military blockade,2,55,0.03636363636363636
Demonstrate or rally,Threaten to reduce or stop aid,2,55,0.03636363636363636
Demonstrate or rally,Demonstrate for policy change,0,55,0.0
Demonstrate or rally,Engage in violent protest for rights,7,55,0.12727272727272726
Demonstrate or rally,Demand judicial cooperation,0,55,0.0
Demonstrate or rally,Obstruct passage to demand leadership change,0,55,0.0
Demonstrate or rally,Demand policy change,0,55,0.0
