head	relation_x	tail	time_x
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-11
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-23
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-06
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-08
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-21
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-05-09
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-11-24
Barack Obama	Discuss by telephone	Xi Jinping	2014-03-10
Barack Obama	Discuss by telephone	Xi Jinping	2014-03-11
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-09-21
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-31
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-29
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-21
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-21
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-01-21
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-27
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-22
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-29
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-23
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-12
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-03
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-14
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-13
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-20
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-15
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-01
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-27
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-08-11
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-11
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-23
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-03
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-12-14
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-19
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-30
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-21
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-01-09
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-17
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-03
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-08-09
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-14
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-23
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-12-17
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-06
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-18
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-14
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-14
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-30
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-07
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-27
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-12
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-19
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-15
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-12-12
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-10
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-12
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-28
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-22
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-16
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-22
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-29
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-22
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-20
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-12
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-09
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-09
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-31
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-24
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-12-13
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-11
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-24
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-02
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-07
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-09
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-27
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-12-15
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-08
John Kerry	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-13
Victor Ponta	Discuss by telephone	Klaus Johannis	2014-11-16
Angela Merkel	Discuss by telephone	Barack Obama	2014-07-03
Angela Merkel	Discuss by telephone	Barack Obama	2014-01-09
Angela Merkel	Discuss by telephone	Barack Obama	2014-03-07
Angela Merkel	Discuss by telephone	Barack Obama	2014-06-21
Angela Merkel	Discuss by telephone	Barack Obama	2014-03-03
Angela Merkel	Discuss by telephone	Barack Obama	2014-03-08
Angela Merkel	Discuss by telephone	Barack Obama	2014-04-11
Angela Merkel	Discuss by telephone	Barack Obama	2014-02-20
Angela Merkel	Discuss by telephone	Barack Obama	2014-04-10
Angela Merkel	Discuss by telephone	Barack Obama	2014-03-18
Angela Merkel	Discuss by telephone	Barack Obama	2014-03-02
Angela Merkel	Discuss by telephone	François Hollande	2014-06-21
Angela Merkel	Discuss by telephone	François Hollande	2014-06-19
Angela Merkel	Discuss by telephone	François Hollande	2014-05-24
Angela Merkel	Discuss by telephone	François Hollande	2014-07-04
Angela Merkel	Discuss by telephone	François Hollande	2014-06-20
Angela Merkel	Discuss by telephone	François Hollande	2014-07-10
Angela Merkel	Discuss by telephone	François Hollande	2014-05-30
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-28
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-12
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-13
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-10
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-18
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-08-13
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-27
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-11
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-19
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-21
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Benjamin Netanyahu	2014-07-18
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Benjamin Netanyahu	2014-03-21
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Benjamin Netanyahu	2014-07-14
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Benjamin Netanyahu	2014-03-20
Barack Obama	Discuss by telephone	Angela Merkel	2014-03-02
Barack Obama	Discuss by telephone	Angela Merkel	2014-03-18
Barack Obama	Discuss by telephone	Angela Merkel	2014-07-16
Barack Obama	Discuss by telephone	Angela Merkel	2014-03-08
Barack Obama	Discuss by telephone	Angela Merkel	2014-07-05
Barack Obama	Discuss by telephone	Angela Merkel	2014-03-07
Barack Obama	Discuss by telephone	Angela Merkel	2014-08-09
Barack Obama	Discuss by telephone	Angela Merkel	2014-06-21
Barack Obama	Discuss by telephone	Angela Merkel	2014-07-03
Barack Obama	Discuss by telephone	Angela Merkel	2014-01-09
Barack Obama	Discuss by telephone	Angela Merkel	2014-04-11
Barack Obama	Discuss by telephone	Angela Merkel	2014-02-20
Barack Obama	Discuss by telephone	Angela Merkel	2014-03-03
Barack Obama	Discuss by telephone	Angela Merkel	2014-07-18
Barack Obama	Discuss by telephone	Angela Merkel	2014-03-25
China	Discuss by telephone	Malaysia	2014-03-22
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-08
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-12
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-02
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-09
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-23
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-24
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-09-21
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-28
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-23
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-12
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-19
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-03
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-03
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-14
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-05-03
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-19
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-10-04
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-28
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-22
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-26
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-11-14
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-04-11
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-16
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-08
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-03-20
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-07-19
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-01
Massoud Barzani	Discuss by telephone	François Hollande	2014-08-07
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-07-03
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-03-20
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-03-26
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-03-27
Antonis Samaras	Discuss by telephone	Evangelos Venizelos	2014-09-30
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-03-27
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-13
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-23
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-22
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-14
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-09-04
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-03-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-08
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-12
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-22
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-10-24
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-13
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-10
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-06-22
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-22
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-28
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-09
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-21
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-16
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-08
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-05-30
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-23
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-10-04
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-05-03
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-14
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-09-21
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-23
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-28
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-03
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-02
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-26
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-06-01
Pavlo Klimkin	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-20
Barack Obama	Discuss by telephone	Abdullah Abdullah	2014-08-27
François Hollande	Discuss by telephone	Barack Obama	2014-06-21
François Hollande	Discuss by telephone	Barack Obama	2014-07-08
François Hollande	Discuss by telephone	Barack Obama	2014-05-16
François Hollande	Discuss by telephone	Barack Obama	2014-06-20
François Hollande	Discuss by telephone	Barack Obama	2014-03-08
François Hollande	Discuss by telephone	Barack Obama	2014-05-17
Catherine Ashton	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-21
Evangelos Venizelos	Discuss by telephone	Antonis Samaras	2014-09-30
Sergey Viktorovich Lavrov	Discuss by telephone	Catherine Ashton	2014-02-21
Barack Obama	Discuss by telephone	Abdel Fattah Al-Sisi	2014-06-11
Barack Obama	Discuss by telephone	Abdel Fattah Al-Sisi	2014-06-10
Joseph Robinette Biden	Discuss by telephone	Head of Government (Ukraine)	2014-04-05
Joseph Robinette Biden	Discuss by telephone	Head of Government (Ukraine)	2014-02-28
Barack Obama	Discuss by telephone	François Hollande	2014-05-16
Barack Obama	Discuss by telephone	François Hollande	2014-06-21
Barack Obama	Discuss by telephone	François Hollande	2014-07-07
Barack Obama	Discuss by telephone	François Hollande	2014-03-08
Barack Obama	Discuss by telephone	François Hollande	2014-07-08
Barack Obama	Discuss by telephone	François Hollande	2014-05-17
Barack Obama	Discuss by telephone	François Hollande	2014-06-20
Sergey Viktorovich Lavrov	Discuss by telephone	Saud bin Faisal bin Abdul-Aziz	2014-06-09
Abdullah Abdullah	Discuss by telephone	Barack Obama	2014-08-27
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-08-13
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-09-08
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-09-09
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-08-14
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-04-05
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-07-03
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-02-28
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-07-11
Abdullah Abdullah	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-08
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-01-04
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-03-20
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-01-05
Massoud Barzani	Discuss by telephone	Joseph Robinette Biden	2014-02-02
Massoud Barzani	Discuss by telephone	Joseph Robinette Biden	2014-01-12
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-26
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-28
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-09
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-08
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-06-12
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-07
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-05-17
