relation test,relation train,#implication,#rel_test,percentage
Make statement,Share intelligence or information,966,7736,0.12487073422957601
Make statement,Refuse to de-escalate military engagement,142,7736,0.018355739400206825
Make statement,"Reject plan, agreement to settle dispute",1514,7736,0.19570837642192349
Make statement,Reject judicial cooperation,61,7736,0.007885211995863495
Make statement,"Declare truce, ceasefire",804,7736,0.10392967942088935
Make statement,Mediate,245,7736,0.031670113753877974
Make statement,Express intent to cooperate militarily,577,7736,0.07458634953464323
Make statement,Reduce or stop humanitarian assistance,55,7736,0.007109617373319545
Make statement,Reduce or stop economic assistance,464,7736,0.05997931747673216
Make statement,Engage in judicial cooperation,51,7736,0.006592554291623578
Make statement,fight with artillery and tanks,332,7736,0.042916235780765255
Make statement,Appeal for release of persons or property,623,7736,0.08053257497414684
Make statement,Veto,15,7736,0.0019389865563598759
Make statement,Appeal for policy change,127,7736,0.01641675284384695
Make statement,"Demand change in institutions, regime",74,7736,0.009565667011375388
Make statement,"Demand meeting, negotiation",337,7736,0.043562564632885215
Make statement,Demand material cooperation,192,7736,0.02481902792140641
Make statement,Seize or damage property,140,7736,0.01809720785935884
Make statement,Demand de-escalation of military engagement,116,7736,0.01499482936918304
Make statement,Threaten to reduce or stop aid,40,7736,0.005170630816959669
Make statement,Appeal to yield,281,7736,0.036323681489141675
Make statement,Express intent to engage in material cooperation,261,7736,0.033738366080661844
Make statement,Demand intelligence cooperation,309,7736,0.03994312306101344
Make statement,Forgive,32,7736,0.004136504653567736
Make statement,Appeal to others to settle dispute,174,7736,0.02249224405377456
Make statement,Violate ceasefire,18,7736,0.002326783867631851
Make statement,Impose curfew,66,7736,0.008531540847983453
Make statement,Expel or withdraw,48,7736,0.0062047569803516025
Make statement,Express intent to change policy,114,7736,0.014736297828335057
Make statement,"Refuse to ease economic sanctions, boycott, or embargo",172,7736,0.022233712512926575
Make statement,Accede to demands for change in leadership,223,7736,0.028826266804550155
Make statement,"Accuse of espionage, treason",320,7736,0.04136504653567735
Make statement,Accuse of aggression,54,7736,0.006980351602895553
Make statement,Threaten to reduce or break relations,117,7736,0.015124095139607031
Make statement,Reject request for change in leadership,15,7736,0.0019389865563598759
Make statement,Reduce or stop military assistance,145,7736,0.0187435367114788
Make statement,Express intent to cooperate on intelligence,133,7736,0.0171923474663909
Make statement,Demand material aid,16,7736,0.002068252326783868
Make statement,Express intent to institute political reform,85,7736,0.010987590486039298
Make statement,Demobilize armed forces,71,7736,0.009177869700103413
Make statement,Demand settling of dispute,164,7736,0.021199586349534644
Make statement,Reject request for military protection or peacekeeping,8,7736,0.001034126163391934
Make statement,"Express intent to ease economic sanctions, boycott, or embargo",108,7736,0.013960703205791106
Make statement,"Appeal for change in institutions, regime",83,7736,0.010729058945191314
Make statement,Ease military blockade,3,7736,0.00038779731127197516
Make statement,Reject economic cooperation,147,7736,0.019002068252326785
Make statement,Appeal for military cooperation,1,7736,0.00012926577042399174
Make statement,Demand release of persons or property,50,7736,0.006463288521199586
Make statement,Accede to requests or demands for political reform,34,7736,0.0043950361944157185
Make statement,Reject material cooperation,5,7736,0.0006463288521199586
Make statement,Threaten with restrictions on political freedoms,2,7736,0.0002585315408479835
Make statement,Demand political reform,1,7736,0.00012926577042399174
Make statement,Demand judicial cooperation,70,7736,0.00904860392967942
Make statement,Destroy property,132,7736,0.017063081695966906
Make statement,Demand policy change,191,7736,0.02468976215098242
Make statement,Ease state of emergency or martial law,190,7736,0.02456049638055843
Make statement,Receive inspectors,21,7736,0.0027145811789038264
Make statement,Appeal for easing of political dissent,33,7736,0.004265770423991727
Make statement,Appeal for military protection or peacekeeping,10,7736,0.0012926577042399173
Make statement,Appeal for rights,121,7736,0.015641158221303
Make statement,"Express intent to change institutions, regime",36,7736,0.004653567735263702
Make statement,"Accede to demands for change in institutions, regime",4,7736,0.000517063081695967
Make statement,Demand easing of administrative sanctions,18,7736,0.002326783867631851
Make statement,Reject military cooperation,3,7736,0.00038779731127197516
Make statement,Expel or withdraw peacekeepers,11,7736,0.001421923474663909
Make statement,Ease ban on political parties or politicians,0,7736,0.0
Make statement,Reject mediation,15,7736,0.0019389865563598759
Make statement,Appeal for target to allow international involvement (non-mediation),0,7736,0.0
Make statement,Threaten to impose curfew,41,7736,0.005299896587383661
Make statement,Demand rights,8,7736,0.001034126163391934
Make statement,Demand economic cooperation,26,7736,0.003360910031023785
Make statement,Threaten to halt negotiations,30,7736,0.0038779731127197518
Make statement,Demand military aid,45,7736,0.005816959669079628
Make statement,Reject request for humanitarian aid,10,7736,0.0012926577042399173
Make statement,Investigate human rights abuses,10,7736,0.0012926577042399173
Make statement,Reject request for rights,2,7736,0.0002585315408479835
Make statement,Threaten to halt mediation,0,7736,0.0
Make statement,"Reject request for change in institutions, regime",0,7736,0.0
Make statement,Threaten to halt international involvement (non-mediation),0,7736,0.0
Make statement,Reject request or demand for political reform,0,7736,0.0
Make statement,Reject request for policy change,3,7736,0.00038779731127197516
Make statement,Detonate nuclear weapons,0,7736,0.0
Make statement,Threaten to impose state of emergency or martial law,0,7736,0.0
Express intent to meet or negotiate,Make a visit,55301,3071,18.00748941712797
Make a visit,Express intent to meet or negotiate,56844,2481,22.911729141475213
Consult,Make a visit,43743,4925,8.881827411167512
Make a visit,Engage in diplomatic cooperation,20461,2481,8.24707779121322
Make a visit,"Use chemical, biological, or radiological weapons",6,2481,0.0024183796856106408
Make a visit,Sign formal agreement,14571,2481,5.873035066505441
Make a visit,Express intent to cooperate,26623,2481,10.73075372833535
Make a visit,Express intent to engage in diplomatic cooperation (such as policy support),18568,2481,7.484079000403063
Make a visit,Express intent to cooperate economically,1104,2481,0.4449818621523579
Make a visit,Cooperate economically,1296,2481,0.5223700120918985
Make a visit,Reduce or break diplomatic relations,1114,2481,0.449012494961709
Make a visit,"Threaten with sanctions, boycott, embargo",118,2481,0.0475614671503426
Make a visit,Meet at a 'third' location,2700,2481,1.0882708585247884
Make a visit,Express intent to settle dispute,1603,2481,0.6461104393389763
Make a visit,Defend verbally,122,2481,0.04917372027408303
Make a visit,Halt negotiations,788,2481,0.31761386537686415
Make a visit,Accede to demands for change in policy,143,2481,0.05763804917372027
Make a visit,Express intent to provide military protection or peacekeeping,286,2481,0.11527609834744054
Make a visit,Express intent to de-escalate military engagement,331,2481,0.13341394598952036
Make a visit,Demonstrate military or police power,329,2481,0.13260781942765015
Make a visit,"Impose embargo, boycott, or sanctions",918,2481,0.37001209189842804
Make a visit,Provide military protection or peacekeeping,1938,2481,0.781136638452237
Make a visit,"Ease economic sanctions, boycott, embargo",99,2481,0.03990326481257558
Make a visit,Retreat or surrender militarily,246,2481,0.09915356711003627
Make a visit,Allow humanitarian access,5,2481,0.002015316404675534
Make a visit,Grant diplomatic recognition,760,2481,0.3063280935106812
Make a visit,"Reject plan, agreement to settle dispute",863,2481,0.34784361144699716
Make a visit,Reject judicial cooperation,15,2481,0.006045949214026602
Make a visit,"Declare truce, ceasefire",466,2481,0.18782748891575976
Make a visit,Mediate,231,2481,0.09310761789600967
Make a visit,Express intent to cooperate militarily,425,2481,0.17130189439742038
Make a visit,Reduce or stop economic assistance,251,2481,0.10116888351471182
Make a visit,Engage in judicial cooperation,38,2481,0.015316404675534058
Make a visit,Threaten to reduce or stop aid,63,2481,0.02539298669891173
Make a visit,Appeal to others to settle dispute,171,2481,0.06892382103990327
Make a visit,Express intent to change policy,23,2481,0.009270455461507456
Make a visit,"Refuse to ease economic sanctions, boycott, or embargo",21,2481,0.008464328899637243
Make a visit,Reduce or stop military assistance,18,2481,0.007255139056831923
Make a visit,Express intent to cooperate on intelligence,92,2481,0.037081821846029824
Make a visit,"Express intent to ease economic sanctions, boycott, or embargo",27,2481,0.010882708585247884
Make a visit,Reject economic cooperation,101,2481,0.04070939137444579
Make a visit,Appeal for military cooperation,1,2481,0.00040306328093510683
Make a visit,Reject military cooperation,9,2481,0.0036275695284159614
Make a visit,Reject mediation,5,2481,0.002015316404675534
Make a visit,Appeal for target to allow international involvement (non-mediation),15,2481,0.006045949214026602
Make a visit,Threaten to impose curfew,6,2481,0.0024183796856106408
Make a visit,Demand rights,2,2481,0.0008061265618702137
Make a visit,Demand economic cooperation,2,2481,0.0008061265618702137
Make a visit,Reject request for humanitarian aid,21,2481,0.008464328899637243
Make a visit,Carry out roadside bombing,4,2481,0.0016122531237404273
Make a visit,Reject request for rights,0,2481,0.0
Express intent to meet or negotiate,Appeal for diplomatic cooperation (such as policy support),3909,3071,1.2728752849234777
Consult,Express intent to meet or negotiate,176562,4925,35.850152284263956
Express intent to meet or negotiate,Engage in diplomatic cooperation,58893,3071,19.177140996418103
Express intent to meet or negotiate,"Conduct suicide, car, or other non-military bombing",840,3071,0.27352653858677956
Express intent to meet or negotiate,Engage in negotiation,68225,3071,22.215890589384564
Express intent to meet or negotiate,Threaten,6899,3071,2.2464995115597524
Make an appeal or request,Express intent to meet or negotiate,78831,2601,30.30795847750865
Express intent to meet or negotiate,Make an appeal or request,86838,3071,28.276782806903288
Express intent to meet or negotiate,"Use chemical, biological, or radiological weapons",16,3071,0.005210029306414849
Express intent to meet or negotiate,Investigate,41254,3071,13.433409312927385
Praise or endorse,Express intent to meet or negotiate,18419,1738,10.597813578826237
Express intent to meet or negotiate,Express intent to provide material aid,1466,3071,0.4773689352002605
Express intent to meet or negotiate,Sign formal agreement,51665,3071,16.823510257245196
Express intent to meet or negotiate,Express intent to cooperate,109494,3071,35.65418430478672
Express intent to meet or negotiate,Make pessimistic comment,15815,3071,5.149788342559427
Express intent to meet or negotiate,Express intent to engage in diplomatic cooperation (such as policy support),63189,3071,20.576033865190492
Express intent to meet or negotiate,Make optimistic comment,20822,3071,6.780201888635624
Express intent to meet or negotiate,Accede to demands for rights,41,3071,0.013350700097688049
Express intent to meet or negotiate,Confiscate property,6813,3071,2.2184956040377726
Express intent to meet or negotiate,Demand,17295,3071,5.6317160534028
Express intent to meet or negotiate,Express intent to allow international involvement (non-mediation),1,3071,0.00032562683165092806
Express intent to meet or negotiate,Yield,1051,3071,0.3422338000651254
Express intent to meet or negotiate,"Obstruct passage, block",529,3071,0.17225659394334092
Express intent to meet or negotiate,Express intent to cooperate economically,3522,3071,1.1468577010745686
Express intent to meet or negotiate,"Defy norms, law",1056,3071,0.34386193422338
Express intent to meet or negotiate,Cooperate economically,3537,3071,1.1517421035493325
Express intent to meet or negotiate,Reduce or break diplomatic relations,3763,3071,1.2253337675024423
Express intent to meet or negotiate,Mobilize or increase armed forces,823,3071,0.2679908824487138
Express intent to meet or negotiate,"Threaten with sanctions, boycott, embargo",244,3071,0.07945294692282644
Express intent to meet or negotiate,Meet at a 'third' location,10808,3071,3.51937479648323
Express intent to meet or negotiate,Express intent to settle dispute,5682,3071,1.8502116574405731
Express intent to meet or negotiate,Appeal for intelligence,3408,3071,1.1097362422663628
Express intent to meet or negotiate,Defend verbally,203,3071,0.06610224682513839
Express intent to meet or negotiate,"Reject proposal to meet, discuss, or negotiate",4230,3071,1.3774014978834257
Express intent to meet or negotiate,Halt negotiations,3731,3071,1.2149137088896125
Express intent to meet or negotiate,Accede to demands for change in policy,125,3071,0.040703353956366005
Express intent to meet or negotiate,Express intent to provide military protection or peacekeeping,101,3071,0.032888309996743734
Express intent to meet or negotiate,Express accord,927,3071,0.3018560729404103
Express intent to meet or negotiate,Express intent to de-escalate military engagement,237,3071,0.07717355910126994
Express intent to meet or negotiate,Increase police alert status,100,3071,0.0325626831650928
Express intent to meet or negotiate,Demonstrate military or police power,827,3071,0.26929338977531747
Express intent to meet or negotiate,"Impose embargo, boycott, or sanctions",1593,3071,0.5187235428199284
Express intent to meet or negotiate,Provide military protection or peacekeeping,745,3071,0.24259198957994138
Express intent to meet or negotiate,Express intent to yield,153,3071,0.04982090524259199
Express intent to meet or negotiate,"Ease economic sanctions, boycott, embargo",245,3071,0.07977857375447737
Express intent to meet or negotiate,Consider policy option,2707,3071,0.8814718332790622
Express intent to meet or negotiate,Receive deployment of peacekeepers,264,3071,0.085965483555845
Express intent to meet or negotiate,Demand diplomatic cooperation (such as policy support),1460,3071,0.47541517421035495
Express intent to meet or negotiate,Express intent to provide economic aid,1256,3071,0.40898730055356564
Express intent to meet or negotiate,Appeal for military aid,225,3071,0.07326603712145881
Express intent to meet or negotiate,Retreat or surrender militarily,328,3071,0.10680560078150439
Express intent to meet or negotiate,Allow humanitarian access,1,3071,0.00032562683165092806
Express intent to meet or negotiate,Reduce or stop material aid,91,3071,0.02963204168023445
Express intent to meet or negotiate,Mobilize or increase police power,418,3071,0.13611201563008793
Express intent to meet or negotiate,Express intent to provide humanitarian aid,1498,3071,0.4877889938130902
Express intent to meet or negotiate,Appeal to engage in or accept mediation,112,3071,0.03647020514490394
Express intent to meet or negotiate,Appeal for political reform,14,3071,0.004558775643112993
Express intent to meet or negotiate,"Impose blockade, restrict movement",1012,3071,0.3295343536307392
Express intent to meet or negotiate,Impose state of emergency or martial law,245,3071,0.07977857375447737
Express intent to meet or negotiate,Give ultimatum,528,3071,0.17193096711169
Express intent to meet or negotiate,Share intelligence or information,1888,3071,0.6147834581569521
Express intent to meet or negotiate,Grant diplomatic recognition,2641,3071,0.859980462390101
Express intent to meet or negotiate,Refuse to de-escalate military engagement,28,3071,0.009117551286225985
Express intent to meet or negotiate,"Reject plan, agreement to settle dispute",4185,3071,1.362748290459134
Express intent to meet or negotiate,Reject judicial cooperation,235,3071,0.07652230543796809
Express intent to meet or negotiate,"Declare truce, ceasefire",1943,3071,0.6326929338977532
Express intent to meet or negotiate,"Return, release property",290,3071,0.09443178117876913
Express intent to meet or negotiate,Mediate,357,3071,0.1162487788993813
Express intent to meet or negotiate,Express intent to cooperate militarily,1769,3071,0.5760338651904917
Express intent to meet or negotiate,Reduce or stop humanitarian assistance,83,3071,0.02702702702702703
Express intent to meet or negotiate,Reduce or stop economic assistance,1006,3071,0.3275805926408336
Express intent to meet or negotiate,Refuse to yield,390,3071,0.12699446434386194
Express intent to meet or negotiate,fight with artillery and tanks,474,3071,0.15434711820253988
Express intent to meet or negotiate,Appeal to others to meet or negotiate,646,3071,0.2103549332464995
Express intent to meet or negotiate,Veto,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Express intent to ease administrative sanctions,237,3071,0.07717355910126994
Express intent to meet or negotiate,Appeal for humanitarian aid,229,3071,0.07456854444806252
Express intent to meet or negotiate,"Demand change in institutions, regime",10,3071,0.0032562683165092803
Express intent to meet or negotiate,"Demand meeting, negotiation",430,3071,0.14001953760989905
Express intent to meet or negotiate,Demand material cooperation,406,3071,0.13220449365027678
Express intent to meet or negotiate,Seize or damage property,164,3071,0.053402800390752195
Express intent to meet or negotiate,Threaten to reduce or stop aid,202,3071,0.06577661999348747
Express intent to meet or negotiate,Appeal to yield,274,3071,0.08922175187235429
Express intent to meet or negotiate,Express intent to engage in material cooperation,124,3071,0.040377727124715074
Express intent to meet or negotiate,Demand intelligence cooperation,91,3071,0.02963204168023445
Express intent to meet or negotiate,Forgive,4,3071,0.0013025073266037122
Express intent to meet or negotiate,Express intent to mediate,243,3071,0.07912732009117551
Express intent to meet or negotiate,Appeal to others to settle dispute,229,3071,0.07456854444806252
Express intent to meet or negotiate,Appeal for aid,1355,3071,0.4412243568870075
Express intent to meet or negotiate,Impose curfew,9,3071,0.002930641484858352
Express intent to meet or negotiate,Express intent to change policy,101,3071,0.032888309996743734
Express intent to meet or negotiate,"Refuse to ease economic sanctions, boycott, or embargo",153,3071,0.04982090524259199
Express intent to meet or negotiate,Threaten to reduce or break relations,217,3071,0.07066102246825139
Express intent to meet or negotiate,Reduce or stop military assistance,40,3071,0.013025073266037121
Express intent to meet or negotiate,Express intent to change leadership,58,3071,0.018886356235753826
Express intent to meet or negotiate,Express intent to cooperate on intelligence,439,3071,0.1429501790947574
Express intent to meet or negotiate,Demand material aid,8,3071,0.0026050146532074245
Express intent to meet or negotiate,Demobilize armed forces,14,3071,0.004558775643112993
Express intent to meet or negotiate,Demand settling of dispute,121,3071,0.039400846629762294
Express intent to meet or negotiate,Reject request for military protection or peacekeeping,4,3071,0.0013025073266037122
Express intent to meet or negotiate,"Express intent to ease economic sanctions, boycott, or embargo",48,3071,0.015630087919244546
Express intent to meet or negotiate,"Appeal for change in institutions, regime",8,3071,0.0026050146532074245
Express intent to meet or negotiate,Ease military blockade,29,3071,0.009443178117876913
Express intent to meet or negotiate,Reject economic cooperation,146,3071,0.0475415174210355
Express intent to meet or negotiate,Appeal for military cooperation,5,3071,0.0016281341582546401
Express intent to meet or negotiate,Accede to requests or demands for political reform,6,3071,0.0019537609899055682
Express intent to meet or negotiate,Demand political reform,0,3071,0.0
Express intent to meet or negotiate,Destroy property,74,3071,0.024096385542168676
Express intent to meet or negotiate,Demand policy change,27,3071,0.008791924454575058
Express intent to meet or negotiate,Ease state of emergency or martial law,110,3071,0.035818951481602086
Express intent to meet or negotiate,Receive inspectors,10,3071,0.0032562683165092803
Express intent to meet or negotiate,Appeal for easing of political dissent,62,3071,0.020188863562357537
Express intent to meet or negotiate,Threaten with repression,102,3071,0.03321393682839466
Express intent to meet or negotiate,Appeal for rights,285,3071,0.0928036470205145
Express intent to meet or negotiate,"Express intent to change institutions, regime",65,3071,0.021165744057310323
Express intent to meet or negotiate,"Accede to demands for change in institutions, regime",0,3071,0.0
Express intent to meet or negotiate,Demand easing of administrative sanctions,1,3071,0.00032562683165092806
Express intent to meet or negotiate,Reject military cooperation,13,3071,0.004233148811462064
Express intent to meet or negotiate,Reject mediation,26,3071,0.008466297622924128
Express intent to meet or negotiate,Appeal for target to allow international involvement (non-mediation),3,3071,0.0009768804949527841
Express intent to meet or negotiate,Threaten to impose curfew,13,3071,0.004233148811462064
Express intent to meet or negotiate,Halt mediation,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Demand rights,2,3071,0.0006512536633018561
Express intent to meet or negotiate,Demand economic cooperation,3,3071,0.0009768804949527841
Express intent to meet or negotiate,Threaten to halt negotiations,28,3071,0.009117551286225985
Express intent to meet or negotiate,Reject request for humanitarian aid,62,3071,0.020188863562357537
Express intent to meet or negotiate,Carry out roadside bombing,8,3071,0.0026050146532074245
Express intent to meet or negotiate,Demand easing of political dissent,0,3071,0.0
Express intent to meet or negotiate,Reject request for rights,0,3071,0.0
Express intent to meet or negotiate,Ease curfew,26,3071,0.008466297622924128
Express intent to meet or negotiate,Reject request for economic aid,1,3071,0.00032562683165092806
Express intent to meet or negotiate,Threaten to halt international involvement (non-mediation),0,3071,0.0
Express intent to meet or negotiate,Engage in violent protest for policy change,0,3071,0.0
Express intent to meet or negotiate,Detonate nuclear weapons,0,3071,0.0
Express intent to meet or negotiate,Threaten to impose state of emergency or martial law,3,3071,0.0009768804949527841
Criticize or denounce,Appeal for diplomatic cooperation (such as policy support),2775,1400,1.9821428571428572
Criticize or denounce,Engage in diplomatic cooperation,23372,1400,16.694285714285716
Criticize or denounce,Reject,9460,1400,6.757142857142857
Criticize or denounce,Threaten,6198,1400,4.427142857142857
Make an appeal or request,Criticize or denounce,71228,2601,27.38485198000769
Criticize or denounce,Make an appeal or request,55824,1400,39.87428571428571
Accuse,Criticize or denounce,32887,1163,28.277730008598454
Criticize or denounce,Accuse,23035,1400,16.45357142857143
Criticize or denounce,"Use chemical, biological, or radiological weapons",7,1400,0.005
Criticize or denounce,Investigate,10000,1400,7.142857142857143
Criticize or denounce,Express intent to cooperate,40712,1400,29.08
Criticize or denounce,Make pessimistic comment,8218,1400,5.87
Criticize or denounce,Express intent to engage in diplomatic cooperation (such as policy support),24967,1400,17.833571428571428
Criticize or denounce,Make optimistic comment,9366,1400,6.69
Criticize or denounce,Accede to demands for rights,82,1400,0.05857142857142857
Criticize or denounce,Ease administrative sanctions,882,1400,0.63
Criticize or denounce,Demand,12608,1400,9.005714285714285
Criticize or denounce,Express intent to allow international involvement (non-mediation),1,1400,0.0007142857142857143
Criticize or denounce,Yield,1177,1400,0.8407142857142857
Criticize or denounce,"Defy norms, law",645,1400,0.4607142857142857
Criticize or denounce,Appeal for change in leadership,176,1400,0.12571428571428572
Criticize or denounce,Reduce or break diplomatic relations,1986,1400,1.4185714285714286
Criticize or denounce,"Threaten with sanctions, boycott, embargo",229,1400,0.16357142857142856
Criticize or denounce,Rally opposition against,527,1400,0.37642857142857145
Criticize or denounce,Express intent to settle dispute,2200,1400,1.5714285714285714
Criticize or denounce,Appeal for intelligence,1613,1400,1.1521428571428571
Criticize or denounce,Bring lawsuit against,1216,1400,0.8685714285714285
Criticize or denounce,Defend verbally,129,1400,0.09214285714285714
Criticize or denounce,Deny responsibility,2777,1400,1.9835714285714285
Criticize or denounce,"Reject proposal to meet, discuss, or negotiate",2292,1400,1.6371428571428572
Criticize or denounce,Halt negotiations,1566,1400,1.1185714285714285
Criticize or denounce,Accede to demands for change in policy,46,1400,0.032857142857142856
Criticize or denounce,Impose restrictions on political freedoms,245,1400,0.175
Criticize or denounce,Express intent to provide military protection or peacekeeping,87,1400,0.062142857142857146
Criticize or denounce,Impose administrative sanctions,582,1400,0.4157142857142857
Criticize or denounce,Express intent to de-escalate military engagement,387,1400,0.2764285714285714
Criticize or denounce,Increase police alert status,20,1400,0.014285714285714285
Criticize or denounce,Demonstrate military or police power,378,1400,0.27
Criticize or denounce,"Impose embargo, boycott, or sanctions",2077,1400,1.4835714285714285
Criticize or denounce,Provide military protection or peacekeeping,107,1400,0.07642857142857143
Criticize or denounce,Express intent to yield,126,1400,0.09
Criticize or denounce,Complain officially,1568,1400,1.12
Criticize or denounce,"Ease economic sanctions, boycott, embargo",135,1400,0.09642857142857143
Criticize or denounce,Consider policy option,1437,1400,1.0264285714285715
Criticize or denounce,"Accuse of crime, corruption",458,1400,0.3271428571428571
Criticize or denounce,Reduce relations,3958,1400,2.827142857142857
Criticize or denounce,Receive deployment of peacekeepers,54,1400,0.03857142857142857
Criticize or denounce,Threaten non-force,163,1400,0.11642857142857142
Criticize or denounce,Demand diplomatic cooperation (such as policy support),814,1400,0.5814285714285714
Criticize or denounce,Appeal for military aid,413,1400,0.295
Criticize or denounce,Allow humanitarian access,4,1400,0.002857142857142857
Criticize or denounce,Reduce or stop material aid,43,1400,0.030714285714285715
Criticize or denounce,Mobilize or increase police power,146,1400,0.10428571428571429
Criticize or denounce,Appeal to engage in or accept mediation,517,1400,0.3692857142857143
Criticize or denounce,Give ultimatum,833,1400,0.595
Criticize or denounce,Appeal for de-escalation of military engagement,225,1400,0.16071428571428573
Criticize or denounce,Refuse to release persons or property,150,1400,0.10714285714285714
Criticize or denounce,Refuse to de-escalate military engagement,24,1400,0.017142857142857144
Criticize or denounce,"Reject plan, agreement to settle dispute",1990,1400,1.4214285714285715
Criticize or denounce,Reject judicial cooperation,114,1400,0.08142857142857143
Criticize or denounce,"Declare truce, ceasefire",820,1400,0.5857142857142857
Criticize or denounce,"Return, release property",256,1400,0.18285714285714286
Criticize or denounce,Express intent to cooperate militarily,639,1400,0.4564285714285714
Criticize or denounce,Reduce or stop economic assistance,474,1400,0.3385714285714286
Criticize or denounce,Refuse to yield,263,1400,0.18785714285714286
Criticize or denounce,Engage in mass killings,8,1400,0.005714285714285714
Criticize or denounce,fight with artillery and tanks,271,1400,0.19357142857142856
Criticize or denounce,Appeal to others to meet or negotiate,293,1400,0.2092857142857143
Criticize or denounce,Appeal for release of persons or property,545,1400,0.3892857142857143
Criticize or denounce,Veto,214,1400,0.15285714285714286
Criticize or denounce,Appeal for humanitarian aid,122,1400,0.08714285714285715
Criticize or denounce,Appeal for policy change,197,1400,0.1407142857142857
Criticize or denounce,"Demand change in institutions, regime",42,1400,0.03
Criticize or denounce,"Demand meeting, negotiation",196,1400,0.14
Criticize or denounce,Appeal for easing of administrative sanctions,123,1400,0.08785714285714286
Criticize or denounce,Demand material cooperation,183,1400,0.13071428571428573
Criticize or denounce,Demand de-escalation of military engagement,78,1400,0.055714285714285716
Criticize or denounce,Threaten to reduce or stop aid,98,1400,0.07
Criticize or denounce,Appeal to yield,177,1400,0.12642857142857142
Criticize or denounce,Demand intelligence cooperation,171,1400,0.12214285714285714
Criticize or denounce,Forgive,13,1400,0.009285714285714286
Criticize or denounce,Appeal for aid,538,1400,0.3842857142857143
Criticize or denounce,Ease political dissent,25,1400,0.017857142857142856
Criticize or denounce,Demand that target yields,179,1400,0.12785714285714286
Criticize or denounce,Expel or withdraw,0,1400,0.0
Criticize or denounce,Express intent to change policy,41,1400,0.029285714285714286
Criticize or denounce,"Refuse to ease economic sanctions, boycott, or embargo",106,1400,0.07571428571428572
Criticize or denounce,Reduce or stop military assistance,38,1400,0.027142857142857142
Criticize or denounce,Demonstrate for policy change,6,1400,0.004285714285714286
