,head,relation,tail,time
32,Media Personnel (China),Make statement,China,2006-07-10
33,China,Engage in diplomatic cooperation,Iran,2009-08-02
34,Cambodia,Engage in diplomatic cooperation,Vietnam,2006-03-20
35,China,Grant diplomatic recognition,Japan,2007-08-20
36,South Korea,"Reject plan, agreement to settle dispute",Envoy (United States),2006-09-22
37,Barack Obama,Praise or endorse,Ireland,2013-03-20
38,South Korea,Host a visit,Nuri al-Maliki,2011-05-03
39,China,Engage in diplomatic cooperation,Iran,2009-05-11
40,Werner Faymann,Make statement,Alexis Tsipras,2015-06-19
41,Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2008-10-05
42,China,Express intent to meet or negotiate,South Korea,2007-03-31
43,Lawyer/Attorney (Sweden),Make statement,Julian Paul Assange,2015-12-14
44,China,Express intent to cooperate,Japan,2007-05-04
45,Police (Australia),Make statement,Medical Personnel (Australia),2012-04-26
46,Togo,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2012-01-13
47,Barack Obama,Express intent to meet or negotiate,Shimon Peres,2009-05-02
48,Islamic Preacher (Iran),Make an appeal or request,Iran,2010-08-30
49,South Africa,Express intent to meet or negotiate,Malawi,2006-03-10
50,Police (Australia),Engage in material cooperation,Citizen (Australia),2006-07-18
51,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-11-21
52,Iran,Reject,UN Security Council,2007-09-17
53,United Arab Emirates,Host a visit,Chuck Hagel,2013-04-25
54,China,Reject,Japan,2005-11-01
55,Lee Myung Bak,Make a visit,Japan,2010-11-29
56,China,Express intent to cooperate economically,Cambodia,2010-12-18
57,Party Member (Turkey),Make statement,Justice and Development Party,2006-08-07
58,Jakaya Mrisho Kikwete,Consult,Xi Jinping,2015-04-27
59,Wen Jiabao,Consult,China,2006-03-10
60,Ireland,Express intent to cooperate,Thailand,2006-09-15
61,Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2013-12-26
62,Barack Obama,Appeal for aid,China,2014-12-21
63,Health Ministry (China),Make statement,China,2009-03-28
64,Media Personnel (China),Make statement,China,2015-06-22
65,Protester (Thailand),Impose restrictions on political freedoms,Thailand,2014-01-26
66,Abdullah Gül,Express intent to meet or negotiate,Barack Obama,2009-04-06
67,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2006-02-25
68,Mauritania,Meet at a 'third' location,Niger,2010-09-27
69,Cristina Fernández de Kirchner,Express intent to meet or negotiate,Angela Merkel,2009-09-25
70,Police (Kenya),"Arrest, detain, or charge with legal action",Women (Kenya),2011-02-25
71,South Korea,Consult,Japan,2006-10-11
72,South Korea,Demand,Japan,2011-10-18
73,Evo Morales,Discuss by telephone,Daniel Ortega,2006-11-08
74,Citizen (Thailand),Make pessimistic comment,Thailand,2005-02-24
75,Police (Australia),Confiscate property,Criminal (Australia),2008-12-11
76,Wen Jiabao,Make statement,China,2008-05-07
77,Member of Parliament (Australia),Express intent to engage in diplomatic cooperation (such as policy support),Julia Gillard,2010-06-14
78,Government (Nigeria),Make an appeal or request,Ministry (Nigeria),2009-12-11
79,South Korea,Make an appeal or request,Japan,2015-04-27
80,South Korea,Express intent to meet or negotiate,China,2008-11-24
81,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Bolivia,2009-11-21
82,Head of Government (Turkmenistan),Make an appeal or request,Dmitry Anatolyevich Medvedev,2009-12-01
83,China,Express intent to cooperate,Vietnam,2007-08-30
84,Chaudhry Nisar Ali Khan,Make statement,Government (Pakistan),2014-04-06
85,Police (Australia),Make an appeal or request,Citizen (Australia),2006-06-13
86,Rapid Action Battalion,Confiscate property,Citizen (Bangladesh),2006-06-21
87,Hugo Moyano,Make statement,Cristina Fernández de Kirchner,2012-05-30
88,Armed Rebel (Russia),Use unconventional violence,Military (Russia),2010-08-05
89,Thailand,Ease administrative sanctions,Citizen (Thailand),2013-03-25
90,Other Authorities / Officials (Africa),"Arrest, detain, or charge with legal action",Citizen (Africa),2015-10-04
91,China,Criticize or denounce,South Korea,2011-03-24
92,Donald Rumsfeld,Make a visit,Iraq,2005-08-16
93,Tanzania,Host a visit,Jakaya Mrisho Kikwete,2005-09-30
94,Police (Australia),Investigate,Citizen (Australia),2015-04-08
95,Mahmoud Ahmadinejad,Express intent to meet or negotiate,United Arab Emirates,2007-05-13
96,Cabinet / Council of Ministers / Advisors (Australia),Express intent to meet or negotiate,Citizen (Australia),2011-02-28
97,Armed Gang (Saudi Arabia),fight with small arms and light weapons,Police (Saudi Arabia),2015-04-08
98,Naval (United States),Make statement,China,2009-04-21
99,Angela Merkel,Express intent to cooperate,Cristina Fernández de Kirchner,2013-01-27
100,China,Host a visit,Norodom Sihanouk,2012-03-20
101,Head of Government (Pakistan),Make statement,Benazir Bhutto,2007-09-15
102,United Arab Emirates,Host a visit,Qatar,2009-01-22
103,France,Engage in diplomatic cooperation,China,2005-04-22
104,African Union,Praise or endorse,Sudan,2015-03-03
105,China,Sign formal agreement,Malaysia,2007-10-29
106,Ibrahim Shehu Shema,Make statement,Government (Nigeria),2015-01-15
107,High Commission for Refugees,Express intent to meet or negotiate,Ethiopia,2010-04-22
108,Iraq,Host a visit,Mahmoud Ahmadinejad,2008-01-21
109,Javier Solana,Make a visit,Middle East,2006-02-16
110,China,Host a visit,Janez Jansa,2007-11-10
111,Islamic Preacher (Iran),Make statement,Iran,2013-05-18
112,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2013-03-17
113,Barack Obama,Express intent to meet or negotiate,Mahmoud Abbas,2011-09-22
114,Police (Australia),Criticize or denounce,Citizen (Australia),2014-10-28
115,Children (Timor-Leste),Physically assault,Timor-Leste,2006-06-29
116,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2005-07-05
117,China,Host a visit,Abhisit Vejjajiva,2010-11-12
118,Lee Myung Bak,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (South Korea),2010-03-27
119,Police (Philippines),Make statement,Military Personnel - Special (Philippines),2014-06-29
120,Police (Philippines),Make statement,Criminal (Australia),2006-04-01
121,Barack Obama,Make a visit,Japan,2010-11-14
122,Member of Parliament (Australia),Make statement,Julia Gillard,2010-06-24
123,Head of Government (Pakistan),Rally opposition against,Government (Pakistan),2007-12-31
124,Abdullah Gül,Make statement,Romania,2005-03-29
125,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-07
126,African Union,Express intent to meet or negotiate,Sudan,2007-02-13
127,Dmitry Anatolyevich Medvedev,Consult,Raúl Castro,2008-12-01
128,Iran,"Defy norms, law",UN Security Council,2009-09-29
129,Newspaper (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014-08-07
130,Dmitry Anatolyevich Medvedev,Threaten,Iran,2010-03-03
131,Foreign Affairs (Romania),Make statement,Romania,2015-04-28
132,Iran,Express intent to cooperate,France,2015-07-30
133,Citizen (Sudan),Criticize or denounce,Government (Sudan),2015-10-28
134,Laos,Express intent to cooperate,Vietnam,2005-06-03
135,Police (Australia),Accuse,Women (Australia),2009-11-26
136,Uhuru Muigai Kenyatta,Make statement,Mwai Kibaki,2005-05-25
137,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2008-04-10
138,Men (Philippines),Use unconventional violence,Military (Philippines),2009-03-17
139,Court Judge (India),"Return, release person(s)",Head of Government (India),2015-08-29
140,Thailand,Engage in diplomatic cooperation,China,2009-06-30
141,Media Personnel (Pakistan),Make statement,Government (Pakistan),2008-06-09
142,William Ruto,Make statement,Police (Kenya),2005-12-08
143,France,Host a visit,Benjamin Netanyahu,2011-05-04
144,Tony Blair,Make an appeal or request,Iran,2006-07-17
145,Police (Egypt),Make statement,Other Authorities / Officials (Egypt),2013-10-15
146,The Hague,Host a visit,Bolivia,2015-05-02
147,Moro National Liberation Front,Use conventional military force,Military (Philippines),2007-02-26
148,Citizen (Australia),Use unconventional violence,Police (Australia),2011-03-12
149,Agustín Carstens,Make statement,Mexico,2009-11-05
150,Colombia,Consult,Head of Government (Colombia),2008-03-30
151,Citizen (Zambia),Make an appeal or request,Political Parties (Zambia),2015-12-07
152,Labor Union (Nigeria),Criticize or denounce,Citizen (Nigeria),2011-10-03
153,Newspaper (United Kingdom),Express intent to cooperate,Citizen (United Kingdom),2012-06-01
154,Royal Administration (Nigeria),Make an appeal or request,Government (Nigeria),2014-10-08
155,Vietnam,Express intent to meet or negotiate,Thailand,2015-04-04
156,Japan,Express intent to meet or negotiate,China,2005-07-23
157,Kuomintang,Make a visit,China,2012-03-21
158,Lee Myung Bak,Make statement,South Korea,2009-01-13
159,Foreign Affairs (India),Consult,Barack Obama,2013-10-25
160,Other Authorities / Officials (Mexico),Provide economic aid,Mexico,2010-02-01
161,China,Express intent to meet or negotiate,Japan,2015-10-20
162,Isaias Afewerki,Make statement,Eritrea,2005-11-11
163,Newspaper (United Kingdom),Consult,Tony Blair,2006-07-06
164,Islamic Militant (Philippines),Use unconventional violence,Military (Philippines),2007-08-18
165,Police (Uganda),Make pessimistic comment,Citizen (Uganda),2008-04-30
166,Nuri al-Maliki,Make statement,Iraq,2014-03-14
167,Georgios Papandreou,Express intent to meet or negotiate,Anna Diamantopoulou,2011-04-12
168,Lawyer/Attorney (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2010-11-01
169,Kuwait,Host a visit,Nuri al-Maliki,2012-03-13
170,Wang Yi,Make statement,China,2015-06-25
171,Member of Parliament (Bangladesh),Make an appeal or request,Citizen (Bangladesh),2005-08-09
172,China,Engage in diplomatic cooperation,Madagascar,2008-07-14
173,Court Judge (United Kingdom),Demand,Citizen (United Kingdom),2006-09-29
174,Abdullah Gül,Consult,Pedro Manuel Mamede Passos Coelho,2012-12-19
175,Xi Jinping,Express intent to meet or negotiate,South Africa,2014-07-15
176,South Korea,Express intent to meet or negotiate,China,2014-10-16
177,City Mayor (Philippines),Make statement,Police (Philippines),2006-01-11
178,Bolivia,Consult,Evo Morales,2009-05-22
179,Daniel Scioli,Make statement,Cristina Fernández de Kirchner,2013-04-03
180,Iran,Make optimistic comment,Mahmoud Ahmadinejad,2005-06-25
181,Police (Indonesia),Investigate,Citizen (Australia),2005-05-04
182,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2010-01-28
183,Police (Egypt),Investigate,Citizen (United Kingdom),2005-07-16
184,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2011-09-21
185,Christine Lagarde,Make statement,France,2005-12-15
186,Court Judge (Malaysia),Make pessimistic comment,Malaysia,2008-01-16
187,Mainland Affairs Council,Accuse,China,2005-05-17
188,Abdoulaye Wade,Make a visit,Ali Abdullah Saleh,2005-02-24
189,Mahmoud Ahmadinejad,Make an appeal or request,Ministry (Iran),2009-09-15
190,Oversight Court (Japan),"Arrest, detain, or charge with legal action",Men (Japan),2011-05-18
191,Congress (Argentina),Express intent to engage in diplomatic cooperation (such as policy support),Cristina Fernández de Kirchner,2010-02-03
192,Georgios Papandreou,Express intent to meet or negotiate,Angela Merkel,2010-03-04
193,South Korea,Express intent to cooperate,China,2006-05-11
194,Japan,Express intent to cooperate,China,2010-08-22
195,China,Engage in negotiation,Japan,2005-11-25
196,Angola,Host a visit,Japan,2012-01-09
197,Cambodia,Consult,Thailand,2011-08-10
198,China,Reduce or break diplomatic relations,Japan,2010-10-13
199,South Korea,Consult,China,2007-07-05
200,Tanzania,Host a visit,Mwai Kibaki,2013-02-21
201,Police (New Zealand),"Arrest, detain, or charge with legal action",Children (New Zealand),2007-01-10
202,Omar Suleiman,Express intent to meet or negotiate,Mahmoud Abbas,2006-06-29
203,Chishimba Kambwili,Threaten,Citizen (Zambia),2011-12-07
204,Abdulsalami Alhaji Abubakar,Make statement,Government (Nigeria),2013-01-13
205,China,Criticize or denounce,Women (China),2009-12-06
206,Benedict XVI,Make statement,Christian (Holy See (Vatican City State)),2006-05-15
207,Other Authorities / Officials (Mauritania),Provide humanitarian aid,Citizen (Mauritania),2010-08-16
208,Dmitry Anatolyevich Medvedev,Make optimistic comment,Barack Obama,2008-11-16
209,Catherine Ashton,Praise or endorse,UN Security Council,2011-02-27
210,Police (Malaysia),Make statement,Malaysia,2010-08-18
211,Ali Abdullah Saleh,Engage in negotiation,Mahmoud Abbas,2006-08-07
212,China,Host a visit,Lien Chan,2005-04-15
213,Bukola Saraki,Criticize or denounce,Citizen (Nigeria),2008-01-31
214,Ethiopia,Host a visit,African Union,2012-02-08
215,Committee for State Security,Use tactics of violent repression,Citizen (Belarus),2011-06-22
216,Member of Parliament (Kyrgyzstan),fight with small arms and light weapons,Citizen (Kyrgyzstan),2005-10-21
217,Barack Obama,Criticize or denounce,Iran,2009-05-20
218,Military Personnel (Philippines),Make statement,Military (Philippines),2015-12-09
219,Iran,Praise or endorse,Iraq,2015-03-16
220,Ministry (South Korea),Express intent to meet or negotiate,South Korea,2015-09-29
221,Member of the Judiciary (South Africa),Make statement,South Africa,2014-08-07
222,Lawyer/Attorney (United States),Make statement,Noorzai (Social Group),2005-04-25
223,Barack Obama,Express intent to cooperate,Dmitry Anatolyevich Medvedev,2008-11-13
224,Eritrea,Accuse,Ethiopia,2015-09-15
225,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-08
226,African Union,Use conventional military force,Al-Shabaab,2014-06-16
227,Laos,Make statement,Vietnam,2010-11-23
228,Tony Blair,Make a visit,Middle East,2006-12-19
229,Insurgent (Thailand),"Conduct suicide, car, or other non-military bombing",Thailand,2005-06-03
230,Barack Obama,Express intent to cooperate,Angela Merkel,2010-06-22
231,Lawyer/Attorney (Australia),Make statement,Police (Australia),2010-04-13
232,Dmitry Anatolyevich Medvedev,Make statement,Barack Obama,2015-11-22
233,Ministry (Iran),Express intent to meet or negotiate,Iran,2012-10-10
234,Mahmoud Abbas,Make optimistic comment,Benjamin Netanyahu,2013-09-30
235,Iraq,Express intent to meet or negotiate,Kuwait,2010-09-20
236,China,Consult,Japan,2014-06-24
237,South Korea,Express intent to cooperate,Japan,2005-10-27
238,Other Authorities / Officials (Guatemala),Provide humanitarian aid,Population (Guatemala),2005-09-24
239,Member of Legislative (Govt) (Nigeria),Investigate,Citizen (Nigeria),2009-03-06
240,Angela Merkel,Consult,Dmitry Anatolyevich Medvedev,2008-08-18
241,Benjamin Netanyahu,Consult,Barack Obama,2009-11-25
242,Admiral (Iran),Make statement,Iran,2014-10-10
243,Attacker (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2010-10-23
244,Media Personnel (Thailand),Express intent to meet or negotiate,Citizen (Thailand),2006-08-02
245,Armed Band (Brazil),"Return, release person(s)",Citizen (Brazil),2013-02-13
246,Tariq Aziz,Accuse,Iraq,2008-05-21
247,Governor (Thailand),Demand,Citizen (Thailand),2013-11-21
248,Barack Obama,Bring lawsuit against,China,2012-02-02
249,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Mahmoud Abbas,2010-08-31
250,Japan,Criticize or denounce,China,2013-06-29
251,Tony Blair,Make a visit,United Arab Emirates,2007-11-22
252,Haider Al-Abadi,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2015-01-30
253,Thailand,Express intent to cooperate,Cambodia,2005-12-19
254,Citizen (Venezuela),Reject,Ministry (Venezuela),2013-03-12
255,Citizen (Thailand),Demand,Abhisit Vejjajiva,2009-07-09
256,Dmitry Anatolyevich Medvedev,Engage in negotiation,Angela Merkel,2009-08-13
257,Other Authorities / Officials (Nigeria),Sign formal agreement,Boko Haram,2014-10-19
258,Naval (Sri Lanka),Use conventional military force,Fishermen (India),2013-06-01
259,Bhutan,Consult,Maldives,2005-10-19
260,Police (Philippines),Make statement,Military Personnel - Special (Philippines),2009-04-17
261,Civil Service (Liberia),Praise or endorse,Employee (Liberia),2010-02-01
262,Barack Obama,Make statement,China,2009-11-18
263,Barack Obama,Praise or endorse,Benjamin Netanyahu,2009-05-19
264,National Front Malaysia,Make statement,Malaysia,2009-01-08
265,Iran,Express intent to meet or negotiate,Iraq,2012-04-21
266,Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-05-31
267,Senate Armed Services Committee,Express intent to meet or negotiate,Iraq,2005-11-22
268,Citizen (Tanzania),Reject,Civic United Front,2010-09-19
269,Citizen (Australia),Accuse,Police (Australia),2013-08-27
270,Barack Obama,Praise or endorse,Northern Ireland,2009-03-17
271,Police (Croatia),Criticize or denounce,Government (Croatia),2014-04-04
272,Police (South Korea),Investigate,South Korea,2009-10-05
273,Citizen (Thailand),Threaten,Thailand,2010-04-20
274,Employee (Bangladesh),Make pessimistic comment,Citizen (Bangladesh),2015-12-24
275,Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Royal Administration (Nigeria),2013-12-30
276,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2015-06-08
277,Citizen (Nigeria),Express intent to cooperate,Government (Nigeria),2015-03-13
278,Oman,Mediate,Iran,2013-04-27
279,Minister Kachornprasart,Make a visit,Chart Thai,2007-10-30
280,National United Front for Democracy Against Dictatorship,Make optimistic comment,Member of Parliament (Thailand),2008-12-11
281,Japan,Make a visit,China,2008-06-02
282,South Korea,Host a visit,Envoy (United States),2011-05-18
283,Barack Obama,Express intent to meet or negotiate,Sudan,2005-10-10
284,Philipp Rösler,Make a visit,Vietnam,2012-09-18
285,Mahmoud Ahmadinejad,Make a visit,Iran,2010-10-19
286,Head of Government (Nigeria),Demand,Government (Nigeria),2014-05-26
287,Head of Government (Brazil),Demand,Citizen (Brazil),2012-11-30
288,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2007-10-21
289,UN Security Council,Make an appeal or request,African Union,2006-04-25
290,China,Host a visit,Ashraf Ghani Ahmadzai,2014-10-27
291,Chuck Hagel,Praise or endorse,Japan,2014-05-31
292,Sudan,Receive deployment of peacekeepers,African Union,2005-07-19
293,Iran,Engage in negotiation,Jack Straw,2005-06-25
294,Police (Australia),Accuse,Criminal (Australia),2015-07-29
295,Cambodia,Engage in judicial cooperation,China,2009-12-19
296,Umaru Musa Yar'Adua,Make statement,Government (Nigeria),2009-07-29
297,Kazakhstan,Consult,Iran,2007-06-21
298,Bolivia,Praise or endorse,Evo Morales,2013-01-14
299,Sudan,Host a visit,Envoy (United States),2009-04-14
300,Citizen (Nigeria),Make an appeal or request,Education (Nigeria),2013-11-11
301,Iraq,Yield,Nuri al-Maliki,2010-04-20
302,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2006-06-21
303,Tony Blair,Make a visit,Ireland,2010-09-06
304,Rehman Malik,Make statement,Government (Pakistan),2008-06-20
305,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-07
306,Progressive Party (Nigeria),Reduce relations,Citizen (Nigeria),2013-03-01
307,Kuomintang,Demonstrate or rally,China,2006-03-20
308,Sudan,Make a visit,Head of Government (Egypt),2011-05-29
309,Muhammadu Buhari,Make an appeal or request,Government (Nigeria),2015-06-30
310,National United Front for Democracy Against Dictatorship,"Threaten with political dissent, protest",Abhisit Vejjajiva,2008-12-27
311,Vietnam,Criticize or denounce,China,2009-06-27
312,Adil Abdul-Mahdi,Make statement,Iraq,2007-01-25
313,Police (Australia),"Arrest, detain, or charge with legal action",Tony Sithembiso Yengeni,2007-12-11
314,Prachanda,Appeal for diplomatic cooperation (such as policy support),Political Parties (Nepal),2005-02-12
315,Samuel J. Locklear,Make a visit,Japan,2012-04-11
316,Scientist (China),Express intent to provide material aid,China,2008-05-24
317,Police (South Africa),Use conventional military force,Men (South Africa),2008-10-16
318,Israeli Defense Forces,Use conventional military force,Children (Israel),2008-09-13
319,Men (Malaysia),Accuse,Police (Malaysia),2005-06-06
320,Ethiopia,Consult,African Union,2007-06-15
321,Business (South Korea),Express intent to cooperate economically,South Korea,2015-12-09
322,Sudan,Make an appeal or request,South Africa,2015-02-03
323,South Korea,Consult,China,2005-12-08
324,China,Sign formal agreement,Sudan,2007-12-08
325,Insurgent (Thailand),"Conduct suicide, car, or other non-military bombing",Thailand,2010-06-21
326,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2011-07-22
327,Citizen (Thailand),Acknowledge or claim responsibility,Thailand,2015-05-14
328,Militant (Ukraine),Use unconventional violence,Police (Ukraine),2014-05-04
329,Malaysia,Sign formal agreement,Laos,2008-04-03
330,Michael Sata,Make an appeal or request,Citizen (Zambia),2013-02-27
331,China,Express intent to meet or negotiate,South Korea,2007-10-22
332,Cambodia,Consult,Laos,2013-10-28
333,Iraq,Express intent to meet or negotiate,Kuwait,2006-09-21
334,Mahmoud Abbas,Make a visit,Cristina Fernández de Kirchner,2009-11-22
335,UN Security Council,Make an appeal or request,Iran,2006-04-17
336,Head of Government (India),Praise or endorse,Social Worker (India),2008-01-24
337,Thailand,Accuse,Malaysia,2007-03-02
338,Foreign Affairs (Portugal),Make statement,Portugal,2013-09-13
339,Shaukat Aziz,Make statement,Government (Pakistan),2007-05-27
340,Mob (Uganda),Use unconventional violence,Citizen (Uganda),2008-12-01
341,China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2005-07-31
342,Daniel Scioli,Make statement,Cristina Fernández de Kirchner,2013-11-15
343,Police (South Africa),"Impose blockade, restrict movement",South Africa,2012-10-10
344,Yoshihiko Noda,Consult,Barack Obama,2012-04-30
345,Richard Boucher,Consult,Pervez Musharraf,2007-06-23
346,Congress (United States),"Declare truce, ceasefire",Iran,2014-01-13
347,Citizen (Australia),Reduce relations,Member of Parliament (Australia),2008-06-09
348,China,Engage in negotiation,Vietnam,2007-07-28
349,Justicialist Party,Praise or endorse,Cristina Fernández de Kirchner,2011-07-28
350,Rafael Correa,Investigate,Julian Paul Assange,2012-06-25
351,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2007-10-15
352,South Korea,Consult,Envoy (United States),2010-02-25
353,Citizen (Uganda),Express intent to cooperate,Indigenous People (Uganda),2006-05-26
354,China,"Arrest, detain, or charge with legal action",Citizen (North Korea),2012-02-17
355,Arsen Avakov,Make statement,Military (Ukraine),2014-06-14
356,Boko Haram,Use conventional military force,Citizen (Nigeria),2011-02-03
357,China,Sign formal agreement,Laos,2015-10-07
358,South Korea,Consult,China,2009-12-11
359,Citizen (Thailand),Use unconventional violence,Thailand,2012-02-18
360,Police (Australia),Make an appeal or request,Citizen (Australia),2011-03-20
361,Lawyer/Attorney (Australia),Make statement,Police (Australia),2005-08-10
362,Nuri al-Maliki,Make statement,Iraq,2013-01-01
363,Citizen (United Kingdom),Reject,Labor Party (United Kingdom),2005-05-05
364,Thailand,Engage in negotiation,Japan,2005-06-30
365,Armed Gang (Thailand),fight with small arms and light weapons,Student (Thailand),2007-09-04
366,Legislature (Romania),Consult,Senate (Romania),2010-04-20
367,Xi Jinping,Make an appeal or request,China,2013-05-15
368,Emperor Akihito,Make statement,Japan,2012-03-12
369,Police (Malaysia),Make statement,Malaysia,2005-04-07
370,Muslim (Nigeria),Use conventional military force,Citizen (Nigeria),2012-06-22
371,Solomon Arase,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2015-09-29
372,Shaukat Aziz,Make statement,Pervez Musharraf,2005-09-12
373,Foreign Affairs (Hungary),Praise or endorse,Iran,2011-07-10
374,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Government (Nigeria),2012-10-17
375,Uhuru Muigai Kenyatta,Make a visit,South Sudan,2014-02-27
376,Japan,Host a visit,Ma Ying Jeou,2007-11-23
377,Media Personnel (Thailand),Investigate,Citizen (Thailand),2005-12-22
378,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),France,2011-11-23
379,Cambodia,Sign formal agreement,Thailand,2008-05-07
380,Boko Haram,Use conventional military force,Citizen (Nigeria),2015-02-17
381,Treasury/Finance Ministry (Sudan),Make an appeal or request,Government (Sudan),2012-07-05
382,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2012-02-09
383,Eritrea,Make a visit,Qatar,2009-04-19
384,Iran,Host a visit,Iraq,2009-03-01
385,Prem Tinsulanonda,Demonstrate or rally,Prem Tinsulanonda,2007-07-26
386,Head of Government (Nigeria),Make statement,Government (Nigeria),2012-10-17
387,Citizen (Thailand),Occupy territory,Thailand,2008-10-11
388,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Barack Obama,2010-06-11
389,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2013-11-19
390,Vincent C. Siew,Consult,Ma Ying Jeou,2008-04-14
391,Japan,Make an appeal or request,China,2006-05-18
392,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2005-03-08
393,Muhammad VI,Make empathetic comment,France,2015-11-14
394,Police (Kenya),Discuss by telephone,Media (Africa),2007-06-06
395,Mahmoud Ahmadinejad,Consult,Rafael Correa,2012-01-12
396,Wang Yi,Make statement,China,2013-11-23
397,Thailand,Host a visit,China,2008-08-11
398,Governor (Thailand),Make statement,Thailand,2005-03-09
399,Foreign Affairs (South Korea),Make statement,South Korea,2008-04-01
400,Japan,Make an appeal or request,Iran,2005-08-05
401,France,Engage in negotiation,Other Authorities / Officials (Mali),2015-02-10
402,Umaru Musa Yar'Adua,Consult,Dimeji Bankole,2008-10-09
403,Barack Obama,Express intent to meet or negotiate,Xi Jinping,2014-10-03
404,Elizabeth II,Make a visit,United Arab Emirates,2010-10-12
405,Iran,Engage in diplomatic cooperation,Iraq,2011-05-28
406,Ethiopia,Express intent to cooperate,Eritrea,2006-02-09
407,Governor (Thailand),Make an appeal or request,Citizen (Thailand),2013-06-11
408,Tsai Ing-wen,Accuse,Ma Ying Jeou,2009-05-17
409,"Armed Gang (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2012-06-01
